@timestamp,cpu,memory
2023-05-15 22:08:56.759000+00:00,0.0048,
2023-05-15 22:08:56.957000+00:00,,0.3435
2023-05-15 22:09:06.759000+00:00,0.0023,
2023-05-15 22:09:06.957000+00:00,,0.3435
2023-05-15 22:09:16.759000+00:00,0.002,
2023-05-15 22:09:16.957000+00:00,,0.3436
2023-05-15 22:09:26.759000+00:00,0.002,
2023-05-15 22:09:26.957000+00:00,,0.3436
2023-05-15 22:09:36.759000+00:00,0.004,
2023-05-15 22:09:36.957000+00:00,,0.3436
2023-05-15 22:09:46.759000+00:00,0.0027,
2023-05-15 22:09:46.957000+00:00,,0.3435
2023-05-15 22:09:56.759000+00:00,0.0025,
2023-05-15 22:09:56.957000+00:00,,0.3435
2023-05-15 22:10:06.759000+00:00,0.012,
2023-05-15 22:10:06.957000+00:00,,0.3436
2023-05-15 22:10:16.759000+00:00,0.009,
2023-05-15 22:10:16.957000+00:00,,0.3435
2023-05-15 22:10:26.759000+00:00,0.0116,
2023-05-15 22:10:26.957000+00:00,,0.3436
2023-05-15 22:10:36.759000+00:00,0.0143,
2023-05-15 22:10:36.957000+00:00,,0.3436
2023-05-15 22:10:46.759000+00:00,0.0118,
2023-05-15 22:10:46.957000+00:00,,0.3436
2023-05-15 22:10:56.759000+00:00,0.0035,
2023-05-15 22:10:56.957000+00:00,,0.3436
2023-05-15 22:11:06.759000+00:00,0.0045,
2023-05-15 22:11:06.957000+00:00,,0.3436
2023-05-15 22:11:16.759000+00:00,0.005,
2023-05-15 22:11:16.957000+00:00,,0.3437
2023-05-15 22:11:26.759000+00:00,0.003,
2023-05-15 22:11:26.957000+00:00,,0.3437
2023-05-15 22:11:36.759000+00:00,0.003,
2023-05-15 22:11:36.957000+00:00,,0.3437
2023-05-15 22:11:46.759000+00:00,0.006,
2023-05-15 22:11:46.957000+00:00,,0.3437
2023-05-15 22:11:56.759000+00:00,0.0058,
2023-05-15 22:11:56.957000+00:00,,0.3437
2023-05-15 22:12:06.759000+00:00,0.0083,
2023-05-15 22:12:06.957000+00:00,,0.3438
2023-05-15 22:12:16.759000+00:00,0.0038,
2023-05-15 22:12:16.957000+00:00,,0.3438
2023-05-15 22:12:26.759000+00:00,0.0058,
2023-05-15 22:12:26.957000+00:00,,0.3438
2023-05-15 22:12:36.759000+00:00,0.0072,
2023-05-15 22:12:36.957000+00:00,,0.3438
2023-05-15 22:12:46.759000+00:00,0.0047,
2023-05-15 22:12:46.957000+00:00,,0.3439
2023-05-15 22:12:56.759000+00:00,0.0032,
2023-05-15 22:12:56.957000+00:00,,0.3439
2023-05-15 22:13:06.759000+00:00,0.0071,
2023-05-15 22:13:06.957000+00:00,,0.3439
2023-05-15 22:13:16.759000+00:00,0.0028,
2023-05-15 22:13:16.957000+00:00,,0.3439
2023-05-15 22:13:26.759000+00:00,0.004,
2023-05-15 22:13:26.957000+00:00,,0.3439
2023-05-15 22:13:36.759000+00:00,0.007,
2023-05-15 22:13:36.957000+00:00,,0.3439
2023-05-15 22:13:46.759000+00:00,0.0045,
2023-05-15 22:13:46.957000+00:00,,0.3439
2023-05-15 22:13:56.759000+00:00,0.0042,
2023-05-15 22:13:56.957000+00:00,,0.3439
2023-05-15 22:14:06.759000+00:00,0.0075,
2023-05-15 22:14:06.957000+00:00,,0.344
2023-05-15 22:14:16.759000+00:00,0.0035,
2023-05-15 22:14:16.957000+00:00,,0.344
2023-05-15 22:14:26.759000+00:00,0.002,
2023-05-15 22:14:26.957000+00:00,,0.344
2023-05-15 22:14:36.759000+00:00,0.0073,
2023-05-15 22:14:36.957000+00:00,,0.3441
2023-05-15 22:14:46.759000+00:00,0.003,
2023-05-15 22:14:46.957000+00:00,,0.344
2023-05-15 22:14:56.759000+00:00,0.004,
2023-05-15 22:14:56.957000+00:00,,0.344
2023-05-15 22:15:06.759000+00:00,0.0065,
2023-05-15 22:15:06.957000+00:00,,0.3441
2023-05-15 22:15:16.759000+00:00,0.003,
2023-05-15 22:15:16.957000+00:00,,0.3441
2023-05-15 22:15:26.759000+00:00,0.0122,
2023-05-15 22:15:26.957000+00:00,,0.3441
2023-05-15 22:15:36.759000+00:00,0.0085,
2023-05-15 22:15:36.957000+00:00,,0.3442
2023-05-15 22:15:46.759000+00:00,0.0055,
2023-05-15 22:15:46.957000+00:00,,0.3442
2023-05-15 22:15:56.759000+00:00,0.003,
2023-05-15 22:15:56.957000+00:00,,0.3442
2023-05-15 22:16:06.759000+00:00,0.0045,
2023-05-15 22:16:06.957000+00:00,,0.3443
2023-05-15 22:16:16.759000+00:00,0.0045,
2023-05-15 22:16:16.957000+00:00,,0.3444
2023-05-15 22:16:26.759000+00:00,0.0048,
2023-05-15 22:16:26.957000+00:00,,0.3443
2023-05-15 22:16:36.759000+00:00,0.006,
2023-05-15 22:16:36.957000+00:00,,0.3443
2023-05-15 22:16:46.759000+00:00,0.005,
2023-05-15 22:16:46.957000+00:00,,0.3444
