@timestamp,cpu,memory
2023-05-16 04:00:42.965000+00:00,,0.7174
2023-05-16 04:00:42.986000+00:00,,0.7185
2023-05-16 04:00:43.021000+00:00,0.991,
2023-05-16 04:00:43.495000+00:00,0.968,
2023-05-16 04:00:43.851000+00:00,,0.7117
2023-05-16 04:00:43.957000+00:00,0.9849,
2023-05-16 04:00:44.325000+00:00,0.985,
2023-05-16 04:00:44.398000+00:00,0.992,
2023-05-16 04:00:44.685000+00:00,,0.7141
2023-05-16 04:00:44.690000+00:00,,0.7183
2023-05-16 04:00:44.762000+00:00,0.992,
2023-05-16 04:00:45.046000+00:00,,0.7667
2023-05-16 04:00:45.062000+00:00,,0.727
2023-05-16 04:00:45.306000+00:00,,0.7248
2023-05-16 04:00:45.921000+00:00,,0.7225
2023-05-16 04:00:46.176000+00:00,0.9849,
2023-05-16 04:00:47.069000+00:00,,0.7355
2023-05-16 04:00:47.187000+00:00,0.9828,
2023-05-16 04:00:47.241000+00:00,0.9728,
2023-05-16 04:00:47.453000+00:00,0.9809,
2023-05-16 04:00:47.965000+00:00,,0.7344
2023-05-16 04:00:47.986000+00:00,,0.7419
2023-05-16 04:00:48.021000+00:00,0.992,
2023-05-16 04:00:48.494000+00:00,0.988,
2023-05-16 04:00:48.851000+00:00,,0.7296
2023-05-16 04:00:48.957000+00:00,0.987,
2023-05-16 04:00:49.326000+00:00,0.988,
2023-05-16 04:00:49.398000+00:00,0.992,
2023-05-16 04:00:49.685000+00:00,,0.7415
2023-05-16 04:00:49.690000+00:00,,0.7352
2023-05-16 04:00:49.762000+00:00,0.995,
2023-05-16 04:00:50.046000+00:00,,0.7912
2023-05-16 04:00:50.062000+00:00,,0.7454
2023-05-16 04:00:50.306000+00:00,,0.737
2023-05-16 04:00:50.921000+00:00,,0.7423
2023-05-16 04:00:51.176000+00:00,0.9889,
2023-05-16 04:00:52.069000+00:00,,0.7623
2023-05-16 04:00:52.187000+00:00,0.9799,
2023-05-16 04:00:52.241000+00:00,0.9747,
2023-05-16 04:00:52.453000+00:00,0.9838,
2023-05-16 04:00:52.965000+00:00,,0.7534
2023-05-16 04:00:52.986000+00:00,,0.7691
2023-05-16 04:00:53.021000+00:00,0.9849,
2023-05-16 04:00:53.494000+00:00,0.9779,
2023-05-16 04:00:53.851000+00:00,,0.7493
2023-05-16 04:00:53.957000+00:00,0.9839,
2023-05-16 04:00:54.325000+00:00,0.9849,
2023-05-16 04:00:54.398000+00:00,0.9778,
2023-05-16 04:00:54.685000+00:00,,0.7502
2023-05-16 04:00:54.690000+00:00,,0.7525
2023-05-16 04:00:54.762000+00:00,0.983,
