@timestamp,user_id,audio_bytesReceived,audio_packetsReceived,audio_packetsLost,audio_jitter,video_bytesReceived,video_packetsReceived,video_packetsLost,video_jitter,video_framesDecoded,video_nackCount,video_firCount,video_pliCount
2023-05-12 16:55:58.768000+00:00,User2,753546,9688,0,0.008,44476744,40924,0,0.016766666666666666,5616,0,0,0
2023-05-12 16:55:58.771000+00:00,User1,751132,9690,0,0.009,44485790,40899,0,0.01668888888888889,5614,0,0,0
2023-05-12 16:56:01.768000+00:00,User2,765657,9839,0,0.011,44936482,41370,0,0.009,5705,0,0,0
2023-05-12 16:56:01.772000+00:00,User1,763109,9839,0,0.013,44943066,41338,0,0.009477777777777778,5703,0,0,0
2023-05-12 16:56:04.768000+00:00,User2,777298,9988,0,0.011,45701396,42067,0,0.01841111111111111,5795,0,0,0
2023-05-12 16:56:04.772000+00:00,User1,774832,9990,0,0.009,45710737,42038,0,0.0187,5793,0,0,0
2023-05-12 16:56:07.768000+00:00,User2,788910,10138,0,0.009,46441637,42747,0,0.0173,5885,0,0,0
2023-05-12 16:56:07.771000+00:00,User1,786378,10139,0,0.009,46451842,42716,0,0.017388888888888888,5883,0,0,0
2023-05-12 16:56:10.768000+00:00,User2,799981,10288,0,0.009,47196095,43432,0,0.017233333333333333,5975,0,0,0
2023-05-12 16:56:10.771000+00:00,User1,797425,10289,0,0.008,47205660,43405,0,0.017511111111111113,5973,0,0,0
2023-05-12 16:56:13.767000+00:00,User2,811770,10438,0,0.013,47949196,44124,0,0.01711111111111111,6065,0,0,0
2023-05-12 16:56:13.772000+00:00,User1,809184,10439,0,0.008,47956988,44095,0,0.017166666666666667,6063,0,0,0
2023-05-12 16:56:16.769000+00:00,User2,823422,10588,0,0.009,48691769,44803,0,0.01661111111111111,6155,0,0,0
2023-05-12 16:56:16.772000+00:00,User1,820918,10590,0,0.011,48699548,44776,0,0.016455555555555557,6153,0,0,0
2023-05-12 16:56:19.768000+00:00,User2,835549,10739,0,0.01,49141023,45241,0,0.015166666666666667,6244,0,0,0
2023-05-12 16:56:19.772000+00:00,User1,832945,10739,0,0.012,49146021,45209,0,0.015911111111111112,6242,0,0,0
2023-05-12 16:56:22.768000+00:00,User2,847176,10889,0,0.009,49922979,45955,0,0.016422222222222223,6333,0,0,0
2023-05-12 16:56:22.771000+00:00,User1,844478,10889,0,0.009,49927201,45925,0,0.0158,6332,0,0,0
2023-05-12 16:56:25.768000+00:00,User2,858705,11038,0,0.009,50664725,46634,0,0.017011111111111112,6424,0,0,0
2023-05-12 16:56:25.771000+00:00,User1,856112,11040,0,0.009,50667305,46598,0,0.018,6422,0,0,0
2023-05-12 16:56:28.768000+00:00,User2,869910,11188,0,0.009,51414477,47322,0,0.01671111111111111,6514,0,0,0
2023-05-12 16:56:28.772000+00:00,User1,867347,11190,0,0.008,51416641,47285,0,0.01708888888888889,6512,0,0,0
2023-05-12 16:56:31.768000+00:00,User2,881464,11338,0,0.011,52169701,48012,0,0.017155555555555556,6604,0,0,0
2023-05-12 16:56:31.772000+00:00,User1,878799,11339,0,0.011,52176975,47979,0,0.017566666666666668,6602,0,0,0
2023-05-12 16:56:34.768000+00:00,User2,893297,11488,0,0.012,52762702,48567,0,0.008366666666666666,6694,0,0,0
2023-05-12 16:56:34.771000+00:00,User1,890678,11490,0,0.011,52765409,48528,0,0.008366666666666666,6692,0,0,0
2023-05-12 16:56:37.768000+00:00,User2,905403,11639,0,0.009,53383850,49145,0,0.018355555555555556,6782,0,0,0
2023-05-12 16:56:37.771000+00:00,User1,902637,11639,0,0.012,53381208,49103,0,0.0182,6781,0,0,0
2023-05-12 16:56:40.768000+00:00,User2,916903,11788,0,0.008,54143240,49840,0,0.016744444444444444,6872,0,0,0
2023-05-12 16:56:40.772000+00:00,User1,914168,11789,0,0.009,54144079,49802,0,0.015911111111111112,6871,0,0,0
2023-05-12 16:56:43.768000+00:00,User2,928482,11938,0,0.012,54890651,50518,0,0.017266666666666666,6963,0,0,0
2023-05-12 16:56:43.771000+00:00,User1,925702,11939,0,0.009,54894786,50483,0,0.01682222222222222,6961,0,0,0
2023-05-12 16:56:46.768000+00:00,User2,939856,12089,0,0.01,55647395,51215,0,0.017955555555555554,7053,0,0,0
2023-05-12 16:56:46.772000+00:00,User1,937032,12089,0,0.009,55646795,51169,0,0.017155555555555556,7051,0,0,0
2023-05-12 16:56:49.769000+00:00,User2,951537,12238,0,0.008,56396957,51898,0,0.017877777777777777,7142,0,0,0
2023-05-12 16:56:49.772000+00:00,User1,948766,12240,0,0.009,56397212,51852,0,0.016077777777777778,7141,0,0,0
2023-05-12 16:56:52.769000+00:00,User2,963589,12389,0,0.012,56855610,52340,0,0.0091,7231,0,0,0
2023-05-12 16:56:52.772000+00:00,User1,960734,12389,0,0.008,56853440,52293,0,0.008988888888888888,7230,0,0,0
2023-05-12 16:56:55.768000+00:00,User2,975268,12539,0,0.012,57622711,53038,0,0.01877777777777778,7321,0,0,0
2023-05-12 16:56:55.772000+00:00,User1,972395,12539,0,0.008,57620630,52992,0,0.018233333333333334,7320,0,0,0
2023-05-12 16:56:58.769000+00:00,User2,986824,12688,0,0.008,58354065,53703,0,0.01698888888888889,7412,0,0,0
2023-05-12 16:56:58.772000+00:00,User1,984093,12690,0,0.012,58360505,53665,0,0.016922222222222224,7410,0,0,0
2023-05-12 16:57:01.768000+00:00,User2,997897,12838,0,0.009,59112735,54394,0,0.01697777777777778,7502,0,0,0
