@timestamp,memory,cpu
2023-05-12 09:30:10.896000+00:00,0.2955,
2023-05-12 09:30:11.970000+00:00,,0.0018
2023-05-12 09:30:20.896000+00:00,0.2955,
2023-05-12 09:30:21.970000+00:00,,0.0015
2023-05-12 09:30:30.896000+00:00,0.2955,
2023-05-12 09:30:31.970000+00:00,,0.0017
2023-05-12 09:30:40.896000+00:00,0.2955,
2023-05-12 09:30:41.970000+00:00,,0.0018
2023-05-12 09:30:50.896000+00:00,0.2955,
2023-05-12 09:30:51.970000+00:00,,0.0024
2023-05-12 09:31:00.896000+00:00,0.2955,
2023-05-12 09:31:01.970000+00:00,,0.0015
2023-05-12 09:31:10.896000+00:00,0.2955,
2023-05-12 09:31:11.970000+00:00,,0.0025
2023-05-12 09:31:20.896000+00:00,0.2955,
2023-05-12 09:31:21.970000+00:00,,0.0018
2023-05-12 09:31:30.896000+00:00,0.2955,
2023-05-12 09:31:31.970000+00:00,,0.0015
2023-05-12 09:31:40.896000+00:00,0.2955,
2023-05-12 09:31:41.970000+00:00,,0.0017
2023-05-12 09:31:50.896000+00:00,0.2955,
2023-05-12 09:31:51.970000+00:00,,0.0023
2023-05-12 09:32:00.896000+00:00,0.2955,
2023-05-12 09:32:01.970000+00:00,,0.0015
2023-05-12 09:32:10.896000+00:00,0.2955,
2023-05-12 09:32:11.970000+00:00,,0.0012
2023-05-12 09:32:20.896000+00:00,0.2955,
2023-05-12 09:32:21.970000+00:00,,0.0013
2023-05-12 09:32:30.896000+00:00,0.2955,
2023-05-12 09:32:31.970000+00:00,,0.0012
2023-05-12 09:32:40.896000+00:00,0.2956,
2023-05-12 09:32:41.970000+00:00,,0.0017
2023-05-12 09:32:50.896000+00:00,0.2956,
2023-05-12 09:32:51.970000+00:00,,0.0015
2023-05-12 09:33:00.896000+00:00,0.2956,
2023-05-12 09:33:01.970000+00:00,,0.0027
2023-05-12 09:33:10.896000+00:00,0.2956,
2023-05-12 09:33:11.970000+00:00,,0.0015
2023-05-12 09:33:20.896000+00:00,0.2956,
2023-05-12 09:33:21.970000+00:00,,0.001
2023-05-12 09:33:30.896000+00:00,0.2956,
2023-05-12 09:33:31.970000+00:00,,0.001
2023-05-12 09:33:40.896000+00:00,0.2956,
2023-05-12 09:33:41.970000+00:00,,0.001
2023-05-12 09:33:50.896000+00:00,0.2956,
2023-05-12 09:33:51.970000+00:00,,0.0018
2023-05-12 09:34:00.896000+00:00,0.2956,
2023-05-12 09:34:01.970000+00:00,,0.0013
2023-05-12 09:34:10.896000+00:00,0.2956,
2023-05-12 09:34:11.970000+00:00,,0.0007
2023-05-12 09:34:20.896000+00:00,0.2956,
2023-05-12 09:34:21.970000+00:00,,0.0015
2023-05-12 09:34:30.896000+00:00,0.2956,
2023-05-12 09:34:31.970000+00:00,,0.0015
2023-05-12 09:34:40.896000+00:00,0.2956,
2023-05-12 09:34:41.970000+00:00,,0.0025
2023-05-12 09:34:50.896000+00:00,0.2956,
2023-05-12 09:34:51.970000+00:00,,0.002
2023-05-12 09:35:00.896000+00:00,0.2956,
2023-05-12 09:35:01.970000+00:00,,0.0008
2023-05-12 09:35:10.896000+00:00,0.2956,
2023-05-12 09:35:11.970000+00:00,,0.0022
2023-05-12 09:35:20.896000+00:00,0.2956,
2023-05-12 09:35:21.970000+00:00,,0.0018
2023-05-12 09:35:30.896000+00:00,0.2956,
2023-05-12 09:35:31.970000+00:00,,0.003
2023-05-12 09:35:40.896000+00:00,0.2956,
2023-05-12 09:35:41.970000+00:00,,0.0015
2023-05-12 09:35:50.896000+00:00,0.2956,
2023-05-12 09:35:51.970000+00:00,,0.0023
2023-05-12 09:36:00.896000+00:00,0.2956,
2023-05-12 09:36:01.970000+00:00,,0.0015
2023-05-12 09:36:10.896000+00:00,0.2956,
2023-05-12 09:36:11.970000+00:00,,0.0014
2023-05-12 09:36:20.896000+00:00,0.2956,
2023-05-12 09:36:21.970000+00:00,,0.0015
2023-05-12 09:36:30.896000+00:00,0.2956,
2023-05-12 09:36:31.970000+00:00,,0.0012
2023-05-12 09:36:40.896000+00:00,0.2956,
2023-05-12 09:36:41.970000+00:00,,0.0012
2023-05-12 09:36:50.896000+00:00,0.2956,
2023-05-12 09:36:51.970000+00:00,,0.002
2023-05-12 09:37:00.896000+00:00,0.2956,
2023-05-12 09:37:01.970000+00:00,,0.001
2023-05-12 09:37:10.896000+00:00,0.2956,
2023-05-12 09:37:11.970000+00:00,,0.003
2023-05-12 09:37:20.896000+00:00,0.2956,
2023-05-12 09:37:21.970000+00:00,,0.0015
2023-05-12 09:37:30.896000+00:00,0.2956,
2023-05-12 09:37:31.970000+00:00,,0.0017
2023-05-12 09:37:40.896000+00:00,0.2956,
2023-05-12 09:37:41.970000+00:00,,0.0047
2023-05-12 09:37:50.896000+00:00,0.2956,
2023-05-12 09:37:51.970000+00:00,,0.001
2023-05-12 09:38:00.896000+00:00,0.2956,
2023-05-12 09:38:01.970000+00:00,,0.002
2023-05-12 09:38:10.896000+00:00,0.2956,
2023-05-12 09:38:11.970000+00:00,,0.0057
2023-05-12 09:38:20.896000+00:00,0.2956,
2023-05-12 09:38:21.970000+00:00,,0.0017
2023-05-12 09:38:30.896000+00:00,0.2956,
2023-05-12 09:38:31.970000+00:00,,0.0007
2023-05-12 09:38:40.896000+00:00,0.2956,
2023-05-12 09:38:41.970000+00:00,,0.0018
2023-05-12 09:38:50.896000+00:00,0.2956,
2023-05-12 09:38:51.970000+00:00,,0.0017
2023-05-12 09:39:00.896000+00:00,0.2956,
2023-05-12 09:39:01.970000+00:00,,0.001
2023-05-12 09:39:10.896000+00:00,0.2956,
2023-05-12 09:39:11.970000+00:00,,0.0025
2023-05-12 09:39:20.896000+00:00,0.2956,
2023-05-12 09:39:21.970000+00:00,,0.0018
