@timestamp,memory,cpu
2023-05-12 15:39:03.392000+00:00,0.2838,
2023-05-12 15:39:03.643000+00:00,,0.1629
2023-05-12 15:39:03.764000+00:00,0.2837,
2023-05-12 15:39:03.979000+00:00,,0.1591
2023-05-12 15:39:04.171000+00:00,,0.1734
2023-05-12 15:39:04.236000+00:00,0.286,
2023-05-12 15:39:04.271000+00:00,,0.1904
2023-05-12 15:39:04.952000+00:00,0.2871,
2023-05-12 15:39:05.074000+00:00,0.2881,
2023-05-12 15:39:05.096000+00:00,,0.2262
2023-05-12 15:39:05.133000+00:00,,0.199
2023-05-12 15:39:05.162000+00:00,,0.2088
2023-05-12 15:39:05.421000+00:00,,0.2592
2023-05-12 15:39:05.453000+00:00,0.2892,
2023-05-12 15:39:05.781000+00:00,0.2874,
2023-05-12 15:39:05.813000+00:00,,0.2682
2023-05-12 15:39:05.932000+00:00,0.2882,
2023-05-12 15:39:06.068000+00:00,,0.2682
2023-05-12 15:39:06.108000+00:00,0.2894,
2023-05-12 15:39:06.149000+00:00,,0.2416
2023-05-12 15:39:06.184000+00:00,0.2879,
2023-05-12 15:39:06.573000+00:00,,0.2405
2023-05-12 15:39:06.810000+00:00,0.2859,
2023-05-12 15:39:06.896000+00:00,,0.2482
2023-05-12 15:39:06.972000+00:00,0.2868,
2023-05-12 15:39:07.462000+00:00,0.2891,
2023-05-12 15:39:08.392000+00:00,0.2866,
2023-05-12 15:39:08.643000+00:00,,0.2672
2023-05-12 15:39:08.764000+00:00,0.2868,
2023-05-12 15:39:08.979000+00:00,,0.2678
2023-05-12 15:39:09.171000+00:00,,0.2732
2023-05-12 15:39:09.236000+00:00,0.2891,
2023-05-12 15:39:09.271000+00:00,,0.2811
2023-05-12 15:39:09.952000+00:00,0.2879,
2023-05-12 15:39:10.073000+00:00,0.2871,
2023-05-12 15:39:10.096000+00:00,,0.2812
2023-05-12 15:39:10.133000+00:00,,0.255
2023-05-12 15:39:10.162000+00:00,,0.2687
2023-05-12 15:39:10.421000+00:00,,0.3064
2023-05-12 15:39:10.453000+00:00,0.2891,
2023-05-12 15:39:10.781000+00:00,0.2873,
2023-05-12 15:39:10.813000+00:00,,0.2877
2023-05-12 15:39:10.932000+00:00,0.2875,
2023-05-12 15:39:11.068000+00:00,,0.2963
2023-05-12 15:39:11.108000+00:00,0.2898,
2023-05-12 15:39:11.148000+00:00,,0.2696
2023-05-12 15:39:11.184000+00:00,0.2878,
2023-05-12 15:39:11.573000+00:00,,0.2629
2023-05-12 15:39:11.810000+00:00,0.2878,
2023-05-12 15:39:11.896000+00:00,,0.2586
2023-05-12 15:39:11.972000+00:00,0.2876,
2023-05-12 15:39:12.462000+00:00,0.2893,
2023-05-12 15:39:13.392000+00:00,0.287,
2023-05-12 15:39:13.643000+00:00,,0.2472
2023-05-12 15:39:13.764000+00:00,0.2865,
2023-05-12 15:39:13.979000+00:00,,0.2408
2023-05-12 15:39:14.171000+00:00,,0.2439
2023-05-12 15:39:14.236000+00:00,0.2902,
2023-05-12 15:39:14.271000+00:00,,0.2658
2023-05-12 15:39:14.952000+00:00,0.2889,
2023-05-12 15:39:15.073000+00:00,0.2894,
2023-05-12 15:39:15.096000+00:00,,0.2559
2023-05-12 15:39:15.133000+00:00,,0.2325
2023-05-12 15:39:15.162000+00:00,,0.2396
2023-05-12 15:39:15.421000+00:00,,0.2786
2023-05-12 15:39:15.453000+00:00,0.2892,
2023-05-12 15:39:15.781000+00:00,0.2869,
2023-05-12 15:39:15.813000+00:00,,0.2645
2023-05-12 15:39:15.932000+00:00,0.2879,
2023-05-12 15:39:16.068000+00:00,,0.2652
2023-05-12 15:39:16.108000+00:00,0.2904,
2023-05-12 15:39:16.148000+00:00,,0.2423
2023-05-12 15:39:16.184000+00:00,0.2878,
2023-05-12 15:39:16.573000+00:00,,0.2348
2023-05-12 15:39:16.810000+00:00,0.2867,
2023-05-12 15:39:16.896000+00:00,,0.2382
2023-05-12 15:39:16.972000+00:00,0.2879,
2023-05-12 15:39:17.462000+00:00,0.289,
2023-05-12 15:39:18.392000+00:00,0.2877,
2023-05-12 15:39:18.643000+00:00,,0.2251
2023-05-12 15:39:18.764000+00:00,0.2873,
2023-05-12 15:39:18.979000+00:00,,0.2182
2023-05-12 15:39:19.171000+00:00,,0.2358
2023-05-12 15:39:19.236000+00:00,0.2904,
2023-05-12 15:39:19.271000+00:00,,0.2508
2023-05-12 15:39:19.952000+00:00,0.2894,
2023-05-12 15:39:20.074000+00:00,0.2884,
2023-05-12 15:39:20.096000+00:00,,0.2555
2023-05-12 15:39:20.133000+00:00,,0.2426
2023-05-12 15:39:20.162000+00:00,,0.247
2023-05-12 15:39:20.421000+00:00,,0.2876
2023-05-12 15:39:20.453000+00:00,0.2902,
2023-05-12 15:39:20.781000+00:00,0.2886,
2023-05-12 15:39:20.813000+00:00,,0.2918
2023-05-12 15:39:20.932000+00:00,0.2878,
2023-05-12 15:39:21.068000+00:00,,0.3036
2023-05-12 15:39:21.108000+00:00,0.2913,
2023-05-12 15:39:21.148000+00:00,,0.2691
2023-05-12 15:39:21.184000+00:00,0.2883,
2023-05-12 15:39:21.573000+00:00,,0.2567
2023-05-12 15:39:21.810000+00:00,0.2884,
2023-05-12 15:39:21.896000+00:00,,0.2574
2023-05-12 15:39:21.972000+00:00,0.2889,
2023-05-12 15:39:22.462000+00:00,0.2897,
2023-05-12 15:39:23.392000+00:00,0.2889,
2023-05-12 15:39:23.643000+00:00,,0.2647
2023-05-12 15:39:23.764000+00:00,0.2886,
2023-05-12 15:39:23.979000+00:00,,0.2546
2023-05-12 15:39:24.171000+00:00,,0.2554
2023-05-12 15:39:24.236000+00:00,0.2924,
2023-05-12 15:39:24.270000+00:00,,0.2771
2023-05-12 15:39:24.952000+00:00,0.2897,
2023-05-12 15:39:25.074000+00:00,0.2901,
2023-05-12 15:39:25.096000+00:00,,0.2728
2023-05-12 15:39:25.133000+00:00,,0.2503
2023-05-12 15:39:25.162000+00:00,,0.2593
2023-05-12 15:39:25.421000+00:00,,0.3099
2023-05-12 15:39:25.453000+00:00,0.291,
2023-05-12 15:39:25.781000+00:00,0.289,
2023-05-12 15:39:25.813000+00:00,,0.2993
2023-05-12 15:39:25.932000+00:00,0.2892,
2023-05-12 15:39:26.068000+00:00,,0.2919
2023-05-12 15:39:26.108000+00:00,0.2911,
2023-05-12 15:39:26.148000+00:00,,0.2688
2023-05-12 15:39:26.184000+00:00,0.2899,
2023-05-12 15:39:26.573000+00:00,,0.2576
2023-05-12 15:39:26.810000+00:00,0.2885,
2023-05-12 15:39:26.896000+00:00,,0.2696
2023-05-12 15:39:26.972000+00:00,0.2895,
2023-05-12 15:39:27.462000+00:00,0.2912,
2023-05-12 15:39:28.392000+00:00,0.2886,
2023-05-12 15:39:28.643000+00:00,,0.2601
2023-05-12 15:39:28.764000+00:00,0.2893,
2023-05-12 15:39:28.979000+00:00,,0.2462
2023-05-12 15:39:29.171000+00:00,,0.2545
2023-05-12 15:39:29.236000+00:00,0.2924,
2023-05-12 15:39:29.271000+00:00,,0.2779
2023-05-12 15:39:29.952000+00:00,0.2908,
2023-05-12 15:39:30.073000+00:00,0.2908,
2023-05-12 15:39:30.096000+00:00,,0.2794
2023-05-12 15:39:30.133000+00:00,,0.2464
2023-05-12 15:39:30.162000+00:00,,0.2612
2023-05-12 15:39:30.421000+00:00,,0.2947
2023-05-12 15:39:30.453000+00:00,0.2917,
2023-05-12 15:39:30.781000+00:00,0.2898,
2023-05-12 15:39:30.813000+00:00,,0.3011
2023-05-12 15:39:30.932000+00:00,0.2907,
2023-05-12 15:39:31.068000+00:00,,0.2883
2023-05-12 15:39:31.108000+00:00,0.293,
2023-05-12 15:39:31.148000+00:00,,0.2664
2023-05-12 15:39:31.184000+00:00,0.2898,
2023-05-12 15:39:31.573000+00:00,,0.2423
2023-05-12 15:39:31.810000+00:00,0.289,
2023-05-12 15:39:31.896000+00:00,,0.2508
2023-05-12 15:39:31.972000+00:00,0.2902,
2023-05-12 15:39:32.462000+00:00,0.2918,
2023-05-12 15:39:33.392000+00:00,0.2886,
2023-05-12 15:39:33.643000+00:00,,0.2393
2023-05-12 15:39:33.764000+00:00,0.2912,
2023-05-12 15:39:33.979000+00:00,,0.2359
2023-05-12 15:39:34.171000+00:00,,0.2468
2023-05-12 15:39:34.236000+00:00,0.2937,
2023-05-12 15:39:34.271000+00:00,,0.2661
2023-05-12 15:39:34.952000+00:00,0.292,
