cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.775860705844444,0.9839971200000007,30.63213479333331,27.504893664444452,0.9872209266666666,0.736997242222222,29.892185162222212,0.7509999999999999,0.775895,LoadTestSession1,User1,User2,2023-05-12 19:36:02.644000+00:00
1,0.8094622900888885,0.9831350800000002,30.289940257777776,27.11292961555555,0.9873493577777769,0.7585642333333331,29.129622359999995,0.75,0.7827925,LoadTestSession1,User1,User2,2023-05-12 19:36:19.644000+00:00
2,0.8091248351555558,0.9831048355555563,30.288387428888896,27.11207401333333,0.9873352200000005,0.7580166866666661,29.13322448444444,0.73325,0.7824475,LoadTestSession1,User1,User2,2023-05-12 19:36:36.644000+00:00
3,0.8097067110666663,0.9832025511111108,30.340788604444437,27.168011633333318,0.9873725955555556,0.7586332022222224,29.20078020444444,0.752375,0.7794449999999999,LoadTestSession1,User1,User2,2023-05-12 19:36:53.644000+00:00
4,0.8087476195999999,0.9831372066666674,30.345912875555573,27.17621787333332,0.9873245777777772,0.7579749222222221,29.221613242222237,0.74675,0.7825275,LoadTestSession1,User1,User2,2023-05-12 19:37:10.644000+00:00
5,0.8092977757111116,0.9831186022222215,30.288465435555572,27.110930640000035,0.9873415888888895,0.7584228377777779,29.130106264444468,0.7382500000000001,0.7837125,LoadTestSession1,User1,User2,2023-05-12 19:37:27.644000+00:00
6,0.811286954444444,0.9831861400000007,30.29441342222227,27.112697891111075,0.9873727511111113,0.7593162466666664,29.121569246666674,0.72875,0.7792675,LoadTestSession1,User1,User2,2023-05-12 19:37:44.644000+00:00
7,0.8091705350222224,0.9831278311111109,30.307466926666677,27.132000595555564,0.9873394488888889,0.7583088911111117,29.156541257777782,0.73225,0.78441,LoadTestSession1,User1,User2,2023-05-12 19:38:01.644000+00:00
8,0.8093966162444437,0.9831427911111107,30.291376504444447,27.116036204444452,0.987333393333332,0.7584733577777778,29.13454652666667,0.7466250000000001,0.78216,LoadTestSession1,User1,User2,2023-05-12 19:38:18.644000+00:00
9,0.8092646999555554,0.9831228488888889,30.288117055555546,27.1118751311111,0.987326193333333,0.7582720844444444,29.131972286666663,0.74325,0.782835,LoadTestSession1,User1,User2,2023-05-12 19:38:35.644000+00:00
10,0.8095428257555565,0.9831331777777776,30.29096505555553,27.115527915555543,0.9873283777777773,0.7582493733333331,29.136037386666665,0.72925,0.7783875,LoadTestSession1,User1,User2,2023-05-12 19:38:52.644000+00:00
11,0.8093228548888886,0.9831282111111106,30.28929293777779,27.113211988888896,0.9873215511111118,0.7582266911111113,29.1324248222222,0.7402500000000001,0.7851625,LoadTestSession1,User1,User2,2023-05-12 19:39:09.644000+00:00
12,0.8103797943333332,0.9831518199999991,30.294670306666678,27.117897935555533,0.9873795066666676,0.7595976911111108,29.13452191777781,0.75275,0.7843575,LoadTestSession1,User1,User2,2023-05-12 19:39:26.644000+00:00
13,0.8091985475555552,0.9831213377777781,30.290093462222245,27.113656533333355,0.98732382888889,0.758370217777778,29.132235075555588,0.72075,0.780465,LoadTestSession1,User1,User2,2023-05-12 19:39:43.644000+00:00
14,0.8094160969333339,0.9831305866666679,30.290182906666658,27.11335559333335,0.9873389200000005,0.7584614488888886,29.13112884222221,0.730375,0.7788225,LoadTestSession1,User1,User2,2023-05-12 19:40:00.644000+00:00
15,0.8090968160222216,0.9831094422222219,30.288688057777758,27.112732755555562,0.9873275111111108,0.7580700444444445,29.132870186666665,0.742625,0.7853375,LoadTestSession1,User1,User2,2023-05-12 19:40:17.644000+00:00
16,0.8092005789333332,0.9831622777777776,30.313224744444472,27.13785075999999,0.9873594622222225,0.7584247155555564,29.162600975555556,0.7466250000000001,0.7814874999999999,LoadTestSession1,User1,User2,2023-05-12 19:40:34.644000+00:00
17,0.8094315842222224,0.9831317577777766,30.299736933333307,27.125008253333338,0.9873320688888889,0.7582084755555553,29.148601466666683,0.741125,0.779155,LoadTestSession1,User1,User2,2023-05-12 19:40:51.644000+00:00
18,0.8098219358888896,0.983176399999999,30.300765922222205,27.12011918888889,0.9874152600000006,0.7611214888888891,29.13177598666665,0.72925,0.7829299999999999,LoadTestSession1,User1,User2,2023-05-12 19:41:08.644000+00:00
19,0.8097508125333331,0.9831353888888895,30.290831075555563,27.115508948888888,0.9873180111111108,0.7581897888888888,29.135967293333323,0.7285,0.7782575,LoadTestSession1,User1,User2,2023-05-12 19:41:25.644000+00:00
20,0.8090059687111109,0.9831137644444443,30.29135649999999,27.113660011111108,0.9873298488888882,0.7584797622222228,29.133721502222233,0.739625,0.7824625000000001,LoadTestSession1,User1,User2,2023-05-12 19:41:42.644000+00:00
21,0.809568888533333,0.9831316311111106,30.292174528888903,27.115473362222243,0.9873408355555552,0.7585796511111115,29.134161731111107,0.74475,0.776605,LoadTestSession1,User1,User2,2023-05-12 19:41:59.644000+00:00
22,0.8088135478666666,0.9831222422222214,30.300195551111113,27.123554762222234,0.9873373355555557,0.7583585266666664,29.144107891111105,0.754,0.7847649999999999,LoadTestSession1,User1,User2,2023-05-12 19:42:16.644000+00:00
23,0.8096949312444454,0.9831290822222217,30.288039499999986,27.11312508222222,0.9873264488888882,0.7582255999999998,29.133507677777803,0.7502499999999999,0.78328,LoadTestSession1,User1,User2,2023-05-12 19:42:33.644000+00:00
24,0.8060664446666671,0.9824888088888893,30.23403140888889,27.065140168888906,0.9868609111111111,0.7555265288888893,29.09200597999998,0.753625,0.7857274999999999,LoadTestSession1,User1,User2,2023-05-12 19:42:50.644000+00:00
25,0.8093846546666668,0.9831179444444437,30.29121376666665,27.114695008888884,0.9873423622222234,0.7584267866666664,29.134686655555534,0.7473750000000001,0.7830474999999999,LoadTestSession1,User1,User2,2023-05-12 19:43:07.644000+00:00
26,0.8093986663333337,0.9831761133333328,30.312247828888886,27.137972371111086,0.9873749644444441,0.7589112333333335,29.16477732666668,0.7502499999999999,0.7862475,LoadTestSession1,User1,User2,2023-05-12 19:43:24.644000+00:00
27,0.8087515891777786,0.9831306488888886,30.292054453333318,27.115347488888883,0.9873264999999996,0.7585372044444447,29.13531667333333,0.738375,0.78502,LoadTestSession1,User1,User2,2023-05-12 19:43:41.644000+00:00
28,0.8097718215333335,0.9831208955555553,30.28788753777776,27.111307762222218,0.9873254244444448,0.7580953799999998,29.129558620000022,0.740375,0.7830600000000001,LoadTestSession1,User1,User2,2023-05-12 19:43:58.644000+00:00
29,0.8088397757777777,0.982575048888888,30.269378919999976,27.101753913333326,0.9869637000000011,0.7579709399999999,29.13212895111111,0.740375,0.78175,LoadTestSession1,User1,User2,2023-05-12 19:44:15.644000+00:00
30,0.8090876039777782,0.9831171511111111,30.291090046666657,27.11631321777779,0.9873336066666664,0.7581812511111109,29.13691875555555,0.73325,0.77149,LoadTestSession1,User1,User2,2023-05-12 19:44:32.644000+00:00
31,0.8093110682666675,0.9831078199999994,30.287639786666688,27.11169713777781,0.987322908888889,0.7582703533333331,29.130162188888857,0.715875,0.77437,LoadTestSession1,User1,User2,2023-05-12 19:44:49.644000+00:00
32,0.8095442151111111,0.9831226955555551,30.290178344444428,27.115107499999997,0.9873252266666658,0.7584036777777782,29.133878735555538,0.75075,0.7809975,LoadTestSession1,User1,User2,2023-05-12 19:45:06.644000+00:00
33,0.8094959584000004,0.9831389933333332,30.28929441333335,27.11460739999998,0.9873272200000008,0.7582960577777778,29.133993986666663,0.7308749999999999,0.7820100000000001,LoadTestSession1,User1,User2,2023-05-12 19:45:23.644000+00:00
0,0.7732379886222226,0.9831304822222214,30.382092493333325,27.235987793333333,0.9866516400000002,0.7347559666666665,29.508513968888895,0.719375,0.7630275,LoadTestSession1,User1,User3,2023-05-12 19:36:02.644000+00:00
1,0.8099862509555549,0.983134002222222,30.288316097777777,27.111266582222193,0.9873370533333337,0.7586283622222223,29.127367884444446,0.6865,0.7652975,LoadTestSession1,User1,User3,2023-05-12 19:36:19.644000+00:00
2,0.806810310755556,0.9825049933333335,30.2464249111111,27.076867815555545,0.9868919999999999,0.755952773333333,29.103555235555557,0.72925,0.7714224999999999,LoadTestSession1,User1,User3,2023-05-12 19:36:36.644000+00:00
3,0.8099878470444452,0.9831728311111116,30.323396580000015,27.149226102222208,0.9873676688888887,0.7587138600000002,29.176382028888884,0.6945,0.7628174999999999,LoadTestSession1,User1,User3,2023-05-12 19:36:53.644000+00:00
4,0.8095177072888893,0.9831097200000011,30.28842384888891,27.11328141333336,0.9873257199999997,0.7582435422222217,29.13292127111113,0.733875,0.7743450000000001,LoadTestSession1,User1,User3,2023-05-12 19:37:10.644000+00:00
5,0.8097497073111103,0.9831427533333329,30.317318904444445,27.14078618444445,0.9873529488888884,0.7583295066666664,29.16501231333334,0.736625,0.7766225,LoadTestSession1,User1,User3,2023-05-12 19:37:27.644000+00:00
6,0.8102131597555559,0.9831467533333339,30.304026764444448,27.127519953333323,0.9873454822222208,0.758582788888889,29.150279335555563,0.719625,0.7735375,LoadTestSession1,User1,User3,2023-05-12 19:37:44.644000+00:00
7,0.8089798180000001,0.9831308777777777,30.289763311111106,27.114022713333338,0.9873299644444444,0.7583836088888893,29.132223940000017,0.7242500000000001,0.77756,LoadTestSession1,User1,User3,2023-05-12 19:38:01.644000+00:00
8,0.8091865524888893,0.9831609844444448,30.33047826666667,27.156111091111125,0.9873764488888892,0.7586904133333332,29.18534442444445,0.74425,0.7801525,LoadTestSession1,User1,User3,2023-05-12 19:38:18.644000+00:00
9,0.8095413563555566,0.9831362199999996,30.291506246666657,27.116016048888884,0.9873321066666662,0.7584022288888891,29.135160446666667,0.7335,0.7802074999999999,LoadTestSession1,User1,User3,2023-05-12 19:38:35.644000+00:00
10,0.8093717127777782,0.9831544666666663,30.31258827777777,27.137305791111096,0.9873462155555548,0.7584193911111105,29.164831653333348,0.754375,0.7761450000000001,LoadTestSession1,User1,User3,2023-05-12 19:38:52.644000+00:00
11,0.8086632917555557,0.9831225844444454,30.290373500000005,27.114132593333302,0.9873320511111111,0.7582944511111114,29.13332150888889,0.7538749999999999,0.7794125000000001,LoadTestSession1,User1,User3,2023-05-12 19:39:09.644000+00:00
12,0.8105353007333327,0.9831933022222217,30.316696639999982,27.13704054666666,0.9874176844444448,0.7605406066666661,29.1533470933333,0.727125,0.7815825000000001,LoadTestSession1,User1,User3,2023-05-12 19:39:26.644000+00:00
13,0.8093837842888884,0.9831234355555559,30.290554713333332,27.114389664444477,0.9873384644444446,0.758318995555555,29.134321124444448,0.7478750000000001,0.7790874999999999,LoadTestSession1,User1,User3,2023-05-12 19:39:43.644000+00:00
14,0.8096495572888891,0.9831391511111114,30.305940382222207,27.131938480000013,0.9873320155555553,0.7580961488888891,29.156334017777784,0.748,0.7786424999999999,LoadTestSession1,User1,User3,2023-05-12 19:40:00.644000+00:00
15,0.8091896425777786,0.9831379244444444,30.30117489111113,27.125732764444447,0.9873334533333331,0.758448784444445,29.147346415555557,0.7481249999999999,0.7754875000000001,LoadTestSession1,User1,User3,2023-05-12 19:40:17.644000+00:00
16,0.8097762425111112,0.983143213333333,30.30114240444447,27.12657119555556,0.9873395999999998,0.7582099088888886,29.14965017333334,0.752875,0.7781549999999999,LoadTestSession1,User1,User3,2023-05-12 19:40:34.644000+00:00
17,0.8098014802888888,0.983167053333333,30.317828999999993,27.143135759999968,0.9873666711111111,0.7585275555555558,29.168451711111075,0.7533749999999999,0.7763325000000001,LoadTestSession1,User1,User3,2023-05-12 19:40:51.644000+00:00
