@timestamp,memory,cpu
2023-05-12 12:10:12.434000+00:00,,0.2229
2023-05-12 12:10:12.542000+00:00,0.2845,
2023-05-12 12:10:12.945000+00:00,0.2841,
2023-05-12 12:10:13.084000+00:00,,0.1799
2023-05-12 12:10:13.103000+00:00,,0.1836
2023-05-12 12:10:13.266000+00:00,,0.1839
2023-05-12 12:10:13.359000+00:00,,0.1925
2023-05-12 12:10:13.651000+00:00,0.2872,0.194
2023-05-12 12:10:13.761000+00:00,,0.1936
2023-05-12 12:10:13.894000+00:00,0.2873,
2023-05-12 12:10:14.132000+00:00,,0.2047
2023-05-12 12:10:14.255000+00:00,,0.2296
2023-05-12 12:10:14.962000+00:00,0.2876,
2023-05-12 12:10:15.164000+00:00,0.2875,
2023-05-12 12:10:15.291000+00:00,,0.2799
2023-05-12 12:10:15.349000+00:00,,0.2297
2023-05-12 12:10:15.357000+00:00,0.2881,
2023-05-12 12:10:15.592000+00:00,0.2875,
2023-05-12 12:10:15.993000+00:00,0.2873,
2023-05-12 12:10:16.469000+00:00,0.2885,
2023-05-12 12:10:16.795000+00:00,0.2881,
2023-05-12 12:10:16.962000+00:00,0.2895,
2023-05-12 12:10:16.966000+00:00,,0.2783
2023-05-12 12:10:17.036000+00:00,0.2889,
2023-05-12 12:10:17.346000+00:00,,0.2436
2023-05-12 12:10:17.434000+00:00,,0.2833
2023-05-12 12:10:17.542000+00:00,0.2874,
2023-05-12 12:10:17.945000+00:00,0.2868,
2023-05-12 12:10:18.084000+00:00,,0.248
2023-05-12 12:10:18.103000+00:00,,0.251
2023-05-12 12:10:18.266000+00:00,,0.2519
2023-05-12 12:10:18.359000+00:00,,0.254
2023-05-12 12:10:18.651000+00:00,0.2873,0.2492
2023-05-12 12:10:18.761000+00:00,,0.2406
2023-05-12 12:10:18.894000+00:00,0.2884,
2023-05-12 12:10:19.132000+00:00,,0.2463
2023-05-12 12:10:19.255000+00:00,,0.2631
2023-05-12 12:10:19.962000+00:00,0.2875,
2023-05-12 12:10:20.164000+00:00,0.2878,
2023-05-12 12:10:20.291000+00:00,,0.267
2023-05-12 12:10:20.349000+00:00,,0.2448
2023-05-12 12:10:20.357000+00:00,0.2879,
2023-05-12 12:10:20.592000+00:00,0.2872,
2023-05-12 12:10:20.993000+00:00,0.2883,
2023-05-12 12:10:21.469000+00:00,0.2882,
2023-05-12 12:10:21.795000+00:00,0.2864,
2023-05-12 12:10:21.962000+00:00,0.2893,
2023-05-12 12:10:21.966000+00:00,,0.287
2023-05-12 12:10:22.036000+00:00,0.289,
2023-05-12 12:10:22.346000+00:00,,0.2659
2023-05-12 12:10:22.434000+00:00,,0.3023
2023-05-12 12:10:22.542000+00:00,0.289,
2023-05-12 12:10:22.945000+00:00,0.2879,
2023-05-12 12:10:23.084000+00:00,,0.2631
2023-05-12 12:10:23.103000+00:00,,0.2696
2023-05-12 12:10:23.266000+00:00,,0.271
2023-05-12 12:10:23.359000+00:00,,0.2691
2023-05-12 12:10:23.651000+00:00,0.2889,0.2693
2023-05-12 12:10:23.761000+00:00,,0.2704
2023-05-12 12:10:23.894000+00:00,0.2883,
2023-05-12 12:10:24.132000+00:00,,0.2754
2023-05-12 12:10:24.255000+00:00,,0.2789
2023-05-12 12:10:24.962000+00:00,0.2883,
2023-05-12 12:10:25.164000+00:00,0.2891,
2023-05-12 12:10:25.291000+00:00,,0.2903
2023-05-12 12:10:25.349000+00:00,,0.27
2023-05-12 12:10:25.357000+00:00,0.2884,
2023-05-12 12:10:25.592000+00:00,0.2871,
2023-05-12 12:10:25.993000+00:00,0.2894,
2023-05-12 12:10:26.469000+00:00,0.2887,
2023-05-12 12:10:26.795000+00:00,0.289,
2023-05-12 12:10:26.962000+00:00,0.2903,
2023-05-12 12:10:26.966000+00:00,,0.2929
2023-05-12 12:10:27.036000+00:00,0.291,
2023-05-12 12:10:27.346000+00:00,,0.2671
2023-05-12 12:10:27.434000+00:00,,0.2953
2023-05-12 12:10:27.542000+00:00,0.2891,
2023-05-12 12:10:27.945000+00:00,0.2887,
2023-05-12 12:10:28.084000+00:00,,0.2653
2023-05-12 12:10:28.103000+00:00,,0.2727
2023-05-12 12:10:28.266000+00:00,,0.2631
2023-05-12 12:10:28.359000+00:00,,0.2671
2023-05-12 12:10:28.651000+00:00,0.2894,0.2626
2023-05-12 12:10:28.761000+00:00,,0.2593
2023-05-12 12:10:28.894000+00:00,0.2891,
2023-05-12 12:10:29.132000+00:00,,0.267
2023-05-12 12:10:29.255000+00:00,,0.2705
2023-05-12 12:10:29.962000+00:00,0.2889,
2023-05-12 12:10:30.164000+00:00,0.2899,
2023-05-12 12:10:30.291000+00:00,,0.2958
2023-05-12 12:10:30.349000+00:00,,0.2652
2023-05-12 12:10:30.357000+00:00,0.2879,
2023-05-12 12:10:30.592000+00:00,0.2887,
2023-05-12 12:10:30.993000+00:00,0.2901,
2023-05-12 12:10:31.469000+00:00,0.2897,
2023-05-12 12:10:31.795000+00:00,0.2885,
2023-05-12 12:10:31.962000+00:00,0.2911,
2023-05-12 12:10:31.966000+00:00,,0.2872
2023-05-12 12:10:32.036000+00:00,0.2923,
2023-05-12 12:10:32.346000+00:00,,0.2647
2023-05-12 12:10:32.434000+00:00,,0.3016
2023-05-12 12:10:32.542000+00:00,0.2905,
2023-05-12 12:10:32.945000+00:00,0.2893,
2023-05-12 12:10:33.084000+00:00,,0.2604
2023-05-12 12:10:33.103000+00:00,,0.2593
2023-05-12 12:10:33.266000+00:00,,0.2612
2023-05-12 12:10:33.359000+00:00,,0.2659
2023-05-12 12:10:33.651000+00:00,0.2897,0.2586
2023-05-12 12:10:33.761000+00:00,,0.2584
2023-05-12 12:10:33.894000+00:00,0.2896,
2023-05-12 12:10:34.132000+00:00,,0.2538
2023-05-12 12:10:34.255000+00:00,,0.2613
2023-05-12 12:10:34.962000+00:00,0.2901,
2023-05-12 12:10:35.164000+00:00,0.2912,
2023-05-12 12:10:35.291000+00:00,,0.2815
2023-05-12 12:10:35.349000+00:00,,0.2589
2023-05-12 12:10:35.357000+00:00,0.291,
2023-05-12 12:10:35.592000+00:00,0.2892,
2023-05-12 12:10:35.993000+00:00,0.2933,
2023-05-12 12:10:36.469000+00:00,0.2903,
2023-05-12 12:10:36.795000+00:00,0.3093,
2023-05-12 12:10:36.962000+00:00,0.3,
2023-05-12 12:10:36.966000+00:00,,0.3243
2023-05-12 12:10:37.036000+00:00,0.3003,
2023-05-12 12:10:37.346000+00:00,,0.323
2023-05-12 12:10:37.434000+00:00,,0.3459
2023-05-12 12:10:37.542000+00:00,0.3105,
2023-05-12 12:10:37.945000+00:00,0.3009,
2023-05-12 12:10:38.084000+00:00,,0.354
2023-05-12 12:10:38.103000+00:00,,0.3586
2023-05-12 12:10:38.266000+00:00,,0.3446
2023-05-12 12:10:38.359000+00:00,,0.3789
2023-05-12 12:10:38.651000+00:00,0.3016,0.4182
2023-05-12 12:10:38.761000+00:00,,0.4013
2023-05-12 12:10:38.894000+00:00,0.3006,
2023-05-12 12:10:39.132000+00:00,,0.382
2023-05-12 12:10:39.255000+00:00,,0.3715
2023-05-12 12:10:39.962000+00:00,0.3035,
2023-05-12 12:10:40.164000+00:00,0.305,
2023-05-12 12:10:40.291000+00:00,,0.5396
2023-05-12 12:10:40.349000+00:00,,0.458
2023-05-12 12:10:40.357000+00:00,0.3048,
2023-05-12 12:10:40.592000+00:00,0.3295,
2023-05-12 12:10:40.993000+00:00,0.3093,
2023-05-12 12:10:41.469000+00:00,0.3331,
2023-05-12 12:10:41.795000+00:00,0.3337,
2023-05-12 12:10:41.962000+00:00,0.3088,
2023-05-12 12:10:41.966000+00:00,,0.5952
2023-05-12 12:10:42.036000+00:00,0.3108,
2023-05-12 12:10:42.346000+00:00,,0.5855
2023-05-12 12:10:42.434000+00:00,,0.7277
2023-05-12 12:10:42.542000+00:00,0.3316,
2023-05-12 12:10:42.945000+00:00,0.3079,
2023-05-12 12:10:43.084000+00:00,,0.6016
2023-05-12 12:10:43.103000+00:00,,0.6132
2023-05-12 12:10:43.266000+00:00,,0.5722
2023-05-12 12:10:43.359000+00:00,,0.6077
2023-05-12 12:10:43.651000+00:00,0.3089,0.743
2023-05-12 12:10:43.761000+00:00,,0.5373
2023-05-12 12:10:43.894000+00:00,0.3113,
2023-05-12 12:10:44.132000+00:00,,0.6279
2023-05-12 12:10:44.255000+00:00,,0.4827
2023-05-12 12:10:44.962000+00:00,0.3286,
2023-05-12 12:10:45.164000+00:00,0.3184,
2023-05-12 12:10:45.291000+00:00,,0.6327
2023-05-12 12:10:45.349000+00:00,,0.5552
2023-05-12 12:10:45.357000+00:00,0.3155,
2023-05-12 12:10:45.592000+00:00,0.3325,
2023-05-12 12:10:45.993000+00:00,0.3192,
2023-05-12 12:10:46.469000+00:00,0.3325,
2023-05-12 12:10:46.795000+00:00,0.3355,
2023-05-12 12:10:46.962000+00:00,0.3319,
2023-05-12 12:10:46.966000+00:00,,0.5041
