@timestamp,memory,cpu
2023-05-12 12:10:20.896000+00:00,0.3091,
2023-05-12 12:10:21.970000+00:00,,0.0023
2023-05-12 12:10:30.896000+00:00,0.3091,
2023-05-12 12:10:31.970000+00:00,,0.002
2023-05-12 12:10:40.896000+00:00,0.3091,
2023-05-12 12:10:41.970000+00:00,,0.0015
2023-05-12 12:10:50.896000+00:00,0.3091,
2023-05-12 12:10:51.970000+00:00,,0.0025
2023-05-12 12:11:00.896000+00:00,0.3091,
2023-05-12 12:11:01.970000+00:00,,0.0048
2023-05-12 12:11:10.896000+00:00,0.3091,
2023-05-12 12:11:11.970000+00:00,,0.0013
2023-05-12 12:11:20.896000+00:00,0.3091,
2023-05-12 12:11:21.970000+00:00,,0.003
2023-05-12 12:11:30.896000+00:00,0.3091,
2023-05-12 12:11:31.970000+00:00,,0.0017
2023-05-12 12:11:40.896000+00:00,0.3091,
2023-05-12 12:11:41.970000+00:00,,0.0015
2023-05-12 12:11:50.896000+00:00,0.3091,
2023-05-12 12:11:51.970000+00:00,,0.0023
2023-05-12 12:12:00.896000+00:00,0.3091,
2023-05-12 12:12:01.970000+00:00,,0.0022
2023-05-12 12:12:10.896000+00:00,0.3091,
2023-05-12 12:12:11.970000+00:00,,0.0017
2023-05-12 12:12:20.896000+00:00,0.3091,
2023-05-12 12:12:21.970000+00:00,,0.0017
2023-05-12 12:12:30.896000+00:00,0.3091,
2023-05-12 12:12:31.970000+00:00,,0.0025
2023-05-12 12:12:40.896000+00:00,0.3091,
2023-05-12 12:12:41.970000+00:00,,0.002
2023-05-12 12:12:50.896000+00:00,0.3091,
2023-05-12 12:12:51.970000+00:00,,0.0022
2023-05-12 12:13:00.896000+00:00,0.3091,
2023-05-12 12:13:01.970000+00:00,,0.0015
2023-05-12 12:13:10.896000+00:00,0.3091,
2023-05-12 12:13:11.970000+00:00,,0.0012
2023-05-12 12:13:20.896000+00:00,0.3091,
2023-05-12 12:13:21.970000+00:00,,0.0025
2023-05-12 12:13:30.896000+00:00,0.3091,
2023-05-12 12:13:31.970000+00:00,,0.0015
2023-05-12 12:13:40.896000+00:00,0.3091,
2023-05-12 12:13:41.970000+00:00,,0.0015
2023-05-12 12:13:50.896000+00:00,0.3091,
2023-05-12 12:13:51.970000+00:00,,0.0023
2023-05-12 12:14:00.896000+00:00,0.3091,
2023-05-12 12:14:01.970000+00:00,,0.0012
2023-05-12 12:14:10.896000+00:00,0.3091,
2023-05-12 12:14:11.970000+00:00,,0.0013
2023-05-12 12:14:20.896000+00:00,0.3091,
2023-05-12 12:14:21.970000+00:00,,0.0027
2023-05-12 12:14:30.896000+00:00,0.3091,
2023-05-12 12:14:31.970000+00:00,,0.0015
2023-05-12 12:14:40.896000+00:00,0.3091,
2023-05-12 12:14:41.970000+00:00,,0.0015
2023-05-12 12:14:50.896000+00:00,0.3091,
2023-05-12 12:14:51.970000+00:00,,0.0037
2023-05-12 12:15:00.896000+00:00,0.3091,
2023-05-12 12:15:01.970000+00:00,,0.002
2023-05-12 12:15:10.896000+00:00,0.3091,
2023-05-12 12:15:11.970000+00:00,,0.0017
2023-05-12 12:15:20.896000+00:00,0.3091,
2023-05-12 12:15:21.970000+00:00,,0.0027
2023-05-12 12:15:30.896000+00:00,0.3091,
2023-05-12 12:15:31.970000+00:00,,0.0015
2023-05-12 12:15:40.896000+00:00,0.3091,
2023-05-12 12:15:41.970000+00:00,,0.0023
2023-05-12 12:15:50.896000+00:00,0.3091,
2023-05-12 12:15:51.970000+00:00,,0.0012
2023-05-12 12:16:00.896000+00:00,0.3091,
2023-05-12 12:16:01.970000+00:00,,0.0037
2023-05-12 12:16:10.896000+00:00,0.3091,
2023-05-12 12:16:11.970000+00:00,,0.0015
2023-05-12 12:16:20.896000+00:00,0.3091,
2023-05-12 12:16:21.970000+00:00,,0.0025
2023-05-12 12:16:30.896000+00:00,0.3091,
2023-05-12 12:16:31.970000+00:00,,0.003
2023-05-12 12:16:40.896000+00:00,0.3091,
2023-05-12 12:16:41.970000+00:00,,0.0015
2023-05-12 12:16:50.896000+00:00,0.3091,
2023-05-12 12:16:51.970000+00:00,,0.0025
2023-05-12 12:17:00.896000+00:00,0.3091,
2023-05-12 12:17:01.970000+00:00,,0.0105
2023-05-12 12:17:10.896000+00:00,0.3091,
2023-05-12 12:17:11.970000+00:00,,0.0015
2023-05-12 12:17:20.896000+00:00,0.3091,
2023-05-12 12:17:21.970000+00:00,,0.002
2023-05-12 12:17:30.896000+00:00,0.3091,
2023-05-12 12:17:31.970000+00:00,,0.0017
2023-05-12 12:17:40.896000+00:00,0.3091,
2023-05-12 12:17:41.970000+00:00,,0.0023
2023-05-12 12:17:50.896000+00:00,0.3091,
2023-05-12 12:17:51.970000+00:00,,0.0133
2023-05-12 12:18:00.896000+00:00,0.3091,
2023-05-12 12:18:01.970000+00:00,,0.0151
2023-05-12 12:18:10.896000+00:00,0.3091,
2023-05-12 12:18:11.970000+00:00,,0.0013
2023-05-12 12:18:20.896000+00:00,0.3091,
2023-05-12 12:18:21.970000+00:00,,0.0024
2023-05-12 12:18:30.896000+00:00,0.3091,
2023-05-12 12:18:31.970000+00:00,,0.0033
2023-05-12 12:18:40.896000+00:00,0.3091,
2023-05-12 12:18:41.970000+00:00,,0.0015
2023-05-12 12:18:50.896000+00:00,0.3091,
2023-05-12 12:18:51.970000+00:00,,0.0022
2023-05-12 12:19:00.896000+00:00,0.3091,
2023-05-12 12:19:01.970000+00:00,,0.002
2023-05-12 12:19:10.896000+00:00,0.3091,
2023-05-12 12:19:11.970000+00:00,,0.0013
2023-05-12 12:19:20.896000+00:00,0.3091,
2023-05-12 12:19:21.970000+00:00,,0.0032
2023-05-12 12:19:30.896000+00:00,0.3091,
2023-05-12 12:19:31.970000+00:00,,0.002
2023-05-12 12:19:40.896000+00:00,0.3091,
2023-05-12 12:19:41.970000+00:00,,0.0017
