@timestamp,cpu,memory
2023-05-12 12:10:17.253000+00:00,0.0195,
2023-05-12 12:10:17.705000+00:00,,0.2536
2023-05-12 12:10:27.253000+00:00,0.0211,
2023-05-12 12:10:27.705000+00:00,,0.254
2023-05-12 12:10:37.253000+00:00,0.0176,
2023-05-12 12:10:37.705000+00:00,,0.2545
2023-05-12 12:10:47.253000+00:00,0.0205,
2023-05-12 12:10:47.705000+00:00,,0.2545
2023-05-12 12:10:57.253000+00:00,0.019,
2023-05-12 12:10:57.705000+00:00,,0.2551
2023-05-12 12:11:07.253000+00:00,0.0198,
2023-05-12 12:11:07.705000+00:00,,0.255
2023-05-12 12:11:17.253000+00:00,0.0183,
2023-05-12 12:11:17.705000+00:00,,0.2536
2023-05-12 12:11:27.253000+00:00,0.0191,
2023-05-12 12:11:27.705000+00:00,,0.253
2023-05-12 12:11:37.253000+00:00,0.0211,
2023-05-12 12:11:37.705000+00:00,,0.2536
2023-05-12 12:11:47.253000+00:00,0.0181,
2023-05-12 12:11:47.705000+00:00,,0.2532
2023-05-12 12:11:57.253000+00:00,0.0203,
2023-05-12 12:11:57.705000+00:00,,0.2534
2023-05-12 12:12:07.253000+00:00,0.0231,
2023-05-12 12:12:07.705000+00:00,,0.2533
2023-05-12 12:12:17.253000+00:00,0.0207,
2023-05-12 12:12:17.705000+00:00,,0.2534
2023-05-12 12:12:27.253000+00:00,0.0211,
2023-05-12 12:12:27.705000+00:00,,0.2542
2023-05-12 12:12:37.253000+00:00,0.0203,
2023-05-12 12:12:37.705000+00:00,,0.254
2023-05-12 12:12:47.253000+00:00,0.0176,
2023-05-12 12:12:47.705000+00:00,,0.2535
2023-05-12 12:12:57.253000+00:00,0.0206,
2023-05-12 12:12:57.705000+00:00,,0.2529
2023-05-12 12:13:07.253000+00:00,0.0194,
2023-05-12 12:13:07.705000+00:00,,0.2527
2023-05-12 12:13:17.253000+00:00,0.0183,
2023-05-12 12:13:17.705000+00:00,,0.2506
2023-05-12 12:13:27.253000+00:00,0.0203,
2023-05-12 12:13:27.705000+00:00,,0.2525
2023-05-12 12:13:37.254000+00:00,0.0199,
2023-05-12 12:13:37.705000+00:00,,0.253
2023-05-12 12:13:47.253000+00:00,0.0148,
2023-05-12 12:13:47.705000+00:00,,0.2526
2023-05-12 12:13:57.253000+00:00,0.0196,
2023-05-12 12:13:57.705000+00:00,,0.2526
2023-05-12 12:14:07.253000+00:00,0.0218,
2023-05-12 12:14:07.705000+00:00,,0.2533
2023-05-12 12:14:17.253000+00:00,0.0198,
2023-05-12 12:14:17.705000+00:00,,0.2534
2023-05-12 12:14:27.253000+00:00,0.0235,
2023-05-12 12:14:27.705000+00:00,,0.2533
2023-05-12 12:14:37.253000+00:00,0.022,
2023-05-12 12:14:37.705000+00:00,,0.2537
2023-05-12 12:14:47.253000+00:00,0.0191,
2023-05-12 12:14:47.705000+00:00,,0.2531
2023-05-12 12:14:57.253000+00:00,0.0188,
2023-05-12 12:14:57.705000+00:00,,0.2532
2023-05-12 12:15:07.253000+00:00,0.0233,
2023-05-12 12:15:07.705000+00:00,,0.2542
2023-05-12 12:15:17.253000+00:00,0.0208,
2023-05-12 12:15:17.705000+00:00,,0.2539
2023-05-12 12:15:27.253000+00:00,0.0222,
2023-05-12 12:15:27.705000+00:00,,0.2536
2023-05-12 12:15:37.253000+00:00,0.0221,
2023-05-12 12:15:37.705000+00:00,,0.2533
2023-05-12 12:15:47.253000+00:00,0.019,
2023-05-12 12:15:47.705000+00:00,,0.253
2023-05-12 12:15:57.253000+00:00,0.0193,
2023-05-12 12:15:57.705000+00:00,,0.2526
2023-05-12 12:16:07.253000+00:00,0.0562,
2023-05-12 12:16:07.705000+00:00,,0.2609
2023-05-12 12:16:17.253000+00:00,0.2565,
2023-05-12 12:16:17.705000+00:00,,0.2873
2023-05-12 12:16:27.253000+00:00,0.0474,
2023-05-12 12:16:27.705000+00:00,,0.2841
2023-05-12 12:16:37.253000+00:00,0.0206,
2023-05-12 12:16:37.705000+00:00,,0.2844
2023-05-12 12:16:47.253000+00:00,0.0193,
2023-05-12 12:16:47.705000+00:00,,0.2841
2023-05-12 12:16:57.253000+00:00,0.0203,
2023-05-12 12:16:57.705000+00:00,,0.2842
2023-05-12 12:17:07.253000+00:00,0.0223,
2023-05-12 12:17:07.705000+00:00,,0.2841
2023-05-12 12:17:17.253000+00:00,0.0201,
2023-05-12 12:17:17.705000+00:00,,0.2845
2023-05-12 12:17:27.253000+00:00,0.0205,
2023-05-12 12:17:27.705000+00:00,,0.2845
2023-05-12 12:17:37.253000+00:00,0.0336,
2023-05-12 12:17:37.705000+00:00,,0.2831
2023-05-12 12:17:47.253000+00:00,0.0203,
2023-05-12 12:17:47.705000+00:00,,0.2826
2023-05-12 12:17:57.253000+00:00,0.022,
2023-05-12 12:17:57.705000+00:00,,0.2827
2023-05-12 12:18:07.253000+00:00,0.0221,
2023-05-12 12:18:07.705000+00:00,,0.2829
2023-05-12 12:18:17.253000+00:00,0.0205,
2023-05-12 12:18:17.705000+00:00,,0.2823
2023-05-12 12:18:27.253000+00:00,0.0196,
2023-05-12 12:18:27.705000+00:00,,0.2823
2023-05-12 12:18:37.253000+00:00,0.0213,
2023-05-12 12:18:37.705000+00:00,,0.2828
2023-05-12 12:18:47.253000+00:00,0.0163,
2023-05-12 12:18:47.705000+00:00,,0.2822
2023-05-12 12:18:57.253000+00:00,0.0186,
2023-05-12 12:18:57.705000+00:00,,0.284
2023-05-12 12:19:07.253000+00:00,0.0209,
2023-05-12 12:19:07.705000+00:00,,0.2837
2023-05-12 12:19:17.253000+00:00,0.02,
2023-05-12 12:19:17.705000+00:00,,0.2836
2023-05-12 12:19:27.253000+00:00,0.0173,
2023-05-12 12:19:27.705000+00:00,,0.2838
2023-05-12 12:19:37.253000+00:00,0.0189,
2023-05-12 12:19:37.705000+00:00,,0.283
