@timestamp,memory,cpu
2023-05-16 04:49:01.311000+00:00,,0.6411
2023-05-16 04:49:01.340000+00:00,,0.5653
2023-05-16 04:49:01.427000+00:00,,0.569
2023-05-16 04:49:01.533000+00:00,,0.5499
2023-05-16 04:49:01.624000+00:00,0.6801,
2023-05-16 04:49:01.877000+00:00,0.6775,
2023-05-16 04:49:01.944000+00:00,0.8068,
2023-05-16 04:49:02.081000+00:00,,0.5697
2023-05-16 04:49:02.082000+00:00,0.676,
2023-05-16 04:49:02.388000+00:00,0.68,
2023-05-16 04:49:02.602000+00:00,0.8006,
2023-05-16 04:49:02.665000+00:00,0.6778,
2023-05-16 04:49:02.776000+00:00,,0.6724
2023-05-16 04:49:02.873000+00:00,0.6773,
2023-05-16 04:49:03.146000+00:00,,0.6556
2023-05-16 04:49:03.319000+00:00,0.6834,
2023-05-16 04:49:03.619000+00:00,0.6811,
2023-05-16 04:49:04.011000+00:00,,0.7747
2023-05-16 04:49:04.019000+00:00,,0.7396
2023-05-16 04:49:04.068000+00:00,,0.876
2023-05-16 04:49:04.402000+00:00,,0.656
2023-05-16 04:49:04.691000+00:00,,0.5915
2023-05-16 04:49:05.277000+00:00,0.6797,
2023-05-16 04:49:05.741000+00:00,0.6819,
2023-05-16 04:49:05.912000+00:00,0.6818,
2023-05-16 04:49:05.979000+00:00,,0.7405
2023-05-16 04:49:06.311000+00:00,,0.801
2023-05-16 04:49:06.340000+00:00,,0.6708
2023-05-16 04:49:06.427000+00:00,,0.743
2023-05-16 04:49:06.533000+00:00,,0.6908
2023-05-16 04:49:06.624000+00:00,0.684,
2023-05-16 04:49:06.877000+00:00,0.6822,
2023-05-16 04:49:06.944000+00:00,0.8096,
2023-05-16 04:49:07.074000+00:00,0.6823,
2023-05-16 04:49:07.081000+00:00,,0.7431
2023-05-16 04:49:07.388000+00:00,0.6837,
2023-05-16 04:49:07.601000+00:00,0.8099,
2023-05-16 04:49:07.665000+00:00,0.6841,
2023-05-16 04:49:07.776000+00:00,,0.7199
2023-05-16 04:49:07.873000+00:00,0.6831,
2023-05-16 04:49:08.146000+00:00,,0.6923
2023-05-16 04:49:08.317000+00:00,0.6868,
2023-05-16 04:49:08.619000+00:00,0.6858,
2023-05-16 04:49:09.011000+00:00,,0.8674
2023-05-16 04:49:09.019000+00:00,,0.7424
2023-05-16 04:49:09.068000+00:00,,0.8036
2023-05-16 04:49:09.402000+00:00,,0.7575
2023-05-16 04:49:09.691000+00:00,,0.6725
2023-05-16 04:49:10.277000+00:00,0.6826,
2023-05-16 04:49:10.741000+00:00,0.6852,
2023-05-16 04:49:10.912000+00:00,0.6844,
2023-05-16 04:49:10.979000+00:00,,0.6759
2023-05-16 04:49:11.311000+00:00,,0.7283
2023-05-16 04:49:11.340000+00:00,,0.7031
2023-05-16 04:49:11.427000+00:00,,0.669
2023-05-16 04:49:11.533000+00:00,,0.7181
