cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.748054696933333,0.9840334711111117,30.72826687777778,27.66638309777776,0.9869620466666658,0.720236913333333,30.386740015555567,0.672375,0.7665550000000001,LoadTestSession1,User1,User2,2023-05-15 17:19:35.495000+00:00
1,0.8095350208444455,0.9831204044444439,30.28895508666665,27.11389942444445,0.987328708888889,0.7582084333333331,29.13236169555558,0.746875,0.781385,LoadTestSession1,User1,User2,2023-05-15 17:19:52.495000+00:00
2,0.8105996408888886,0.9833282155555566,30.453247340000004,27.286023297777792,0.9874726133333331,0.7591696066666663,29.348726111111123,0.67525,0.7616324999999999,LoadTestSession1,User1,User2,2023-05-15 17:20:09.495000+00:00
3,0.8116408696000005,0.9837396622222216,30.589886951111115,27.42834133999998,0.9877494377777776,0.7602180088888887,29.524305533333322,0.71175,0.7726649999999999,LoadTestSession1,User1,User2,2023-05-15 17:20:26.495000+00:00
4,0.8093606997111107,0.9831240044444436,30.291941108888917,27.11641295333335,0.9873269222222224,0.7583067622222227,29.13637684000002,0.7435,0.7859425,LoadTestSession1,User1,User2,2023-05-15 17:20:43.495000+00:00
5,0.8095527199111109,0.9831615999999996,30.31892004000003,27.14504232666667,0.9873426088888895,0.7584144911111104,29.170927075555568,0.701875,0.7686124999999999,LoadTestSession1,User1,User2,2023-05-15 17:21:00.495000+00:00
6,0.8102726940888892,0.983185706666667,30.312413682222257,27.1352875088889,0.9873971488888895,0.7600569622222223,29.153429151111126,0.7530000000000001,0.7705299999999999,LoadTestSession1,User1,User2,2023-05-15 17:21:17.495000+00:00
7,0.8098314246444447,0.9833485955555555,30.321881740000027,27.147193095555558,0.9874285733333329,0.7586657111111109,29.1724176822222,0.746375,0.7804549999999999,LoadTestSession1,User1,User2,2023-05-15 17:21:34.495000+00:00
8,0.8089935123555562,0.9831473977777776,30.30544719777778,27.130757468888902,0.987340086666668,0.7581452777777776,29.155546337777782,0.754,0.7807599999999999,LoadTestSession1,User1,User2,2023-05-15 17:21:51.495000+00:00
9,0.809876590622223,0.983307124444445,30.32186529777778,27.146387433333306,0.9874388555555557,0.7590146955555555,29.170323964444478,0.752375,0.7814075,LoadTestSession1,User1,User2,2023-05-15 17:22:08.495000+00:00
10,0.8095675361333328,0.9831284755555557,30.290306511111112,27.116038199999963,0.9873362266666679,0.7580919777777779,29.136707188888867,0.746875,0.7807725000000001,LoadTestSession1,User1,User2,2023-05-15 17:22:25.495000+00:00
11,0.8095012534,0.9831286822222225,30.29034818222223,27.115580020000017,0.9873420444444441,0.7581236044444442,29.13479102000004,0.744,0.7825575,LoadTestSession1,User1,User2,2023-05-15 17:22:42.495000+00:00
12,0.8095772384888891,0.9831348577777774,30.29016950666665,27.11632112666667,0.9873177933333335,0.7581134266666667,29.13608494444442,0.7382500000000001,0.779625,LoadTestSession1,User1,User2,2023-05-15 17:22:59.495000+00:00
13,0.8092670686444436,0.9831095088888888,30.28933894222223,27.11413486666665,0.9873315955555559,0.7581544888888894,29.133628135555554,0.7375,0.7803800000000001,LoadTestSession1,User1,User2,2023-05-15 17:23:16.495000+00:00
14,0.8092591100666666,0.9831266933333331,30.289309515555555,27.114726762222272,0.9873225511111104,0.7581700355555552,29.132918286666673,0.7441249999999999,0.7850474999999999,LoadTestSession1,User1,User2,2023-05-15 17:23:33.495000+00:00
15,0.8093671975111119,0.9831239777777776,30.29158940444443,27.11689971333334,0.987336931111112,0.7581035177777772,29.137614815555555,0.7517499999999999,0.7812975,LoadTestSession1,User1,User2,2023-05-15 17:23:50.495000+00:00
16,0.8101967355555564,0.9832302266666674,30.31690442666666,27.142739871111136,0.9873860844444443,0.7585670577777772,29.168663848888865,0.75125,0.7795974999999999,LoadTestSession1,User1,User2,2023-05-15 17:24:07.495000+00:00
17,0.8107074002444447,0.9831706533333328,30.313749624444473,27.139735328888882,0.9873716244444455,0.7591162200000001,29.16310237777776,0.74975,0.7800425,LoadTestSession1,User1,User2,2023-05-15 17:24:24.495000+00:00
18,0.8096712801333332,0.9831201311111103,30.287794148888896,27.11340612444443,0.9873188666666675,0.7578879866666665,29.13435726222225,0.74775,0.7859624999999999,LoadTestSession1,User1,User2,2023-05-15 17:24:41.495000+00:00
19,0.8094943480666662,0.983141991111111,30.307111762222203,27.13294414666667,0.9873365399999993,0.7583803311111108,29.157261771111116,0.74875,0.7784275,LoadTestSession1,User1,User2,2023-05-15 17:24:58.495000+00:00
