@timestamp,cpu,memory
2023-05-12 15:59:07.253000+00:00,0.0683,
2023-05-12 15:59:07.705000+00:00,,0.2914
2023-05-12 15:59:17.253000+00:00,0.0627,
2023-05-12 15:59:17.705000+00:00,,0.2888
2023-05-12 15:59:27.253000+00:00,0.0642,
2023-05-12 15:59:27.705000+00:00,,0.2892
2023-05-12 15:59:37.253000+00:00,0.0589,
2023-05-12 15:59:37.705000+00:00,,0.2892
2023-05-12 15:59:47.253000+00:00,0.0652,
2023-05-12 15:59:47.705000+00:00,,0.2891
2023-05-12 15:59:57.253000+00:00,0.0635,
2023-05-12 15:59:57.705000+00:00,,0.2889
2023-05-12 16:00:07.253000+00:00,0.0628,
2023-05-12 16:00:07.705000+00:00,,0.289
2023-05-12 16:00:17.253000+00:00,0.0725,
2023-05-12 16:00:17.705000+00:00,,0.2895
2023-05-12 16:00:27.253000+00:00,0.0615,
2023-05-12 16:00:27.705000+00:00,,0.2894
2023-05-12 16:00:37.253000+00:00,0.0673,
2023-05-12 16:00:37.705000+00:00,,0.2891
2023-05-12 16:00:47.253000+00:00,0.073,
2023-05-12 16:00:47.705000+00:00,,0.2893
2023-05-12 16:00:57.253000+00:00,0.0657,
2023-05-12 16:00:57.705000+00:00,,0.2898
2023-05-12 16:01:07.253000+00:00,0.0885,
2023-05-12 16:01:07.705000+00:00,,0.2896
2023-05-12 16:01:17.253000+00:00,0.0695,
2023-05-12 16:01:17.705000+00:00,,0.2892
2023-05-12 16:01:27.253000+00:00,0.0683,
2023-05-12 16:01:27.705000+00:00,,0.2893
2023-05-12 16:01:37.253000+00:00,0.063,
2023-05-12 16:01:37.705000+00:00,,0.2894
2023-05-12 16:01:47.253000+00:00,0.0634,
2023-05-12 16:01:47.705000+00:00,,0.2898
2023-05-12 16:01:57.253000+00:00,0.0642,
2023-05-12 16:01:57.705000+00:00,,0.2899
2023-05-12 16:02:07.253000+00:00,0.0597,
2023-05-12 16:02:07.705000+00:00,,0.29
2023-05-12 16:02:17.253000+00:00,0.0732,
2023-05-12 16:02:17.705000+00:00,,0.2899
2023-05-12 16:02:27.253000+00:00,0.0612,
2023-05-12 16:02:27.705000+00:00,,0.2898
2023-05-12 16:02:37.253000+00:00,0.0629,
2023-05-12 16:02:37.705000+00:00,,0.2899
2023-05-12 16:02:47.253000+00:00,0.0668,
2023-05-12 16:02:47.705000+00:00,,0.2897
2023-05-12 16:02:57.253000+00:00,0.0593,
2023-05-12 16:02:57.705000+00:00,,0.2896
2023-05-12 16:03:07.253000+00:00,0.0679,
2023-05-12 16:03:07.705000+00:00,,0.2898
2023-05-12 16:03:17.253000+00:00,0.0672,
2023-05-12 16:03:17.705000+00:00,,0.2895
2023-05-12 16:03:27.253000+00:00,0.0613,
2023-05-12 16:03:27.705000+00:00,,0.2895
2023-05-12 16:03:37.253000+00:00,0.0665,
2023-05-12 16:03:37.705000+00:00,,0.2895
2023-05-12 16:03:47.253000+00:00,0.069,
2023-05-12 16:03:47.705000+00:00,,0.2894
2023-05-12 16:03:57.253000+00:00,0.0666,
2023-05-12 16:03:57.705000+00:00,,0.289
2023-05-12 16:04:07.253000+00:00,0.0635,
2023-05-12 16:04:07.705000+00:00,,0.2897
2023-05-12 16:04:17.253000+00:00,0.0716,
2023-05-12 16:04:17.705000+00:00,,0.2897
2023-05-12 16:04:27.253000+00:00,0.0648,
2023-05-12 16:04:27.705000+00:00,,0.2898
2023-05-12 16:04:37.253000+00:00,0.0645,
2023-05-12 16:04:37.705000+00:00,,0.2898
2023-05-12 16:04:47.253000+00:00,0.0734,
2023-05-12 16:04:47.705000+00:00,,0.2897
2023-05-12 16:04:57.253000+00:00,0.0631,
2023-05-12 16:04:57.705000+00:00,,0.2892
2023-05-12 16:05:07.253000+00:00,0.0719,
2023-05-12 16:05:07.705000+00:00,,0.2897
2023-05-12 16:05:17.253000+00:00,0.0669,
2023-05-12 16:05:17.705000+00:00,,0.2899
2023-05-12 16:05:27.253000+00:00,0.062,
2023-05-12 16:05:27.705000+00:00,,0.2898
2023-05-12 16:05:37.253000+00:00,0.0681,
2023-05-12 16:05:37.705000+00:00,,0.289
2023-05-12 16:05:47.253000+00:00,0.065,
2023-05-12 16:05:47.705000+00:00,,0.2905
