@timestamp,memory,cpu
2023-05-12 19:56:00.896000+00:00,0.3581,
2023-05-12 19:56:01.970000+00:00,,0.0015
2023-05-12 19:56:10.896000+00:00,0.3582,
2023-05-12 19:56:11.970000+00:00,,0.0025
2023-05-12 19:56:20.896000+00:00,0.3582,
2023-05-12 19:56:21.970000+00:00,,0.0048
2023-05-12 19:56:30.896000+00:00,0.3582,
2023-05-12 19:56:31.970000+00:00,,0.0015
2023-05-12 19:56:40.896000+00:00,0.3582,
2023-05-12 19:56:41.970000+00:00,,0.0017
2023-05-12 19:56:50.896000+00:00,0.3582,
2023-05-12 19:56:51.970000+00:00,,0.0025
2023-05-12 19:57:00.896000+00:00,0.3582,
2023-05-12 19:57:01.970000+00:00,,0.0017
2023-05-12 19:57:10.896000+00:00,0.3582,
2023-05-12 19:57:11.970000+00:00,,0.0032
2023-05-12 19:57:20.896000+00:00,0.3582,
2023-05-12 19:57:21.970000+00:00,,0.002
2023-05-12 19:57:30.896000+00:00,0.3582,
2023-05-12 19:57:31.970000+00:00,,0.0028
2023-05-12 19:57:40.896000+00:00,0.3582,
2023-05-12 19:57:41.971000+00:00,,0.002
2023-05-12 19:57:50.896000+00:00,0.3582,
2023-05-12 19:57:51.970000+00:00,,0.0015
2023-05-12 19:58:00.896000+00:00,0.3582,
2023-05-12 19:58:01.970000+00:00,,0.0017
2023-05-12 19:58:10.896000+00:00,0.3582,
2023-05-12 19:58:11.970000+00:00,,0.0042
2023-05-12 19:58:20.896000+00:00,0.3582,
2023-05-12 19:58:21.970000+00:00,,0.0025
2023-05-12 19:58:30.896000+00:00,0.3582,
2023-05-12 19:58:31.970000+00:00,,0.0012
2023-05-12 19:58:40.896000+00:00,0.3582,
2023-05-12 19:58:41.970000+00:00,,0.0035
2023-05-12 19:58:50.896000+00:00,0.3582,
2023-05-12 19:58:51.970000+00:00,,0.0028
2023-05-12 19:59:00.896000+00:00,0.3582,
2023-05-12 19:59:01.970000+00:00,,0.0017
2023-05-12 19:59:10.896000+00:00,0.3582,
2023-05-12 19:59:11.970000+00:00,,0.0032
2023-05-12 19:59:20.896000+00:00,0.3582,
2023-05-12 19:59:21.970000+00:00,,0.0015
2023-05-12 19:59:30.896000+00:00,0.3582,
2023-05-12 19:59:31.970000+00:00,,0.0022
2023-05-12 19:59:40.896000+00:00,0.3582,
2023-05-12 19:59:41.970000+00:00,,0.004
2023-05-12 19:59:50.896000+00:00,0.3582,
2023-05-12 19:59:51.970000+00:00,,0.0025
2023-05-12 20:00:00.896000+00:00,0.3582,
2023-05-12 20:00:01.970000+00:00,,0.0015
2023-05-12 20:00:10.896000+00:00,0.3582,
2023-05-12 20:00:11.970000+00:00,,0.0042
2023-05-12 20:00:20.896000+00:00,0.3582,
2023-05-12 20:00:21.970000+00:00,,0.0022
2023-05-12 20:00:30.896000+00:00,0.3583,
2023-05-12 20:00:31.970000+00:00,,0.0012
2023-05-12 20:00:40.896000+00:00,0.3583,
2023-05-12 20:00:41.970000+00:00,,0.0028
2023-05-12 20:00:50.896000+00:00,0.3583,
2023-05-12 20:00:51.970000+00:00,,0.0037
2023-05-12 20:01:00.896000+00:00,0.3583,
2023-05-12 20:01:01.970000+00:00,,0.0022
2023-05-12 20:01:10.896000+00:00,0.3583,
2023-05-12 20:01:11.970000+00:00,,0.0032
2023-05-12 20:01:20.896000+00:00,0.3583,
2023-05-12 20:01:21.970000+00:00,,0.0023
2023-05-12 20:01:30.896000+00:00,0.3583,
2023-05-12 20:01:31.970000+00:00,,0.0015
2023-05-12 20:01:40.896000+00:00,0.3582,
2023-05-12 20:01:41.970000+00:00,,0.003
2023-05-12 20:01:50.896000+00:00,0.3582,
2023-05-12 20:01:51.970000+00:00,,0.0025
2023-05-12 20:02:00.896000+00:00,0.3582,
2023-05-12 20:02:01.970000+00:00,,0.0015
2023-05-12 20:02:10.896000+00:00,0.3582,
2023-05-12 20:02:11.970000+00:00,,0.0047
2023-05-12 20:02:20.896000+00:00,0.3582,
2023-05-12 20:02:21.970000+00:00,,0.001
2023-05-12 20:02:30.896000+00:00,0.3582,
2023-05-12 20:02:31.970000+00:00,,0.0015
2023-05-12 20:02:40.896000+00:00,0.3582,
2023-05-12 20:02:41.970000+00:00,,0.0025
2023-05-12 20:02:50.896000+00:00,0.3582,
2023-05-12 20:02:51.970000+00:00,,0.0015
2023-05-12 20:03:00.896000+00:00,0.3582,
2023-05-12 20:03:01.970000+00:00,,0.0015
2023-05-12 20:03:10.896000+00:00,0.3582,
2023-05-12 20:03:11.970000+00:00,,0.0032
2023-05-12 20:03:20.896000+00:00,0.3582,
