@timestamp,cpu,memory
2023-05-16 05:36:44.214000+00:00,0.5051,
2023-05-16 05:36:44.301000+00:00,0.6087,
2023-05-16 05:36:44.309000+00:00,0.4065,
2023-05-16 05:36:44.387000+00:00,,0.6797
2023-05-16 05:36:44.391000+00:00,0.6004,
2023-05-16 05:36:44.419000+00:00,0.4456,
2023-05-16 05:36:44.451000+00:00,0.4809,
2023-05-16 05:36:44.523000+00:00,,0.6774
2023-05-16 05:36:44.571000+00:00,0.6101,
2023-05-16 05:36:44.576000+00:00,,0.6368
2023-05-16 05:36:44.577000+00:00,,0.6787
2023-05-16 05:36:44.597000+00:00,0.8157,
2023-05-16 05:36:44.603000+00:00,0.5456,
2023-05-16 05:36:44.731000+00:00,,0.6779
2023-05-16 05:36:44.757000+00:00,,0.6778
2023-05-16 05:36:44.788000+00:00,0.4805,
2023-05-16 05:36:44.818000+00:00,,0.5856
2023-05-16 05:36:45.041000+00:00,,0.6791
2023-05-16 05:36:45.233000+00:00,,0.7124
2023-05-16 05:36:45.249000+00:00,,0.6757
2023-05-16 05:36:45.256000+00:00,,0.7032
2023-05-16 05:36:45.263000+00:00,,0.68
2023-05-16 05:36:45.470000+00:00,0.5462,
2023-05-16 05:36:45.471000+00:00,,0.678
2023-05-16 05:36:45.528000+00:00,0.6282,
2023-05-16 05:36:45.775000+00:00,,0.6832
2023-05-16 05:36:45.783000+00:00,0.5367,
2023-05-16 05:36:45.787000+00:00,0.5389,
2023-05-16 05:36:45.802000+00:00,,0.68
2023-05-16 05:36:45.870000+00:00,0.5916,
2023-05-16 05:36:45.917000+00:00,,0.6784
2023-05-16 05:36:45.960000+00:00,,0.6643
2023-05-16 05:36:45.977000+00:00,0.5948,
2023-05-16 05:36:46.135000+00:00,0.5573,
2023-05-16 05:36:46.179000+00:00,,0.6843
2023-05-16 05:36:46.216000+00:00,,0.6817
2023-05-16 05:36:46.259000+00:00,0.7757,
2023-05-16 05:36:46.395000+00:00,,0.6808
2023-05-16 05:36:46.456000+00:00,,0.6822
2023-05-16 05:36:46.471000+00:00,0.5664,
2023-05-16 05:36:46.482000+00:00,0.6674,
2023-05-16 05:36:46.553000+00:00,,0.6784
2023-05-16 05:36:46.635000+00:00,,0.6809
2023-05-16 05:36:46.700000+00:00,0.5862,
2023-05-16 05:36:46.728000+00:00,,0.6809
2023-05-16 05:36:46.741000+00:00,,0.6777
2023-05-16 05:36:46.863000+00:00,0.8308,
2023-05-16 05:36:46.924000+00:00,0.5573,
2023-05-16 05:36:46.940000+00:00,0.6438,
2023-05-16 05:36:47.009000+00:00,,0.6645
2023-05-16 05:36:47.087000+00:00,0.5754,
2023-05-16 05:36:47.168000+00:00,,0.7142
2023-05-16 05:36:47.247000+00:00,,0.6819
2023-05-16 05:36:47.320000+00:00,0.9273,
2023-05-16 05:36:47.328000+00:00,,0.6782
2023-05-16 05:36:47.388000+00:00,,0.7041
2023-05-16 05:36:47.492000+00:00,0.5952,
2023-05-16 05:36:47.510000+00:00,,0.5907
2023-05-16 05:36:47.580000+00:00,,0.6814
2023-05-16 05:36:47.588000+00:00,,0.6784
2023-05-16 05:36:47.730000+00:00,0.7604,
2023-05-16 05:36:47.763000+00:00,0.6108,
2023-05-16 05:36:47.769000+00:00,0.5979,
2023-05-16 05:36:47.792000+00:00,0.7693,
2023-05-16 05:36:47.878000+00:00,,0.5976
2023-05-16 05:36:47.895000+00:00,0.7693,
2023-05-16 05:36:47.946000+00:00,,0.6798
2023-05-16 05:36:48.132000+00:00,,0.6626
2023-05-16 05:36:48.141000+00:00,,0.6801
2023-05-16 05:36:48.249000+00:00,,0.6797
2023-05-16 05:36:48.251000+00:00,,0.6817
2023-05-16 05:36:48.318000+00:00,0.6191,
2023-05-16 05:36:48.444000+00:00,0.6118,
2023-05-16 05:36:48.548000+00:00,,0.6811
2023-05-16 05:36:48.571000+00:00,0.6167,
2023-05-16 05:36:48.636000+00:00,0.621,
2023-05-16 05:36:48.650000+00:00,,0.693
2023-05-16 05:36:48.704000+00:00,0.903,
2023-05-16 05:36:48.798000+00:00,,0.6834
2023-05-16 05:36:48.844000+00:00,0.9033,
2023-05-16 05:36:48.888000+00:00,0.6219,
2023-05-16 05:36:49.003000+00:00,0.6704,
2023-05-16 05:36:49.040000+00:00,0.6745,
2023-05-16 05:36:49.061000+00:00,0.7336,
2023-05-16 05:36:49.138000+00:00,,0.6662
2023-05-16 05:36:49.147000+00:00,0.6527,
2023-05-16 05:36:49.214000+00:00,0.625,
2023-05-16 05:36:49.301000+00:00,0.6897,
2023-05-16 05:36:49.309000+00:00,0.5836,
2023-05-16 05:36:49.387000+00:00,,0.6843
2023-05-16 05:36:49.391000+00:00,0.636,
2023-05-16 05:36:49.419000+00:00,0.6047,
2023-05-16 05:36:49.451000+00:00,0.6222,
2023-05-16 05:36:49.523000+00:00,,0.6808
2023-05-16 05:36:49.571000+00:00,0.6558,
2023-05-16 05:36:49.576000+00:00,,0.6541
2023-05-16 05:36:49.577000+00:00,,0.6817
2023-05-16 05:36:49.597000+00:00,0.9256,
2023-05-16 05:36:49.603000+00:00,0.6426,
2023-05-16 05:36:49.731000+00:00,,0.6797
2023-05-16 05:36:49.757000+00:00,,0.6799
2023-05-16 05:36:49.788000+00:00,0.6194,
2023-05-16 05:36:49.818000+00:00,,0.5861
2023-05-16 05:36:50.041000+00:00,,0.6795
2023-05-16 05:36:50.233000+00:00,,0.724
2023-05-16 05:36:50.249000+00:00,,0.68
2023-05-16 05:36:50.256000+00:00,,0.6846
2023-05-16 05:36:50.263000+00:00,,0.678
2023-05-16 05:36:50.470000+00:00,0.5903,
2023-05-16 05:36:50.471000+00:00,,0.6788
2023-05-16 05:36:50.528000+00:00,0.6863,
2023-05-16 05:36:50.775000+00:00,,0.6824
2023-05-16 05:36:50.783000+00:00,0.5701,
2023-05-16 05:36:50.787000+00:00,0.5837,
2023-05-16 05:36:50.802000+00:00,,0.6829
2023-05-16 05:36:50.870000+00:00,0.6313,
2023-05-16 05:36:50.917000+00:00,,0.6799
2023-05-16 05:36:50.960000+00:00,,0.6743
2023-05-16 05:36:50.977000+00:00,0.597,
2023-05-16 05:36:51.135000+00:00,0.5782,
2023-05-16 05:36:51.176000+00:00,,0.6802
2023-05-16 05:36:51.216000+00:00,,0.6818
2023-05-16 05:36:51.259000+00:00,0.8019,
2023-05-16 05:36:51.394000+00:00,,0.6838
2023-05-16 05:36:51.457000+00:00,,0.681
2023-05-16 05:36:51.471000+00:00,0.5619,
2023-05-16 05:36:51.482000+00:00,0.6858,
2023-05-16 05:36:51.552000+00:00,,0.6808
2023-05-16 05:36:51.635000+00:00,,0.6826
2023-05-16 05:36:51.700000+00:00,0.5764,
2023-05-16 05:36:51.728000+00:00,,0.6828
2023-05-16 05:36:51.741000+00:00,,0.6781
2023-05-16 05:36:51.863000+00:00,0.5811,
2023-05-16 05:36:51.924000+00:00,0.5626,
2023-05-16 05:36:51.942000+00:00,0.6261,
2023-05-16 05:36:52.009000+00:00,,0.6659
2023-05-16 05:36:52.087000+00:00,0.5571,
2023-05-16 05:36:52.168000+00:00,,0.7259
2023-05-16 05:36:52.247000+00:00,,0.6824
2023-05-16 05:36:52.320000+00:00,0.8018,
2023-05-16 05:36:52.328000+00:00,,0.6792
2023-05-16 05:36:52.388000+00:00,,0.6634
2023-05-16 05:36:52.492000+00:00,0.5654,
2023-05-16 05:36:52.510000+00:00,,0.5911
2023-05-16 05:36:52.580000+00:00,,0.6816
2023-05-16 05:36:52.588000+00:00,,0.6792
2023-05-16 05:36:52.730000+00:00,0.6883,
2023-05-16 05:36:52.763000+00:00,0.5618,
2023-05-16 05:36:52.769000+00:00,0.5542,
2023-05-16 05:36:52.792000+00:00,0.7554,
2023-05-16 05:36:52.878000+00:00,,0.597
2023-05-16 05:36:52.895000+00:00,0.8124,
2023-05-16 05:36:52.946000+00:00,,0.6804
2023-05-16 05:36:53.132000+00:00,,0.6668
2023-05-16 05:36:53.141000+00:00,,0.681
2023-05-16 05:36:53.249000+00:00,,0.6803
2023-05-16 05:36:53.251000+00:00,,0.6823
2023-05-16 05:36:53.318000+00:00,0.5579,
2023-05-16 05:36:53.444000+00:00,0.5566,
2023-05-16 05:36:53.548000+00:00,,0.6805
2023-05-16 05:36:53.571000+00:00,0.5569,
2023-05-16 05:36:53.636000+00:00,0.5777,
2023-05-16 05:36:53.650000+00:00,,0.703
2023-05-16 05:36:53.704000+00:00,0.8948,
2023-05-16 05:36:53.798000+00:00,,0.6816
2023-05-16 05:36:53.844000+00:00,0.8453,
2023-05-16 05:36:53.888000+00:00,0.5527,
2023-05-16 05:36:54.003000+00:00,0.5864,
2023-05-16 05:36:54.044000+00:00,0.6788,
2023-05-16 05:36:54.061000+00:00,0.6268,
2023-05-16 05:36:54.138000+00:00,,0.6654
2023-05-16 05:36:54.147000+00:00,0.5454,
2023-05-16 05:36:54.214000+00:00,0.5501,
2023-05-16 05:36:54.301000+00:00,0.6317,
2023-05-16 05:36:54.309000+00:00,0.5244,
2023-05-16 05:36:54.386000+00:00,,0.6829
2023-05-16 05:36:54.391000+00:00,0.6023,
2023-05-16 05:36:54.419000+00:00,0.5538,
2023-05-16 05:36:54.451000+00:00,0.5926,
2023-05-16 05:36:54.523000+00:00,,0.6814
2023-05-16 05:36:54.571000+00:00,0.6246,
2023-05-16 05:36:54.576000+00:00,,0.6662
2023-05-16 05:36:54.577000+00:00,,0.6829
2023-05-16 05:36:54.597000+00:00,0.9081,
2023-05-16 05:36:54.603000+00:00,0.6434,
2023-05-16 05:36:54.731000+00:00,,0.6776
2023-05-16 05:36:54.757000+00:00,,0.6802
2023-05-16 05:36:54.788000+00:00,0.5808,
2023-05-16 05:36:54.818000+00:00,,0.5883
2023-05-16 05:36:55.041000+00:00,,0.681
2023-05-16 05:36:55.233000+00:00,,0.7327
2023-05-16 05:36:55.249000+00:00,,0.6801
2023-05-16 05:36:55.256000+00:00,,0.6683
2023-05-16 05:36:55.263000+00:00,,0.6792
2023-05-16 05:36:55.470000+00:00,0.6051,
2023-05-16 05:36:55.471000+00:00,,0.6789
2023-05-16 05:36:55.528000+00:00,0.7256,
2023-05-16 05:36:55.775000+00:00,,0.6822
2023-05-16 05:36:55.783000+00:00,0.6126,
2023-05-16 05:36:55.787000+00:00,0.613,
2023-05-16 05:36:55.802000+00:00,,0.6828
2023-05-16 05:36:55.870000+00:00,0.6515,
2023-05-16 05:36:55.917000+00:00,,0.6809
2023-05-16 05:36:55.960000+00:00,,0.6967
2023-05-16 05:36:55.977000+00:00,0.6273,
2023-05-16 05:36:56.135000+00:00,0.6291,
2023-05-16 05:36:56.176000+00:00,,0.6818
2023-05-16 05:36:56.216000+00:00,,0.6826
2023-05-16 05:36:56.259000+00:00,0.9217,
2023-05-16 05:36:56.394000+00:00,,0.6828
2023-05-16 05:36:56.456000+00:00,,0.6847
2023-05-16 05:36:56.471000+00:00,0.6268,
2023-05-16 05:36:56.482000+00:00,0.6485,
2023-05-16 05:36:56.553000+00:00,,0.6824
2023-05-16 05:36:56.635000+00:00,,0.6829
2023-05-16 05:36:56.700000+00:00,0.6469,
2023-05-16 05:36:56.728000+00:00,,0.6837
2023-05-16 05:36:56.741000+00:00,,0.678
2023-05-16 05:36:56.863000+00:00,0.6546,
2023-05-16 05:36:56.924000+00:00,0.6395,
2023-05-16 05:36:56.940000+00:00,0.6929,
2023-05-16 05:36:57.009000+00:00,,0.6655
2023-05-16 05:36:57.087000+00:00,0.6509,
2023-05-16 05:36:57.168000+00:00,,0.7351
2023-05-16 05:36:57.247000+00:00,,0.6824
2023-05-16 05:36:57.320000+00:00,0.8567,
2023-05-16 05:36:57.328000+00:00,,0.6812
2023-05-16 05:36:57.388000+00:00,,0.6689
2023-05-16 05:36:57.492000+00:00,0.6494,
2023-05-16 05:36:57.510000+00:00,,0.5922
2023-05-16 05:36:57.580000+00:00,,0.6831
2023-05-16 05:36:57.588000+00:00,,0.681
2023-05-16 05:36:57.730000+00:00,0.6691,
2023-05-16 05:36:57.763000+00:00,0.6512,
2023-05-16 05:36:57.769000+00:00,0.6629,
2023-05-16 05:36:57.792000+00:00,0.905,
2023-05-16 05:36:57.878000+00:00,,0.5979
2023-05-16 05:36:57.895000+00:00,0.8326,
2023-05-16 05:36:57.946000+00:00,,0.6814
2023-05-16 05:36:58.132000+00:00,,0.6714
