@timestamp,cpu,memory
2023-05-16 05:36:46.759000+00:00,0.0477,
2023-05-16 05:36:46.957000+00:00,,0.4024
2023-05-16 05:36:56.759000+00:00,0.0143,
2023-05-16 05:36:56.957000+00:00,,0.4019
2023-05-16 05:37:06.759000+00:00,0.0027,
2023-05-16 05:37:06.957000+00:00,,0.4019
2023-05-16 05:37:16.759000+00:00,0.001,
2023-05-16 05:37:16.957000+00:00,,0.4019
2023-05-16 05:37:26.759000+00:00,0.0012,
2023-05-16 05:37:26.957000+00:00,,0.4019
2023-05-16 05:37:36.759000+00:00,0.002,
2023-05-16 05:37:36.957000+00:00,,0.4019
2023-05-16 05:37:46.759000+00:00,0.0028,
2023-05-16 05:37:46.957000+00:00,,0.4019
2023-05-16 05:37:56.759000+00:00,0.0015,
2023-05-16 05:37:56.957000+00:00,,0.4019
2023-05-16 05:38:06.759000+00:00,0.002,
2023-05-16 05:38:06.957000+00:00,,0.4019
2023-05-16 05:38:16.759000+00:00,0.0017,
2023-05-16 05:38:16.957000+00:00,,0.4019
2023-05-16 05:38:26.759000+00:00,0.0008,
2023-05-16 05:38:26.957000+00:00,,0.4019
2023-05-16 05:38:36.759000+00:00,0.0022,
2023-05-16 05:38:36.957000+00:00,,0.4019
2023-05-16 05:38:46.759000+00:00,0.002,
2023-05-16 05:38:46.957000+00:00,,0.4019
2023-05-16 05:38:56.759000+00:00,0.0027,
2023-05-16 05:38:56.957000+00:00,,0.4019
2023-05-16 05:39:06.759000+00:00,0.008,
2023-05-16 05:39:06.957000+00:00,,0.4014
2023-05-16 05:39:16.759000+00:00,0.0012,
2023-05-16 05:39:16.957000+00:00,,0.4014
2023-05-16 05:39:26.759000+00:00,0.0024,
2023-05-16 05:39:26.957000+00:00,,0.4014
2023-05-16 05:39:36.759000+00:00,0.002,
2023-05-16 05:39:36.957000+00:00,,0.4014
2023-05-16 05:39:46.759000+00:00,0.0017,
2023-05-16 05:39:46.957000+00:00,,0.4014
2023-05-16 05:39:56.759000+00:00,0.0025,
2023-05-16 05:39:56.957000+00:00,,0.4014
2023-05-16 05:40:06.759000+00:00,0.0017,
2023-05-16 05:40:06.957000+00:00,,0.4015
2023-05-16 05:40:16.759000+00:00,0.0015,
2023-05-16 05:40:16.957000+00:00,,0.4015
2023-05-16 05:40:26.759000+00:00,0.0012,
2023-05-16 05:40:26.957000+00:00,,0.4015
2023-05-16 05:40:36.759000+00:00,0.002,
2023-05-16 05:40:36.957000+00:00,,0.4015
2023-05-16 05:40:46.759000+00:00,0.002,
2023-05-16 05:40:46.957000+00:00,,0.4015
2023-05-16 05:40:56.759000+00:00,0.002,
2023-05-16 05:40:56.957000+00:00,,0.4015
2023-05-16 05:41:06.759000+00:00,0.0012,
2023-05-16 05:41:06.957000+00:00,,0.4015
2023-05-16 05:41:16.759000+00:00,0.0017,
2023-05-16 05:41:16.957000+00:00,,0.4015
2023-05-16 05:41:26.759000+00:00,0.0015,
2023-05-16 05:41:26.957000+00:00,,0.4015
2023-05-16 05:41:36.759000+00:00,0.0013,
2023-05-16 05:41:36.957000+00:00,,0.4015
2023-05-16 05:41:46.759000+00:00,0.0022,
2023-05-16 05:41:46.957000+00:00,,0.4015
2023-05-16 05:41:56.759000+00:00,0.002,
2023-05-16 05:41:56.957000+00:00,,0.4015
2023-05-16 05:42:06.759000+00:00,0.0015,
2023-05-16 05:42:06.957000+00:00,,0.4015
2023-05-16 05:42:16.759000+00:00,0.0018,
2023-05-16 05:42:16.957000+00:00,,0.4015
2023-05-16 05:42:26.759000+00:00,0.002,
2023-05-16 05:42:26.957000+00:00,,0.4015
2023-05-16 05:42:36.759000+00:00,0.0017,
2023-05-16 05:42:36.957000+00:00,,0.4015
2023-05-16 05:42:46.759000+00:00,0.0022,
2023-05-16 05:42:46.957000+00:00,,0.4015
2023-05-16 05:42:56.759000+00:00,0.0025,
2023-05-16 05:42:56.957000+00:00,,0.4015
2023-05-16 05:43:06.759000+00:00,0.0022,
2023-05-16 05:43:06.957000+00:00,,0.4015
2023-05-16 05:43:16.759000+00:00,0.0027,
2023-05-16 05:43:16.957000+00:00,,0.4015
2023-05-16 05:43:26.759000+00:00,0.003,
2023-05-16 05:43:26.957000+00:00,,0.4015
2023-05-16 05:43:36.759000+00:00,0.001,
2023-05-16 05:43:36.957000+00:00,,0.4015
2023-05-16 05:43:46.759000+00:00,0.0017,
2023-05-16 05:43:46.957000+00:00,,0.4015
2023-05-16 05:43:56.759000+00:00,0.002,
2023-05-16 05:43:56.957000+00:00,,0.4015
2023-05-16 05:44:06.759000+00:00,0.002,
2023-05-16 05:44:06.957000+00:00,,0.4015
2023-05-16 05:44:16.759000+00:00,0.0013,
2023-05-16 05:44:16.957000+00:00,,0.4015
2023-05-16 05:44:26.759000+00:00,0.0058,
2023-05-16 05:44:26.957000+00:00,,0.4015
2023-05-16 05:44:36.759000+00:00,0.0015,
2023-05-16 05:44:36.957000+00:00,,0.4015
2023-05-16 05:44:46.759000+00:00,0.002,
2023-05-16 05:44:46.957000+00:00,,0.4015
2023-05-16 05:44:56.759000+00:00,0.0015,
2023-05-16 05:44:56.957000+00:00,,0.4015
2023-05-16 05:45:06.759000+00:00,0.0022,
2023-05-16 05:45:06.957000+00:00,,0.4015
2023-05-16 05:45:16.759000+00:00,0.0017,
2023-05-16 05:45:16.957000+00:00,,0.4015
2023-05-16 05:45:26.759000+00:00,0.002,
2023-05-16 05:45:26.957000+00:00,,0.4015
2023-05-16 05:45:36.759000+00:00,0.0025,
