@timestamp,cpu,memory
2023-05-16 05:36:52.483000+00:00,0.0504,
2023-05-16 05:36:53.437000+00:00,,0.2873
2023-05-16 05:37:02.483000+00:00,0.0698,
2023-05-16 05:37:03.437000+00:00,,0.2875
2023-05-16 05:37:12.483000+00:00,0.0641,
2023-05-16 05:37:13.437000+00:00,,0.2877
2023-05-16 05:37:22.483000+00:00,0.0616,
2023-05-16 05:37:23.437000+00:00,,0.2877
2023-05-16 05:37:32.483000+00:00,0.0608,
2023-05-16 05:37:33.437000+00:00,,0.2871
2023-05-16 05:37:42.483000+00:00,0.0637,
2023-05-16 05:37:43.437000+00:00,,0.2875
2023-05-16 05:37:52.483000+00:00,0.0712,
2023-05-16 05:37:53.437000+00:00,,0.2872
2023-05-16 05:38:02.483000+00:00,0.0589,
2023-05-16 05:38:03.437000+00:00,,0.2875
2023-05-16 05:38:12.483000+00:00,0.0576,
2023-05-16 05:38:13.437000+00:00,,0.2875
2023-05-16 05:38:22.483000+00:00,0.0491,
2023-05-16 05:38:23.437000+00:00,,0.2873
2023-05-16 05:38:32.483000+00:00,0.0445,
2023-05-16 05:38:33.437000+00:00,,0.287
2023-05-16 05:38:42.483000+00:00,0.0482,
2023-05-16 05:38:43.437000+00:00,,0.2875
2023-05-16 05:38:52.483000+00:00,0.0491,
2023-05-16 05:38:53.437000+00:00,,0.2875
2023-05-16 05:39:02.483000+00:00,0.0613,
2023-05-16 05:39:03.437000+00:00,,0.2881
2023-05-16 05:39:12.483000+00:00,0.0626,
2023-05-16 05:39:13.437000+00:00,,0.2876
2023-05-16 05:39:22.483000+00:00,0.0651,
2023-05-16 05:39:23.437000+00:00,,0.2875
2023-05-16 05:39:32.483000+00:00,0.0639,
2023-05-16 05:39:33.437000+00:00,,0.287
2023-05-16 05:39:42.483000+00:00,0.0615,
2023-05-16 05:39:43.437000+00:00,,0.2879
2023-05-16 05:39:52.483000+00:00,0.0649,
2023-05-16 05:39:53.437000+00:00,,0.2882
2023-05-16 05:40:02.483000+00:00,0.0548,
2023-05-16 05:40:03.437000+00:00,,0.288
2023-05-16 05:40:12.483000+00:00,0.067,
2023-05-16 05:40:13.437000+00:00,,0.2873
2023-05-16 05:40:22.483000+00:00,0.0588,
2023-05-16 05:40:23.437000+00:00,,0.2873
2023-05-16 05:40:32.483000+00:00,0.0606,
2023-05-16 05:40:33.437000+00:00,,0.2886
2023-05-16 05:40:42.483000+00:00,0.0675,
2023-05-16 05:40:43.437000+00:00,,0.2879
2023-05-16 05:40:52.483000+00:00,0.0648,
2023-05-16 05:40:53.437000+00:00,,0.2869
2023-05-16 05:41:02.483000+00:00,0.072,
2023-05-16 05:41:03.437000+00:00,,0.2873
2023-05-16 05:41:12.483000+00:00,0.0634,
2023-05-16 05:41:13.437000+00:00,,0.2874
2023-05-16 05:41:22.483000+00:00,0.0621,
2023-05-16 05:41:23.437000+00:00,,0.2878
2023-05-16 05:41:32.483000+00:00,0.0609,
2023-05-16 05:41:33.437000+00:00,,0.2875
2023-05-16 05:41:42.483000+00:00,0.0605,
2023-05-16 05:41:43.437000+00:00,,0.2869
2023-05-16 05:41:52.483000+00:00,0.0638,
2023-05-16 05:41:53.437000+00:00,,0.2873
2023-05-16 05:42:02.483000+00:00,0.0539,
2023-05-16 05:42:03.437000+00:00,,0.2876
2023-05-16 05:42:12.483000+00:00,0.0629,
2023-05-16 05:42:13.437000+00:00,,0.2875
2023-05-16 05:42:22.483000+00:00,0.0573,
2023-05-16 05:42:23.437000+00:00,,0.2878
2023-05-16 05:42:32.483000+00:00,0.0599,
2023-05-16 05:42:33.437000+00:00,,0.2875
2023-05-16 05:42:42.483000+00:00,0.0631,
2023-05-16 05:42:43.437000+00:00,,0.2886
2023-05-16 05:42:52.483000+00:00,0.0598,
2023-05-16 05:42:53.437000+00:00,,0.287
2023-05-16 05:43:02.483000+00:00,0.0672,
2023-05-16 05:43:03.437000+00:00,,0.2879
2023-05-16 05:43:12.483000+00:00,0.0643,
2023-05-16 05:43:13.437000+00:00,,0.2881
2023-05-16 05:43:22.483000+00:00,0.0559,
2023-05-16 05:43:23.437000+00:00,,0.2881
2023-05-16 05:43:32.483000+00:00,0.0641,
2023-05-16 05:43:33.437000+00:00,,0.2877
2023-05-16 05:43:42.483000+00:00,0.0622,
2023-05-16 05:43:43.437000+00:00,,0.2882
2023-05-16 05:43:52.483000+00:00,0.0647,
2023-05-16 05:43:53.437000+00:00,,0.2882
2023-05-16 05:44:02.483000+00:00,0.0626,
2023-05-16 05:44:03.437000+00:00,,0.2882
2023-05-16 05:44:12.483000+00:00,0.0624,
2023-05-16 05:44:13.437000+00:00,,0.2883
2023-05-16 05:44:22.483000+00:00,0.0622,
2023-05-16 05:44:23.437000+00:00,,0.2878
2023-05-16 05:44:32.483000+00:00,0.0593,
2023-05-16 05:44:33.437000+00:00,,0.2871
2023-05-16 05:44:42.483000+00:00,0.0675,
2023-05-16 05:44:43.437000+00:00,,0.2876
2023-05-16 05:44:52.483000+00:00,0.0627,
2023-05-16 05:44:53.437000+00:00,,0.2878
2023-05-16 05:45:02.483000+00:00,0.0647,
2023-05-16 05:45:03.437000+00:00,,0.2878
2023-05-16 05:45:12.483000+00:00,0.0619,
2023-05-16 05:45:13.437000+00:00,,0.2876
2023-05-16 05:45:22.483000+00:00,0.0634,
2023-05-16 05:45:23.437000+00:00,,0.2884
2023-05-16 05:45:32.483000+00:00,0.072,
2023-05-16 05:45:33.437000+00:00,,0.2882
2023-05-16 05:45:42.483000+00:00,0.0653,
2023-05-16 05:45:43.437000+00:00,,0.2883
2023-05-16 05:45:52.483000+00:00,0.0635,
2023-05-16 05:45:53.437000+00:00,,0.2881
2023-05-16 05:46:02.483000+00:00,0.0573,
2023-05-16 05:46:03.437000+00:00,,0.2874
2023-05-16 05:46:12.483000+00:00,0.0625,
2023-05-16 05:46:13.437000+00:00,,0.2873
2023-05-16 05:46:22.483000+00:00,0.0642,
