@timestamp,cpu,memory
2023-05-15 17:39:46.759000+00:00,0.0028,
2023-05-15 17:39:46.957000+00:00,,0.3416
2023-05-15 17:39:56.759000+00:00,0.0043,
2023-05-15 17:39:56.957000+00:00,,0.3416
2023-05-15 17:40:06.759000+00:00,0.0025,
2023-05-15 17:40:06.957000+00:00,,0.3416
2023-05-15 17:40:16.759000+00:00,0.0013,
2023-05-15 17:40:16.957000+00:00,,0.3416
2023-05-15 17:40:26.759000+00:00,0.0037,
2023-05-15 17:40:26.957000+00:00,,0.3416
2023-05-15 17:40:36.759000+00:00,0.0022,
2023-05-15 17:40:36.957000+00:00,,0.3416
2023-05-15 17:40:46.759000+00:00,0.0013,
2023-05-15 17:40:46.957000+00:00,,0.3416
2023-05-15 17:40:56.759000+00:00,0.0065,
2023-05-15 17:40:56.957000+00:00,,0.3416
2023-05-15 17:41:06.759000+00:00,0.0025,
2023-05-15 17:41:06.957000+00:00,,0.3416
2023-05-15 17:41:16.759000+00:00,0.0135,
2023-05-15 17:41:16.957000+00:00,,0.3416
2023-05-15 17:41:26.759000+00:00,0.0038,
2023-05-15 17:41:26.957000+00:00,,0.3416
2023-05-15 17:41:36.759000+00:00,0.0022,
2023-05-15 17:41:36.957000+00:00,,0.3416
2023-05-15 17:41:46.759000+00:00,0.0013,
2023-05-15 17:41:46.957000+00:00,,0.3416
2023-05-15 17:41:56.759000+00:00,0.0035,
2023-05-15 17:41:56.957000+00:00,,0.3416
2023-05-15 17:42:06.759000+00:00,0.0025,
2023-05-15 17:42:06.957000+00:00,,0.3416
2023-05-15 17:42:16.759000+00:00,0.0015,
2023-05-15 17:42:16.957000+00:00,,0.3416
2023-05-15 17:42:26.759000+00:00,0.0038,
2023-05-15 17:42:26.957000+00:00,,0.3416
2023-05-15 17:42:36.759000+00:00,0.002,
2023-05-15 17:42:36.957000+00:00,,0.3416
2023-05-15 17:42:46.759000+00:00,0.0013,
2023-05-15 17:42:46.957000+00:00,,0.3416
2023-05-15 17:42:56.759000+00:00,0.0037,
2023-05-15 17:42:56.957000+00:00,,0.3416
2023-05-15 17:43:06.759000+00:00,0.002,
2023-05-15 17:43:06.957000+00:00,,0.3416
2023-05-15 17:43:16.759000+00:00,0.0025,
2023-05-15 17:43:16.957000+00:00,,0.3416
2023-05-15 17:43:26.759000+00:00,0.0033,
2023-05-15 17:43:26.957000+00:00,,0.3416
2023-05-15 17:43:36.759000+00:00,0.0017,
2023-05-15 17:43:36.957000+00:00,,0.3416
2023-05-15 17:43:46.759000+00:00,0.002,
2023-05-15 17:43:46.957000+00:00,,0.3416
2023-05-15 17:43:56.759000+00:00,0.0035,
2023-05-15 17:43:56.957000+00:00,,0.3416
2023-05-15 17:44:06.759000+00:00,0.0017,
2023-05-15 17:44:06.957000+00:00,,0.3416
2023-05-15 17:44:16.759000+00:00,0.0017,
2023-05-15 17:44:16.957000+00:00,,0.3416
2023-05-15 17:44:26.759000+00:00,0.0049,
2023-05-15 17:44:26.957000+00:00,,0.3416
2023-05-15 17:44:36.759000+00:00,0.0033,
2023-05-15 17:44:36.957000+00:00,,0.3416
2023-05-15 17:44:46.759000+00:00,0.0015,
2023-05-15 17:44:46.957000+00:00,,0.3416
2023-05-15 17:44:56.759000+00:00,0.0045,
2023-05-15 17:44:56.957000+00:00,,0.3416
2023-05-15 17:45:06.759000+00:00,0.002,
2023-05-15 17:45:06.957000+00:00,,0.3416
2023-05-15 17:45:16.759000+00:00,0.0033,
2023-05-15 17:45:16.957000+00:00,,0.3416
2023-05-15 17:45:26.759000+00:00,0.0038,
2023-05-15 17:45:26.957000+00:00,,0.3416
2023-05-15 17:45:36.759000+00:00,0.0025,
2023-05-15 17:45:36.957000+00:00,,0.3416
2023-05-15 17:45:46.759000+00:00,0.0017,
2023-05-15 17:45:46.957000+00:00,,0.3416
2023-05-15 17:45:56.759000+00:00,0.0048,
2023-05-15 17:45:56.957000+00:00,,0.3416
2023-05-15 17:46:06.759000+00:00,0.0015,
2023-05-15 17:46:06.957000+00:00,,0.3416
2023-05-15 17:46:16.759000+00:00,0.0023,
2023-05-15 17:46:16.957000+00:00,,0.3416
2023-05-15 17:46:26.759000+00:00,0.0032,
2023-05-15 17:46:26.957000+00:00,,0.3416
2023-05-15 17:46:36.759000+00:00,0.0032,
