@timestamp,cpu,memory
2023-05-15 17:39:42.483000+00:00,0.1368,
2023-05-15 17:39:43.437000+00:00,,0.2913
2023-05-15 17:39:52.483000+00:00,0.0725,
2023-05-15 17:39:53.437000+00:00,,0.2882
2023-05-15 17:40:02.483000+00:00,0.056,
2023-05-15 17:40:03.437000+00:00,,0.2875
2023-05-15 17:40:12.483000+00:00,0.06,
2023-05-15 17:40:13.437000+00:00,,0.2875
2023-05-15 17:40:22.483000+00:00,0.0593,
2023-05-15 17:40:23.437000+00:00,,0.2874
2023-05-15 17:40:32.483000+00:00,0.0653,
2023-05-15 17:40:33.437000+00:00,,0.2873
2023-05-15 17:40:42.483000+00:00,0.0585,
2023-05-15 17:40:43.437000+00:00,,0.2883
2023-05-15 17:40:52.483000+00:00,0.0648,
2023-05-15 17:40:53.437000+00:00,,0.2881
2023-05-15 17:41:02.483000+00:00,0.0757,
2023-05-15 17:41:03.437000+00:00,,0.2882
2023-05-15 17:41:12.483000+00:00,0.0666,
2023-05-15 17:41:13.437000+00:00,,0.2876
2023-05-15 17:41:22.483000+00:00,0.0723,
2023-05-15 17:41:23.437000+00:00,,0.2871
2023-05-15 17:41:32.483000+00:00,0.0651,
2023-05-15 17:41:33.437000+00:00,,0.2874
2023-05-15 17:41:42.483000+00:00,0.0707,
2023-05-15 17:41:43.437000+00:00,,0.2869
2023-05-15 17:41:52.483000+00:00,0.0658,
2023-05-15 17:41:53.437000+00:00,,0.2873
2023-05-15 17:42:02.483000+00:00,0.0608,
2023-05-15 17:42:03.437000+00:00,,0.2873
2023-05-15 17:42:12.483000+00:00,0.0709,
2023-05-15 17:42:13.437000+00:00,,0.2874
2023-05-15 17:42:22.483000+00:00,0.0699,
2023-05-15 17:42:23.437000+00:00,,0.2867
2023-05-15 17:42:32.483000+00:00,0.0713,
2023-05-15 17:42:33.437000+00:00,,0.2864
2023-05-15 17:42:42.483000+00:00,0.068,
2023-05-15 17:42:43.437000+00:00,,0.2863
2023-05-15 17:42:52.483000+00:00,0.0727,
2023-05-15 17:42:53.437000+00:00,,0.2864
2023-05-15 17:43:02.483000+00:00,0.0673,
2023-05-15 17:43:03.437000+00:00,,0.287
2023-05-15 17:43:12.483000+00:00,0.0653,
2023-05-15 17:43:13.437000+00:00,,0.2871
2023-05-15 17:43:22.483000+00:00,0.0756,
2023-05-15 17:43:23.437000+00:00,,0.2882
2023-05-15 17:43:32.483000+00:00,0.0671,
2023-05-15 17:43:33.437000+00:00,,0.2879
2023-05-15 17:43:42.483000+00:00,0.0721,
2023-05-15 17:43:43.437000+00:00,,0.2874
2023-05-15 17:43:52.483000+00:00,0.0756,
2023-05-15 17:43:53.437000+00:00,,0.2881
2023-05-15 17:44:02.483000+00:00,0.0653,
2023-05-15 17:44:03.437000+00:00,,0.2873
2023-05-15 17:44:12.483000+00:00,0.0759,
2023-05-15 17:44:13.437000+00:00,,0.2875
2023-05-15 17:44:22.483000+00:00,0.066,
2023-05-15 17:44:23.437000+00:00,,0.2881
2023-05-15 17:44:32.483000+00:00,0.0705,
2023-05-15 17:44:33.437000+00:00,,0.2869
2023-05-15 17:44:42.483000+00:00,0.0705,
2023-05-15 17:44:43.437000+00:00,,0.2877
2023-05-15 17:44:52.483000+00:00,0.0703,
2023-05-15 17:44:53.437000+00:00,,0.2871
2023-05-15 17:45:02.483000+00:00,0.0684,
2023-05-15 17:45:03.437000+00:00,,0.2876
2023-05-15 17:45:12.483000+00:00,0.0717,
2023-05-15 17:45:13.437000+00:00,,0.2873
2023-05-15 17:45:22.483000+00:00,0.0766,
2023-05-15 17:45:23.437000+00:00,,0.2873
2023-05-15 17:45:32.483000+00:00,0.0687,
2023-05-15 17:45:33.437000+00:00,,0.2869
2023-05-15 17:45:42.483000+00:00,0.0742,
2023-05-15 17:45:43.437000+00:00,,0.2874
2023-05-15 17:45:52.483000+00:00,0.0781,
2023-05-15 17:45:53.437000+00:00,,0.2876
2023-05-15 17:46:02.483000+00:00,0.0657,
2023-05-15 17:46:03.437000+00:00,,0.2873
2023-05-15 17:46:12.483000+00:00,0.0693,
2023-05-15 17:46:13.437000+00:00,,0.2874
2023-05-15 17:46:22.483000+00:00,0.0695,
2023-05-15 17:46:23.437000+00:00,,0.2862
2023-05-15 17:46:32.483000+00:00,0.07,
2023-05-15 17:46:33.437000+00:00,,0.2865
2023-05-15 17:46:42.483000+00:00,0.0682,
2023-05-15 17:46:43.437000+00:00,,0.2872
2023-05-15 17:46:52.483000+00:00,0.0701,
2023-05-15 17:46:53.437000+00:00,,0.287
2023-05-15 17:47:02.483000+00:00,0.0695,
2023-05-15 17:47:03.437000+00:00,,0.287
2023-05-15 17:47:12.483000+00:00,0.069,
2023-05-15 17:47:13.437000+00:00,,0.2867
2023-05-15 17:47:22.483000+00:00,0.0705,
2023-05-15 17:47:23.437000+00:00,,0.2864
2023-05-15 17:47:32.483000+00:00,0.0681,
2023-05-15 17:47:33.437000+00:00,,0.286
2023-05-15 17:47:42.483000+00:00,0.0676,
2023-05-15 17:47:43.437000+00:00,,0.2866
2023-05-15 17:47:52.483000+00:00,0.0752,
2023-05-15 17:47:53.437000+00:00,,0.2867
2023-05-15 17:48:02.483000+00:00,0.0634,
2023-05-15 17:48:03.437000+00:00,,0.2871
2023-05-15 17:48:12.483000+00:00,0.0732,
2023-05-15 17:48:13.437000+00:00,,0.2867
2023-05-15 17:48:22.483000+00:00,0.0665,
2023-05-15 17:48:23.437000+00:00,,0.2874
2023-05-15 17:48:32.483000+00:00,0.0654,
2023-05-15 17:48:33.437000+00:00,,0.287
2023-05-15 17:48:42.483000+00:00,0.0682,
2023-05-15 17:48:43.437000+00:00,,0.2867
2023-05-15 17:48:52.483000+00:00,0.0656,
2023-05-15 17:48:53.437000+00:00,,0.2866
2023-05-15 17:49:02.483000+00:00,0.0711,
2023-05-15 17:49:03.437000+00:00,,0.2872
2023-05-15 17:49:12.483000+00:00,0.0682,
2023-05-15 17:49:13.437000+00:00,,0.287
