@timestamp,cpu,memory
2023-05-12 17:08:07.253000+00:00,0.0065,
2023-05-12 17:08:07.705000+00:00,,0.2897
2023-05-12 17:08:17.253000+00:00,0.0075,
2023-05-12 17:08:17.705000+00:00,,0.2889
2023-05-12 17:08:27.253000+00:00,0.01,
2023-05-12 17:08:27.705000+00:00,,0.2891
2023-05-12 17:08:37.253000+00:00,0.0068,
2023-05-12 17:08:37.705000+00:00,,0.2888
2023-05-12 17:08:47.253000+00:00,0.0065,
2023-05-12 17:08:47.705000+00:00,,0.2895
2023-05-12 17:08:57.253000+00:00,0.006,
2023-05-12 17:08:57.705000+00:00,,0.29
2023-05-12 17:09:07.253000+00:00,0.008,
2023-05-12 17:09:07.705000+00:00,,0.289
2023-05-12 17:09:17.253000+00:00,0.006,
2023-05-12 17:09:17.705000+00:00,,0.2879
2023-05-12 17:09:27.253000+00:00,0.0071,
2023-05-12 17:09:27.705000+00:00,,0.2892
2023-05-12 17:09:37.253000+00:00,0.0062,
2023-05-12 17:09:37.705000+00:00,,0.2891
2023-05-12 17:09:47.253000+00:00,0.0055,
2023-05-12 17:09:47.705000+00:00,,0.2902
2023-05-12 17:09:57.253000+00:00,0.008,
2023-05-12 17:09:57.705000+00:00,,0.2903
2023-05-12 17:10:07.253000+00:00,0.0062,
2023-05-12 17:10:07.705000+00:00,,0.2903
2023-05-12 17:10:17.253000+00:00,0.0062,
2023-05-12 17:10:17.705000+00:00,,0.2891
2023-05-12 17:10:27.253000+00:00,0.0088,
2023-05-12 17:10:27.705000+00:00,,0.2895
2023-05-12 17:10:37.253000+00:00,0.0062,
2023-05-12 17:10:37.705000+00:00,,0.289
2023-05-12 17:10:47.253000+00:00,0.0065,
2023-05-12 17:10:47.705000+00:00,,0.2893
2023-05-12 17:10:57.253000+00:00,0.0077,
2023-05-12 17:10:57.705000+00:00,,0.2898
2023-05-12 17:11:07.253000+00:00,0.0062,
2023-05-12 17:11:07.705000+00:00,,0.2894
2023-05-12 17:11:17.253000+00:00,0.0065,
2023-05-12 17:11:17.705000+00:00,,0.2903
2023-05-12 17:11:27.253000+00:00,0.01,
2023-05-12 17:11:27.705000+00:00,,0.2893
2023-05-12 17:11:37.253000+00:00,0.0065,
2023-05-12 17:11:37.705000+00:00,,0.2885
2023-05-12 17:11:47.253000+00:00,0.0092,
2023-05-12 17:11:47.705000+00:00,,0.2893
2023-05-12 17:11:57.253000+00:00,0.0068,
2023-05-12 17:11:57.705000+00:00,,0.2891
2023-05-12 17:12:07.253000+00:00,0.0053,
2023-05-12 17:12:07.705000+00:00,,0.2892
2023-05-12 17:12:17.253000+00:00,0.0072,
2023-05-12 17:12:17.705000+00:00,,0.2896
2023-05-12 17:12:27.253000+00:00,0.0087,
2023-05-12 17:12:27.705000+00:00,,0.2898
2023-05-12 17:12:37.253000+00:00,0.0085,
2023-05-12 17:12:37.705000+00:00,,0.2902
2023-05-12 17:12:47.253000+00:00,0.0099,
2023-05-12 17:12:47.705000+00:00,,0.2898
2023-05-12 17:12:57.253000+00:00,0.0098,
2023-05-12 17:12:57.705000+00:00,,0.2893
2023-05-12 17:13:07.253000+00:00,0.008,
2023-05-12 17:13:07.705000+00:00,,0.2895
2023-05-12 17:13:17.253000+00:00,0.0075,
2023-05-12 17:13:17.705000+00:00,,0.2898
2023-05-12 17:13:27.253000+00:00,0.009,
2023-05-12 17:13:27.705000+00:00,,0.29
2023-05-12 17:13:37.253000+00:00,0.0065,
2023-05-12 17:13:37.705000+00:00,,0.29
2023-05-12 17:13:47.253000+00:00,0.0067,
2023-05-12 17:13:47.705000+00:00,,0.2901
2023-05-12 17:13:57.253000+00:00,0.0077,
2023-05-12 17:13:57.705000+00:00,,0.289
2023-05-12 17:14:07.253000+00:00,0.007,
2023-05-12 17:14:07.705000+00:00,,0.2896
2023-05-12 17:14:17.253000+00:00,0.0065,
2023-05-12 17:14:17.705000+00:00,,0.29
2023-05-12 17:14:27.253000+00:00,0.0065,
2023-05-12 17:14:27.705000+00:00,,0.2901
2023-05-12 17:14:37.253000+00:00,0.0067,
2023-05-12 17:14:37.705000+00:00,,0.2896
2023-05-12 17:14:47.253000+00:00,0.007,
2023-05-12 17:14:47.705000+00:00,,0.2897
2023-05-12 17:14:57.253000+00:00,0.007,
2023-05-12 17:14:57.705000+00:00,,0.2896
2023-05-12 17:15:07.253000+00:00,0.0087,
2023-05-12 17:15:07.705000+00:00,,0.2894
2023-05-12 17:15:17.253000+00:00,0.0062,
2023-05-12 17:15:17.705000+00:00,,0.2898
2023-05-12 17:15:27.253000+00:00,0.0063,
2023-05-12 17:15:27.705000+00:00,,0.2896
2023-05-12 17:15:37.253000+00:00,0.006,
2023-05-12 17:15:37.705000+00:00,,0.2901
2023-05-12 17:15:47.253000+00:00,0.0065,
2023-05-12 17:15:47.705000+00:00,,0.29
2023-05-12 17:15:57.253000+00:00,0.006,
2023-05-12 17:15:57.705000+00:00,,0.2896
2023-05-12 17:16:07.253000+00:00,0.0067,
2023-05-12 17:16:07.705000+00:00,,0.2899
2023-05-12 17:16:17.253000+00:00,0.0065,
2023-05-12 17:16:17.705000+00:00,,0.2903
2023-05-12 17:16:27.253000+00:00,0.0075,
2023-05-12 17:16:27.705000+00:00,,0.2902
2023-05-12 17:16:37.253000+00:00,0.0075,
2023-05-12 17:16:37.705000+00:00,,0.2897
2023-05-12 17:16:47.253000+00:00,0.0063,
2023-05-12 17:16:47.705000+00:00,,0.2895
2023-05-12 17:16:57.253000+00:00,0.0078,
2023-05-12 17:16:57.705000+00:00,,0.2897
2023-05-12 17:17:07.253000+00:00,0.0078,
2023-05-12 17:17:07.705000+00:00,,0.2905
2023-05-12 17:17:17.253000+00:00,0.0072,
2023-05-12 17:17:17.705000+00:00,,0.29
