@timestamp,cpu,memory
2023-05-12 09:45:11.970000+00:00,0.0024,
2023-05-12 09:45:20.896000+00:00,,0.296
2023-05-12 09:45:21.970000+00:00,0.0025,
2023-05-12 09:45:30.896000+00:00,,0.296
2023-05-12 09:45:31.970000+00:00,0.0023,
2023-05-12 09:45:40.896000+00:00,,0.2961
2023-05-12 09:45:41.970000+00:00,0.0013,
2023-05-12 09:45:50.896000+00:00,,0.2961
2023-05-12 09:45:51.970000+00:00,0.002,
2023-05-12 09:46:00.896000+00:00,,0.2961
2023-05-12 09:46:01.971000+00:00,0.0015,
2023-05-12 09:46:10.896000+00:00,,0.2961
2023-05-12 09:46:11.970000+00:00,0.0055,
2023-05-12 09:46:20.896000+00:00,,0.2961
2023-05-12 09:46:21.970000+00:00,0.0015,
2023-05-12 09:46:30.896000+00:00,,0.2961
2023-05-12 09:46:31.970000+00:00,0.0022,
2023-05-12 09:46:40.896000+00:00,,0.2961
2023-05-12 09:46:41.970000+00:00,0.0025,
2023-05-12 09:46:50.896000+00:00,,0.2961
2023-05-12 09:46:51.970000+00:00,0.0022,
2023-05-12 09:47:00.896000+00:00,,0.2961
2023-05-12 09:47:01.970000+00:00,0.0018,
2023-05-12 09:47:10.896000+00:00,,0.2961
2023-05-12 09:47:11.970000+00:00,0.0042,
2023-05-12 09:47:20.896000+00:00,,0.2961
2023-05-12 09:47:21.971000+00:00,0.0012,
2023-05-12 09:47:30.896000+00:00,,0.2961
2023-05-12 09:47:31.970000+00:00,0.001,
2023-05-12 09:47:40.896000+00:00,,0.2961
2023-05-12 09:47:41.970000+00:00,0.001,
2023-05-12 09:47:50.896000+00:00,,0.2961
2023-05-12 09:47:51.970000+00:00,0.0015,
2023-05-12 09:48:00.896000+00:00,,0.2961
2023-05-12 09:48:01.970000+00:00,0.0045,
2023-05-12 09:48:10.896000+00:00,,0.2961
2023-05-12 09:48:11.970000+00:00,0.0008,
2023-05-12 09:48:20.896000+00:00,,0.2961
2023-05-12 09:48:21.970000+00:00,0.0013,
2023-05-12 09:48:30.896000+00:00,,0.2961
2023-05-12 09:48:31.970000+00:00,0.0015,
2023-05-12 09:48:40.896000+00:00,,0.2961
2023-05-12 09:48:41.970000+00:00,0.0018,
2023-05-12 09:48:50.896000+00:00,,0.2961
2023-05-12 09:48:51.970000+00:00,0.0025,
2023-05-12 09:49:00.896000+00:00,,0.2961
2023-05-12 09:49:01.970000+00:00,0.0012,
2023-05-12 09:49:10.896000+00:00,,0.2961
2023-05-12 09:49:11.970000+00:00,0.0017,
2023-05-12 09:49:20.896000+00:00,,0.2961
2023-05-12 09:49:21.970000+00:00,0.0023,
2023-05-12 09:49:30.896000+00:00,,0.2961
2023-05-12 09:49:31.970000+00:00,0.0013,
2023-05-12 09:49:40.896000+00:00,,0.2961
2023-05-12 09:49:41.970000+00:00,0.002,
2023-05-12 09:49:50.896000+00:00,,0.2961
2023-05-12 09:49:51.970000+00:00,0.0007,
2023-05-12 09:50:00.896000+00:00,,0.2961
2023-05-12 09:50:01.970000+00:00,0.0018,
2023-05-12 09:50:10.896000+00:00,,0.2961
2023-05-12 09:50:11.970000+00:00,0.0017,
2023-05-12 09:50:20.896000+00:00,,0.2961
2023-05-12 09:50:21.970000+00:00,0.002,
