@timestamp,cpu,memory
2023-05-15 18:48:52.483000+00:00,0.0082,
2023-05-15 18:48:53.437000+00:00,,0.2889
2023-05-15 18:49:02.483000+00:00,0.0065,
2023-05-15 18:49:03.437000+00:00,,0.2889
2023-05-15 18:49:12.483000+00:00,0.007,
2023-05-15 18:49:13.437000+00:00,,0.2888
2023-05-15 18:49:22.483000+00:00,0.008,
2023-05-15 18:49:23.437000+00:00,,0.2886
2023-05-15 18:49:32.483000+00:00,0.0085,
2023-05-15 18:49:33.437000+00:00,,0.2886
2023-05-15 18:49:42.483000+00:00,0.0065,
2023-05-15 18:49:43.437000+00:00,,0.2889
2023-05-15 18:49:52.483000+00:00,0.0072,
2023-05-15 18:49:53.437000+00:00,,0.2881
2023-05-15 18:50:02.483000+00:00,0.0072,
2023-05-15 18:50:03.437000+00:00,,0.2886
2023-05-15 18:50:12.483000+00:00,0.0055,
2023-05-15 18:50:13.437000+00:00,,0.2892
2023-05-15 18:50:22.483000+00:00,0.0067,
2023-05-15 18:50:23.437000+00:00,,0.2881
2023-05-15 18:50:32.483000+00:00,0.0057,
2023-05-15 18:50:33.437000+00:00,,0.2873
2023-05-15 18:50:42.483000+00:00,0.0075,
2023-05-15 18:50:43.437000+00:00,,0.2878
2023-05-15 18:50:52.483000+00:00,0.0078,
2023-05-15 18:50:53.437000+00:00,,0.2882
2023-05-15 18:51:02.483000+00:00,0.0072,
2023-05-15 18:51:03.437000+00:00,,0.2887
2023-05-15 18:51:12.483000+00:00,0.0057,
2023-05-15 18:51:13.437000+00:00,,0.2888
2023-05-15 18:51:22.483000+00:00,0.0095,
2023-05-15 18:51:23.437000+00:00,,0.2883
2023-05-15 18:51:32.483000+00:00,0.007,
2023-05-15 18:51:33.437000+00:00,,0.2881
2023-05-15 18:51:42.483000+00:00,0.0065,
2023-05-15 18:51:43.437000+00:00,,0.2887
2023-05-15 18:51:52.483000+00:00,0.0077,
2023-05-15 18:51:53.437000+00:00,,0.2878
2023-05-15 18:52:02.483000+00:00,0.007,
2023-05-15 18:52:03.437000+00:00,,0.2881
2023-05-15 18:52:12.483000+00:00,0.0077,
2023-05-15 18:52:13.437000+00:00,,0.2882
2023-05-15 18:52:22.483000+00:00,0.0068,
2023-05-15 18:52:23.437000+00:00,,0.2883
2023-05-15 18:52:32.483000+00:00,0.0065,
2023-05-15 18:52:33.437000+00:00,,0.2885
2023-05-15 18:52:42.483000+00:00,0.005,
2023-05-15 18:52:43.437000+00:00,,0.2884
2023-05-15 18:52:52.483000+00:00,0.0073,
2023-05-15 18:52:53.437000+00:00,,0.2878
2023-05-15 18:53:02.483000+00:00,0.0078,
2023-05-15 18:53:03.437000+00:00,,0.288
2023-05-15 18:53:12.483000+00:00,0.006,
2023-05-15 18:53:13.437000+00:00,,0.2872
2023-05-15 18:53:22.483000+00:00,0.0102,
2023-05-15 18:53:23.437000+00:00,,0.2876
2023-05-15 18:53:32.483000+00:00,0.0068,
2023-05-15 18:53:33.437000+00:00,,0.2882
2023-05-15 18:53:42.483000+00:00,0.0067,
2023-05-15 18:53:43.437000+00:00,,0.2883
2023-05-15 18:53:52.483000+00:00,0.0093,
2023-05-15 18:53:53.437000+00:00,,0.2886
2023-05-15 18:54:02.483000+00:00,0.0062,
2023-05-15 18:54:03.437000+00:00,,0.289
2023-05-15 18:54:12.483000+00:00,0.0078,
2023-05-15 18:54:13.437000+00:00,,0.2887
2023-05-15 18:54:22.483000+00:00,0.0072,
2023-05-15 18:54:23.437000+00:00,,0.2871
2023-05-15 18:54:32.483000+00:00,0.0067,
2023-05-15 18:54:33.437000+00:00,,0.288
2023-05-15 18:54:42.483000+00:00,0.0067,
2023-05-15 18:54:43.437000+00:00,,0.2876
2023-05-15 18:54:52.483000+00:00,0.0083,
2023-05-15 18:54:53.437000+00:00,,0.2883
2023-05-15 18:55:02.483000+00:00,0.0078,
2023-05-15 18:55:03.437000+00:00,,0.2883
2023-05-15 18:55:12.483000+00:00,0.0067,
2023-05-15 18:55:13.437000+00:00,,0.2886
2023-05-15 18:55:22.483000+00:00,0.0075,
2023-05-15 18:55:23.437000+00:00,,0.2888
2023-05-15 18:55:32.483000+00:00,0.0087,
2023-05-15 18:55:33.437000+00:00,,0.2884
2023-05-15 18:55:42.483000+00:00,0.0078,
2023-05-15 18:55:43.437000+00:00,,0.2888
2023-05-15 18:55:52.483000+00:00,0.0082,
2023-05-15 18:55:53.437000+00:00,,0.2886
2023-05-15 18:56:02.483000+00:00,0.007,
2023-05-15 18:56:03.437000+00:00,,0.2885
2023-05-15 18:56:12.483000+00:00,0.007,
2023-05-15 18:56:13.437000+00:00,,0.2883
2023-05-15 18:56:22.483000+00:00,0.0065,
2023-05-15 18:56:23.437000+00:00,,0.2881
2023-05-15 18:56:32.483000+00:00,0.008,
