@timestamp,memory,cpu
2023-05-16 00:41:55.089000+00:00,0.8076,
2023-05-16 00:41:55.587000+00:00,,0.664
2023-05-16 00:41:55.914000+00:00,0.759,
2023-05-16 00:41:56.686000+00:00,,0.6544
2023-05-16 00:41:56.899000+00:00,,0.6322
2023-05-16 00:41:59.051000+00:00,0.6875,
2023-05-16 00:42:00.089000+00:00,0.8124,
2023-05-16 00:42:00.587000+00:00,,0.7578
2023-05-16 00:42:00.914000+00:00,0.7625,
2023-05-16 00:42:01.686000+00:00,,0.6876
2023-05-16 00:42:01.899000+00:00,,0.6857
2023-05-16 00:42:04.052000+00:00,0.6896,
2023-05-16 00:42:05.089000+00:00,0.8116,
2023-05-16 00:42:05.587000+00:00,,0.8279
2023-05-16 00:42:05.914000+00:00,0.763,
2023-05-16 00:42:06.686000+00:00,,0.8529
2023-05-16 00:42:06.899000+00:00,,0.7237
2023-05-16 00:42:09.051000+00:00,0.6921,
2023-05-16 00:42:10.089000+00:00,0.8139,
2023-05-16 00:42:10.587000+00:00,,0.8315
2023-05-16 00:42:10.914000+00:00,0.7647,
2023-05-16 00:42:11.686000+00:00,,0.7645
2023-05-16 00:42:11.899000+00:00,,0.7492
2023-05-16 00:42:14.051000+00:00,0.6913,
2023-05-16 00:42:15.089000+00:00,0.8143,
2023-05-16 00:42:15.587000+00:00,,0.7863
2023-05-16 00:42:15.914000+00:00,0.7643,
2023-05-16 00:42:16.686000+00:00,,0.7316
2023-05-16 00:42:16.899000+00:00,,0.7102
2023-05-16 00:42:19.051000+00:00,0.6915,
2023-05-16 00:42:20.089000+00:00,0.8154,
2023-05-16 00:42:20.587000+00:00,,0.7073
2023-05-16 00:42:20.914000+00:00,0.7654,
2023-05-16 00:42:21.686000+00:00,,0.7284
2023-05-16 00:42:21.899000+00:00,,0.7023
2023-05-16 00:42:24.051000+00:00,0.6932,
2023-05-16 00:42:25.089000+00:00,0.8165,
2023-05-16 00:42:25.587000+00:00,,0.7371
2023-05-16 00:42:25.914000+00:00,0.7678,
2023-05-16 00:42:26.686000+00:00,,0.7531
2023-05-16 00:42:26.899000+00:00,,0.7622
2023-05-16 00:42:29.051000+00:00,0.6942,
2023-05-16 00:42:30.089000+00:00,0.8223,
2023-05-16 00:42:30.587000+00:00,,0.8431
2023-05-16 00:42:30.914000+00:00,0.7711,
2023-05-16 00:42:31.686000+00:00,,0.8839
2023-05-16 00:42:31.899000+00:00,,0.869
2023-05-16 00:42:34.051000+00:00,0.7096,
2023-05-16 00:42:35.089000+00:00,0.832,
2023-05-16 00:42:35.587000+00:00,,0.919
2023-05-16 00:42:35.914000+00:00,0.7812,
2023-05-16 00:42:36.686000+00:00,,0.9484
2023-05-16 00:42:36.899000+00:00,,0.9107
2023-05-16 00:42:39.051000+00:00,0.7159,
2023-05-16 00:42:40.089000+00:00,0.8393,
2023-05-16 00:42:40.587000+00:00,,0.9636
2023-05-16 00:42:40.914000+00:00,0.7918,
2023-05-16 00:42:41.686000+00:00,,0.9849
2023-05-16 00:42:41.899000+00:00,,0.979
2023-05-16 00:42:44.051000+00:00,0.7243,
2023-05-16 00:42:45.089000+00:00,0.8461,
2023-05-16 00:42:45.587000+00:00,,0.9677
2023-05-16 00:42:45.914000+00:00,0.796,
2023-05-16 00:42:46.686000+00:00,,0.9688
2023-05-16 00:42:46.899000+00:00,,0.9738
2023-05-16 00:42:49.051000+00:00,0.7323,
2023-05-16 00:42:50.089000+00:00,0.8498,
2023-05-16 00:42:50.587000+00:00,,0.9045
2023-05-16 00:42:50.914000+00:00,0.8043,
2023-05-16 00:42:51.686000+00:00,,0.9141
2023-05-16 00:42:51.899000+00:00,,0.7812
2023-05-16 00:42:54.051000+00:00,0.7197,
2023-05-16 00:42:55.089000+00:00,0.8381,
2023-05-16 00:42:55.587000+00:00,,0.6861
2023-05-16 00:42:55.914000+00:00,0.7931,
2023-05-16 00:42:56.686000+00:00,,0.7159
2023-05-16 00:42:56.899000+00:00,,0.6609
2023-05-16 00:42:59.051000+00:00,0.7149,
2023-05-16 00:43:00.089000+00:00,0.835,
2023-05-16 00:43:00.587000+00:00,,0.6779
2023-05-16 00:43:00.914000+00:00,0.7876,
2023-05-16 00:43:01.686000+00:00,,0.7011
2023-05-16 00:43:01.899000+00:00,,0.6697
2023-05-16 00:43:04.051000+00:00,0.722,
2023-05-16 00:43:05.089000+00:00,0.834,
2023-05-16 00:43:05.587000+00:00,,0.8483
2023-05-16 00:43:05.914000+00:00,0.788,
2023-05-16 00:43:06.686000+00:00,,0.8126
2023-05-16 00:43:06.899000+00:00,,0.657
2023-05-16 00:43:09.051000+00:00,0.7702,
2023-05-16 00:43:10.089000+00:00,0.8346,
2023-05-16 00:43:10.587000+00:00,,0.9808
2023-05-16 00:43:10.914000+00:00,0.7874,
2023-05-16 00:43:11.686000+00:00,,0.6328
2023-05-16 00:43:11.899000+00:00,,0.6046
2023-05-16 00:43:14.051000+00:00,0.7904,
2023-05-16 00:43:15.089000+00:00,0.8361,
2023-05-16 00:43:15.587000+00:00,,0.8914
2023-05-16 00:43:15.914000+00:00,0.7872,
2023-05-16 00:43:16.686000+00:00,,0.6744
2023-05-16 00:43:16.899000+00:00,,0.6428
2023-05-16 00:43:19.051000+00:00,0.803,
2023-05-16 00:43:20.089000+00:00,0.8364,
2023-05-16 00:43:20.587000+00:00,,0.9646
2023-05-16 00:43:20.914000+00:00,0.7899,
2023-05-16 00:43:21.686000+00:00,,0.6388
2023-05-16 00:43:21.899000+00:00,,0.6243
2023-05-16 00:43:24.051000+00:00,0.8096,
2023-05-16 00:43:25.089000+00:00,0.8377,
2023-05-16 00:43:25.587000+00:00,,0.997
2023-05-16 00:43:25.914000+00:00,0.7905,
2023-05-16 00:43:26.686000+00:00,,0.553
2023-05-16 00:43:26.899000+00:00,,0.5396
2023-05-16 00:43:29.051000+00:00,0.802,
2023-05-16 00:43:30.089000+00:00,0.8384,
2023-05-16 00:43:30.587000+00:00,,0.9687
2023-05-16 00:43:30.914000+00:00,0.7884,
2023-05-16 00:43:31.686000+00:00,,0.6351
2023-05-16 00:43:31.899000+00:00,,0.622
2023-05-16 00:43:34.051000+00:00,0.8065,
2023-05-16 00:43:35.089000+00:00,0.8369,
2023-05-16 00:43:35.587000+00:00,,0.8196
2023-05-16 00:43:35.914000+00:00,0.7904,
2023-05-16 00:43:36.686000+00:00,,0.7204
2023-05-16 00:43:36.899000+00:00,,0.7065
2023-05-16 00:43:39.051000+00:00,0.8086,
2023-05-16 00:43:40.089000+00:00,0.8404,
2023-05-16 00:43:40.587000+00:00,,0.7028
2023-05-16 00:43:40.914000+00:00,0.7935,
2023-05-16 00:43:41.686000+00:00,,0.6231
2023-05-16 00:43:41.899000+00:00,,0.6004
2023-05-16 00:43:44.051000+00:00,0.8099,
2023-05-16 00:43:45.089000+00:00,0.8427,
2023-05-16 00:43:45.587000+00:00,,0.6102
2023-05-16 00:43:45.914000+00:00,0.7928,
2023-05-16 00:43:46.686000+00:00,,0.5937
2023-05-16 00:43:46.899000+00:00,,0.58
2023-05-16 00:43:49.051000+00:00,0.8111,
2023-05-16 00:43:50.089000+00:00,0.842,
2023-05-16 00:43:50.587000+00:00,,0.6872
2023-05-16 00:43:50.914000+00:00,0.7954,
2023-05-16 00:43:51.687000+00:00,,0.7821
2023-05-16 00:43:51.899000+00:00,,0.6913
2023-05-16 00:43:54.051000+00:00,0.8076,
2023-05-16 00:43:55.089000+00:00,0.8433,
2023-05-16 00:43:55.587000+00:00,,0.6971
2023-05-16 00:43:55.914000+00:00,0.7943,
2023-05-16 00:43:56.686000+00:00,,0.7226
2023-05-16 00:43:56.899000+00:00,,0.6925
2023-05-16 00:43:59.051000+00:00,0.8134,
2023-05-16 00:44:00.089000+00:00,0.8443,
