@timestamp,cpu,memory
2023-05-15 12:42:40.969000+00:00,0.784,
2023-05-15 12:42:41.360000+00:00,0.7007,
2023-05-15 12:42:41.563000+00:00,,0.612
2023-05-15 12:42:41.672000+00:00,,0.6103
2023-05-15 12:42:42.968000+00:00,,0.6111
2023-05-15 12:42:44.951000+00:00,0.7445,
2023-05-15 12:42:45.969000+00:00,0.7267,
2023-05-15 12:42:46.360000+00:00,0.7173,
2023-05-15 12:42:46.563000+00:00,,0.6127
2023-05-15 12:42:46.672000+00:00,,0.6109
2023-05-15 12:42:47.968000+00:00,,0.6098
2023-05-15 12:42:49.951000+00:00,0.818,
2023-05-15 12:42:50.969000+00:00,0.8038,
2023-05-15 12:42:51.360000+00:00,0.7928,
2023-05-15 12:42:51.563000+00:00,,0.6135
2023-05-15 12:42:51.672000+00:00,,0.6104
2023-05-15 12:42:52.968000+00:00,,0.6107
2023-05-15 12:42:54.951000+00:00,0.8081,
2023-05-15 12:42:55.969000+00:00,0.8118,
2023-05-15 12:42:56.360000+00:00,0.7856,
2023-05-15 12:42:56.563000+00:00,,0.614
2023-05-15 12:42:56.672000+00:00,,0.6127
2023-05-15 12:42:57.968000+00:00,,0.6111
2023-05-15 12:42:59.951000+00:00,0.7925,
2023-05-15 12:43:00.969000+00:00,0.8272,
2023-05-15 12:43:01.360000+00:00,0.7925,
2023-05-15 12:43:01.567000+00:00,,0.6171
2023-05-15 12:43:01.676000+00:00,,0.6157
2023-05-15 12:43:02.968000+00:00,,0.6119
2023-05-15 12:43:04.951000+00:00,0.7295,
2023-05-15 12:43:05.969000+00:00,0.8479,
2023-05-15 12:43:06.360000+00:00,0.8113,
2023-05-15 12:43:06.563000+00:00,,0.6164
2023-05-15 12:43:06.672000+00:00,,0.613
2023-05-15 12:43:07.968000+00:00,,0.6142
2023-05-15 12:43:09.951000+00:00,0.8152,
2023-05-15 12:43:10.969000+00:00,0.7922,
2023-05-15 12:43:11.360000+00:00,0.7765,
2023-05-15 12:43:11.563000+00:00,,0.619
2023-05-15 12:43:11.672000+00:00,,0.6163
2023-05-15 12:43:12.968000+00:00,,0.6161
2023-05-15 12:43:14.951000+00:00,0.8782,
2023-05-15 12:43:15.969000+00:00,0.9182,
2023-05-15 12:43:16.360000+00:00,0.8883,
2023-05-15 12:43:16.563000+00:00,,0.6253
2023-05-15 12:43:16.672000+00:00,,0.6246
2023-05-15 12:43:17.968000+00:00,,0.626
2023-05-15 12:43:19.951000+00:00,0.9538,
2023-05-15 12:43:20.969000+00:00,0.9578,
2023-05-15 12:43:21.360000+00:00,0.9245,
2023-05-15 12:43:21.563000+00:00,,0.6366
2023-05-15 12:43:21.672000+00:00,,0.6336
2023-05-15 12:43:22.968000+00:00,,0.6386
