@timestamp,memory,cpu
2023-05-12 10:01:00.994000+00:00,0.2894,
2023-05-12 10:01:02.098000+00:00,,0.4017
2023-05-12 10:01:02.763000+00:00,,0.4079
2023-05-12 10:01:03.526000+00:00,,0.4403
2023-05-12 10:01:03.615000+00:00,0.2937,
2023-05-12 10:01:04.031000+00:00,,0.4526
2023-05-12 10:01:04.309000+00:00,0.2942,
2023-05-12 10:01:04.400000+00:00,0.2958,
2023-05-12 10:01:04.543000+00:00,0.2959,
2023-05-12 10:01:05.398000+00:00,,0.4751
2023-05-12 10:01:05.994000+00:00,0.2943,
2023-05-12 10:01:07.098000+00:00,,0.4869
2023-05-12 10:01:07.763000+00:00,,0.4801
2023-05-12 10:01:08.526000+00:00,,0.4536
2023-05-12 10:01:08.615000+00:00,0.2956,
2023-05-12 10:01:09.031000+00:00,,0.4493
2023-05-12 10:01:09.309000+00:00,0.2959,
2023-05-12 10:01:09.400000+00:00,0.2964,
2023-05-12 10:01:09.543000+00:00,0.2951,
2023-05-12 10:01:10.398000+00:00,,0.4415
2023-05-12 10:01:10.994000+00:00,0.2951,
2023-05-12 10:01:12.098000+00:00,,0.4428
2023-05-12 10:01:12.763000+00:00,,0.4526
2023-05-12 10:01:13.526000+00:00,,0.4503
2023-05-12 10:01:13.615000+00:00,0.296,
2023-05-12 10:01:14.031000+00:00,,0.4741
2023-05-12 10:01:14.309000+00:00,0.2962,
2023-05-12 10:01:14.400000+00:00,0.2974,
2023-05-12 10:01:14.543000+00:00,0.2963,
2023-05-12 10:01:15.398000+00:00,,0.4844
2023-05-12 10:01:15.994000+00:00,0.2961,
2023-05-12 10:01:17.098000+00:00,,0.4936
2023-05-12 10:01:17.763000+00:00,,0.499
2023-05-12 10:01:18.526000+00:00,,0.4883
2023-05-12 10:01:18.615000+00:00,0.2984,
2023-05-12 10:01:19.031000+00:00,,0.4859
2023-05-12 10:01:19.309000+00:00,0.297,
2023-05-12 10:01:19.400000+00:00,0.2993,
2023-05-12 10:01:19.543000+00:00,0.2971,
2023-05-12 10:01:20.398000+00:00,,0.4855
2023-05-12 10:01:20.994000+00:00,0.2968,
2023-05-12 10:01:22.098000+00:00,,0.4834
2023-05-12 10:01:22.763000+00:00,,0.4927
2023-05-12 10:01:23.526000+00:00,,0.478
2023-05-12 10:01:23.615000+00:00,0.2987,
2023-05-12 10:01:24.031000+00:00,,0.4709
2023-05-12 10:01:24.309000+00:00,0.2982,
2023-05-12 10:01:24.400000+00:00,0.299,
2023-05-12 10:01:24.543000+00:00,0.2979,
2023-05-12 10:01:25.398000+00:00,,0.4512
2023-05-12 10:01:25.994000+00:00,0.2978,
2023-05-12 10:01:27.098000+00:00,,0.4557
2023-05-12 10:01:27.763000+00:00,,0.4372
2023-05-12 10:01:28.526000+00:00,,0.4375
2023-05-12 10:01:28.615000+00:00,0.2999,
2023-05-12 10:01:29.031000+00:00,,0.4412
2023-05-12 10:01:29.309000+00:00,0.2997,
2023-05-12 10:01:29.400000+00:00,0.3008,
2023-05-12 10:01:29.543000+00:00,0.3,
2023-05-12 10:01:30.398000+00:00,,0.477
2023-05-12 10:01:30.994000+00:00,0.2996,
2023-05-12 10:01:32.098000+00:00,,0.5053
2023-05-12 10:01:32.763000+00:00,,0.5096
2023-05-12 10:01:33.526000+00:00,,0.4965
2023-05-12 10:01:33.615000+00:00,0.3,
2023-05-12 10:01:34.031000+00:00,,0.4796
2023-05-12 10:01:34.309000+00:00,0.3016,
2023-05-12 10:01:34.400000+00:00,0.3013,
2023-05-12 10:01:34.543000+00:00,0.3008,
2023-05-12 10:01:35.398000+00:00,,0.4809
2023-05-12 10:01:35.994000+00:00,0.3002,
2023-05-12 10:01:37.098000+00:00,,0.4855
2023-05-12 10:01:37.763000+00:00,,0.4849
2023-05-12 10:01:38.526000+00:00,,0.4791
2023-05-12 10:01:38.615000+00:00,0.301,
2023-05-12 10:01:39.031000+00:00,,0.4813
2023-05-12 10:01:39.309000+00:00,0.3017,
2023-05-12 10:01:39.400000+00:00,0.3013,
2023-05-12 10:01:39.543000+00:00,0.3019,
2023-05-12 10:01:40.398000+00:00,,0.4763
2023-05-12 10:01:40.994000+00:00,0.3009,
2023-05-12 10:01:42.098000+00:00,,0.4781
2023-05-12 10:01:42.763000+00:00,,0.4548
2023-05-12 10:01:43.526000+00:00,,0.433
2023-05-12 10:01:43.615000+00:00,0.3029,
2023-05-12 10:01:44.031000+00:00,,0.4392
2023-05-12 10:01:44.309000+00:00,0.3038,
2023-05-12 10:01:44.400000+00:00,0.3037,
2023-05-12 10:01:44.543000+00:00,0.3034,
2023-05-12 10:01:45.398000+00:00,,0.4417
2023-05-12 10:01:45.994000+00:00,0.302,
2023-05-12 10:01:47.098000+00:00,,0.4724
2023-05-12 10:01:47.763000+00:00,,0.5058
2023-05-12 10:01:48.526000+00:00,,0.5278
2023-05-12 10:01:48.615000+00:00,0.3132,
2023-05-12 10:01:49.031000+00:00,,0.5467
2023-05-12 10:01:49.309000+00:00,0.3246,
2023-05-12 10:01:49.400000+00:00,0.3038,
2023-05-12 10:01:49.543000+00:00,0.3259,
2023-05-12 10:01:50.398000+00:00,,0.5682
2023-05-12 10:01:50.994000+00:00,0.3132,
2023-05-12 10:01:52.098000+00:00,,0.4916
2023-05-12 10:01:52.763000+00:00,,0.739
2023-05-12 10:01:53.526000+00:00,,0.7502
2023-05-12 10:01:53.615000+00:00,0.3251,
2023-05-12 10:01:54.031000+00:00,,0.6956
2023-05-12 10:01:54.309000+00:00,0.3438,
2023-05-12 10:01:54.400000+00:00,0.3044,
2023-05-12 10:01:54.543000+00:00,0.3444,
2023-05-12 10:01:55.398000+00:00,,0.6138
2023-05-12 10:01:55.994000+00:00,0.3449,
2023-05-12 10:01:57.098000+00:00,,0.4786
2023-05-12 10:01:57.763000+00:00,,0.7833
2023-05-12 10:01:58.526000+00:00,,0.76
2023-05-12 10:01:58.615000+00:00,0.3472,
2023-05-12 10:01:59.031000+00:00,,0.8241
2023-05-12 10:01:59.309000+00:00,0.3487,
2023-05-12 10:01:59.400000+00:00,0.3063,
2023-05-12 10:01:59.543000+00:00,0.3476,
2023-05-12 10:02:00.398000+00:00,,0.7152
2023-05-12 10:02:00.994000+00:00,0.3463,
2023-05-12 10:02:02.098000+00:00,,0.558
2023-05-12 10:02:02.763000+00:00,,0.6478
2023-05-12 10:02:03.526000+00:00,,0.4502
2023-05-12 10:02:03.615000+00:00,0.3593,
2023-05-12 10:02:04.031000+00:00,,0.6746
2023-05-12 10:02:04.309000+00:00,0.3487,
2023-05-12 10:02:04.400000+00:00,0.3432,
2023-05-12 10:02:04.543000+00:00,0.3492,
2023-05-12 10:02:05.398000+00:00,,0.5992
2023-05-12 10:02:05.994000+00:00,0.3493,
2023-05-12 10:02:07.098000+00:00,,0.7075
2023-05-12 10:02:07.763000+00:00,,0.581
2023-05-12 10:02:08.526000+00:00,,0.59
2023-05-12 10:02:08.615000+00:00,0.3677,
2023-05-12 10:02:09.031000+00:00,,0.7622
2023-05-12 10:02:09.309000+00:00,0.3553,
2023-05-12 10:02:09.400000+00:00,0.3482,
2023-05-12 10:02:09.543000+00:00,0.3542,
2023-05-12 10:02:10.398000+00:00,,0.4779
2023-05-12 10:02:10.994000+00:00,0.348,
2023-05-12 10:02:12.098000+00:00,,0.7738
2023-05-12 10:02:12.763000+00:00,,0.5128
2023-05-12 10:02:13.526000+00:00,,0.4687
2023-05-12 10:02:13.615000+00:00,0.3669,
2023-05-12 10:02:14.031000+00:00,,0.4881
2023-05-12 10:02:14.309000+00:00,0.356,
2023-05-12 10:02:14.400000+00:00,0.3521,
2023-05-12 10:02:14.543000+00:00,0.3562,
2023-05-12 10:02:15.398000+00:00,,0.5945
2023-05-12 10:02:15.994000+00:00,0.3563,
2023-05-12 10:02:17.098000+00:00,,0.4613
2023-05-12 10:02:17.763000+00:00,,0.4319
2023-05-12 10:02:18.526000+00:00,,0.4312
2023-05-12 10:02:18.615000+00:00,0.3735,
2023-05-12 10:02:19.031000+00:00,,0.5479
2023-05-12 10:02:19.309000+00:00,0.3558,
2023-05-12 10:02:19.400000+00:00,0.3511,
2023-05-12 10:02:19.543000+00:00,0.3575,
2023-05-12 10:02:20.398000+00:00,,0.4454
2023-05-12 10:02:20.994000+00:00,0.3557,
2023-05-12 10:02:22.098000+00:00,,0.6141
2023-05-12 10:02:22.763000+00:00,,0.4831
2023-05-12 10:02:23.526000+00:00,,0.4922
2023-05-12 10:02:23.615000+00:00,0.3746,
2023-05-12 10:02:24.031000+00:00,,0.4897
2023-05-12 10:02:24.309000+00:00,0.3579,
2023-05-12 10:02:24.400000+00:00,0.3571,
2023-05-12 10:02:24.543000+00:00,0.3574,
2023-05-12 10:02:25.398000+00:00,,0.48
2023-05-12 10:02:25.994000+00:00,0.3568,
2023-05-12 10:02:27.098000+00:00,,0.4929
2023-05-12 10:02:27.763000+00:00,,0.4855
2023-05-12 10:02:28.526000+00:00,,0.4681
2023-05-12 10:02:28.615000+00:00,0.3748,
2023-05-12 10:02:29.031000+00:00,,0.4638
2023-05-12 10:02:29.309000+00:00,0.3584,
2023-05-12 10:02:29.400000+00:00,0.3582,
2023-05-12 10:02:29.543000+00:00,0.3587,
2023-05-12 10:02:30.398000+00:00,,0.5084
2023-05-12 10:02:30.994000+00:00,0.358,
2023-05-12 10:02:32.098000+00:00,,0.5117
2023-05-12 10:02:32.763000+00:00,,0.4997
2023-05-12 10:02:33.526000+00:00,,0.4687
2023-05-12 10:02:33.615000+00:00,0.3765,
2023-05-12 10:02:34.031000+00:00,,0.455
2023-05-12 10:02:34.309000+00:00,0.3589,
2023-05-12 10:02:34.400000+00:00,0.3599,
2023-05-12 10:02:34.543000+00:00,0.3608,
2023-05-12 10:02:35.398000+00:00,,0.4336
2023-05-12 10:02:35.994000+00:00,0.3596,
2023-05-12 10:02:37.098000+00:00,,0.4586
2023-05-12 10:02:37.763000+00:00,,0.4598
2023-05-12 10:02:38.526000+00:00,,0.4724
2023-05-12 10:02:38.615000+00:00,0.3773,
2023-05-12 10:02:39.031000+00:00,,0.4755
2023-05-12 10:02:39.309000+00:00,0.3595,
2023-05-12 10:02:39.400000+00:00,0.3608,
2023-05-12 10:02:39.543000+00:00,0.3608,
2023-05-12 10:02:40.398000+00:00,,0.4839
2023-05-12 10:02:40.994000+00:00,0.36,
2023-05-12 10:02:42.098000+00:00,,0.501
2023-05-12 10:02:42.763000+00:00,,0.4886
2023-05-12 10:02:43.526000+00:00,,0.4705
2023-05-12 10:02:43.615000+00:00,0.3775,
2023-05-12 10:02:44.031000+00:00,,0.4773
2023-05-12 10:02:44.309000+00:00,0.3619,
2023-05-12 10:02:44.400000+00:00,0.3613,
2023-05-12 10:02:44.543000+00:00,0.3624,
2023-05-12 10:02:45.398000+00:00,,0.4738
2023-05-12 10:02:45.994000+00:00,0.3608,
2023-05-12 10:02:47.098000+00:00,,0.4855
2023-05-12 10:02:47.763000+00:00,,0.4774
2023-05-12 10:02:48.526000+00:00,,0.4776
2023-05-12 10:02:48.615000+00:00,0.3785,
2023-05-12 10:02:49.031000+00:00,,0.4726
2023-05-12 10:02:49.309000+00:00,0.3632,
2023-05-12 10:02:49.400000+00:00,0.3626,
2023-05-12 10:02:49.543000+00:00,0.3627,
2023-05-12 10:02:50.398000+00:00,,0.4562
2023-05-12 10:02:50.994000+00:00,0.3619,
2023-05-12 10:02:52.098000+00:00,,0.4496
2023-05-12 10:02:52.763000+00:00,,0.4437
2023-05-12 10:02:53.526000+00:00,,0.4414
2023-05-12 10:02:53.615000+00:00,0.3807,
2023-05-12 10:02:54.031000+00:00,,0.4408
2023-05-12 10:02:54.309000+00:00,0.3622,
2023-05-12 10:02:54.400000+00:00,0.3625,
2023-05-12 10:02:54.543000+00:00,0.3624,
2023-05-12 10:02:55.398000+00:00,,0.46
2023-05-12 10:02:55.994000+00:00,0.3629,
2023-05-12 10:02:57.098000+00:00,,0.5091
2023-05-12 10:02:57.763000+00:00,,0.4941
2023-05-12 10:02:58.526000+00:00,,0.4813
2023-05-12 10:02:58.615000+00:00,0.3801,
2023-05-12 10:02:59.031000+00:00,,0.4777
2023-05-12 10:02:59.309000+00:00,0.3639,
2023-05-12 10:02:59.400000+00:00,0.3642,
2023-05-12 10:02:59.543000+00:00,0.3649,
2023-05-12 10:03:00.398000+00:00,,0.4866
2023-05-12 10:03:00.994000+00:00,0.3633,
2023-05-12 10:03:02.098000+00:00,,0.4919
2023-05-12 10:03:02.763000+00:00,,0.4874
2023-05-12 10:03:03.526000+00:00,,0.4891
2023-05-12 10:03:03.615000+00:00,0.3812,
2023-05-12 10:03:04.031000+00:00,,0.4721
2023-05-12 10:03:04.309000+00:00,0.3657,
2023-05-12 10:03:04.400000+00:00,0.3641,
2023-05-12 10:03:04.543000+00:00,0.3651,
2023-05-12 10:03:05.398000+00:00,,0.4813
2023-05-12 10:03:05.994000+00:00,0.3653,
2023-05-12 10:03:07.098000+00:00,,0.4834
2023-05-12 10:03:07.763000+00:00,,0.4546
2023-05-12 10:03:08.526000+00:00,,0.4308
2023-05-12 10:03:08.615000+00:00,0.3825,
2023-05-12 10:03:09.031000+00:00,,0.439
2023-05-12 10:03:09.309000+00:00,0.3652,
2023-05-12 10:03:09.400000+00:00,0.3662,
2023-05-12 10:03:09.543000+00:00,0.3667,
2023-05-12 10:03:10.398000+00:00,,0.4356
2023-05-12 10:03:10.994000+00:00,0.3661,
2023-05-12 10:03:12.098000+00:00,,0.469
2023-05-12 10:03:12.763000+00:00,,0.486
2023-05-12 10:03:13.526000+00:00,,0.4871
2023-05-12 10:03:13.615000+00:00,0.3844,
2023-05-12 10:03:14.031000+00:00,,0.4814
2023-05-12 10:03:14.309000+00:00,0.3661,
