@timestamp,memory,cpu
2023-05-12 13:47:10.896000+00:00,0.3137,
2023-05-12 13:47:11.970000+00:00,,0.001
2023-05-12 13:47:20.896000+00:00,0.3137,
2023-05-12 13:47:21.970000+00:00,,0.0017
2023-05-12 13:47:30.896000+00:00,0.3137,
2023-05-12 13:47:31.970000+00:00,,0.002
2023-05-12 13:47:40.896000+00:00,0.3137,
2023-05-12 13:47:41.970000+00:00,,0.0013
2023-05-12 13:47:50.896000+00:00,0.3137,
2023-05-12 13:47:51.970000+00:00,,0.002
2023-05-12 13:48:00.896000+00:00,0.3137,
2023-05-12 13:48:01.970000+00:00,,0.0025
2023-05-12 13:48:10.896000+00:00,0.3137,
2023-05-12 13:48:11.970000+00:00,,0.0015
2023-05-12 13:48:20.896000+00:00,0.3137,
2023-05-12 13:48:21.970000+00:00,,0.002
2023-05-12 13:48:30.896000+00:00,0.3136,
2023-05-12 13:48:31.970000+00:00,,0.0015
2023-05-12 13:48:40.896000+00:00,0.3137,
2023-05-12 13:48:41.970000+00:00,,0.0018
2023-05-12 13:48:50.896000+00:00,0.3137,
2023-05-12 13:48:51.970000+00:00,,0.0012
2023-05-12 13:49:00.896000+00:00,0.3137,
2023-05-12 13:49:01.970000+00:00,,0.0018
2023-05-12 13:49:10.896000+00:00,0.3137,
2023-05-12 13:49:11.970000+00:00,,0.0022
2023-05-12 13:49:20.896000+00:00,0.3137,
2023-05-12 13:49:21.970000+00:00,,0.0007
2023-05-12 13:49:30.896000+00:00,0.3137,
2023-05-12 13:49:31.970000+00:00,,0.0017
2023-05-12 13:49:40.896000+00:00,0.3137,
2023-05-12 13:49:41.970000+00:00,,0.0015
2023-05-12 13:49:50.896000+00:00,0.3136,
2023-05-12 13:49:51.970000+00:00,,0.0022
2023-05-12 13:50:00.896000+00:00,0.3136,
2023-05-12 13:50:01.970000+00:00,,0.0012
2023-05-12 13:50:10.896000+00:00,0.3136,
2023-05-12 13:50:11.970000+00:00,,0.0013
2023-05-12 13:50:20.896000+00:00,0.3136,
2023-05-12 13:50:21.970000+00:00,,0.002
2023-05-12 13:50:30.896000+00:00,0.3136,
2023-05-12 13:50:31.970000+00:00,,0.002
2023-05-12 13:50:40.896000+00:00,0.3136,
2023-05-12 13:50:41.970000+00:00,,0.0015
2023-05-12 13:50:50.896000+00:00,0.3136,
2023-05-12 13:50:51.970000+00:00,,0.0017
2023-05-12 13:51:00.896000+00:00,0.3136,
2023-05-12 13:51:01.970000+00:00,,0.0013
2023-05-12 13:51:10.896000+00:00,0.3136,
2023-05-12 13:51:11.970000+00:00,,0.0017
2023-05-12 13:51:20.896000+00:00,0.3136,
2023-05-12 13:51:21.970000+00:00,,0.0017
2023-05-12 13:51:30.896000+00:00,0.3136,
2023-05-12 13:51:31.970000+00:00,,0.0013
2023-05-12 13:51:40.896000+00:00,0.3136,
2023-05-12 13:51:41.970000+00:00,,0.0012
2023-05-12 13:51:50.896000+00:00,0.3136,
2023-05-12 13:51:51.970000+00:00,,0.0012
2023-05-12 13:52:00.896000+00:00,0.3136,
2023-05-12 13:52:01.970000+00:00,,0.002
2023-05-12 13:52:10.896000+00:00,0.3136,
2023-05-12 13:52:11.970000+00:00,,0.0015
2023-05-12 13:52:20.896000+00:00,0.3136,
2023-05-12 13:52:21.970000+00:00,,0.0008
2023-05-12 13:52:30.896000+00:00,0.3136,
2023-05-12 13:52:31.970000+00:00,,0.0012
2023-05-12 13:52:40.896000+00:00,0.3136,
2023-05-12 13:52:41.970000+00:00,,0.0023
2023-05-12 13:52:50.896000+00:00,0.3136,
2023-05-12 13:52:51.970000+00:00,,0.0015
2023-05-12 13:53:00.896000+00:00,0.3136,
2023-05-12 13:53:01.970000+00:00,,0.0018
2023-05-12 13:53:10.896000+00:00,0.3136,
2023-05-12 13:53:11.970000+00:00,,0.0012
2023-05-12 13:53:20.896000+00:00,0.3136,
2023-05-12 13:53:21.970000+00:00,,0.0015
2023-05-12 13:53:30.896000+00:00,0.3136,
2023-05-12 13:53:31.970000+00:00,,0.001
2023-05-12 13:53:40.896000+00:00,0.3136,
2023-05-12 13:53:41.970000+00:00,,0.002
2023-05-12 13:53:50.896000+00:00,0.3136,
2023-05-12 13:53:51.970000+00:00,,0.002
2023-05-12 13:54:00.896000+00:00,0.3136,
2023-05-12 13:54:01.970000+00:00,,0.0017
2023-05-12 13:54:10.896000+00:00,0.3136,
2023-05-12 13:54:11.970000+00:00,,0.0015
2023-05-12 13:54:20.896000+00:00,0.3136,
2023-05-12 13:54:21.970000+00:00,,0.0013
2023-05-12 13:54:30.896000+00:00,0.3136,
2023-05-12 13:54:31.970000+00:00,,0.0018
2023-05-12 13:54:40.896000+00:00,0.3136,
2023-05-12 13:54:41.970000+00:00,,0.0022
2023-05-12 13:54:50.896000+00:00,0.3136,
2023-05-12 13:54:51.970000+00:00,,0.002
2023-05-12 13:55:00.896000+00:00,0.3136,
2023-05-12 13:55:01.970000+00:00,,0.001
2023-05-12 13:55:10.896000+00:00,0.3136,
2023-05-12 13:55:11.970000+00:00,,0.001
2023-05-12 13:55:20.896000+00:00,0.3136,
2023-05-12 13:55:21.970000+00:00,,0.002
2023-05-12 13:55:30.896000+00:00,0.3136,
2023-05-12 13:55:31.970000+00:00,,0.0015
2023-05-12 13:55:40.896000+00:00,0.3136,
2023-05-12 13:55:41.970000+00:00,,0.001
2023-05-12 13:55:50.896000+00:00,0.3136,
2023-05-12 13:55:51.970000+00:00,,0.002
2023-05-12 13:56:00.896000+00:00,0.3136,
2023-05-12 13:56:01.970000+00:00,,0.0018
2023-05-12 13:56:10.896000+00:00,0.3136,
2023-05-12 13:56:11.970000+00:00,,0.0019
2023-05-12 13:56:20.896000+00:00,0.3135,
2023-05-12 13:56:21.970000+00:00,,0.0018
