@timestamp,memory,cpu
2023-05-12 17:44:58.547000+00:00,0.2939,
2023-05-12 17:44:58.573000+00:00,0.2907,
2023-05-12 17:44:58.977000+00:00,,0.3959
2023-05-12 17:44:59.710000+00:00,,0.4323
2023-05-12 17:44:59.991000+00:00,0.2981,
2023-05-12 17:45:00.341000+00:00,0.2988,
2023-05-12 17:45:00.425000+00:00,0.2981,
2023-05-12 17:45:00.814000+00:00,,0.5081
2023-05-12 17:45:00.844000+00:00,,0.5031
2023-05-12 17:45:01.005000+00:00,0.3001,
2023-05-12 17:45:02.850000+00:00,,0.5681
2023-05-12 17:45:02.874000+00:00,,0.5545
2023-05-12 17:45:03.547000+00:00,0.3016,
2023-05-12 17:45:03.573000+00:00,0.2977,
2023-05-12 17:45:03.977000+00:00,,0.5929
2023-05-12 17:45:04.710000+00:00,,0.5713
2023-05-12 17:45:04.991000+00:00,0.3008,
2023-05-12 17:45:05.341000+00:00,0.3,
2023-05-12 17:45:05.425000+00:00,0.2993,
2023-05-12 17:45:05.814000+00:00,,0.5756
2023-05-12 17:45:05.844000+00:00,,0.5695
2023-05-12 17:45:06.005000+00:00,0.3012,
2023-05-12 17:45:07.850000+00:00,,0.5546
2023-05-12 17:45:07.874000+00:00,,0.5372
2023-05-12 17:45:08.547000+00:00,0.3016,
2023-05-12 17:45:08.573000+00:00,0.2972,
2023-05-12 17:45:08.977000+00:00,,0.5678
2023-05-12 17:45:09.710000+00:00,,0.5429
2023-05-12 17:45:09.991000+00:00,0.301,
2023-05-12 17:45:10.342000+00:00,0.3002,
2023-05-12 17:45:10.425000+00:00,0.3004,
2023-05-12 17:45:10.814000+00:00,,0.515
2023-05-12 17:45:10.844000+00:00,,0.5106
2023-05-12 17:45:11.005000+00:00,0.3028,
2023-05-12 17:45:12.850000+00:00,,0.4892
2023-05-12 17:45:12.874000+00:00,,0.4962
2023-05-12 17:45:13.547000+00:00,0.3025,
2023-05-12 17:45:13.573000+00:00,0.299,
2023-05-12 17:45:13.977000+00:00,,0.5092
2023-05-12 17:45:14.710000+00:00,,0.5178
2023-05-12 17:45:14.991000+00:00,0.3027,
2023-05-12 17:45:15.341000+00:00,0.3014,
2023-05-12 17:45:15.425000+00:00,0.3023,
2023-05-12 17:45:15.814000+00:00,,0.5615
2023-05-12 17:45:15.844000+00:00,,0.5431
2023-05-12 17:45:16.005000+00:00,0.3032,
2023-05-12 17:45:17.850000+00:00,,0.6502
2023-05-12 17:45:17.874000+00:00,,0.6352
2023-05-12 17:45:18.547000+00:00,0.3036,
2023-05-12 17:45:18.573000+00:00,0.3121,
2023-05-12 17:45:18.977000+00:00,,0.576
2023-05-12 17:45:19.710000+00:00,,0.7151
2023-05-12 17:45:19.991000+00:00,0.3127,
2023-05-12 17:45:20.341000+00:00,0.3025,
2023-05-12 17:45:20.425000+00:00,0.3101,
2023-05-12 17:45:20.814000+00:00,,0.7017
2023-05-12 17:45:20.844000+00:00,,0.5612
2023-05-12 17:45:21.005000+00:00,0.3397,
2023-05-12 17:45:22.850000+00:00,,0.7624
2023-05-12 17:45:22.874000+00:00,,0.7822
2023-05-12 17:45:23.547000+00:00,0.3034,
2023-05-12 17:45:23.573000+00:00,0.3194,
2023-05-12 17:45:23.977000+00:00,,0.5511
2023-05-12 17:45:24.710000+00:00,,0.823
2023-05-12 17:45:24.991000+00:00,0.3304,
2023-05-12 17:45:25.341000+00:00,0.3025,
2023-05-12 17:45:25.425000+00:00,0.3198,
2023-05-12 17:45:25.814000+00:00,,0.7879
2023-05-12 17:45:25.844000+00:00,,0.5289
2023-05-12 17:45:26.005000+00:00,0.3471,
2023-05-12 17:45:27.850000+00:00,,0.688
2023-05-12 17:45:27.874000+00:00,,0.6882
2023-05-12 17:45:28.547000+00:00,0.3076,
2023-05-12 17:45:28.573000+00:00,0.341,
2023-05-12 17:45:28.977000+00:00,,0.5248
2023-05-12 17:45:29.710000+00:00,,0.6762
2023-05-12 17:45:29.991000+00:00,0.3599,
2023-05-12 17:45:30.341000+00:00,0.3049,
2023-05-12 17:45:30.425000+00:00,0.357,
