@timestamp,memory,cpu
2023-05-15 19:51:43.437000+00:00,0.288,
2023-05-15 19:51:52.483000+00:00,,0.0181
2023-05-15 19:51:53.437000+00:00,0.2893,
2023-05-15 19:52:02.483000+00:00,,0.0196
2023-05-15 19:52:03.437000+00:00,0.2895,
2023-05-15 19:52:12.483000+00:00,,0.0175
2023-05-15 19:52:13.437000+00:00,0.2893,
2023-05-15 19:52:22.483000+00:00,,0.0153
2023-05-15 19:52:23.437000+00:00,0.2895,
2023-05-15 19:52:32.483000+00:00,,0.0163
2023-05-15 19:52:33.437000+00:00,0.2889,
2023-05-15 19:52:42.483000+00:00,,0.016
2023-05-15 19:52:43.437000+00:00,0.2882,
2023-05-15 19:52:52.483000+00:00,,0.0195
2023-05-15 19:52:53.437000+00:00,0.2887,
2023-05-15 19:53:02.483000+00:00,,0.02
2023-05-15 19:53:03.437000+00:00,0.2878,
2023-05-15 19:53:12.483000+00:00,,0.0153
2023-05-15 19:53:13.437000+00:00,0.2877,
2023-05-15 19:53:22.483000+00:00,,0.0188
2023-05-15 19:53:23.437000+00:00,0.2873,
2023-05-15 19:53:32.483000+00:00,,0.021
2023-05-15 19:53:33.437000+00:00,0.2881,
2023-05-15 19:53:42.483000+00:00,,0.0225
2023-05-15 19:53:43.437000+00:00,0.2887,
2023-05-15 19:53:52.483000+00:00,,0.0151
2023-05-15 19:53:53.437000+00:00,0.2886,
2023-05-15 19:54:02.483000+00:00,,0.0178
2023-05-15 19:54:03.437000+00:00,0.2883,
2023-05-15 19:54:12.483000+00:00,,0.0129
2023-05-15 19:54:13.437000+00:00,0.2885,
2023-05-15 19:54:22.483000+00:00,,0.0173
2023-05-15 19:54:23.437000+00:00,0.2881,
2023-05-15 19:54:32.483000+00:00,,0.0169
2023-05-15 19:54:33.437000+00:00,0.2887,
2023-05-15 19:54:42.483000+00:00,,0.0155
2023-05-15 19:54:43.437000+00:00,0.2887,
2023-05-15 19:54:52.483000+00:00,,0.0169
2023-05-15 19:54:53.437000+00:00,0.2883,
2023-05-15 19:55:02.483000+00:00,,0.0193
2023-05-15 19:55:03.437000+00:00,0.2884,
2023-05-15 19:55:12.483000+00:00,,0.0173
2023-05-15 19:55:13.437000+00:00,0.2892,
2023-05-15 19:55:22.483000+00:00,,0.016
2023-05-15 19:55:23.437000+00:00,0.2896,
2023-05-15 19:55:32.483000+00:00,,0.0163
2023-05-15 19:55:33.437000+00:00,0.2893,
2023-05-15 19:55:42.483000+00:00,,0.0138
2023-05-15 19:55:43.437000+00:00,0.2881,
2023-05-15 19:55:52.483000+00:00,,0.0158
2023-05-15 19:55:53.437000+00:00,0.2886,
2023-05-15 19:56:02.483000+00:00,,0.0183
2023-05-15 19:56:03.437000+00:00,0.2879,
2023-05-15 19:56:12.483000+00:00,,0.011
2023-05-15 19:56:13.437000+00:00,0.2877,
2023-05-15 19:56:22.483000+00:00,,0.0138
2023-05-15 19:56:23.437000+00:00,0.2887,
2023-05-15 19:56:32.483000+00:00,,0.0148
2023-05-15 19:56:33.437000+00:00,0.2887,
2023-05-15 19:56:42.483000+00:00,,0.0138
2023-05-15 19:56:43.437000+00:00,0.2884,
2023-05-15 19:56:52.483000+00:00,,0.0136
2023-05-15 19:56:53.437000+00:00,0.2887,
2023-05-15 19:57:02.483000+00:00,,0.0128
2023-05-15 19:57:03.437000+00:00,0.2886,
2023-05-15 19:57:12.483000+00:00,,0.0138
2023-05-15 19:57:13.437000+00:00,0.2885,
2023-05-15 19:57:22.483000+00:00,,0.0128
2023-05-15 19:57:23.437000+00:00,0.2887,
2023-05-15 19:57:32.483000+00:00,,0.0138
2023-05-15 19:57:33.437000+00:00,0.2877,
2023-05-15 19:57:42.483000+00:00,,0.0128
2023-05-15 19:57:43.437000+00:00,0.2881,
2023-05-15 19:57:52.483000+00:00,,0.0121
2023-05-15 19:57:53.437000+00:00,0.2885,
2023-05-15 19:58:02.483000+00:00,,0.0158
2023-05-15 19:58:03.437000+00:00,0.2883,
2023-05-15 19:58:12.483000+00:00,,0.0123
2023-05-15 19:58:13.437000+00:00,0.2878,
2023-05-15 19:58:22.483000+00:00,,0.0118
2023-05-15 19:58:23.437000+00:00,0.2887,
2023-05-15 19:58:32.483000+00:00,,0.0155
2023-05-15 19:58:33.437000+00:00,0.2883,
2023-05-15 19:58:42.483000+00:00,,0.0111
2023-05-15 19:58:43.437000+00:00,0.2875,
2023-05-15 19:58:52.483000+00:00,,0.0133
2023-05-15 19:58:53.437000+00:00,0.2881,
2023-05-15 19:59:02.483000+00:00,,0.0121
2023-05-15 19:59:03.437000+00:00,0.2877,
2023-05-15 19:59:12.483000+00:00,,0.0108
2023-05-15 19:59:13.437000+00:00,0.2885,
2023-05-15 19:59:22.483000+00:00,,0.0126
2023-05-15 19:59:23.437000+00:00,0.287,
2023-05-15 19:59:32.483000+00:00,,0.0121
2023-05-15 19:59:33.437000+00:00,0.2883,
2023-05-15 19:59:42.483000+00:00,,0.012
2023-05-15 19:59:43.437000+00:00,0.2885,
2023-05-15 19:59:52.483000+00:00,,0.0102
2023-05-15 19:59:53.437000+00:00,0.2879,
2023-05-15 20:00:02.483000+00:00,,0.0123
2023-05-15 20:00:03.437000+00:00,0.2891,
2023-05-15 20:00:12.483000+00:00,,0.0102
