@timestamp,cpu,memory
2023-05-12 14:06:01.970000+00:00,0.004,
2023-05-12 14:06:10.896000+00:00,,0.3137
2023-05-12 14:06:11.970000+00:00,0.0018,
2023-05-12 14:06:20.896000+00:00,,0.3137
2023-05-12 14:06:21.970000+00:00,0.0015,
2023-05-12 14:06:30.896000+00:00,,0.3137
2023-05-12 14:06:31.970000+00:00,0.0015,
2023-05-12 14:06:40.896000+00:00,,0.3137
2023-05-12 14:06:41.970000+00:00,0.0013,
2023-05-12 14:06:50.896000+00:00,,0.3137
2023-05-12 14:06:51.970000+00:00,0.0023,
2023-05-12 14:07:00.896000+00:00,,0.3137
2023-05-12 14:07:01.970000+00:00,0.002,
2023-05-12 14:07:10.896000+00:00,,0.3137
2023-05-12 14:07:11.970000+00:00,0.001,
2023-05-12 14:07:20.896000+00:00,,0.3137
2023-05-12 14:07:21.970000+00:00,0.0017,
2023-05-12 14:07:30.896000+00:00,,0.3137
2023-05-12 14:07:31.970000+00:00,0.0013,
2023-05-12 14:07:40.896000+00:00,,0.3137
2023-05-12 14:07:41.970000+00:00,0.0013,
2023-05-12 14:07:50.896000+00:00,,0.3137
2023-05-12 14:07:51.970000+00:00,0.003,
2023-05-12 14:08:00.896000+00:00,,0.3137
2023-05-12 14:08:01.970000+00:00,0.001,
2023-05-12 14:08:10.896000+00:00,,0.3137
2023-05-12 14:08:11.970000+00:00,0.0015,
2023-05-12 14:08:20.896000+00:00,,0.3137
2023-05-12 14:08:21.970000+00:00,0.0015,
2023-05-12 14:08:30.896000+00:00,,0.3137
2023-05-12 14:08:31.970000+00:00,0.0015,
2023-05-12 14:08:40.896000+00:00,,0.3137
2023-05-12 14:08:41.970000+00:00,0.001,
2023-05-12 14:08:50.896000+00:00,,0.3137
2023-05-12 14:08:51.970000+00:00,0.0015,
2023-05-12 14:09:00.896000+00:00,,0.3137
2023-05-12 14:09:01.970000+00:00,0.0017,
2023-05-12 14:09:10.896000+00:00,,0.3137
2023-05-12 14:09:11.970000+00:00,0.001,
2023-05-12 14:09:20.896000+00:00,,0.3137
2023-05-12 14:09:21.970000+00:00,0.0022,
2023-05-12 14:09:30.896000+00:00,,0.3137
2023-05-12 14:09:31.970000+00:00,0.001,
2023-05-12 14:09:40.896000+00:00,,0.3137
2023-05-12 14:09:41.970000+00:00,0.0022,
2023-05-12 14:09:50.896000+00:00,,0.3137
2023-05-12 14:09:51.970000+00:00,0.0018,
2023-05-12 14:10:00.896000+00:00,,0.3137
2023-05-12 14:10:01.970000+00:00,0.0013,
2023-05-12 14:10:10.896000+00:00,,0.3137
2023-05-12 14:10:11.970000+00:00,0.0013,
2023-05-12 14:10:20.896000+00:00,,0.3137
2023-05-12 14:10:21.970000+00:00,0.0018,
2023-05-12 14:10:30.896000+00:00,,0.3137
2023-05-12 14:10:31.970000+00:00,0.0015,
2023-05-12 14:10:40.896000+00:00,,0.3137
2023-05-12 14:10:41.970000+00:00,0.0008,
2023-05-12 14:10:50.896000+00:00,,0.3137
2023-05-12 14:10:51.970000+00:00,0.0018,
2023-05-12 14:11:00.896000+00:00,,0.3137
2023-05-12 14:11:01.970000+00:00,0.002,
2023-05-12 14:11:10.896000+00:00,,0.3137
2023-05-12 14:11:11.970000+00:00,0.0015,
2023-05-12 14:11:20.896000+00:00,,0.3138
2023-05-12 14:11:21.970000+00:00,0.002,
2023-05-12 14:11:30.896000+00:00,,0.3138
2023-05-12 14:11:31.970000+00:00,0.0015,
2023-05-12 14:11:40.896000+00:00,,0.3138
2023-05-12 14:11:41.970000+00:00,0.0015,
2023-05-12 14:11:50.896000+00:00,,0.3138
2023-05-12 14:11:51.970000+00:00,0.0017,
2023-05-12 14:12:00.896000+00:00,,0.3138
2023-05-12 14:12:01.970000+00:00,0.0015,
2023-05-12 14:12:10.896000+00:00,,0.3138
2023-05-12 14:12:11.970000+00:00,0.0018,
2023-05-12 14:12:20.896000+00:00,,0.3138
2023-05-12 14:12:21.970000+00:00,0.0008,
2023-05-12 14:12:30.896000+00:00,,0.3138
2023-05-12 14:12:31.970000+00:00,0.002,
2023-05-12 14:12:40.896000+00:00,,0.3138
2023-05-12 14:12:41.970000+00:00,0.0015,
2023-05-12 14:12:50.896000+00:00,,0.3138
2023-05-12 14:12:51.970000+00:00,0.0045,
2023-05-12 14:13:00.896000+00:00,,0.3138
2023-05-12 14:13:01.970000+00:00,0.0022,
2023-05-12 14:13:10.896000+00:00,,0.3138
2023-05-12 14:13:11.970000+00:00,0.0012,
2023-05-12 14:13:20.896000+00:00,,0.3138
2023-05-12 14:13:21.970000+00:00,0.0018,
2023-05-12 14:13:30.896000+00:00,,0.3138
2023-05-12 14:13:31.970000+00:00,0.0012,
2023-05-12 14:13:40.896000+00:00,,0.3138
2023-05-12 14:13:41.970000+00:00,0.0017,
2023-05-12 14:13:50.896000+00:00,,0.3138
2023-05-12 14:13:51.970000+00:00,0.0017,
2023-05-12 14:14:00.896000+00:00,,0.3138
2023-05-12 14:14:01.970000+00:00,0.0007,
2023-05-12 14:14:10.896000+00:00,,0.3138
2023-05-12 14:14:11.970000+00:00,0.0015,
2023-05-12 14:14:20.896000+00:00,,0.3138
2023-05-12 14:14:21.970000+00:00,0.0013,
2023-05-12 14:14:30.896000+00:00,,0.3138
2023-05-12 14:14:31.970000+00:00,0.002,
2023-05-12 14:14:40.896000+00:00,,0.3138
2023-05-12 14:14:41.970000+00:00,0.0007,
2023-05-12 14:14:50.896000+00:00,,0.3138
2023-05-12 14:14:51.970000+00:00,0.0023,
2023-05-12 14:15:00.896000+00:00,,0.3138
