@timestamp,cpu,memory
2023-05-12 18:02:50.492000+00:00,,0.293
2023-05-12 18:02:50.520000+00:00,0.4285,
2023-05-12 18:02:50.541000+00:00,0.4359,
2023-05-12 18:02:51.042000+00:00,,0.2967
2023-05-12 18:02:51.164000+00:00,,0.2981
2023-05-12 18:02:51.539000+00:00,0.4949,
2023-05-12 18:02:51.612000+00:00,0.5087,
2023-05-12 18:02:51.626000+00:00,,0.3005
2023-05-12 18:02:51.979000+00:00,0.5313,
2023-05-12 18:02:52.248000+00:00,,0.3037
2023-05-12 18:02:53.700000+00:00,,0.3016
2023-05-12 18:02:53.949000+00:00,0.6357,
2023-05-12 18:02:54.654000+00:00,0.6394,
2023-05-12 18:02:54.898000+00:00,,0.3014
2023-05-12 18:02:55.492000+00:00,,0.3
2023-05-12 18:02:55.520000+00:00,0.659,
2023-05-12 18:02:55.541000+00:00,0.6738,
2023-05-12 18:02:56.042000+00:00,,0.3016
2023-05-12 18:02:56.164000+00:00,,0.3024
2023-05-12 18:02:56.539000+00:00,0.649,
2023-05-12 18:02:56.612000+00:00,0.6599,
2023-05-12 18:02:56.626000+00:00,,0.3044
2023-05-12 18:02:56.979000+00:00,0.6465,
2023-05-12 18:02:57.248000+00:00,,0.3071
2023-05-12 18:02:58.700000+00:00,,0.3033
2023-05-12 18:02:58.949000+00:00,0.6466,
2023-05-12 18:02:59.654000+00:00,0.6331,
2023-05-12 18:02:59.898000+00:00,,0.3033
2023-05-12 18:03:00.492000+00:00,,0.3044
2023-05-12 18:03:00.520000+00:00,0.6136,
2023-05-12 18:03:00.541000+00:00,0.6285,
2023-05-12 18:03:01.042000+00:00,,0.304
2023-05-12 18:03:01.164000+00:00,,0.3024
2023-05-12 18:03:01.539000+00:00,0.5991,
2023-05-12 18:03:01.612000+00:00,0.6006,
2023-05-12 18:03:01.626000+00:00,,0.3054
2023-05-12 18:03:01.979000+00:00,0.5908,
2023-05-12 18:03:02.248000+00:00,,0.307
2023-05-12 18:03:03.700000+00:00,,0.3064
2023-05-12 18:03:03.949000+00:00,0.5728,
2023-05-12 18:03:04.654000+00:00,0.5619,
2023-05-12 18:03:04.898000+00:00,,0.303
2023-05-12 18:03:05.492000+00:00,,0.303
2023-05-12 18:03:05.520000+00:00,0.5721,
2023-05-12 18:03:05.541000+00:00,0.5761,
2023-05-12 18:03:06.042000+00:00,,0.3042
2023-05-12 18:03:06.164000+00:00,,0.304
2023-05-12 18:03:06.539000+00:00,0.5968,
2023-05-12 18:03:06.612000+00:00,0.6123,
2023-05-12 18:03:06.626000+00:00,,0.3059
2023-05-12 18:03:06.979000+00:00,0.6181,
2023-05-12 18:03:07.248000+00:00,,0.3084
2023-05-12 18:03:08.700000+00:00,,0.3062
2023-05-12 18:03:08.949000+00:00,0.6403,
2023-05-12 18:03:09.654000+00:00,0.6275,
2023-05-12 18:03:09.898000+00:00,,0.3048
2023-05-12 18:03:10.492000+00:00,,0.3037
2023-05-12 18:03:10.520000+00:00,0.6404,
2023-05-12 18:03:10.541000+00:00,0.6381,
2023-05-12 18:03:11.042000+00:00,,0.3049
2023-05-12 18:03:11.164000+00:00,,0.3045
2023-05-12 18:03:11.539000+00:00,0.6338,
2023-05-12 18:03:11.612000+00:00,0.6368,
2023-05-12 18:03:11.626000+00:00,,0.3063
2023-05-12 18:03:11.979000+00:00,0.6233,
2023-05-12 18:03:12.248000+00:00,,0.3099
2023-05-12 18:03:13.700000+00:00,,0.3067
2023-05-12 18:03:13.949000+00:00,0.633,
2023-05-12 18:03:14.654000+00:00,0.6151,
2023-05-12 18:03:14.898000+00:00,,0.3043
2023-05-12 18:03:15.492000+00:00,,0.3054
2023-05-12 18:03:15.520000+00:00,0.6284,
2023-05-12 18:03:15.541000+00:00,0.6087,
2023-05-12 18:03:16.042000+00:00,,0.3059
2023-05-12 18:03:16.164000+00:00,,0.3078
2023-05-12 18:03:16.539000+00:00,0.6229,
2023-05-12 18:03:16.612000+00:00,0.6271,
2023-05-12 18:03:16.626000+00:00,,0.309
2023-05-12 18:03:16.979000+00:00,0.6246,
2023-05-12 18:03:17.248000+00:00,,0.3103
2023-05-12 18:03:18.700000+00:00,,0.3085
2023-05-12 18:03:18.950000+00:00,0.5925,
2023-05-12 18:03:19.654000+00:00,0.5722,
2023-05-12 18:03:19.898000+00:00,,0.3063
2023-05-12 18:03:20.492000+00:00,,0.3061
2023-05-12 18:03:20.520000+00:00,0.5884,
2023-05-12 18:03:20.541000+00:00,0.5868,
2023-05-12 18:03:21.042000+00:00,,0.3079
2023-05-12 18:03:21.164000+00:00,,0.3086
2023-05-12 18:03:21.539000+00:00,0.5845,
2023-05-12 18:03:21.612000+00:00,0.6067,
2023-05-12 18:03:21.626000+00:00,,0.3089
2023-05-12 18:03:21.979000+00:00,0.5855,
2023-05-12 18:03:22.248000+00:00,,0.3131
2023-05-12 18:03:23.700000+00:00,,0.3092
2023-05-12 18:03:23.949000+00:00,0.64,
2023-05-12 18:03:24.654000+00:00,0.6451,
2023-05-12 18:03:24.898000+00:00,,0.3095
2023-05-12 18:03:25.492000+00:00,,0.3083
2023-05-12 18:03:25.520000+00:00,0.65,
2023-05-12 18:03:25.541000+00:00,0.6573,
2023-05-12 18:03:26.042000+00:00,,0.3108
2023-05-12 18:03:26.164000+00:00,,0.3094
2023-05-12 18:03:26.539000+00:00,0.6563,
2023-05-12 18:03:26.612000+00:00,0.6531,
2023-05-12 18:03:26.626000+00:00,,0.3132
2023-05-12 18:03:26.979000+00:00,0.6467,
2023-05-12 18:03:27.248000+00:00,,0.3121
2023-05-12 18:03:28.700000+00:00,,0.3117
2023-05-12 18:03:28.949000+00:00,0.6576,
2023-05-12 18:03:29.654000+00:00,0.6273,
2023-05-12 18:03:29.898000+00:00,,0.3108
2023-05-12 18:03:30.492000+00:00,,0.3102
2023-05-12 18:03:30.520000+00:00,0.6483,
2023-05-12 18:03:30.541000+00:00,0.6329,
2023-05-12 18:03:31.042000+00:00,,0.3106
2023-05-12 18:03:31.164000+00:00,,0.3122
2023-05-12 18:03:31.539000+00:00,0.644,
2023-05-12 18:03:31.612000+00:00,0.6524,
2023-05-12 18:03:31.626000+00:00,,0.3133
2023-05-12 18:03:31.979000+00:00,0.6475,
2023-05-12 18:03:32.248000+00:00,,0.3152
2023-05-12 18:03:33.700000+00:00,,0.3126
2023-05-12 18:03:33.949000+00:00,0.6464,
2023-05-12 18:03:34.654000+00:00,0.6286,
2023-05-12 18:03:34.898000+00:00,,0.3122
2023-05-12 18:03:35.492000+00:00,,0.3124
2023-05-12 18:03:35.520000+00:00,0.6139,
2023-05-12 18:03:35.541000+00:00,0.6164,
2023-05-12 18:03:36.042000+00:00,,0.3127
2023-05-12 18:03:36.164000+00:00,,0.3123
2023-05-12 18:03:36.539000+00:00,0.596,
2023-05-12 18:03:36.612000+00:00,0.5903,
2023-05-12 18:03:36.626000+00:00,,0.3143
2023-05-12 18:03:36.979000+00:00,0.5941,
2023-05-12 18:03:37.248000+00:00,,0.3145
2023-05-12 18:03:38.700000+00:00,,0.3137
2023-05-12 18:03:38.949000+00:00,0.5972,
2023-05-12 18:03:39.654000+00:00,0.5887,
2023-05-12 18:03:39.898000+00:00,,0.3123
2023-05-12 18:03:40.492000+00:00,,0.3135
2023-05-12 18:03:40.520000+00:00,0.6332,
2023-05-12 18:03:40.541000+00:00,0.6353,
2023-05-12 18:03:41.042000+00:00,,0.3136
2023-05-12 18:03:41.164000+00:00,,0.3136
2023-05-12 18:03:41.539000+00:00,0.6657,
2023-05-12 18:03:41.612000+00:00,0.6605,
2023-05-12 18:03:41.626000+00:00,,0.3144
2023-05-12 18:03:41.979000+00:00,0.66,
2023-05-12 18:03:42.248000+00:00,,0.3168
2023-05-12 18:03:43.700000+00:00,,0.315
2023-05-12 18:03:43.949000+00:00,0.6738,
2023-05-12 18:03:44.654000+00:00,0.6497,
2023-05-12 18:03:44.898000+00:00,,0.3152
2023-05-12 18:03:45.492000+00:00,,0.3137
2023-05-12 18:03:45.520000+00:00,0.644,
2023-05-12 18:03:45.541000+00:00,0.6549,
2023-05-12 18:03:46.042000+00:00,,0.3152
2023-05-12 18:03:46.164000+00:00,,0.3143
2023-05-12 18:03:46.539000+00:00,0.6586,
2023-05-12 18:03:46.612000+00:00,0.6587,
2023-05-12 18:03:46.626000+00:00,,0.3168
