@timestamp,cpu,memory
2023-05-15 15:00:52.483000+00:00,0.0206,
2023-05-15 15:00:53.437000+00:00,,0.2499
2023-05-15 15:01:02.483000+00:00,0.0203,
2023-05-15 15:01:03.437000+00:00,,0.2497
2023-05-15 15:01:12.483000+00:00,0.0256,
2023-05-15 15:01:13.437000+00:00,,0.2504
2023-05-15 15:01:22.483000+00:00,0.0223,
2023-05-15 15:01:23.437000+00:00,,0.2493
2023-05-15 15:01:32.483000+00:00,0.0181,
2023-05-15 15:01:33.437000+00:00,,0.2493
2023-05-15 15:01:42.483000+00:00,0.0208,
2023-05-15 15:01:43.437000+00:00,,0.2495
2023-05-15 15:01:52.483000+00:00,0.0168,
2023-05-15 15:01:53.437000+00:00,,0.2488
2023-05-15 15:02:02.483000+00:00,0.0255,
2023-05-15 15:02:03.437000+00:00,,0.2496
2023-05-15 15:02:12.483000+00:00,0.0221,
2023-05-15 15:02:13.437000+00:00,,0.2492
2023-05-15 15:02:22.483000+00:00,0.0206,
2023-05-15 15:02:23.437000+00:00,,0.2489
2023-05-15 15:02:32.483000+00:00,0.0191,
2023-05-15 15:02:33.437000+00:00,,0.2485
2023-05-15 15:02:42.483000+00:00,0.0193,
2023-05-15 15:02:43.437000+00:00,,0.2483
2023-05-15 15:02:52.483000+00:00,0.0246,
2023-05-15 15:02:53.437000+00:00,,0.2487
2023-05-15 15:03:02.483000+00:00,0.0193,
2023-05-15 15:03:03.437000+00:00,,0.249
2023-05-15 15:03:12.483000+00:00,0.0211,
2023-05-15 15:03:13.437000+00:00,,0.249
2023-05-15 15:03:22.483000+00:00,0.0191,
2023-05-15 15:03:23.437000+00:00,,0.2484
2023-05-15 15:03:32.483000+00:00,0.0196,
2023-05-15 15:03:33.437000+00:00,,0.2488
2023-05-15 15:03:42.483000+00:00,0.0221,
2023-05-15 15:03:43.437000+00:00,,0.2491
2023-05-15 15:03:52.483000+00:00,0.0188,
2023-05-15 15:03:53.437000+00:00,,0.2493
2023-05-15 15:04:02.483000+00:00,0.0238,
2023-05-15 15:04:03.437000+00:00,,0.2488
2023-05-15 15:04:12.483000+00:00,0.0193,
2023-05-15 15:04:13.437000+00:00,,0.2496
2023-05-15 15:04:22.483000+00:00,0.0181,
2023-05-15 15:04:23.437000+00:00,,0.2494
2023-05-15 15:04:32.483000+00:00,0.0216,
2023-05-15 15:04:33.437000+00:00,,0.2491
2023-05-15 15:04:42.483000+00:00,0.02,
2023-05-15 15:04:43.437000+00:00,,0.2492
2023-05-15 15:04:52.483000+00:00,0.0214,
2023-05-15 15:04:53.437000+00:00,,0.2493
2023-05-15 15:05:02.483000+00:00,0.0213,
2023-05-15 15:05:03.437000+00:00,,0.2489
2023-05-15 15:05:12.483000+00:00,0.0188,
2023-05-15 15:05:13.437000+00:00,,0.2493
2023-05-15 15:05:22.483000+00:00,0.0231,
2023-05-15 15:05:23.437000+00:00,,0.2488
2023-05-15 15:05:32.483000+00:00,0.0206,
2023-05-15 15:05:33.437000+00:00,,0.249
2023-05-15 15:05:42.483000+00:00,0.024,
2023-05-15 15:05:43.437000+00:00,,0.2487
2023-05-15 15:05:52.483000+00:00,0.0186,
2023-05-15 15:05:53.437000+00:00,,0.2481
2023-05-15 15:06:02.483000+00:00,0.0235,
2023-05-15 15:06:03.437000+00:00,,0.2489
2023-05-15 15:06:12.483000+00:00,0.0173,
2023-05-15 15:06:13.437000+00:00,,0.248
2023-05-15 15:06:22.483000+00:00,0.0196,
2023-05-15 15:06:23.437000+00:00,,0.2485
2023-05-15 15:06:32.483000+00:00,0.022,
2023-05-15 15:06:33.437000+00:00,,0.2484
2023-05-15 15:06:42.483000+00:00,0.017,
2023-05-15 15:06:43.437000+00:00,,0.249
2023-05-15 15:06:52.483000+00:00,0.0203,
2023-05-15 15:06:53.437000+00:00,,0.2492
2023-05-15 15:07:02.483000+00:00,0.0156,
2023-05-15 15:07:03.437000+00:00,,0.2489
2023-05-15 15:07:12.483000+00:00,0.0165,
2023-05-15 15:07:13.437000+00:00,,0.2482
2023-05-15 15:07:22.483000+00:00,0.0206,
2023-05-15 15:07:23.437000+00:00,,0.2488
2023-05-15 15:07:32.483000+00:00,0.0146,
2023-05-15 15:07:33.437000+00:00,,0.2486
2023-05-15 15:07:42.483000+00:00,0.0146,
2023-05-15 15:07:43.437000+00:00,,0.2487
2023-05-15 15:07:52.483000+00:00,0.0176,
2023-05-15 15:07:53.437000+00:00,,0.2488
2023-05-15 15:08:02.483000+00:00,0.0155,
2023-05-15 15:08:03.437000+00:00,,0.2495
2023-05-15 15:08:12.483000+00:00,0.0145,
2023-05-15 15:08:13.437000+00:00,,0.2498
2023-05-15 15:08:22.483000+00:00,0.0168,
2023-05-15 15:08:23.437000+00:00,,0.2494
2023-05-15 15:08:32.483000+00:00,0.0178,
2023-05-15 15:08:33.437000+00:00,,0.2485
2023-05-15 15:08:42.483000+00:00,0.0145,
2023-05-15 15:08:43.437000+00:00,,0.2492
2023-05-15 15:08:52.483000+00:00,0.0191,
2023-05-15 15:08:53.437000+00:00,,0.2487
2023-05-15 15:09:02.483000+00:00,0.0153,
2023-05-15 15:09:03.437000+00:00,,0.2492
2023-05-15 15:09:12.483000+00:00,0.0138,
2023-05-15 15:09:13.437000+00:00,,0.2496
2023-05-15 15:09:22.483000+00:00,0.0174,
2023-05-15 15:09:23.437000+00:00,,0.2493
2023-05-15 15:09:32.483000+00:00,0.0177,
2023-05-15 15:09:33.437000+00:00,,0.2498
2023-05-15 15:09:42.483000+00:00,0.0173,
2023-05-15 15:09:43.437000+00:00,,0.249
2023-05-15 15:09:52.483000+00:00,0.0144,
2023-05-15 15:09:53.437000+00:00,,0.2496
2023-05-15 15:10:02.483000+00:00,0.0126,
2023-05-15 15:10:03.437000+00:00,,0.2496
2023-05-15 15:10:12.483000+00:00,0.0165,
2023-05-15 15:10:13.437000+00:00,,0.2486
2023-05-15 15:10:22.483000+00:00,0.0163,
2023-05-15 15:10:23.437000+00:00,,0.2485
