@timestamp,cpu,memory
2023-05-12 10:57:07.253000+00:00,0.0277,
2023-05-12 10:57:07.705000+00:00,,0.2504
2023-05-12 10:57:17.253000+00:00,0.032,
2023-05-12 10:57:17.705000+00:00,,0.2508
2023-05-12 10:57:27.253000+00:00,0.0352,
2023-05-12 10:57:27.705000+00:00,,0.2511
2023-05-12 10:57:37.253000+00:00,0.0378,
2023-05-12 10:57:37.705000+00:00,,0.2501
2023-05-12 10:57:47.253000+00:00,0.0403,
2023-05-12 10:57:47.705000+00:00,,0.2503
2023-05-12 10:57:57.253000+00:00,0.0273,
2023-05-12 10:57:57.705000+00:00,,0.2496
2023-05-12 10:58:07.253000+00:00,0.0275,
2023-05-12 10:58:07.705000+00:00,,0.2509
2023-05-12 10:58:17.253000+00:00,0.0277,
2023-05-12 10:58:17.705000+00:00,,0.2499
2023-05-12 10:58:27.253000+00:00,0.0283,
2023-05-12 10:58:27.705000+00:00,,0.2482
2023-05-12 10:58:37.253000+00:00,0.0347,
2023-05-12 10:58:37.705000+00:00,,0.2496
2023-05-12 10:58:47.253000+00:00,0.0341,
2023-05-12 10:58:47.705000+00:00,,0.2502
2023-05-12 10:58:57.253000+00:00,0.038,
2023-05-12 10:58:57.705000+00:00,,0.2509
2023-05-12 10:59:07.253000+00:00,0.0324,
2023-05-12 10:59:07.705000+00:00,,0.2504
2023-05-12 10:59:17.253000+00:00,0.0327,
2023-05-12 10:59:17.705000+00:00,,0.2497
2023-05-12 10:59:27.253000+00:00,0.0362,
2023-05-12 10:59:27.705000+00:00,,0.2498
2023-05-12 10:59:37.253000+00:00,0.0305,
2023-05-12 10:59:37.705000+00:00,,0.2503
2023-05-12 10:59:47.253000+00:00,0.044,
2023-05-12 10:59:47.705000+00:00,,0.25
2023-05-12 10:59:57.253000+00:00,0.0307,
2023-05-12 10:59:57.705000+00:00,,0.2507
2023-05-12 11:00:07.253000+00:00,0.03,
2023-05-12 11:00:07.705000+00:00,,0.2501
2023-05-12 11:00:17.253000+00:00,0.036,
2023-05-12 11:00:17.705000+00:00,,0.2503
2023-05-12 11:00:27.253000+00:00,0.0315,
2023-05-12 11:00:27.705000+00:00,,0.2495
2023-05-12 11:00:37.253000+00:00,0.036,
2023-05-12 11:00:37.705000+00:00,,0.2501
2023-05-12 11:00:47.253000+00:00,0.0314,
2023-05-12 11:00:47.705000+00:00,,0.2502
2023-05-12 11:00:57.253000+00:00,0.034,
2023-05-12 11:00:57.705000+00:00,,0.2491
2023-05-12 11:01:07.253000+00:00,0.033,
2023-05-12 11:01:07.705000+00:00,,0.2488
2023-05-12 11:01:17.253000+00:00,0.0344,
2023-05-12 11:01:17.705000+00:00,,0.2508
2023-05-12 11:01:27.253000+00:00,0.0352,
2023-05-12 11:01:27.705000+00:00,,0.2489
2023-05-12 11:01:37.253000+00:00,0.0339,
2023-05-12 11:01:37.705000+00:00,,0.2499
2023-05-12 11:01:47.253000+00:00,0.0357,
2023-05-12 11:01:47.705000+00:00,,0.2502
2023-05-12 11:01:57.253000+00:00,0.0322,
2023-05-12 11:01:57.705000+00:00,,0.2506
2023-05-12 11:02:07.253000+00:00,0.0315,
2023-05-12 11:02:07.705000+00:00,,0.2498
2023-05-12 11:02:17.253000+00:00,0.034,
2023-05-12 11:02:17.705000+00:00,,0.2499
2023-05-12 11:02:27.253000+00:00,0.032,
2023-05-12 11:02:27.705000+00:00,,0.25
2023-05-12 11:02:37.253000+00:00,0.0308,
2023-05-12 11:02:37.705000+00:00,,0.2507
2023-05-12 11:02:47.253000+00:00,0.0349,
2023-05-12 11:02:47.705000+00:00,,0.2505
2023-05-12 11:02:57.253000+00:00,0.0361,
2023-05-12 11:02:57.705000+00:00,,0.2489
2023-05-12 11:03:07.253000+00:00,0.0369,
2023-05-12 11:03:07.705000+00:00,,0.2495
2023-05-12 11:03:17.253000+00:00,0.0339,
2023-05-12 11:03:17.705000+00:00,,0.2504
2023-05-12 11:03:27.253000+00:00,0.0379,
2023-05-12 11:03:27.705000+00:00,,0.2493
2023-05-12 11:03:37.253000+00:00,0.0331,
2023-05-12 11:03:37.705000+00:00,,0.2494
2023-05-12 11:03:47.253000+00:00,0.0328,
2023-05-12 11:03:47.705000+00:00,,0.2491
2023-05-12 11:03:57.253000+00:00,0.0342,
2023-05-12 11:03:57.705000+00:00,,0.25
2023-05-12 11:04:07.253000+00:00,0.0312,
2023-05-12 11:04:07.705000+00:00,,0.2489
2023-05-12 11:04:17.253000+00:00,0.0384,
2023-05-12 11:04:17.705000+00:00,,0.2506
2023-05-12 11:04:27.253000+00:00,0.0342,
2023-05-12 11:04:27.705000+00:00,,0.2507
2023-05-12 11:04:37.253000+00:00,0.0337,
2023-05-12 11:04:37.705000+00:00,,0.25
2023-05-12 11:04:47.253000+00:00,0.0303,
2023-05-12 11:04:47.705000+00:00,,0.2506
2023-05-12 11:04:57.253000+00:00,0.0342,
2023-05-12 11:04:57.705000+00:00,,0.2497
2023-05-12 11:05:07.253000+00:00,0.0353,
2023-05-12 11:05:07.705000+00:00,,0.2501
2023-05-12 11:05:17.253000+00:00,0.0334,
2023-05-12 11:05:17.705000+00:00,,0.2493
2023-05-12 11:05:27.253000+00:00,0.0355,
2023-05-12 11:05:27.705000+00:00,,0.249
2023-05-12 11:05:37.253000+00:00,0.0342,
2023-05-12 11:05:37.705000+00:00,,0.2475
2023-05-12 11:05:47.253000+00:00,0.0342,
2023-05-12 11:05:47.705000+00:00,,0.2498
2023-05-12 11:05:57.253000+00:00,0.037,
2023-05-12 11:05:57.705000+00:00,,0.2502
2023-05-12 11:06:07.253000+00:00,0.0339,
2023-05-12 11:06:07.705000+00:00,,0.2494
2023-05-12 11:06:17.253000+00:00,0.0352,
2023-05-12 11:06:17.705000+00:00,,0.2501
