@timestamp,cpu,memory
2023-05-15 15:47:56.759000+00:00,0.0298,
2023-05-15 15:47:56.957000+00:00,,0.3292
2023-05-15 15:48:06.759000+00:00,0.007,
2023-05-15 15:48:06.957000+00:00,,0.3292
2023-05-15 15:48:16.759000+00:00,0.0019,
2023-05-15 15:48:16.957000+00:00,,0.3292
2023-05-15 15:48:26.759000+00:00,0.002,
2023-05-15 15:48:26.957000+00:00,,0.3292
2023-05-15 15:48:36.759000+00:00,0.007,
2023-05-15 15:48:36.957000+00:00,,0.3292
2023-05-15 15:48:46.759000+00:00,0.0015,
2023-05-15 15:48:46.957000+00:00,,0.3292
2023-05-15 15:48:56.759000+00:00,0.0028,
2023-05-15 15:48:56.957000+00:00,,0.3292
2023-05-15 15:49:06.759000+00:00,0.003,
2023-05-15 15:49:06.957000+00:00,,0.3292
2023-05-15 15:49:16.759000+00:00,0.0025,
2023-05-15 15:49:16.957000+00:00,,0.3292
2023-05-15 15:49:26.759000+00:00,0.0105,
2023-05-15 15:49:26.957000+00:00,,0.3292
2023-05-15 15:49:36.759000+00:00,0.0095,
2023-05-15 15:49:36.957000+00:00,,0.3292
2023-05-15 15:49:46.759000+00:00,0.0025,
2023-05-15 15:49:46.957000+00:00,,0.3292
2023-05-15 15:49:56.759000+00:00,0.0018,
2023-05-15 15:49:56.957000+00:00,,0.3292
2023-05-15 15:50:06.759000+00:00,0.0057,
2023-05-15 15:50:06.957000+00:00,,0.3292
2023-05-15 15:50:16.759000+00:00,0.0045,
2023-05-15 15:50:16.957000+00:00,,0.3292
2023-05-15 15:50:26.759000+00:00,0.0025,
2023-05-15 15:50:26.957000+00:00,,0.3292
2023-05-15 15:50:36.759000+00:00,0.0025,
2023-05-15 15:50:36.957000+00:00,,0.3292
2023-05-15 15:50:46.759000+00:00,0.0033,
2023-05-15 15:50:46.957000+00:00,,0.3292
2023-05-15 15:50:56.759000+00:00,0.0027,
2023-05-15 15:50:56.957000+00:00,,0.3292
2023-05-15 15:51:06.759000+00:00,0.0032,
2023-05-15 15:51:06.957000+00:00,,0.3292
2023-05-15 15:51:16.759000+00:00,0.0095,
2023-05-15 15:51:16.957000+00:00,,0.3292
2023-05-15 15:51:26.759000+00:00,0.0015,
2023-05-15 15:51:26.957000+00:00,,0.3292
2023-05-15 15:51:36.759000+00:00,0.0017,
2023-05-15 15:51:36.957000+00:00,,0.3292
2023-05-15 15:51:46.759000+00:00,0.002,
2023-05-15 15:51:46.957000+00:00,,0.3292
2023-05-15 15:51:56.759000+00:00,0.0063,
2023-05-15 15:51:56.957000+00:00,,0.3292
2023-05-15 15:52:06.759000+00:00,0.0058,
2023-05-15 15:52:06.957000+00:00,,0.3292
2023-05-15 15:52:16.759000+00:00,0.0033,
2023-05-15 15:52:16.957000+00:00,,0.3292
2023-05-15 15:52:26.759000+00:00,0.0017,
2023-05-15 15:52:26.957000+00:00,,0.3292
2023-05-15 15:52:36.759000+00:00,0.0035,
2023-05-15 15:52:36.957000+00:00,,0.3292
2023-05-15 15:52:46.759000+00:00,0.0013,
2023-05-15 15:52:46.957000+00:00,,0.3293
