@timestamp,memory,cpu
2023-04-28 12:55:23.819000+00:00,0.3077,
2023-04-28 12:55:23.965000+00:00,,0.4818
2023-04-28 12:55:24.016000+00:00,,0.4755
2023-04-28 12:55:24.149000+00:00,,0.5102
2023-04-28 12:55:24.256000+00:00,0.3061,
2023-04-28 12:55:24.510000+00:00,,0.4896
2023-04-28 12:55:24.573000+00:00,,0.5058
2023-04-28 12:55:24.858000+00:00,0.3087,
2023-04-28 12:55:24.870000+00:00,0.3064,
2023-04-28 12:55:25.104000+00:00,0.3097,
2023-04-28 12:55:25.221000+00:00,0.3082,
2023-04-28 12:55:25.286000+00:00,0.3094,
2023-04-28 12:55:25.855000+00:00,,0.4381
2023-04-28 12:55:25.890000+00:00,0.3072,
2023-04-28 12:55:27.322000+00:00,,0.4899
2023-04-28 12:55:28.120000+00:00,,0.5404
2023-04-28 12:55:28.299000+00:00,0.3094,
2023-04-28 12:55:28.514000+00:00,,0.5092
2023-04-28 12:55:28.687000+00:00,,0.6419
2023-04-28 12:55:28.755000+00:00,0.312,
2023-04-28 12:55:28.819000+00:00,0.3133,
2023-04-28 12:55:28.965000+00:00,,0.7556
2023-04-28 12:55:29.016000+00:00,,0.5321
2023-04-28 12:55:29.149000+00:00,,0.5965
2023-04-28 12:55:29.256000+00:00,0.3107,
2023-04-28 12:55:29.510000+00:00,,0.5788
2023-04-28 12:55:29.573000+00:00,,0.612
2023-04-28 12:55:29.858000+00:00,0.3131,
2023-04-28 12:55:29.870000+00:00,0.312,
2023-04-28 12:55:30.104000+00:00,0.3162,
2023-04-28 12:55:30.221000+00:00,0.3141,
2023-04-28 12:55:30.286000+00:00,0.3155,
2023-04-28 12:55:30.855000+00:00,,0.8092
2023-04-28 12:55:30.890000+00:00,0.3141,
2023-04-28 12:55:32.322000+00:00,,0.7655
2023-04-28 12:55:33.120000+00:00,,0.8347
2023-04-28 12:55:33.299000+00:00,0.3164,
2023-04-28 12:55:33.514000+00:00,,0.8197
2023-04-28 12:55:33.687000+00:00,,0.8576
2023-04-28 12:55:33.755000+00:00,0.3187,
2023-04-28 12:55:33.819000+00:00,0.3191,
2023-04-28 12:55:33.965000+00:00,,0.9829
2023-04-28 12:55:34.016000+00:00,,0.8316
2023-04-28 12:55:34.149000+00:00,,0.8401
2023-04-28 12:55:34.256000+00:00,0.3168,
2023-04-28 12:55:34.510000+00:00,,0.8466
2023-04-28 12:55:34.573000+00:00,,0.855
2023-04-28 12:55:34.858000+00:00,0.32,
2023-04-28 12:55:34.870000+00:00,0.3185,
2023-04-28 12:55:35.104000+00:00,0.3237,
2023-04-28 12:55:35.221000+00:00,0.3196,
2023-04-28 12:55:35.286000+00:00,0.3212,
2023-04-28 12:55:35.855000+00:00,,0.8438
2023-04-28 12:55:35.890000+00:00,0.319,
2023-04-28 12:55:37.322000+00:00,,0.8844
2023-04-28 12:55:38.120000+00:00,,0.9021
2023-04-28 12:55:38.299000+00:00,0.3209,
2023-04-28 12:55:38.514000+00:00,,0.8893
2023-04-28 12:55:38.687000+00:00,,0.904
2023-04-28 12:55:38.755000+00:00,0.322,
2023-04-28 12:55:38.819000+00:00,0.3236,
2023-04-28 12:55:38.965000+00:00,,0.9784
2023-04-28 12:55:39.016000+00:00,,0.8918
2023-04-28 12:55:39.149000+00:00,,0.8957
2023-04-28 12:55:39.256000+00:00,0.3209,
2023-04-28 12:55:39.510000+00:00,,0.8909
2023-04-28 12:55:39.573000+00:00,,0.9006
2023-04-28 12:55:39.858000+00:00,0.3246,
2023-04-28 12:55:39.870000+00:00,0.3224,
2023-04-28 12:55:40.104000+00:00,0.328,
2023-04-28 12:55:40.221000+00:00,0.3236,
2023-04-28 12:55:40.286000+00:00,0.3254,
2023-04-28 12:55:40.855000+00:00,,0.8909
2023-04-28 12:55:40.890000+00:00,0.3231,
2023-04-28 12:55:42.322000+00:00,,0.8796
2023-04-28 12:55:43.120000+00:00,,0.8939
2023-04-28 12:55:43.299000+00:00,0.3247,
2023-04-28 12:55:43.514000+00:00,,0.8807
2023-04-28 12:55:43.687000+00:00,,0.8928
2023-04-28 12:55:43.755000+00:00,0.3253,
2023-04-28 12:55:43.819000+00:00,0.3262,
2023-04-28 12:55:43.965000+00:00,,0.9759
2023-04-28 12:55:44.016000+00:00,,0.8878
2023-04-28 12:55:44.149000+00:00,,0.8895
2023-04-28 12:55:44.256000+00:00,0.324,
2023-04-28 12:55:44.510000+00:00,,0.8804
2023-04-28 12:55:44.573000+00:00,,0.896
2023-04-28 12:55:44.858000+00:00,0.3275,
2023-04-28 12:55:44.870000+00:00,0.325,
2023-04-28 12:55:45.104000+00:00,0.3316,
2023-04-28 12:55:45.221000+00:00,0.3267,
2023-04-28 12:55:45.286000+00:00,0.3274,
2023-04-28 12:55:45.855000+00:00,,0.8843
2023-04-28 12:55:45.890000+00:00,0.3259,
2023-04-28 12:55:47.322000+00:00,,0.8918
2023-04-28 12:55:48.120000+00:00,,0.9065
2023-04-28 12:55:48.299000+00:00,0.3276,
2023-04-28 12:55:48.514000+00:00,,0.8911
2023-04-28 12:55:48.687000+00:00,,0.9037
2023-04-28 12:55:48.755000+00:00,0.3277,
2023-04-28 12:55:48.819000+00:00,0.3286,
2023-04-28 12:55:48.965000+00:00,,0.9773
2023-04-28 12:55:49.016000+00:00,,0.902
2023-04-28 12:55:49.149000+00:00,,0.9012
2023-04-28 12:55:49.256000+00:00,0.3264,
2023-04-28 12:55:49.510000+00:00,,0.8991
2023-04-28 12:55:49.573000+00:00,,0.9028
2023-04-28 12:55:49.858000+00:00,0.3311,
2023-04-28 12:55:49.870000+00:00,0.3277,
2023-04-28 12:55:50.104000+00:00,0.3354,
2023-04-28 12:55:50.221000+00:00,0.3293,
2023-04-28 12:55:50.286000+00:00,0.3302,
2023-04-28 12:55:50.855000+00:00,,0.898
2023-04-28 12:55:50.890000+00:00,0.3291,
2023-04-28 12:55:52.322000+00:00,,0.891
2023-04-28 12:55:53.120000+00:00,,0.9049
2023-04-28 12:55:53.299000+00:00,0.3301,
2023-04-28 12:55:53.514000+00:00,,0.8824
2023-04-28 12:55:53.687000+00:00,,0.9043
2023-04-28 12:55:53.755000+00:00,0.3324,
2023-04-28 12:55:53.819000+00:00,0.3336,
2023-04-28 12:55:53.965000+00:00,,0.9779
2023-04-28 12:55:54.016000+00:00,,0.8965
2023-04-28 12:55:54.149000+00:00,,0.9002
2023-04-28 12:55:54.256000+00:00,0.3326,
2023-04-28 12:55:54.510000+00:00,,0.8988
2023-04-28 12:55:54.573000+00:00,,0.9014
2023-04-28 12:55:54.858000+00:00,0.337,
2023-04-28 12:55:54.870000+00:00,0.3327,
