cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.8037027966222222,0.985555837777778,31.28497236222222,28.21946528,0.9884139711111117,0.7522639599999996,30.766953933333383,0.678625,0.31106500000000004,LoadTestSession1,User1,User10,2023-04-28 12:55:23.815000+00:00
1,0.8122203506222226,0.983950124444444,30.79362833333333,27.648731108888896,0.9878161200000001,0.7584450444444437,29.847812153333297,0.676375,0.279365,LoadTestSession1,User1,User10,2023-04-28 12:55:40.815000+00:00
2,0.8112852597111102,0.9837676733333337,30.608674135555546,27.45174126888888,0.9876875977777777,0.7578155888888886,29.585698882222214,0.6483749999999999,0.29805250000000005,LoadTestSession1,User1,User10,2023-04-28 12:55:57.815000+00:00
3,0.8104487826666669,0.9837200999999997,30.66894293555552,27.514076573333327,0.9877001022222225,0.7571992955555561,29.66007751111111,0.23975000000000002,0.2769275,LoadTestSession1,User1,User10,2023-04-28 12:56:14.815000+00:00
4,0.8143927810222226,0.9842036577777774,30.817873446666628,27.672345455555554,0.9881304488888895,0.7603550200000007,29.873728784444463,0.31725000000000003,0.3138875,LoadTestSession1,User1,User10,2023-04-28 12:56:31.815000+00:00
5,0.8118350374222225,0.9837887088888887,30.68085379999999,27.52450082888889,0.9877731199999994,0.7579975511111111,29.65773030222225,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:56:48.815000+00:00
6,0.8077038359555552,0.9816546066666669,31.116893206666667,27.999899346666624,0.9863820066666672,0.7527496688888892,30.350287424444456,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:57:05.815000+00:00
7,0.8001493825333335,0.9798008911111115,30.749897348888876,27.61931366222222,0.9853391133333332,0.7472987888888883,29.897825284444455,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:57:22.815000+00:00
8,0.8063972631777788,0.9833252466666669,30.907846224444462,27.780518277777766,0.9873173711111114,0.7530946266666664,30.06071751555557,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:57:39.815000+00:00
9,0.7938311835111109,0.975819446666666,30.60548734222219,27.46043897555556,0.982991877777778,0.743552135555556,29.697205928888867,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:57:56.815000+00:00
10,0.8095814338888893,0.9832206266666665,30.406135897777794,27.23597337555558,0.987378466666667,0.7566350555555555,29.30189586666669,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:58:13.815000+00:00
11,0.8083829077111111,0.9831470511111109,30.378277671111096,27.212305533333346,0.9872861733333328,0.7550643688888891,29.287370151111087,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:58:30.815000+00:00
12,0.8081266254888894,0.9831453777777778,30.350705959999978,27.18286634666668,0.9872846755555549,0.7548079111111109,29.24434282888891,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:58:47.815000+00:00
13,0.585576814022222,0.8680680422222224,25.33685078444443,22.11298592666667,0.9198100799999995,0.5570882844444444,23.858847140000023,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:59:04.815000+00:00
14,0.8100622258222221,0.9835076488888896,30.45242393777778,27.28522324444446,0.9875502000000005,0.7570416777777773,29.37253903333332,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:59:21.815000+00:00
15,0.8106654202222223,0.9834910733333339,30.53563886888887,27.371816862222246,0.9875932888888885,0.757509604444444,29.487393280000024,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:59:38.815000+00:00
16,0.8051929111999998,0.9825281111111117,30.310812375555543,27.148398988888875,0.9868378955555549,0.752819666666667,29.22335453555559,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 12:59:55.815000+00:00
17,0.8078906149777784,0.9833551377777782,30.369765979999993,27.203840124444437,0.9874414244444438,0.752920131111111,29.280181797777786,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:00:12.815000+00:00
18,0.8072995180444456,0.9831501799999995,30.387682755555556,27.2314644733333,0.9871798755555552,0.7496661644444439,29.34442835777778,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:00:29.815000+00:00
19,0.593870305822222,0.8705998155555558,25.42172395555557,22.195900671111097,0.9218873444444451,0.5613468466666663,23.92842303333333,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:00:46.815000+00:00
20,0.8089551412444448,0.983250744444444,30.393205324444434,27.22677793555555,0.9873534888888885,0.7554909933333334,29.30761769999999,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:01:03.815000+00:00
21,0.8085090304888886,0.9832943599999994,30.445208824444453,27.28224919777776,0.9873732688888882,0.7550824488888878,29.3728729977778,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:01:20.815000+00:00
22,0.807722776311111,0.9831131733333336,30.383523388888882,27.218811935555554,0.9872483977777787,0.7537562200000001,29.300587286666676,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:01:37.815000+00:00
23,0.8098722357777776,0.9833980466666674,30.46409218000001,27.29868746000001,0.9874533533333332,0.755935902222222,29.395576228888878,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:01:54.815000+00:00
24,0.805773113288888,0.9824240933333336,30.322181986666635,27.158673862222216,0.9866739777777774,0.751611042222222,29.24007658666665,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:02:11.815000+00:00
25,0.5979752207555554,0.872450080000001,25.392068031111098,22.200018875555553,0.9222950800000003,0.5636194066666665,23.951862355555555,-0.25,-0.25,LoadTestSession1,User1,User10,2023-04-28 13:02:28.815000+00:00
