@timestamp,cpu,memory
2023-02-27 13:58:01.306000+00:00,0.998,
2023-02-27 13:58:01.509000+00:00,,0.693
2023-02-27 13:58:01.668000+00:00,,0.6932
2023-02-27 13:58:02.112000+00:00,,0.6891
2023-02-27 13:58:02.651000+00:00,0.992,
2023-02-27 13:58:02.751000+00:00,,0.9442
2023-02-27 13:58:02.782000+00:00,,0.7002
2023-02-27 13:58:02.799000+00:00,0.9829,
2023-02-27 13:58:03.541000+00:00,0.986,
2023-02-27 13:58:03.644000+00:00,,0.6907
2023-02-27 13:58:03.665000+00:00,0.6136,
2023-02-27 13:58:03.919000+00:00,0.997,
2023-02-27 13:58:04.153000+00:00,,0.6935
2023-02-27 13:58:04.337000+00:00,,0.6956
2023-02-27 13:58:04.668000+00:00,,0.6921
2023-02-27 13:58:04.723000+00:00,0.9889,
2023-02-27 13:58:04.728000+00:00,0.9859,
2023-02-27 13:58:04.873000+00:00,,0.7015
2023-02-27 13:58:05.298000+00:00,,0.6952
2023-02-27 13:58:05.480000+00:00,0.999,
2023-02-27 13:58:05.490000+00:00,0.995,
2023-02-27 13:58:05.649000+00:00,0.9771,
2023-02-27 13:58:06.306000+00:00,0.996,
2023-02-27 13:58:06.507000+00:00,,0.6981
2023-02-27 13:58:06.668000+00:00,,0.7072
2023-02-27 13:58:07.112000+00:00,,0.6985
2023-02-27 13:58:07.651000+00:00,0.996,
2023-02-27 13:58:07.751000+00:00,,0.9394
2023-02-27 13:58:07.782000+00:00,,0.7188
2023-02-27 13:58:07.799000+00:00,0.9879,
2023-02-27 13:58:08.541000+00:00,0.9899,
2023-02-27 13:58:08.644000+00:00,,0.7015
2023-02-27 13:58:08.665000+00:00,0.1676,
2023-02-27 13:58:08.919000+00:00,0.992,
2023-02-27 13:58:09.153000+00:00,,0.7063
2023-02-27 13:58:09.337000+00:00,,0.7122
2023-02-27 13:58:09.668000+00:00,,0.7072
2023-02-27 13:58:09.723000+00:00,0.988,
2023-02-27 13:58:09.728000+00:00,0.9839,
2023-02-27 13:58:09.873000+00:00,,0.7197
2023-02-27 13:58:10.298000+00:00,,0.7154
2023-02-27 13:58:10.480000+00:00,0.992,
2023-02-27 13:58:10.490000+00:00,0.998,
2023-02-27 13:58:10.646000+00:00,0.9728,
2023-02-27 13:58:11.306000+00:00,0.994,
