@timestamp,memory,cpu
2023-02-23 13:08:26.799000+00:00,0.232,
2023-02-23 13:08:29.395000+00:00,,0.0057
2023-02-23 13:08:36.799000+00:00,0.2317,
2023-02-23 13:08:39.395000+00:00,,0.0038
2023-02-23 13:08:46.799000+00:00,0.231,
2023-02-23 13:08:49.395000+00:00,,0.004
2023-02-23 13:08:56.799000+00:00,0.2313,
2023-02-23 13:08:59.395000+00:00,,0.0048
2023-02-23 13:09:06.799000+00:00,0.2315,
2023-02-23 13:09:09.395000+00:00,,0.0042
2023-02-23 13:09:16.799000+00:00,0.231,
2023-02-23 13:09:19.395000+00:00,,0.003
2023-02-23 13:09:26.799000+00:00,0.2312,
2023-02-23 13:09:29.395000+00:00,,0.005
2023-02-23 13:09:36.799000+00:00,0.2313,
2023-02-23 13:09:39.395000+00:00,,0.0032
2023-02-23 13:09:46.799000+00:00,0.2312,
2023-02-23 13:09:49.395000+00:00,,0.0047
2023-02-23 13:09:56.799000+00:00,0.2317,
2023-02-23 13:09:59.395000+00:00,,0.0055
2023-02-23 13:10:06.799000+00:00,0.2307,
2023-02-23 13:10:09.395000+00:00,,0.0033
2023-02-23 13:10:16.799000+00:00,0.2305,
2023-02-23 13:10:19.395000+00:00,,0.0028
2023-02-23 13:10:26.799000+00:00,0.231,
2023-02-23 13:10:29.395000+00:00,,0.004
2023-02-23 13:10:36.799000+00:00,0.2306,
2023-02-23 13:10:39.395000+00:00,,0.0037
2023-02-23 13:10:46.799000+00:00,0.2308,
2023-02-23 13:10:49.395000+00:00,,0.0045
2023-02-23 13:10:56.799000+00:00,0.2311,
2023-02-23 13:10:59.395000+00:00,,0.0055
2023-02-23 13:11:06.799000+00:00,0.231,
2023-02-23 13:11:09.395000+00:00,,0.0045
2023-02-23 13:11:16.799000+00:00,0.2312,
2023-02-23 13:11:19.395000+00:00,,0.0047
2023-02-23 13:11:26.799000+00:00,0.2309,
2023-02-23 13:11:29.395000+00:00,,0.0052
2023-02-23 13:11:36.799000+00:00,0.2314,
2023-02-23 13:11:39.395000+00:00,,0.0033
2023-02-23 13:11:46.799000+00:00,0.2311,
2023-02-23 13:11:49.395000+00:00,,0.0032
2023-02-23 13:11:56.799000+00:00,0.2311,
2023-02-23 13:11:59.395000+00:00,,0.005
2023-02-23 13:12:06.799000+00:00,0.2313,
2023-02-23 13:12:09.395000+00:00,,0.0042
2023-02-23 13:12:16.799000+00:00,0.2315,
2023-02-23 13:12:19.395000+00:00,,0.0033
2023-02-23 13:12:26.799000+00:00,0.2309,
2023-02-23 13:12:29.395000+00:00,,0.0045
2023-02-23 13:12:36.799000+00:00,0.2304,
2023-02-23 13:12:39.395000+00:00,,0.003
2023-02-23 13:12:46.799000+00:00,0.231,
2023-02-23 13:12:49.395000+00:00,,0.0028
2023-02-23 13:12:56.799000+00:00,0.2305,
2023-02-23 13:12:59.395000+00:00,,0.0053
2023-02-23 13:13:06.799000+00:00,0.2301,
2023-02-23 13:13:09.395000+00:00,,0.0035
2023-02-23 13:13:16.799000+00:00,0.2298,
2023-02-23 13:13:19.395000+00:00,,0.0035
2023-02-23 13:13:26.799000+00:00,0.2303,
2023-02-23 13:13:29.395000+00:00,,0.004
2023-02-23 13:13:36.799000+00:00,0.2303,
2023-02-23 13:13:39.395000+00:00,,0.0047
