@timestamp,cpu,memory
2023-02-24 14:57:14.786000+00:00,0.004,
2023-02-24 14:57:14.845000+00:00,,0.2676
2023-02-24 14:57:14.909000+00:00,,
2023-02-24 14:57:15.030000+00:00,,
2023-02-24 14:57:16.347000+00:00,,
2023-02-24 14:57:17.772000+00:00,,
2023-02-24 14:57:19.129000+00:00,,
2023-02-24 14:57:20.568000+00:00,,
2023-02-24 14:57:24.786000+00:00,0.0047,
2023-02-24 14:57:24.845000+00:00,,0.2676
2023-02-24 14:57:24.909000+00:00,,
2023-02-24 14:57:25.030000+00:00,,
2023-02-24 14:57:26.347000+00:00,,
2023-02-24 14:57:27.772000+00:00,,
2023-02-24 14:57:29.129000+00:00,,
2023-02-24 14:57:30.568000+00:00,,
2023-02-24 14:57:34.786000+00:00,0.0055,
2023-02-24 14:57:34.845000+00:00,,0.2669
2023-02-24 14:57:34.909000+00:00,,
2023-02-24 14:57:35.030000+00:00,,
2023-02-24 14:57:36.347000+00:00,,
2023-02-24 14:57:37.772000+00:00,,
2023-02-24 14:57:39.129000+00:00,,
2023-02-24 14:57:40.568000+00:00,,
2023-02-24 14:57:44.786000+00:00,0.0045,
2023-02-24 14:57:44.845000+00:00,,0.2676
2023-02-24 14:57:44.909000+00:00,,
2023-02-24 14:57:45.030000+00:00,,
2023-02-24 14:57:46.347000+00:00,,
2023-02-24 14:57:47.772000+00:00,,
2023-02-24 14:57:49.129000+00:00,,
2023-02-24 14:57:50.568000+00:00,,
2023-02-24 14:57:54.786000+00:00,0.005,
2023-02-24 14:57:54.845000+00:00,,0.2675
2023-02-24 14:57:54.909000+00:00,,
2023-02-24 14:57:55.030000+00:00,,
2023-02-24 14:57:56.347000+00:00,,
2023-02-24 14:57:57.772000+00:00,,
2023-02-24 14:57:59.129000+00:00,,
2023-02-24 14:58:00.568000+00:00,,
2023-02-24 14:58:04.786000+00:00,0.0043,
2023-02-24 14:58:04.845000+00:00,,0.2676
2023-02-24 14:58:04.909000+00:00,,
2023-02-24 14:58:05.030000+00:00,,
2023-02-24 14:58:06.347000+00:00,,
2023-02-24 14:58:07.772000+00:00,,
2023-02-24 14:58:09.129000+00:00,,
2023-02-24 14:58:10.568000+00:00,,
2023-02-24 14:58:14.786000+00:00,0.0032,
2023-02-24 14:58:14.845000+00:00,,0.2674
2023-02-24 14:58:14.909000+00:00,,
2023-02-24 14:58:15.030000+00:00,,
2023-02-24 14:58:16.347000+00:00,,
2023-02-24 14:58:17.772000+00:00,,
2023-02-24 14:58:19.129000+00:00,,
2023-02-24 14:58:20.568000+00:00,,
2023-02-24 14:58:24.786000+00:00,0.0055,
2023-02-24 14:58:24.845000+00:00,,0.2677
2023-02-24 14:58:24.909000+00:00,,
2023-02-24 14:58:25.030000+00:00,,
2023-02-24 14:58:26.347000+00:00,,
2023-02-24 14:58:27.772000+00:00,,
2023-02-24 14:58:29.129000+00:00,,
2023-02-24 14:58:30.568000+00:00,,
2023-02-24 14:58:34.786000+00:00,0.0035,
2023-02-24 14:58:34.845000+00:00,,0.268
2023-02-24 14:58:34.909000+00:00,,
2023-02-24 14:58:35.030000+00:00,,
2023-02-24 14:58:36.347000+00:00,,
2023-02-24 14:58:37.772000+00:00,,
2023-02-24 14:58:39.129000+00:00,,
2023-02-24 14:58:40.568000+00:00,,
2023-02-24 14:58:44.786000+00:00,0.0042,
2023-02-24 14:58:44.845000+00:00,,0.2679
2023-02-24 14:58:44.909000+00:00,,
2023-02-24 14:58:45.030000+00:00,,
2023-02-24 14:58:46.347000+00:00,,
2023-02-24 14:58:47.772000+00:00,,
2023-02-24 14:58:49.129000+00:00,,
2023-02-24 14:58:50.568000+00:00,,
2023-02-24 14:58:54.786000+00:00,0.006,
2023-02-24 14:58:54.845000+00:00,,0.2678
2023-02-24 14:58:54.909000+00:00,,
2023-02-24 14:58:55.030000+00:00,,
2023-02-24 14:58:56.347000+00:00,,
2023-02-24 14:58:57.772000+00:00,,
2023-02-24 14:58:59.129000+00:00,,
2023-02-24 14:59:00.568000+00:00,,
2023-02-24 14:59:04.786000+00:00,0.0043,
2023-02-24 14:59:04.845000+00:00,,0.2674
2023-02-24 14:59:04.909000+00:00,,
2023-02-24 14:59:05.030000+00:00,,
2023-02-24 14:59:06.347000+00:00,,
2023-02-24 14:59:07.772000+00:00,,
2023-02-24 14:59:09.129000+00:00,,
2023-02-24 14:59:10.568000+00:00,,
2023-02-24 14:59:14.786000+00:00,0.005,
2023-02-24 14:59:14.845000+00:00,,0.2674
2023-02-24 14:59:14.909000+00:00,,
2023-02-24 14:59:15.030000+00:00,,
2023-02-24 14:59:16.347000+00:00,,
2023-02-24 14:59:17.772000+00:00,,
2023-02-24 14:59:19.129000+00:00,,
2023-02-24 14:59:20.568000+00:00,,
2023-02-24 14:59:24.786000+00:00,0.0058,
2023-02-24 14:59:24.845000+00:00,,0.268
2023-02-24 14:59:24.909000+00:00,,
2023-02-24 14:59:25.030000+00:00,,
2023-02-24 14:59:26.347000+00:00,,
2023-02-24 14:59:27.772000+00:00,,
2023-02-24 14:59:29.129000+00:00,,
2023-02-24 14:59:30.568000+00:00,,
2023-02-24 14:59:34.786000+00:00,0.0045,
2023-02-24 14:59:34.845000+00:00,,0.268
2023-02-24 14:59:34.909000+00:00,,
2023-02-24 14:59:35.030000+00:00,,
2023-02-24 14:59:36.347000+00:00,,
2023-02-24 14:59:37.772000+00:00,,
2023-02-24 14:59:39.129000+00:00,,
2023-02-24 14:59:40.568000+00:00,,
2023-02-24 14:59:44.786000+00:00,0.0045,
2023-02-24 14:59:44.845000+00:00,,0.2678
2023-02-24 14:59:44.909000+00:00,,
2023-02-24 14:59:45.030000+00:00,,
2023-02-24 14:59:46.347000+00:00,,
2023-02-24 14:59:47.772000+00:00,,
2023-02-24 14:59:49.129000+00:00,,
2023-02-24 14:59:50.568000+00:00,,
2023-02-24 14:59:54.786000+00:00,0.0053,
2023-02-24 14:59:54.845000+00:00,,0.2674
2023-02-24 14:59:54.909000+00:00,,
2023-02-24 14:59:55.030000+00:00,,
2023-02-24 14:59:56.347000+00:00,,
2023-02-24 14:59:57.772000+00:00,,
2023-02-24 14:59:59.129000+00:00,,
2023-02-24 15:00:00.568000+00:00,,
2023-02-24 15:00:04.786000+00:00,0.0045,
2023-02-24 15:00:04.845000+00:00,,0.2673
2023-02-24 15:00:04.909000+00:00,,
2023-02-24 15:00:05.030000+00:00,,
2023-02-24 15:00:06.347000+00:00,,
2023-02-24 15:00:07.772000+00:00,,
2023-02-24 15:00:09.129000+00:00,,
2023-02-24 15:00:10.568000+00:00,,
2023-02-24 15:00:14.786000+00:00,0.0042,
2023-02-24 15:00:14.845000+00:00,,0.2671
2023-02-24 15:00:14.909000+00:00,,
2023-02-24 15:00:15.030000+00:00,,
2023-02-24 15:00:16.347000+00:00,,
2023-02-24 15:00:17.772000+00:00,,
2023-02-24 15:00:19.129000+00:00,,
2023-02-24 15:00:20.568000+00:00,,
2023-02-24 15:00:24.786000+00:00,0.0048,
2023-02-24 15:00:24.845000+00:00,,0.2674
2023-02-24 15:00:24.909000+00:00,,
2023-02-24 15:00:25.030000+00:00,,
2023-02-24 15:00:26.347000+00:00,,
2023-02-24 15:00:27.772000+00:00,,
2023-02-24 15:00:29.129000+00:00,,
2023-02-24 15:00:30.568000+00:00,,
2023-02-24 15:00:34.786000+00:00,0.005,
2023-02-24 15:00:34.845000+00:00,,0.2672
2023-02-24 15:00:34.909000+00:00,,
2023-02-24 15:00:35.030000+00:00,,
2023-02-24 15:00:36.347000+00:00,,
2023-02-24 15:00:37.772000+00:00,,
2023-02-24 15:00:39.129000+00:00,,
2023-02-24 15:00:40.568000+00:00,,
2023-02-24 15:00:44.786000+00:00,0.0048,
2023-02-24 15:00:44.845000+00:00,,0.2674
2023-02-24 15:00:44.909000+00:00,,
2023-02-24 15:00:45.030000+00:00,,
2023-02-24 15:00:46.347000+00:00,,
2023-02-24 15:00:47.772000+00:00,,
2023-02-24 15:00:49.129000+00:00,,
2023-02-24 15:00:50.568000+00:00,,
2023-02-24 15:00:54.786000+00:00,0.0058,
2023-02-24 15:00:54.845000+00:00,,0.2675
2023-02-24 15:00:54.909000+00:00,,
2023-02-24 15:00:55.030000+00:00,,
2023-02-24 15:00:56.347000+00:00,,
2023-02-24 15:00:57.772000+00:00,,
2023-02-24 15:00:59.129000+00:00,,
2023-02-24 15:01:00.568000+00:00,,
2023-02-24 15:01:04.786000+00:00,0.0047,
2023-02-24 15:01:04.845000+00:00,,0.2676
