@timestamp,memory,cpu
2023-02-28 15:14:18.957000+00:00,,0.5226
2023-02-28 15:14:19.302000+00:00,,0.6939
2023-02-28 15:14:19.376000+00:00,0.6582,
2023-02-28 15:14:19.447000+00:00,0.7804,
2023-02-28 15:14:19.875000+00:00,,0.6022
2023-02-28 15:14:19.912000+00:00,0.6655,
2023-02-28 15:14:20.092000+00:00,,0.6074
2023-02-28 15:14:20.100000+00:00,,0.6582
2023-02-28 15:14:20.313000+00:00,,0.5898
2023-02-28 15:14:20.394000+00:00,,0.5971
2023-02-28 15:14:20.480000+00:00,0.7509,
2023-02-28 15:14:20.544000+00:00,0.7593,
2023-02-28 15:14:20.556000+00:00,0.7488,
2023-02-28 15:14:20.884000+00:00,,0.6306
2023-02-28 15:14:21.048000+00:00,,0.6815
2023-02-28 15:14:21.056000+00:00,0.7492,
2023-02-28 15:14:21.608000+00:00,0.7551,
2023-02-28 15:14:21.711000+00:00,,0.6994
2023-02-28 15:14:21.751000+00:00,,0.6569
2023-02-28 15:14:21.754000+00:00,0.6572,
2023-02-28 15:14:21.908000+00:00,0.7508,
2023-02-28 15:14:22.194000+00:00,0.6586,
2023-02-28 15:14:22.291000+00:00,,0.6718
2023-02-28 15:14:22.609000+00:00,,0.8105
2023-02-28 15:14:22.751000+00:00,0.9506,
2023-02-28 15:14:23.379000+00:00,0.7546,
2023-02-28 15:14:23.665000+00:00,,0.5613
2023-02-28 15:14:23.721000+00:00,0.7501,
2023-02-28 15:14:23.957000+00:00,,0.7026
2023-02-28 15:14:24.302000+00:00,,0.8211
2023-02-28 15:14:24.376000+00:00,0.6622,
2023-02-28 15:14:24.447000+00:00,0.7854,
2023-02-28 15:14:24.875000+00:00,,0.7072
2023-02-28 15:14:24.912000+00:00,0.6631,
2023-02-28 15:14:25.092000+00:00,,0.7127
2023-02-28 15:14:25.100000+00:00,,0.7824
2023-02-28 15:14:25.313000+00:00,,0.7195
2023-02-28 15:14:25.394000+00:00,,0.7307
2023-02-28 15:14:25.480000+00:00,0.7492,
2023-02-28 15:14:25.544000+00:00,0.7604,
2023-02-28 15:14:25.556000+00:00,0.7507,
2023-02-28 15:14:25.884000+00:00,,0.7329
2023-02-28 15:14:26.045000+00:00,0.7502,
2023-02-28 15:14:26.048000+00:00,,0.7745
2023-02-28 15:14:26.608000+00:00,0.7548,
2023-02-28 15:14:26.711000+00:00,,0.7396
2023-02-28 15:14:26.751000+00:00,,0.7006
2023-02-28 15:14:26.754000+00:00,0.6578,
2023-02-28 15:14:26.908000+00:00,0.7525,
2023-02-28 15:14:27.194000+00:00,0.6603,
2023-02-28 15:14:27.291000+00:00,,0.6802
2023-02-28 15:14:27.609000+00:00,,0.7209
2023-02-28 15:14:27.751000+00:00,0.9609,
2023-02-28 15:14:28.379000+00:00,0.7538,
2023-02-28 15:14:28.666000+00:00,,0.6117
2023-02-28 15:14:28.721000+00:00,0.7516,
2023-02-28 15:14:28.956000+00:00,,0.6601
2023-02-28 15:14:29.302000+00:00,,0.7569
2023-02-28 15:14:29.376000+00:00,0.6621,
2023-02-28 15:14:29.447000+00:00,0.7863,
2023-02-28 15:14:29.875000+00:00,,0.6742
2023-02-28 15:14:29.912000+00:00,0.6628,
2023-02-28 15:14:30.092000+00:00,,0.6563
2023-02-28 15:14:30.100000+00:00,,0.705
2023-02-28 15:14:30.313000+00:00,,0.6512
2023-02-28 15:14:30.394000+00:00,,0.6851
2023-02-28 15:14:30.480000+00:00,0.7492,
2023-02-28 15:14:30.544000+00:00,0.7588,
2023-02-28 15:14:30.556000+00:00,0.753,
2023-02-28 15:14:30.884000+00:00,,0.6646
2023-02-28 15:14:31.045000+00:00,0.7523,
2023-02-28 15:14:31.048000+00:00,,0.7309
2023-02-28 15:14:31.608000+00:00,0.7552,
2023-02-28 15:14:31.711000+00:00,,0.7288
2023-02-28 15:14:31.751000+00:00,,0.7039
2023-02-28 15:14:31.754000+00:00,0.6569,
2023-02-28 15:14:31.908000+00:00,0.7527,
2023-02-28 15:14:32.194000+00:00,0.6606,
2023-02-28 15:14:32.291000+00:00,,0.7247
2023-02-28 15:14:32.609000+00:00,,0.7327
2023-02-28 15:14:32.751000+00:00,0.9542,
2023-02-28 15:14:33.379000+00:00,0.7563,
2023-02-28 15:14:33.665000+00:00,,0.548
2023-02-28 15:14:33.721000+00:00,0.7527,
2023-02-28 15:14:33.957000+00:00,,0.7464
2023-02-28 15:14:34.302000+00:00,,0.7894
2023-02-28 15:14:34.376000+00:00,0.6645,
2023-02-28 15:14:34.447000+00:00,0.787,
2023-02-28 15:14:34.875000+00:00,,0.748
2023-02-28 15:14:34.912000+00:00,0.6653,
2023-02-28 15:14:35.092000+00:00,,0.7378
2023-02-28 15:14:35.100000+00:00,,0.8008
2023-02-28 15:14:35.313000+00:00,,0.7333
2023-02-28 15:14:35.394000+00:00,,0.7544
2023-02-28 15:14:35.480000+00:00,0.7526,
2023-02-28 15:14:35.544000+00:00,0.7611,
2023-02-28 15:14:35.556000+00:00,0.7531,
2023-02-28 15:14:35.884000+00:00,,0.7398
2023-02-28 15:14:36.045000+00:00,0.7536,
2023-02-28 15:14:36.048000+00:00,,0.7835
2023-02-28 15:14:36.608000+00:00,0.7579,
2023-02-28 15:14:36.711000+00:00,,0.7767
2023-02-28 15:14:36.751000+00:00,,0.7457
2023-02-28 15:14:36.754000+00:00,0.6586,
2023-02-28 15:14:36.908000+00:00,0.7564,
2023-02-28 15:14:37.194000+00:00,0.6619,
2023-02-28 15:14:37.291000+00:00,,0.749
2023-02-28 15:14:37.609000+00:00,,0.7263
2023-02-28 15:14:37.751000+00:00,0.9667,
2023-02-28 15:14:38.379000+00:00,0.7584,
2023-02-28 15:14:38.665000+00:00,,0.6231
2023-02-28 15:14:38.721000+00:00,0.7546,
2023-02-28 15:14:38.957000+00:00,,0.7398
2023-02-28 15:14:39.302000+00:00,,0.7666
2023-02-28 15:14:39.376000+00:00,0.6648,
2023-02-28 15:14:39.447000+00:00,0.7883,
2023-02-28 15:14:39.875000+00:00,,0.721
2023-02-28 15:14:39.912000+00:00,0.6668,
2023-02-28 15:14:40.092000+00:00,,0.7252
2023-02-28 15:14:40.100000+00:00,,0.8014
2023-02-28 15:14:40.313000+00:00,,0.7367
2023-02-28 15:14:40.394000+00:00,,0.7472
2023-02-28 15:14:40.480000+00:00,0.757,
2023-02-28 15:14:40.544000+00:00,0.7617,
2023-02-28 15:14:40.556000+00:00,0.7545,
2023-02-28 15:14:40.884000+00:00,,0.7531
2023-02-28 15:14:41.045000+00:00,0.7545,
2023-02-28 15:14:41.048000+00:00,,0.7826
2023-02-28 15:14:41.608000+00:00,0.7585,
2023-02-28 15:14:41.711000+00:00,,0.7764
2023-02-28 15:14:41.751000+00:00,,0.7382
2023-02-28 15:14:41.754000+00:00,0.6603,
2023-02-28 15:14:41.908000+00:00,0.7562,
2023-02-28 15:14:42.194000+00:00,0.6624,
2023-02-28 15:14:42.291000+00:00,,0.7416
2023-02-28 15:14:42.609000+00:00,,0.7295
2023-02-28 15:14:42.751000+00:00,0.9568,
2023-02-28 15:14:43.379000+00:00,0.7585,
2023-02-28 15:14:43.665000+00:00,,0.5179
2023-02-28 15:14:43.721000+00:00,0.7564,
2023-02-28 15:14:43.956000+00:00,,0.7378
2023-02-28 15:14:44.302000+00:00,,0.7805
2023-02-28 15:14:44.376000+00:00,0.6666,
2023-02-28 15:14:44.447000+00:00,0.7897,
2023-02-28 15:14:44.875000+00:00,,0.6625
2023-02-28 15:14:44.912000+00:00,0.6671,
2023-02-28 15:14:45.092000+00:00,,0.6721
2023-02-28 15:14:45.100000+00:00,,0.7099
2023-02-28 15:14:45.313000+00:00,,0.6772
2023-02-28 15:14:45.394000+00:00,,0.7026
2023-02-28 15:14:45.480000+00:00,0.7535,
2023-02-28 15:14:45.544000+00:00,0.7623,
2023-02-28 15:14:45.556000+00:00,0.756,
2023-02-28 15:14:45.884000+00:00,,0.8164
2023-02-28 15:14:46.045000+00:00,0.7633,
2023-02-28 15:14:46.048000+00:00,,0.7623
2023-02-28 15:14:46.608000+00:00,0.7622,
2023-02-28 15:14:46.711000+00:00,,0.7237
2023-02-28 15:14:46.751000+00:00,,0.7065
2023-02-28 15:14:46.754000+00:00,0.6612,
2023-02-28 15:14:46.908000+00:00,0.7598,
2023-02-28 15:14:47.194000+00:00,0.6644,
2023-02-28 15:14:47.291000+00:00,,0.723
2023-02-28 15:14:47.609000+00:00,,0.6988
2023-02-28 15:14:47.751000+00:00,0.9675,
2023-02-28 15:14:48.379000+00:00,0.7604,
2023-02-28 15:14:48.665000+00:00,,0.6563
2023-02-28 15:14:48.721000+00:00,0.7596,
2023-02-28 15:14:48.957000+00:00,,0.7612
2023-02-28 15:14:49.302000+00:00,,0.8145
2023-02-28 15:14:49.376000+00:00,0.6708,
2023-02-28 15:14:49.447000+00:00,0.7918,
2023-02-28 15:14:49.875000+00:00,,0.7662
2023-02-28 15:14:49.912000+00:00,0.6689,
2023-02-28 15:14:50.092000+00:00,,0.7673
2023-02-28 15:14:50.100000+00:00,,0.8624
2023-02-28 15:14:50.313000+00:00,,0.7949
2023-02-28 15:14:50.394000+00:00,,0.7929
2023-02-28 15:14:50.480000+00:00,0.7561,
2023-02-28 15:14:50.544000+00:00,0.7644,
2023-02-28 15:14:50.556000+00:00,0.7589,
2023-02-28 15:14:50.884000+00:00,,0.9358
2023-02-28 15:14:51.045000+00:00,0.7604,
2023-02-28 15:14:51.048000+00:00,,0.8347
2023-02-28 15:14:51.608000+00:00,0.762,
2023-02-28 15:14:51.711000+00:00,,0.7845
2023-02-28 15:14:51.751000+00:00,,0.7578
2023-02-28 15:14:51.754000+00:00,0.6636,
2023-02-28 15:14:51.908000+00:00,0.7612,
2023-02-28 15:14:52.194000+00:00,0.665,
2023-02-28 15:14:52.291000+00:00,,0.7655
2023-02-28 15:14:52.609000+00:00,,0.7751
2023-02-28 15:14:52.751000+00:00,0.9598,
2023-02-28 15:14:53.379000+00:00,0.7631,
2023-02-28 15:14:53.665000+00:00,,0.4423
2023-02-28 15:14:53.721000+00:00,0.7587,
2023-02-28 15:14:53.956000+00:00,,0.7335
2023-02-28 15:14:54.302000+00:00,,0.8222
2023-02-28 15:14:54.376000+00:00,0.6708,
2023-02-28 15:14:54.447000+00:00,0.7931,
2023-02-28 15:14:54.875000+00:00,,0.7237
2023-02-28 15:14:54.912000+00:00,0.6715,
2023-02-28 15:14:55.092000+00:00,,0.7229
2023-02-28 15:14:55.100000+00:00,,0.8024
2023-02-28 15:14:55.313000+00:00,,0.7456
2023-02-28 15:14:55.394000+00:00,,0.7559
