@timestamp,cpu,memory
2023-02-28 15:14:21.201000+00:00,0.0017,
2023-02-28 15:14:21.493000+00:00,,0.2777
2023-02-28 15:14:31.201000+00:00,0.0067,
2023-02-28 15:14:31.493000+00:00,,0.2777
2023-02-28 15:14:41.201000+00:00,0.0025,
2023-02-28 15:14:41.493000+00:00,,0.2777
2023-02-28 15:14:51.201000+00:00,0.002,
2023-02-28 15:14:51.493000+00:00,,0.2777
2023-02-28 15:15:01.201000+00:00,0.0065,
2023-02-28 15:15:01.493000+00:00,,0.2777
2023-02-28 15:15:11.201000+00:00,0.0025,
2023-02-28 15:15:11.493000+00:00,,0.2777
2023-02-28 15:15:21.201000+00:00,0.0025,
2023-02-28 15:15:21.493000+00:00,,0.2777
2023-02-28 15:15:31.201000+00:00,0.0045,
2023-02-28 15:15:31.493000+00:00,,0.2777
2023-02-28 15:15:41.201000+00:00,0.0023,
2023-02-28 15:15:41.493000+00:00,,0.2777
2023-02-28 15:15:51.201000+00:00,0.0027,
2023-02-28 15:15:51.493000+00:00,,0.2777
2023-02-28 15:16:01.201000+00:00,0.0042,
2023-02-28 15:16:01.493000+00:00,,0.2777
2023-02-28 15:16:11.201000+00:00,0.0025,
2023-02-28 15:16:11.493000+00:00,,0.2777
2023-02-28 15:16:21.201000+00:00,0.0017,
2023-02-28 15:16:21.493000+00:00,,0.2777
2023-02-28 15:16:31.201000+00:00,0.0047,
2023-02-28 15:16:31.493000+00:00,,0.2777
2023-02-28 15:16:41.201000+00:00,0.0023,
2023-02-28 15:16:41.493000+00:00,,0.2777
2023-02-28 15:16:51.201000+00:00,0.0045,
2023-02-28 15:16:51.493000+00:00,,0.2777
2023-02-28 15:17:01.201000+00:00,0.0037,
2023-02-28 15:17:01.493000+00:00,,0.2777
2023-02-28 15:17:11.201000+00:00,0.002,
2023-02-28 15:17:11.493000+00:00,,0.2777
2023-02-28 15:17:21.201000+00:00,0.002,
2023-02-28 15:17:21.493000+00:00,,0.2777
2023-02-28 15:17:31.201000+00:00,0.0027,
2023-02-28 15:17:31.493000+00:00,,0.2777
2023-02-28 15:17:41.201000+00:00,0.0025,
2023-02-28 15:17:41.493000+00:00,,0.2778
2023-02-28 15:17:51.201000+00:00,0.0022,
2023-02-28 15:17:51.493000+00:00,,0.2778
2023-02-28 15:18:01.201000+00:00,0.0035,
2023-02-28 15:18:01.493000+00:00,,0.2778
2023-02-28 15:18:11.201000+00:00,0.002,
2023-02-28 15:18:11.493000+00:00,,0.2778
2023-02-28 15:18:21.201000+00:00,0.0035,
2023-02-28 15:18:21.493000+00:00,,0.2778
2023-02-28 15:18:31.201000+00:00,0.0038,
2023-02-28 15:18:31.493000+00:00,,0.2778
2023-02-28 15:18:41.201000+00:00,0.0025,
2023-02-28 15:18:41.493000+00:00,,0.2778
2023-02-28 15:18:51.201000+00:00,0.002,
2023-02-28 15:18:51.493000+00:00,,0.2778
2023-02-28 15:19:01.201000+00:00,0.0022,
2023-02-28 15:19:01.493000+00:00,,0.2778
2023-02-28 15:19:11.201000+00:00,0.005,
2023-02-28 15:19:11.493000+00:00,,0.2778
2023-02-28 15:19:21.201000+00:00,0.0023,
