@timestamp,cpu,memory
2023-03-01 09:58:42.293000+00:00,0.2097,
2023-03-01 09:58:42.304000+00:00,,0.356
2023-03-01 09:58:42.405000+00:00,0.211,
2023-03-01 09:58:42.567000+00:00,0.2074,
2023-03-01 09:58:42.641000+00:00,0.2314,
2023-03-01 09:58:42.722000+00:00,0.219,
2023-03-01 09:58:42.751000+00:00,,0.8276
2023-03-01 09:58:42.825000+00:00,,0.3547
2023-03-01 09:58:42.862000+00:00,0.2107,
2023-03-01 09:58:42.869000+00:00,0.2121,
2023-03-01 09:58:42.884000+00:00,,0.354
2023-03-01 09:58:42.919000+00:00,0.2202,
2023-03-01 09:58:42.932000+00:00,,0.3542
2023-03-01 09:58:42.935000+00:00,0.2172,
2023-03-01 09:58:43.080000+00:00,0.2178,
2023-03-01 09:58:43.102000+00:00,,0.3551
2023-03-01 09:58:43.150000+00:00,,0.3545
2023-03-01 09:58:43.175000+00:00,,0.3582
2023-03-01 09:58:43.241000+00:00,,0.3558
2023-03-01 09:58:43.363000+00:00,0.2348,
2023-03-01 09:58:43.371000+00:00,,0.3578
2023-03-01 09:58:43.384000+00:00,,0.3556
2023-03-01 09:58:43.442000+00:00,0.2437,
2023-03-01 09:58:43.555000+00:00,0.2442,
2023-03-01 09:58:43.586000+00:00,0.2214,
2023-03-01 09:58:43.606000+00:00,,0.3583
2023-03-01 09:58:43.665000+00:00,0.8711,
2023-03-01 09:58:43.668000+00:00,,0.3568
2023-03-01 09:58:43.708000+00:00,0.2337,
2023-03-01 09:58:43.925000+00:00,,0.356
2023-03-01 09:58:43.953000+00:00,,0.3589
2023-03-01 09:58:43.967000+00:00,0.2276,
2023-03-01 09:58:43.989000+00:00,0.2406,
2023-03-01 09:58:44.055000+00:00,0.2352,0.3571
2023-03-01 09:58:44.117000+00:00,0.2398,
2023-03-01 09:58:44.147000+00:00,0.2339,
2023-03-01 09:58:44.194000+00:00,,0.3572
2023-03-01 09:58:44.209000+00:00,0.2368,
2023-03-01 09:58:44.244000+00:00,0.2442,
2023-03-01 09:58:44.318000+00:00,0.2758,
2023-03-01 09:58:44.340000+00:00,0.2319,
2023-03-01 09:58:44.450000+00:00,0.2221,
2023-03-01 09:58:44.599000+00:00,,0.3555
2023-03-01 09:58:44.601000+00:00,0.2462,
2023-03-01 09:58:44.634000+00:00,0.2433,
2023-03-01 09:58:44.699000+00:00,,0.3569
