@timestamp,cpu,memory
2023-02-28 15:46:15.663000+00:00,0.0764,
2023-02-28 15:46:16.809000+00:00,,0.2661
2023-02-28 15:46:25.663000+00:00,0.0704,
2023-02-28 15:46:26.809000+00:00,,0.2658
2023-02-28 15:46:35.663000+00:00,0.0701,
2023-02-28 15:46:36.809000+00:00,,0.2655
2023-02-28 15:46:45.663000+00:00,0.0751,
2023-02-28 15:46:46.809000+00:00,,0.2656
2023-02-28 15:46:55.663000+00:00,0.0654,
2023-02-28 15:46:56.809000+00:00,,0.2656
2023-02-28 15:47:05.663000+00:00,0.0761,
2023-02-28 15:47:06.809000+00:00,,0.2654
2023-02-28 15:47:15.663000+00:00,0.0699,
2023-02-28 15:47:16.809000+00:00,,0.2652
2023-02-28 15:47:25.663000+00:00,0.0695,
2023-02-28 15:47:26.809000+00:00,,0.2656
2023-02-28 15:47:35.663000+00:00,0.0759,
2023-02-28 15:47:36.809000+00:00,,0.2657
2023-02-28 15:47:45.663000+00:00,0.0692,
2023-02-28 15:47:46.809000+00:00,,0.2651
2023-02-28 15:47:55.663000+00:00,0.0783,
2023-02-28 15:47:56.809000+00:00,,0.265
2023-02-28 15:48:05.663000+00:00,0.0794,
2023-02-28 15:48:06.809000+00:00,,0.2648
2023-02-28 15:48:15.663000+00:00,0.0824,
2023-02-28 15:48:16.809000+00:00,,0.2651
2023-02-28 15:48:25.663000+00:00,0.0758,
2023-02-28 15:48:26.809000+00:00,,0.265
2023-02-28 15:48:35.663000+00:00,0.0708,
2023-02-28 15:48:36.809000+00:00,,0.2643
2023-02-28 15:48:45.663000+00:00,0.0772,
2023-02-28 15:48:46.809000+00:00,,0.2642
2023-02-28 15:48:55.663000+00:00,0.0734,
2023-02-28 15:48:56.809000+00:00,,0.2642
2023-02-28 15:49:05.663000+00:00,0.0732,
2023-02-28 15:49:06.809000+00:00,,0.2645
2023-02-28 15:49:15.663000+00:00,0.0695,
2023-02-28 15:49:16.809000+00:00,,0.2638
2023-02-28 15:49:25.663000+00:00,0.0741,
2023-02-28 15:49:26.809000+00:00,,0.2643
2023-02-28 15:49:35.663000+00:00,0.0787,
2023-02-28 15:49:36.809000+00:00,,0.2643
2023-02-28 15:49:45.663000+00:00,0.0718,
2023-02-28 15:49:46.809000+00:00,,0.2642
2023-02-28 15:49:55.663000+00:00,0.0781,
2023-02-28 15:49:56.809000+00:00,,0.2646
2023-02-28 15:50:05.663000+00:00,0.0682,
2023-02-28 15:50:06.809000+00:00,,0.2638
2023-02-28 15:50:15.663000+00:00,0.0593,
2023-02-28 15:50:16.809000+00:00,,0.2645
2023-02-28 15:50:25.663000+00:00,0.0692,
2023-02-28 15:50:26.809000+00:00,,0.2648
2023-02-28 15:50:35.663000+00:00,0.0578,
2023-02-28 15:50:36.809000+00:00,,0.2647
2023-02-28 15:50:45.663000+00:00,0.0747,
2023-02-28 15:50:46.809000+00:00,,0.2638
2023-02-28 15:50:55.663000+00:00,0.0614,
2023-02-28 15:50:56.809000+00:00,,0.2646
2023-02-28 15:51:05.663000+00:00,0.0633,
2023-02-28 15:51:06.809000+00:00,,0.2645
2023-02-28 15:51:15.663000+00:00,0.0682,
2023-02-28 15:51:16.809000+00:00,,0.2644
2023-02-28 15:51:25.663000+00:00,0.068,
2023-02-28 15:51:26.809000+00:00,,0.2647
2023-02-28 15:51:35.663000+00:00,0.0705,
2023-02-28 15:51:36.809000+00:00,,0.2647
2023-02-28 15:51:45.663000+00:00,0.07,
2023-02-28 15:51:46.809000+00:00,,0.2642
2023-02-28 15:51:55.663000+00:00,0.0756,
2023-02-28 15:51:56.809000+00:00,,0.2644
2023-02-28 15:52:05.663000+00:00,0.0629,
2023-02-28 15:52:06.809000+00:00,,0.2643
2023-02-28 15:52:15.663000+00:00,0.0676,
2023-02-28 15:52:16.809000+00:00,,0.2641
2023-02-28 15:52:25.663000+00:00,0.0746,
2023-02-28 15:52:26.809000+00:00,,0.2642
2023-02-28 15:52:35.663000+00:00,0.0666,
2023-02-28 15:52:36.809000+00:00,,0.2638
2023-02-28 15:52:45.663000+00:00,0.0741,
2023-02-28 15:52:46.809000+00:00,,0.2649
2023-02-28 15:52:55.663000+00:00,0.0623,
2023-02-28 15:52:56.809000+00:00,,0.2647
2023-02-28 15:53:05.663000+00:00,0.0633,
2023-02-28 15:53:06.809000+00:00,,0.2642
2023-02-28 15:53:15.663000+00:00,0.0747,
2023-02-28 15:53:16.809000+00:00,,0.2645
2023-02-28 15:53:25.663000+00:00,0.0645,
2023-02-28 15:53:26.809000+00:00,,0.2644
2023-02-28 15:53:35.663000+00:00,0.0682,
2023-02-28 15:53:36.809000+00:00,,0.2644
2023-02-28 15:53:45.663000+00:00,0.0628,
2023-02-28 15:53:46.809000+00:00,,0.2643
2023-02-28 15:53:55.663000+00:00,0.0715,
2023-02-28 15:53:56.809000+00:00,,0.2645
2023-02-28 15:54:05.663000+00:00,0.0659,
2023-02-28 15:54:06.809000+00:00,,0.2644
2023-02-28 15:54:15.663000+00:00,0.0635,
2023-02-28 15:54:16.809000+00:00,,0.2645
2023-02-28 15:54:25.663000+00:00,0.079,
2023-02-28 15:54:26.809000+00:00,,0.265
2023-02-28 15:54:35.663000+00:00,0.0677,
2023-02-28 15:54:36.809000+00:00,,0.2657
2023-02-28 15:54:45.663000+00:00,0.0715,
2023-02-28 15:54:46.809000+00:00,,0.2645
2023-02-28 15:54:55.663000+00:00,0.0701,
2023-02-28 15:54:56.809000+00:00,,0.2645
2023-02-28 15:55:05.663000+00:00,0.0663,
2023-02-28 15:55:06.809000+00:00,,0.2648
2023-02-28 15:55:15.663000+00:00,0.0788,
2023-02-28 15:55:16.809000+00:00,,0.2644
2023-02-28 15:55:25.663000+00:00,0.0758,
2023-02-28 15:55:26.809000+00:00,,0.2654
2023-02-28 15:55:35.663000+00:00,0.0786,
2023-02-28 15:55:36.809000+00:00,,0.2655
2023-02-28 15:55:45.663000+00:00,0.0687,
2023-02-28 15:55:46.809000+00:00,,0.265
