@timestamp,memory,cpu
2023-03-01 10:45:02.996000+00:00,,0.8807
2023-03-01 10:45:03.279000+00:00,,0.9708
2023-03-01 10:45:03.579000+00:00,0.8416,
2023-03-01 10:45:03.665000+00:00,,0.3978
2023-03-01 10:45:04.037000+00:00,,0.9303
2023-03-01 10:45:05.520000+00:00,0.714,
2023-03-01 10:45:06.434000+00:00,,0.989
2023-03-01 10:45:06.461000+00:00,,0.9055
2023-03-01 10:45:06.937000+00:00,0.8398,
2023-03-01 10:45:07.077000+00:00,0.847,
2023-03-01 10:45:07.751000+00:00,0.8193,
2023-03-01 10:45:07.782000+00:00,0.8432,
2023-03-01 10:45:07.996000+00:00,,0.9768
2023-03-01 10:45:08.270000+00:00,,0.9749
2023-03-01 10:45:08.579000+00:00,0.8801,
2023-03-01 10:45:08.665000+00:00,,0.3328
2023-03-01 10:45:09.037000+00:00,,0.987
2023-03-01 10:45:10.520000+00:00,0.7152,
2023-03-01 10:45:11.434000+00:00,,0.9738
2023-03-01 10:45:11.461000+00:00,,0.9444
2023-03-01 10:45:11.937000+00:00,0.8429,
2023-03-01 10:45:12.077000+00:00,0.846,
2023-03-01 10:45:12.751000+00:00,0.8177,
2023-03-01 10:45:12.782000+00:00,0.8439,
2023-03-01 10:45:12.996000+00:00,,0.9643
2023-03-01 10:45:13.270000+00:00,,0.9514
2023-03-01 10:45:13.579000+00:00,0.8779,
2023-03-01 10:45:13.665000+00:00,,0.2738
2023-03-01 10:45:14.037000+00:00,,0.991
2023-03-01 10:45:15.520000+00:00,0.716,
2023-03-01 10:45:16.434000+00:00,,0.9839
2023-03-01 10:45:16.461000+00:00,,0.9769
2023-03-01 10:45:16.937000+00:00,0.846,
2023-03-01 10:45:17.077000+00:00,0.8451,
2023-03-01 10:45:17.751000+00:00,0.8098,
2023-03-01 10:45:17.782000+00:00,0.8443,
2023-03-01 10:45:17.996000+00:00,,0.9788
2023-03-01 10:45:18.270000+00:00,,0.9687
2023-03-01 10:45:18.579000+00:00,0.9157,
2023-03-01 10:45:18.665000+00:00,,0.1995
2023-03-01 10:45:19.037000+00:00,,0.998
2023-03-01 10:45:20.520000+00:00,0.7184,
2023-03-01 10:45:21.434000+00:00,,0.9789
2023-03-01 10:45:21.461000+00:00,,0.9566
2023-03-01 10:45:21.937000+00:00,0.8458,
2023-03-01 10:45:22.077000+00:00,0.8545,
2023-03-01 10:45:22.751000+00:00,0.8059,
2023-03-01 10:45:22.782000+00:00,0.8448,
2023-03-01 10:45:22.996000+00:00,,0.9748
2023-03-01 10:45:23.270000+00:00,,0.9737
2023-03-01 10:45:23.579000+00:00,0.9076,
2023-03-01 10:45:23.665000+00:00,,0.1148
2023-03-01 10:45:24.037000+00:00,,0.995
2023-03-01 10:45:25.520000+00:00,0.7187,
2023-03-01 10:45:26.434000+00:00,,0.9457
2023-03-01 10:45:26.461000+00:00,,0.9194
2023-03-01 10:45:26.937000+00:00,0.8441,
2023-03-01 10:45:27.077000+00:00,0.8484,
2023-03-01 10:45:27.751000+00:00,0.7981,
2023-03-01 10:45:27.782000+00:00,0.8461,
2023-03-01 10:45:27.996000+00:00,,0.9343
2023-03-01 10:45:28.270000+00:00,,0.9688
2023-03-01 10:45:28.579000+00:00,0.8991,
2023-03-01 10:45:28.665000+00:00,,0.0527
