cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.7260245950666672,0.9817162777777774,31.049132013333352,28.05658506222223,0.9849843844444439,0.7013009288888883,31.140906266666665,0.26612500000000006,0.70291,LoadTestSession1,User1,User2,2023-03-01T10:45:03.234Z
1,0.8218241520444447,0.9857865866666667,32.12189630222223,29.012784406666658,0.9891016222222222,0.7715882711111115,31.514690504444445,0.5880000000000001,0.7358575,LoadTestSession1,User1,User2,2023-03-01T10:45:20.234Z
2,0.8327529368222223,0.9882628399999998,33.139632731111114,30.0805220711111,0.9908290133333333,0.7797696355555556,32.84312253777777,0.7306250000000001,0.7811975,LoadTestSession1,User1,User2,2023-03-01T10:45:37.234Z
3,0.8301328990222225,0.9874144244444436,32.89959829555555,29.827703531111137,0.9902681177777771,0.7776428866666675,32.512535184444424,0.68575,0.785355,LoadTestSession1,User1,User2,2023-03-01T10:45:54.234Z
4,0.7531089202222229,0.9691250155555546,30.096848166666657,26.99614239777779,0.9768544155555552,0.7083556466666666,29.386031979999995,0.19625000000000004,0.700055,LoadTestSession1,User1,User2,2023-03-01T10:46:11.234Z
5,0.6482331346444439,0.9193683044444443,27.109556791111125,23.841631437777774,0.9509714177777769,0.6145628822222223,25.80593268222225,0.753625,0.5804325,LoadTestSession1,User1,User2,2023-03-01T10:46:28.234Z
6,0.8108231881555555,0.9842148422222221,31.10647152666666,27.98050449111113,0.9879366666666668,0.756822255555556,30.28306245999996,0.42012499999999997,0.6292875,LoadTestSession1,User1,User2,2023-03-01T10:46:45.234Z
7,0.8149570470888894,0.9846788155555541,31.069204782222222,27.937649720000003,0.9883066533333339,0.7628274155555558,30.20564706222223,0.474375,0.71959,LoadTestSession1,User1,User2,2023-03-01T10:47:02.234Z
8,0.8187817517777778,0.9852509066666663,31.344546808888882,28.21609252888887,0.9888292244444445,0.7652301155555556,30.533793384444444,0.7282500000000001,0.7819525,LoadTestSession1,User1,User2,2023-03-01T10:47:19.234Z
9,0.8049167823333339,0.9828567622222224,30.392037759999962,27.228171448888872,0.9871086444444436,0.7545713711111115,29.317423735555554,0.66625,0.7854650000000001,LoadTestSession1,User1,User2,2023-03-01T10:47:36.234Z
