@timestamp,cpu,memory
2023-02-24 13:11:09.973000+00:00,0.5861,
2023-02-24 13:11:10.181000+00:00,,0.3102
2023-02-24 13:11:10.187000+00:00,0.5765,
2023-02-24 13:11:10.316000+00:00,0.5896,
2023-02-24 13:11:11.066000+00:00,,0.3104
2023-02-24 13:11:11.228000+00:00,0.6254,
2023-02-24 13:11:11.397000+00:00,0.6337,
2023-02-24 13:11:11.821000+00:00,,0.309
2023-02-24 13:11:12.053000+00:00,0.6548,
2023-02-24 13:11:12.647000+00:00,0.6949,
2023-02-24 13:11:12.751000+00:00,,0.8217
2023-02-24 13:11:12.754000+00:00,,0.3777
2023-02-24 13:11:12.790000+00:00,,0.3739
2023-02-24 13:11:12.878000+00:00,,0.376
2023-02-24 13:11:13.665000+00:00,0.0001,
2023-02-24 13:11:14.098000+00:00,,0.3164
2023-02-24 13:11:14.275000+00:00,,0.3148
2023-02-24 13:11:14.326000+00:00,0.7364,
2023-02-24 13:11:14.973000+00:00,0.7234,
2023-02-24 13:11:15.181000+00:00,,0.3155
2023-02-24 13:11:15.187000+00:00,0.7177,
2023-02-24 13:11:15.316000+00:00,0.7433,
2023-02-24 13:11:16.066000+00:00,,0.3165
2023-02-24 13:11:16.228000+00:00,0.7273,
2023-02-24 13:11:16.397000+00:00,0.7368,
2023-02-24 13:11:16.821000+00:00,,0.3138
2023-02-24 13:11:17.053000+00:00,0.7326,
2023-02-24 13:11:17.647000+00:00,0.7514,
2023-02-24 13:11:17.751000+00:00,,0.8217
2023-02-24 13:11:17.754000+00:00,,0.3787
2023-02-24 13:11:17.790000+00:00,,0.3762
2023-02-24 13:11:17.878000+00:00,,0.3775
2023-02-24 13:11:18.665000+00:00,0.0003,
2023-02-24 13:11:19.098000+00:00,,0.3186
2023-02-24 13:11:19.275000+00:00,,0.3179
2023-02-24 13:11:19.326000+00:00,0.7106,
2023-02-24 13:11:19.973000+00:00,0.6641,
2023-02-24 13:11:20.181000+00:00,,0.3176
2023-02-24 13:11:20.187000+00:00,0.6611,
2023-02-24 13:11:20.316000+00:00,0.6916,
2023-02-24 13:11:21.066000+00:00,,0.3169
2023-02-24 13:11:21.228000+00:00,0.6589,
2023-02-24 13:11:21.397000+00:00,0.6634,
2023-02-24 13:11:21.821000+00:00,,0.3152
