@timestamp,memory,cpu
2023-08-02 08:37:28.452000+00:00,0.2276,
2023-08-02 08:37:28.453000+00:00,0.3015,
2023-08-02 08:37:28.498000+00:00,0.2285,
2023-08-02 08:37:28.508000+00:00,,0.0
2023-08-02 08:37:28.683000+00:00,,0.0015
2023-08-02 08:37:28.710000+00:00,0.22955,
2023-08-02 08:37:28.715000+00:00,0.3573,
2023-08-02 08:37:28.751000+00:00,,0.0015
2023-08-02 08:37:28.765000+00:00,0.2928,
2023-08-02 08:37:28.900000+00:00,,0.0005
2023-08-02 08:37:28.907000+00:00,,0.004
2023-08-02 08:37:28.940000+00:00,0.2297,
2023-08-02 08:37:28.978000+00:00,0.356,
2023-08-02 08:37:29.017000+00:00,0.2858,
2023-08-02 08:37:29.027000+00:00,,0.0005
2023-08-02 08:37:29.043000+00:00,0.4145,
2023-08-02 08:37:29.061000+00:00,0.2294,
2023-08-02 08:37:29.085000+00:00,,0.1953
2023-08-02 08:37:29.104000+00:00,,0.0311
2023-08-02 08:37:29.113000+00:00,,0.0025
2023-08-02 08:37:29.134000+00:00,,0.0
2023-08-02 08:37:29.220000+00:00,,0.0045
2023-08-02 08:37:29.238000+00:00,0.2285,
2023-08-02 08:37:29.338000+00:00,,0.0025
2023-08-02 08:37:29.343000+00:00,,0.3883
2023-08-02 08:37:29.372000+00:00,0.2279,
2023-08-02 08:37:29.373000+00:00,0.2868,
2023-08-02 08:37:29.394000+00:00,0.2319,
2023-08-02 08:37:29.432000+00:00,0.3832,
2023-08-02 08:37:29.489000+00:00,0.2282,
2023-08-02 08:37:29.497000+00:00,0.4134,
2023-08-02 08:37:29.527000+00:00,0.2314,
2023-08-02 08:37:29.528000+00:00,0.2308,
2023-08-02 08:37:29.533000+00:00,0.229,
2023-08-02 08:37:29.564000+00:00,,0.1502
2023-08-02 08:37:29.626000+00:00,,0.042
2023-08-02 08:37:29.656000+00:00,0.356,
2023-08-02 08:37:29.672000+00:00,0.2278,
2023-08-02 08:37:29.690000+00:00,,0.039
2023-08-02 08:37:29.734000+00:00,0.3558,
2023-08-02 08:37:29.751000+00:00,0.2915,
2023-08-02 08:37:29.767000+00:00,,0.0015
2023-08-02 08:37:29.775000+00:00,0.2267,
2023-08-02 08:37:29.816000+00:00,,0.0391
2023-08-02 08:37:29.828000+00:00,0.2295,
2023-08-02 08:37:29.844000+00:00,0.2281,0.0035
2023-08-02 08:37:29.864000+00:00,0.3556,
2023-08-02 08:37:29.882000+00:00,,0.0005
2023-08-02 08:37:29.953000+00:00,0.2301,
2023-08-02 08:37:30+00:00,0.2284,
2023-08-02 08:37:30.012000+00:00,0.319,
2023-08-02 08:37:30.025000+00:00,0.2296,
2023-08-02 08:37:30.100000+00:00,0.2266,
2023-08-02 08:37:30.116000+00:00,0.3136,
2023-08-02 08:37:30.119000+00:00,,0.1625
2023-08-02 08:37:30.126000+00:00,,0.0025
2023-08-02 08:37:30.154000+00:00,0.2286,
2023-08-02 08:37:30.170000+00:00,0.2292,
2023-08-02 08:37:30.184000+00:00,0.2337,
2023-08-02 08:37:30.230000+00:00,,0.002
2023-08-02 08:37:30.261000+00:00,0.4114,
2023-08-02 08:37:30.285000+00:00,,0.041
2023-08-02 08:37:30.297000+00:00,0.4075,
2023-08-02 08:37:30.311000+00:00,0.2286,
2023-08-02 08:37:30.330000+00:00,,0.0025
2023-08-02 08:37:30.345000+00:00,,0.0015
2023-08-02 08:37:30.353000+00:00,0.2321,
2023-08-02 08:37:30.375000+00:00,,0.1517
2023-08-02 08:37:30.417000+00:00,0.2271,
2023-08-02 08:37:30.423000+00:00,,0.0
2023-08-02 08:37:30.443000+00:00,0.3178,
2023-08-02 08:37:30.450000+00:00,,0.0301
2023-08-02 08:37:30.459000+00:00,0.3571,
2023-08-02 08:37:30.499000+00:00,,0.0005
2023-08-02 08:37:30.510000+00:00,,0.0005
2023-08-02 08:37:30.525000+00:00,,0.0025
2023-08-02 08:37:30.540000+00:00,,0.0276
2023-08-02 08:37:30.552000+00:00,,0.1701
2023-08-02 08:37:30.588000+00:00,,0.3799
2023-08-02 08:37:30.592000+00:00,,0.145
2023-08-02 08:37:30.599000+00:00,0.2318,
2023-08-02 08:37:30.612000+00:00,,0.2577
2023-08-02 08:37:30.629000+00:00,0.2279,
2023-08-02 08:37:30.663000+00:00,0.2937,
2023-08-02 08:37:30.667000+00:00,0.3373,
2023-08-02 08:37:30.677000+00:00,0.2293,
2023-08-02 08:37:30.720000+00:00,0.2315,
2023-08-02 08:37:30.754000+00:00,0.2279,
2023-08-02 08:37:30.791000+00:00,,0.3218
2023-08-02 08:37:30.805000+00:00,,0.1533
2023-08-02 08:37:30.819000+00:00,0.3587,
2023-08-02 08:37:30.821000+00:00,,0.2618
2023-08-02 08:37:30.840000+00:00,0.227,
2023-08-02 08:37:30.847000+00:00,,0.003
2023-08-02 08:37:30.855000+00:00,0.4016,
2023-08-02 08:37:30.868000+00:00,,0.2928
2023-08-02 08:37:30.889000+00:00,,0.0
