@timestamp,cpu,memory
2023-07-26 09:14:14.608000+00:00,,0.2263
2023-07-26 09:14:14.618000+00:00,,0.2252
2023-07-26 09:14:14.623000+00:00,,0.2257
2023-07-26 09:14:14.625000+00:00,,0.2275
2023-07-26 09:14:14.628000+00:00,,0.2259
2023-07-26 09:14:14.634000+00:00,,0.2877
2023-07-26 09:14:14.654000+00:00,0.002,
2023-07-26 09:14:14.657000+00:00,,0.2271
2023-07-26 09:14:14.667000+00:00,0.004,
2023-07-26 09:14:14.692000+00:00,0.1573,
2023-07-26 09:14:14.700000+00:00,0.0015,
2023-07-26 09:14:14.703000+00:00,0.0005,
2023-07-26 09:14:14.721000+00:00,0.002,0.2266
2023-07-26 09:14:14.733000+00:00,,0.225
2023-07-26 09:14:14.734000+00:00,0.002,
2023-07-26 09:14:14.736000+00:00,0.001,
2023-07-26 09:14:14.746000+00:00,,0.2245
2023-07-26 09:14:14.750000+00:00,,0.2249
2023-07-26 09:14:14.766000+00:00,,0.2253
2023-07-26 09:14:14.768000+00:00,,0.2255
2023-07-26 09:14:14.774000+00:00,,0.2249
2023-07-26 09:14:14.790000+00:00,,0.2858
2023-07-26 09:14:14.792000+00:00,,0.2285
2023-07-26 09:14:14.801000+00:00,0.0015,
2023-07-26 09:14:14.802000+00:00,0.0,
2023-07-26 09:14:14.803000+00:00,,0.3069
2023-07-26 09:14:14.810000+00:00,,0.2257
2023-07-26 09:14:14.817000+00:00,0.0025,
2023-07-26 09:14:14.819000+00:00,,0.22825
2023-07-26 09:14:14.826000+00:00,,0.294
2023-07-26 09:14:14.842000+00:00,,0.2277
2023-07-26 09:14:14.846000+00:00,0.0005,
2023-07-26 09:14:14.848000+00:00,,0.2298
2023-07-26 09:14:14.849000+00:00,,0.2278
2023-07-26 09:14:14.853000+00:00,0.001,
2023-07-26 09:14:14.861000+00:00,,0.2276
2023-07-26 09:14:14.878000+00:00,,0.2257
2023-07-26 09:14:14.886000+00:00,0.0045,
2023-07-26 09:14:14.894000+00:00,,0.2274
2023-07-26 09:14:14.902000+00:00,,0.225
2023-07-26 09:14:14.911000+00:00,0.002,
2023-07-26 09:14:14.914000+00:00,0.0025,
2023-07-26 09:14:14.921000+00:00,0.002,
2023-07-26 09:14:14.924000+00:00,,0.26755
2023-07-26 09:14:14.928000+00:00,,0.2301
2023-07-26 09:14:14.931000+00:00,,0.2881
2023-07-26 09:14:14.933000+00:00,0.0015,
2023-07-26 09:14:14.937000+00:00,,0.2269
2023-07-26 09:14:14.942000+00:00,0.0025,
2023-07-26 09:14:14.943000+00:00,,0.2271
2023-07-26 09:14:14.946000+00:00,0.002,
2023-07-26 09:14:14.954000+00:00,,0.2255
2023-07-26 09:14:14.960000+00:00,,0.2285
2023-07-26 09:14:14.962000+00:00,0.001,
2023-07-26 09:14:14.968000+00:00,0.1579,
2023-07-26 09:14:14.975000+00:00,0.3588,
2023-07-26 09:14:14.979000+00:00,,0.22494999999999998
2023-07-26 09:14:14.982000+00:00,0.1679,
2023-07-26 09:14:15.037000+00:00,,0.228
2023-07-26 09:14:15.039000+00:00,0.003,0.3065
2023-07-26 09:14:15.057000+00:00,,0.2256
2023-07-26 09:14:15.060000+00:00,,0.2279
2023-07-26 09:14:15.061000+00:00,,0.2563
2023-07-26 09:14:15.068000+00:00,,0.2281
2023-07-26 09:14:15.075000+00:00,,0.2249
