@timestamp,memory,cpu
2023-07-26 09:14:14.773000+00:00,,0.1333
2023-07-26 09:14:21.331000+00:00,0.3929,
2023-07-26 09:14:24.773000+00:00,,0.5163
2023-07-26 09:14:31.331000+00:00,0.4045,
2023-07-26 09:14:34.773000+00:00,,0.1695
2023-07-26 09:14:41.331000+00:00,0.4048,
2023-07-26 09:14:44.773000+00:00,,0.1076
2023-07-26 09:14:51.331000+00:00,0.4078,
2023-07-26 09:14:54.774000+00:00,,0.0709
2023-07-26 09:15:01.331000+00:00,0.4114,
2023-07-26 09:15:04.773000+00:00,,0.0753
2023-07-26 09:15:11.331000+00:00,0.4118,
2023-07-26 09:15:14.773000+00:00,,0.041
2023-07-26 09:15:21.332000+00:00,0.4139,
2023-07-26 09:15:24.773000+00:00,,0.28
2023-07-26 09:15:31.331000+00:00,0.4116,
2023-07-26 09:15:34.773000+00:00,,0.0445
2023-07-26 09:15:41.331000+00:00,0.4116,
2023-07-26 09:15:44.773000+00:00,,0.004
2023-07-26 09:15:51.331000+00:00,0.4113,
2023-07-26 09:15:54.773000+00:00,,0.0053
2023-07-26 09:16:01.331000+00:00,0.4093,
2023-07-26 09:16:04.773000+00:00,,0.0018
2023-07-26 09:16:11.331000+00:00,0.4092,
2023-07-26 09:16:14.773000+00:00,,0.0017
2023-07-26 09:16:21.331000+00:00,0.4056,
2023-07-26 09:16:24.773000+00:00,,0.006
2023-07-26 09:16:31.331000+00:00,0.4042,
2023-07-26 09:16:34.773000+00:00,,0.0018
2023-07-26 09:16:41.331000+00:00,0.4042,
2023-07-26 09:16:44.773000+00:00,,0.001
2023-07-26 09:16:51.331000+00:00,0.4042,
2023-07-26 09:16:54.773000+00:00,,0.002
2023-07-26 09:17:01.331000+00:00,0.4042,
2023-07-26 09:17:04.773000+00:00,,0.0012
2023-07-26 09:17:11.331000+00:00,0.4042,
2023-07-26 09:17:14.773000+00:00,,0.0023
2023-07-26 09:17:21.331000+00:00,0.4041,
2023-07-26 09:17:24.773000+00:00,,0.001
2023-07-26 09:17:31.331000+00:00,0.404,
2023-07-26 09:17:34.773000+00:00,,0.0012
2023-07-26 09:17:41.331000+00:00,0.4027,
2023-07-26 09:17:44.773000+00:00,,0.0018
2023-07-26 09:17:51.331000+00:00,0.4027,
2023-07-26 09:17:54.773000+00:00,,0.0012
2023-07-26 09:18:01.331000+00:00,0.4027,
2023-07-26 09:18:04.773000+00:00,,0.0018
2023-07-26 09:18:11.331000+00:00,0.4027,
