@timestamp,cpu,memory
2023-07-26 09:14:19.106000+00:00,0.6898,
2023-07-26 09:14:20.111000+00:00,,0.5521
2023-07-26 09:14:29.106000+00:00,0.9736,
2023-07-26 09:14:30.111000+00:00,,0.5794
2023-07-26 09:14:39.106000+00:00,0.9573,
2023-07-26 09:14:40.111000+00:00,,0.5889
2023-07-26 09:14:49.107000+00:00,0.994,
2023-07-26 09:14:50.111000+00:00,,0.5957
2023-07-26 09:14:59.106000+00:00,0.9915,
2023-07-26 09:15:00.111000+00:00,,0.5981
2023-07-26 09:15:09.109000+00:00,0.997,
2023-07-26 09:15:10.111000+00:00,,0.5998
2023-07-26 09:15:19.106000+00:00,0.994,
2023-07-26 09:15:20.111000+00:00,,0.5883
2023-07-26 09:15:29.106000+00:00,0.2848,
2023-07-26 09:15:30.111000+00:00,,0.5829
2023-07-26 09:15:39.106000+00:00,0.0439,
2023-07-26 09:15:40.111000+00:00,,0.5826
2023-07-26 09:15:49.106000+00:00,0.0319,
2023-07-26 09:15:50.111000+00:00,,0.5825
2023-07-26 09:15:59.106000+00:00,0.0095,
2023-07-26 09:16:00.111000+00:00,,0.5824
2023-07-26 09:16:09.106000+00:00,0.0065,
2023-07-26 09:16:10.111000+00:00,,0.5825
2023-07-26 09:16:19.106000+00:00,0.0035,
2023-07-26 09:16:20.111000+00:00,,0.5826
2023-07-26 09:16:29.106000+00:00,0.008,
2023-07-26 09:16:30.111000+00:00,,0.5825
2023-07-26 09:16:39.106000+00:00,0.0065,
2023-07-26 09:16:40.111000+00:00,,0.5827
2023-07-26 09:16:49.106000+00:00,0.005,
2023-07-26 09:16:50.111000+00:00,,0.5827
2023-07-26 09:16:59.106000+00:00,0.009,
2023-07-26 09:17:00.112000+00:00,,0.583
2023-07-26 09:17:09.106000+00:00,0.008,
2023-07-26 09:17:10.113000+00:00,,0.5829
2023-07-26 09:17:19.106000+00:00,0.0055,
2023-07-26 09:17:20.111000+00:00,,0.5829
2023-07-26 09:17:29.106000+00:00,0.0085,
2023-07-26 09:17:30.111000+00:00,,0.5831
2023-07-26 09:17:39.106000+00:00,0.005,
2023-07-26 09:17:40.111000+00:00,,0.5829
2023-07-26 09:17:49.106000+00:00,0.006,
2023-07-26 09:17:50.111000+00:00,,0.5827
2023-07-26 09:17:59.106000+00:00,0.0125,
2023-07-26 09:18:00.111000+00:00,,0.5827
2023-07-26 09:18:09.106000+00:00,0.0035,
2023-07-26 09:18:10.111000+00:00,,0.5827
