@timestamp,memory,cpu
2023-08-02 10:01:38.433000+00:00,,0.2563
2023-08-02 10:01:38.580000+00:00,,0.2215
2023-08-02 10:01:38.586000+00:00,,0.2259
2023-08-02 10:01:38.643000+00:00,0.3964,
2023-08-02 10:01:38.667000+00:00,,0.0551
2023-08-02 10:01:38.718000+00:00,0.396,
2023-08-02 10:01:38.745000+00:00,0.3928,
2023-08-02 10:01:38.767000+00:00,,0.0005
2023-08-02 10:01:38.782000+00:00,0.3997,
2023-08-02 10:01:38.826000+00:00,0.392,
2023-08-02 10:01:38.843000+00:00,,0.2984
2023-08-02 10:01:38.922000+00:00,0.3401,
2023-08-02 10:01:38.929000+00:00,,0.3657
2023-08-02 10:01:39.022000+00:00,,0.001
2023-08-02 10:01:39.108000+00:00,0.308,
2023-08-02 10:01:39.118000+00:00,0.3963,
2023-08-02 10:01:39.126000+00:00,,0.053
2023-08-02 10:01:39.143000+00:00,0.3425,
2023-08-02 10:01:39.176000+00:00,,0.0662
2023-08-02 10:01:39.206000+00:00,,0.0526
2023-08-02 10:01:39.272000+00:00,,0.1558
2023-08-02 10:01:39.321000+00:00,,0.001
2023-08-02 10:01:39.333000+00:00,,0.0541
2023-08-02 10:01:39.396000+00:00,0.3902,
2023-08-02 10:01:39.400000+00:00,0.2266,
2023-08-02 10:01:39.419000+00:00,,0.0025
2023-08-02 10:01:39.472000+00:00,0.3422,
2023-08-02 10:01:39.547000+00:00,0.2313,
2023-08-02 10:01:39.572000+00:00,,0.3575
2023-08-02 10:01:39.718000+00:00,0.2478,
2023-08-02 10:01:39.723000+00:00,,0.0497
2023-08-02 10:01:39.733000+00:00,0.3069,
2023-08-02 10:01:39.776000+00:00,,0.4561
2023-08-02 10:01:39.783000+00:00,0.3417,
2023-08-02 10:01:39.873000+00:00,0.3419,
2023-08-02 10:01:40.029000+00:00,,0.357
2023-08-02 10:01:40.032000+00:00,,0.0
2023-08-02 10:01:40.101000+00:00,0.2312,
2023-08-02 10:01:40.123000+00:00,0.3946,
2023-08-02 10:01:40.144000+00:00,,0.0491
2023-08-02 10:01:40.189000+00:00,,0.0466
2023-08-02 10:01:40.450000+00:00,,0.2086
2023-08-02 10:01:40.491000+00:00,0.2273,
2023-08-02 10:01:40.612000+00:00,0.2524,
2023-08-02 10:01:40.635000+00:00,0.3445,
2023-08-02 10:01:40.669000+00:00,,0.3114
2023-08-02 10:01:40.694000+00:00,0.3478,
2023-08-02 10:01:40.817000+00:00,0.3933,
2023-08-02 10:01:40.844000+00:00,,0.0465
2023-08-02 10:01:40.908000+00:00,0.252,
2023-08-02 10:01:40.962000+00:00,0.4073,
2023-08-02 10:01:40.992000+00:00,,0.0025
2023-08-02 10:01:41.015000+00:00,,0.0025
2023-08-02 10:01:41.038000+00:00,0.3947,
2023-08-02 10:01:41.059000+00:00,0.3941,
2023-08-02 10:01:41.169000+00:00,,0.0291
2023-08-02 10:01:41.266000+00:00,0.2274,
2023-08-02 10:01:41.267000+00:00,,0.4009
2023-08-02 10:01:41.297000+00:00,,0.2318
2023-08-02 10:01:41.335000+00:00,,0.0561
2023-08-02 10:01:41.351000+00:00,,0.0455
2023-08-02 10:01:41.551000+00:00,,0.423
2023-08-02 10:01:41.554000+00:00,,0.0536
2023-08-02 10:01:41.563000+00:00,,0.3811
2023-08-02 10:01:41.570000+00:00,0.3468,
2023-08-02 10:01:41.637000+00:00,0.4078,
2023-08-02 10:01:41.723000+00:00,,0.058
2023-08-02 10:01:41.755000+00:00,,0.0562
2023-08-02 10:01:41.765000+00:00,0.2289,
2023-08-02 10:01:41.788000+00:00,0.3479,
2023-08-02 10:01:41.833000+00:00,0.3164,
2023-08-02 10:01:41.873000+00:00,0.281,
2023-08-02 10:01:41.933000+00:00,,0.1998
2023-08-02 10:01:41.939000+00:00,0.345,
2023-08-02 10:01:41.957000+00:00,,0.3237
2023-08-02 10:01:42.065000+00:00,0.346,
2023-08-02 10:01:42.112000+00:00,0.4065,
2023-08-02 10:01:42.160000+00:00,,0.0723
2023-08-02 10:01:42.181000+00:00,0.345,
2023-08-02 10:01:42.230000+00:00,,0.0745
2023-08-02 10:01:42.337000+00:00,0.3475,
2023-08-02 10:01:42.360000+00:00,0.402,
2023-08-02 10:01:42.366000+00:00,,0.2111
2023-08-02 10:01:42.417000+00:00,,0.0594
2023-08-02 10:01:42.446000+00:00,0.4072,
2023-08-02 10:01:42.516000+00:00,,0.427
2023-08-02 10:01:42.522000+00:00,0.4042,
2023-08-02 10:01:42.602000+00:00,,0.0802
2023-08-02 10:01:42.741000+00:00,,0.4092
2023-08-02 10:01:42.761000+00:00,0.3486,
2023-08-02 10:01:42.856000+00:00,0.3143,
2023-08-02 10:01:42.858000+00:00,,0.1614
2023-08-02 10:01:42.933000+00:00,0.3504,
2023-08-02 10:01:43.017000+00:00,,0.1703
2023-08-02 10:01:43.068000+00:00,,0.3604
2023-08-02 10:01:43.130000+00:00,0.3984,
2023-08-02 10:01:43.164000+00:00,0.3486,
2023-08-02 10:01:43.231000+00:00,0.3492,
2023-08-02 10:01:43.325000+00:00,0.2292,
2023-08-02 10:01:43.338000+00:00,,0.0806
2023-08-02 10:01:43.433000+00:00,,0.2797
2023-08-02 10:01:43.580000+00:00,,0.2419
2023-08-02 10:01:43.586000+00:00,,0.2225
2023-08-02 10:01:43.643000+00:00,0.4068,
2023-08-02 10:01:43.667000+00:00,,0.0417
2023-08-02 10:01:43.718000+00:00,0.4074,
2023-08-02 10:01:43.745000+00:00,0.4051,
2023-08-02 10:01:43.767000+00:00,,0.0005
2023-08-02 10:01:43.782000+00:00,0.4101,
2023-08-02 10:01:43.826000+00:00,0.4043,
2023-08-02 10:01:43.843000+00:00,,0.4911
2023-08-02 10:01:43.922000+00:00,0.3467,
2023-08-02 10:01:43.929000+00:00,,0.3971
2023-08-02 10:01:44.022000+00:00,,0.001
2023-08-02 10:01:44.108000+00:00,0.3271,
2023-08-02 10:01:44.118000+00:00,0.4123,
2023-08-02 10:01:44.126000+00:00,,0.0788
2023-08-02 10:01:44.143000+00:00,0.3519,
2023-08-02 10:01:44.176000+00:00,,0.0845
2023-08-02 10:01:44.206000+00:00,,0.0795
2023-08-02 10:01:44.272000+00:00,,0.2287
2023-08-02 10:01:44.321000+00:00,,0.002
2023-08-02 10:01:44.333000+00:00,,0.0838
2023-08-02 10:01:44.396000+00:00,0.4014,
2023-08-02 10:01:44.400000+00:00,0.2266,
2023-08-02 10:01:44.419000+00:00,,0.0025
2023-08-02 10:01:44.472000+00:00,0.3516,
2023-08-02 10:01:44.547000+00:00,0.2313,
2023-08-02 10:01:44.572000+00:00,,0.4058
2023-08-02 10:01:44.718000+00:00,0.2852,
2023-08-02 10:01:44.723000+00:00,,0.0892
2023-08-02 10:01:44.733000+00:00,0.3299,
2023-08-02 10:01:44.776000+00:00,,0.5053
2023-08-02 10:01:44.783000+00:00,0.3503,
2023-08-02 10:01:44.873000+00:00,0.3512,
2023-08-02 10:01:45.029000+00:00,,0.4048
2023-08-02 10:01:45.032000+00:00,,0.0015
2023-08-02 10:01:45.100000+00:00,0.2312,
2023-08-02 10:01:45.123000+00:00,0.4036,
2023-08-02 10:01:45.144000+00:00,,0.0985
2023-08-02 10:01:45.189000+00:00,,0.0963
2023-08-02 10:01:45.450000+00:00,,0.2467
2023-08-02 10:01:45.491000+00:00,0.2274,
2023-08-02 10:01:45.612000+00:00,0.2954,
2023-08-02 10:01:45.635000+00:00,0.3519,
2023-08-02 10:01:45.669000+00:00,,0.3992
2023-08-02 10:01:45.695000+00:00,0.3563,
2023-08-02 10:01:45.817000+00:00,0.402,
2023-08-02 10:01:45.844000+00:00,,0.092
2023-08-02 10:01:45.908000+00:00,0.2908,
2023-08-02 10:01:45.962000+00:00,0.4169,
2023-08-02 10:01:45.992000+00:00,,0.0025
2023-08-02 10:01:46.015000+00:00,,0.0005
2023-08-02 10:01:46.038000+00:00,0.4078,
2023-08-02 10:01:46.059000+00:00,0.4081,
2023-08-02 10:01:46.169000+00:00,,0.1591
2023-08-02 10:01:46.266000+00:00,0.2274,
2023-08-02 10:01:46.267000+00:00,,0.5997
2023-08-02 10:01:46.297000+00:00,,0.3672
2023-08-02 10:01:46.335000+00:00,,0.0838
2023-08-02 10:01:46.351000+00:00,,0.2043
2023-08-02 10:01:46.551000+00:00,,0.6009
2023-08-02 10:01:46.554000+00:00,,0.0792
2023-08-02 10:01:46.563000+00:00,,0.4706
2023-08-02 10:01:46.570000+00:00,0.3566,
2023-08-02 10:01:46.637000+00:00,0.4197,
2023-08-02 10:01:46.723000+00:00,,0.0681
2023-08-02 10:01:46.755000+00:00,,0.071
2023-08-02 10:01:46.765000+00:00,0.2289,
2023-08-02 10:01:46.788000+00:00,0.3571,
2023-08-02 10:01:46.833000+00:00,0.3339,
2023-08-02 10:01:46.873000+00:00,0.3422,
2023-08-02 10:01:46.933000+00:00,,0.2526
2023-08-02 10:01:46.939000+00:00,0.3543,
2023-08-02 10:01:46.957000+00:00,,0.5292
2023-08-02 10:01:47.065000+00:00,0.3563,
2023-08-02 10:01:47.112000+00:00,0.4189,
2023-08-02 10:01:47.160000+00:00,,0.0676
2023-08-02 10:01:47.181000+00:00,0.3546,
2023-08-02 10:01:47.230000+00:00,,0.0638
2023-08-02 10:01:47.337000+00:00,0.356,
2023-08-02 10:01:47.360000+00:00,0.4108,
2023-08-02 10:01:47.366000+00:00,,0.2347
2023-08-02 10:01:47.417000+00:00,,0.1849
2023-08-02 10:01:47.446000+00:00,0.4152,
2023-08-02 10:01:47.516000+00:00,,0.5263
2023-08-02 10:01:47.522000+00:00,0.4233,
2023-08-02 10:01:47.602000+00:00,,0.0657
2023-08-02 10:01:47.741000+00:00,,0.4639
2023-08-02 10:01:47.761000+00:00,0.357,
2023-08-02 10:01:47.856000+00:00,0.3322,
2023-08-02 10:01:47.858000+00:00,,0.1965
2023-08-02 10:01:47.933000+00:00,0.3584,
