@timestamp,memory,cpu
2023-08-02 10:01:40.327000+00:00,0.3433,
2023-08-02 10:01:40.476000+00:00,,0.1973
2023-08-02 10:01:50.327000+00:00,0.3452,
2023-08-02 10:01:50.476000+00:00,,0.1093
2023-08-02 10:02:00.327000+00:00,0.3464,
2023-08-02 10:02:00.476000+00:00,,0.0776
2023-08-02 10:02:10.327000+00:00,0.3477,
2023-08-02 10:02:10.476000+00:00,,0.0587
2023-08-02 10:02:20.327000+00:00,0.3489,
2023-08-02 10:02:20.476000+00:00,,0.0518
2023-08-02 10:02:30.327000+00:00,0.3492,
2023-08-02 10:02:30.476000+00:00,,0.0259
2023-08-02 10:02:40.327000+00:00,0.3495,
2023-08-02 10:02:40.476000+00:00,,0.0483
2023-08-02 10:02:50.327000+00:00,0.3491,
2023-08-02 10:02:50.476000+00:00,,0.0268
2023-08-02 10:03:00.327000+00:00,0.3494,
2023-08-02 10:03:00.476000+00:00,,0.0322
2023-08-02 10:03:10.327000+00:00,0.3496,
2023-08-02 10:03:10.476000+00:00,,0.0101
2023-08-02 10:03:20.327000+00:00,0.3498,
2023-08-02 10:03:20.476000+00:00,,0.0525
2023-08-02 10:03:30.327000+00:00,0.349,
2023-08-02 10:03:30.476000+00:00,,0.029
2023-08-02 10:03:40.327000+00:00,0.3498,
2023-08-02 10:03:40.476000+00:00,,0.0218
2023-08-02 10:03:50.327000+00:00,0.3504,
2023-08-02 10:03:50.476000+00:00,,0.014
2023-08-02 10:04:00.327000+00:00,0.3511,
2023-08-02 10:04:00.476000+00:00,,0.0458
2023-08-02 10:04:10.327000+00:00,0.3512,
2023-08-02 10:04:10.476000+00:00,,0.0384
2023-08-02 10:04:20.327000+00:00,0.3515,
2023-08-02 10:04:20.476000+00:00,,0.0199
2023-08-02 10:04:30.327000+00:00,0.3516,
2023-08-02 10:04:30.476000+00:00,,0.0205
2023-08-02 10:04:40.327000+00:00,0.3518,
2023-08-02 10:04:40.476000+00:00,,0.0378
2023-08-02 10:04:50.327000+00:00,0.3506,
2023-08-02 10:04:50.476000+00:00,,0.0561
2023-08-02 10:05:00.327000+00:00,0.3508,
2023-08-02 10:05:00.476000+00:00,,0.0209
2023-08-02 10:05:10.327000+00:00,0.3509,
2023-08-02 10:05:10.476000+00:00,,0.0156
2023-08-02 10:05:20.327000+00:00,0.3509,
2023-08-02 10:05:20.476000+00:00,,0.058
2023-08-02 10:05:30.327000+00:00,0.3511,
2023-08-02 10:05:30.476000+00:00,,0.031
2023-08-02 10:05:40.327000+00:00,0.3511,
2023-08-02 10:05:40.476000+00:00,,0.0217
2023-08-02 10:05:50.327000+00:00,0.351,
2023-08-02 10:05:50.476000+00:00,,0.044
2023-08-02 10:06:00.327000+00:00,0.3513,
2023-08-02 10:06:00.476000+00:00,,0.0156
2023-08-02 10:06:10.327000+00:00,0.3513,
2023-08-02 10:06:10.476000+00:00,,0.0413
2023-08-02 10:06:20.327000+00:00,0.351,
2023-08-02 10:06:20.476000+00:00,,0.0365
2023-08-02 10:06:30.327000+00:00,0.3513,
2023-08-02 10:06:30.476000+00:00,,0.0639
2023-08-02 10:06:40.327000+00:00,0.3512,
2023-08-02 10:06:40.476000+00:00,,0.0145
2023-08-02 10:06:50.327000+00:00,0.3513,
2023-08-02 10:06:50.476000+00:00,,0.056
2023-08-02 10:07:00.327000+00:00,0.3516,
2023-08-02 10:07:00.476000+00:00,,0.0259
2023-08-02 10:07:10.327000+00:00,0.3514,
2023-08-02 10:07:10.476000+00:00,,0.0286
2023-08-02 10:07:20.327000+00:00,0.3522,
2023-08-02 10:07:20.476000+00:00,,0.0532
2023-08-02 10:07:30.327000+00:00,0.3532,
2023-08-02 10:07:30.476000+00:00,,0.0701
2023-08-02 10:07:40.327000+00:00,0.3539,
2023-08-02 10:07:40.476000+00:00,,0.0372
2023-08-02 10:07:50.327000+00:00,0.3541,
2023-08-02 10:07:50.476000+00:00,,0.0337
2023-08-02 10:08:00.327000+00:00,0.3549,
2023-08-02 10:08:00.476000+00:00,,0.0214
2023-08-02 10:08:10.327000+00:00,0.3555,
2023-08-02 10:08:10.476000+00:00,,0.0489
2023-08-02 10:08:20.327000+00:00,0.3557,
2023-08-02 10:08:20.476000+00:00,,0.0352
2023-08-02 10:08:30.327000+00:00,0.3558,
2023-08-02 10:08:30.476000+00:00,,0.0414
2023-08-02 10:08:40.327000+00:00,0.3561,
2023-08-02 10:08:40.476000+00:00,,0.0223
2023-08-02 10:08:50.327000+00:00,0.3562,
2023-08-02 10:08:50.476000+00:00,,0.0344
2023-08-02 10:09:00.327000+00:00,0.3564,
2023-08-02 10:09:00.476000+00:00,,0.0569
2023-08-02 10:09:10.327000+00:00,0.3547,
2023-08-02 10:09:10.476000+00:00,,0.031
2023-08-02 10:09:20.327000+00:00,0.3541,
2023-08-02 10:09:20.476000+00:00,,0.018
2023-08-02 10:09:30.327000+00:00,0.3543,
2023-08-02 10:09:30.476000+00:00,,0.0268
2023-08-02 10:09:40.327000+00:00,0.3541,
2023-08-02 10:09:40.476000+00:00,,0.0192
2023-08-02 10:09:50.327000+00:00,0.3542,
2023-08-02 10:09:50.476000+00:00,,0.0093
2023-08-02 10:10:00.327000+00:00,0.3538,
2023-08-02 10:10:00.476000+00:00,,0.0601
2023-08-02 10:10:10.327000+00:00,0.3537,
2023-08-02 10:10:10.476000+00:00,,0.0223
2023-08-02 10:10:20.327000+00:00,0.3529,
2023-08-02 10:10:20.476000+00:00,,0.0112
2023-08-02 10:10:30.327000+00:00,0.3532,
2023-08-02 10:10:30.476000+00:00,,0.0367
2023-08-02 10:10:40.327000+00:00,0.3535,
2023-08-02 10:10:40.476000+00:00,,0.0673
2023-08-02 10:10:50.327000+00:00,0.3535,
2023-08-02 10:10:50.476000+00:00,,0.0216
2023-08-02 10:11:00.327000+00:00,0.3537,
2023-08-02 10:11:00.476000+00:00,,0.0522
2023-08-02 10:11:10.327000+00:00,0.3538,
2023-08-02 10:11:10.476000+00:00,,0.0131
2023-08-02 10:11:20.327000+00:00,0.3576,
2023-08-02 10:11:20.476000+00:00,,0.0903
2023-08-02 10:11:30.327000+00:00,0.3588,
2023-08-02 10:11:30.476000+00:00,,0.043
2023-08-02 10:11:40.327000+00:00,0.3599,
2023-08-02 10:11:40.476000+00:00,,0.0476
2023-08-02 10:11:50.327000+00:00,0.3608,
2023-08-02 10:11:50.476000+00:00,,0.0748
2023-08-02 10:12:00.327000+00:00,0.3613,
2023-08-02 10:12:00.476000+00:00,,0.0705
2023-08-02 10:12:10.327000+00:00,0.3617,
2023-08-02 10:12:10.476000+00:00,,0.0287
2023-08-02 10:12:20.327000+00:00,0.3616,
2023-08-02 10:12:20.476000+00:00,,0.0358
2023-08-02 10:12:30.327000+00:00,0.3617,
2023-08-02 10:12:30.476000+00:00,,0.0543
2023-08-02 10:12:40.327000+00:00,0.3619,
2023-08-02 10:12:40.476000+00:00,,0.0585
2023-08-02 10:12:50.327000+00:00,0.3618,
2023-08-02 10:12:50.476000+00:00,,0.0221
2023-08-02 10:13:00.327000+00:00,0.3619,
2023-08-02 10:13:00.476000+00:00,,0.0179
2023-08-02 10:13:10.327000+00:00,0.3576,
2023-08-02 10:13:10.476000+00:00,,0.0498
2023-08-02 10:13:20.327000+00:00,0.3584,
2023-08-02 10:13:20.476000+00:00,,0.0557
2023-08-02 10:13:30.327000+00:00,0.3588,
2023-08-02 10:13:30.476000+00:00,,0.0201
2023-08-02 10:13:40.327000+00:00,0.359,
