@timestamp,cpu,memory
2023-08-02 10:01:39.830000+00:00,0.8705,
2023-08-02 10:01:43.641000+00:00,,0.6809
2023-08-02 10:01:49.829000+00:00,0.9247,
2023-08-02 10:01:53.640000+00:00,,0.683
2023-08-02 10:01:59.829000+00:00,0.9845,
2023-08-02 10:02:03.640000+00:00,,0.684
2023-08-02 10:02:09.829000+00:00,0.995,
2023-08-02 10:02:13.640000+00:00,,0.6879
2023-08-02 10:02:19.829000+00:00,0.997,
2023-08-02 10:02:23.640000+00:00,,0.6892
2023-08-02 10:02:29.830000+00:00,0.9955,
2023-08-02 10:02:33.640000+00:00,,0.6918
2023-08-02 10:02:39.830000+00:00,0.996,
2023-08-02 10:02:43.640000+00:00,,0.6933
2023-08-02 10:02:49.830000+00:00,0.9965,
2023-08-02 10:02:53.640000+00:00,,0.6942
2023-08-02 10:02:59.830000+00:00,0.9995,
2023-08-02 10:03:03.640000+00:00,,0.6943
2023-08-02 10:03:09.830000+00:00,0.9995,
2023-08-02 10:03:13.640000+00:00,,0.6944
2023-08-02 10:03:19.829000+00:00,0.9985,
2023-08-02 10:03:23.640000+00:00,,0.6956
2023-08-02 10:03:29.830000+00:00,0.997,
2023-08-02 10:03:33.640000+00:00,,0.6958
2023-08-02 10:03:39.829000+00:00,0.997,
2023-08-02 10:03:43.640000+00:00,,0.6959
2023-08-02 10:03:49.830000+00:00,0.9975,
2023-08-02 10:03:53.640000+00:00,,0.6959
2023-08-02 10:03:59.830000+00:00,0.9985,
2023-08-02 10:04:03.640000+00:00,,0.6962
2023-08-02 10:04:09.830000+00:00,0.9985,
2023-08-02 10:04:13.640000+00:00,,0.6963
2023-08-02 10:04:19.830000+00:00,0.998,
2023-08-02 10:04:23.640000+00:00,,0.6952
2023-08-02 10:04:29.829000+00:00,0.9975,
2023-08-02 10:04:33.640000+00:00,,0.696
2023-08-02 10:04:39.838000+00:00,0.999,
2023-08-02 10:04:43.640000+00:00,,0.6962
2023-08-02 10:04:49.830000+00:00,0.998,
2023-08-02 10:04:53.640000+00:00,,0.6965
2023-08-02 10:04:59.830000+00:00,0.9975,
2023-08-02 10:05:03.640000+00:00,,0.6973
2023-08-02 10:05:09.829000+00:00,0.999,
2023-08-02 10:05:13.640000+00:00,,0.698
2023-08-02 10:05:19.830000+00:00,0.996,
2023-08-02 10:05:23.640000+00:00,,0.6984
2023-08-02 10:05:29.830000+00:00,0.9965,
2023-08-02 10:05:33.640000+00:00,,0.6985
2023-08-02 10:05:39.829000+00:00,0.997,
2023-08-02 10:05:43.640000+00:00,,0.6991
2023-08-02 10:05:49.830000+00:00,0.993,
2023-08-02 10:05:53.640000+00:00,,0.6989
2023-08-02 10:05:59.829000+00:00,0.9965,
2023-08-02 10:06:03.640000+00:00,,0.6996
2023-08-02 10:06:09.829000+00:00,0.998,
2023-08-02 10:06:13.640000+00:00,,0.6992
2023-08-02 10:06:19.830000+00:00,0.9985,
2023-08-02 10:06:23.640000+00:00,,0.6998
2023-08-02 10:06:29.829000+00:00,0.9955,
2023-08-02 10:06:33.640000+00:00,,0.7003
2023-08-02 10:06:39.829000+00:00,0.998,
2023-08-02 10:06:43.640000+00:00,,0.7004
2023-08-02 10:06:49.830000+00:00,0.9975,
2023-08-02 10:06:53.640000+00:00,,0.7007
2023-08-02 10:06:59.830000+00:00,0.999,
2023-08-02 10:07:03.640000+00:00,,0.701
2023-08-02 10:07:09.829000+00:00,0.999,
2023-08-02 10:07:13.640000+00:00,,0.7001
2023-08-02 10:07:19.829000+00:00,0.9965,
2023-08-02 10:07:23.640000+00:00,,0.6993
2023-08-02 10:07:29.830000+00:00,0.9975,
2023-08-02 10:07:33.640000+00:00,,0.6996
2023-08-02 10:07:39.829000+00:00,1.0,
2023-08-02 10:07:43.640000+00:00,,0.6996
2023-08-02 10:07:49.829000+00:00,0.997,
2023-08-02 10:07:53.640000+00:00,,0.7012
2023-08-02 10:07:59.829000+00:00,0.998,
2023-08-02 10:08:03.640000+00:00,,0.7015
2023-08-02 10:08:09.830000+00:00,0.9975,
2023-08-02 10:08:13.640000+00:00,,0.7013
2023-08-02 10:08:19.830000+00:00,0.9975,
2023-08-02 10:08:23.640000+00:00,,0.7015
2023-08-02 10:08:29.830000+00:00,0.9975,
2023-08-02 10:08:33.640000+00:00,,0.7029
2023-08-02 10:08:39.829000+00:00,0.998,
2023-08-02 10:08:43.640000+00:00,,0.7019
2023-08-02 10:08:49.829000+00:00,0.999,
2023-08-02 10:08:53.640000+00:00,,0.7021
2023-08-02 10:08:59.829000+00:00,0.995,
2023-08-02 10:09:03.640000+00:00,,0.7023
2023-08-02 10:09:09.830000+00:00,0.9985,
2023-08-02 10:09:13.640000+00:00,,0.7033
2023-08-02 10:09:19.830000+00:00,0.9965,
2023-08-02 10:09:23.640000+00:00,,0.7037
2023-08-02 10:09:29.830000+00:00,0.997,
2023-08-02 10:09:33.640000+00:00,,0.7037
2023-08-02 10:09:39.830000+00:00,0.9955,
