@timestamp,memory,cpu
2023-08-02 09:03:30.327000+00:00,0.3137,
2023-08-02 09:03:30.476000+00:00,,0.0443
2023-08-02 09:03:40.327000+00:00,0.3151,
2023-08-02 09:03:40.476000+00:00,,0.0446
2023-08-02 09:03:50.327000+00:00,0.3158,
2023-08-02 09:03:50.476000+00:00,,0.0724
2023-08-02 09:04:00.327000+00:00,0.316,
2023-08-02 09:04:00.476000+00:00,,0.022
2023-08-02 09:04:10.327000+00:00,0.3165,
2023-08-02 09:04:10.476000+00:00,,0.0341
2023-08-02 09:04:20.327000+00:00,0.3165,
2023-08-02 09:04:20.476000+00:00,,0.0065
2023-08-02 09:04:30.327000+00:00,0.3166,
2023-08-02 09:04:30.476000+00:00,,0.0214
2023-08-02 09:04:40.327000+00:00,0.3172,
2023-08-02 09:04:40.476000+00:00,,0.0586
2023-08-02 09:04:50.327000+00:00,0.3172,
2023-08-02 09:04:50.476000+00:00,,0.0271
2023-08-02 09:05:00.327000+00:00,0.3177,
2023-08-02 09:05:00.476000+00:00,,0.0556
2023-08-02 09:05:10.327000+00:00,0.3188,
2023-08-02 09:05:10.476000+00:00,,0.0716
2023-08-02 09:05:20.327000+00:00,0.3193,
2023-08-02 09:05:20.476000+00:00,,0.05
2023-08-02 09:05:30.327000+00:00,0.3195,
2023-08-02 09:05:30.476000+00:00,,0.0327
2023-08-02 09:05:40.327000+00:00,0.32,
2023-08-02 09:05:40.476000+00:00,,0.0438
2023-08-02 09:05:50.327000+00:00,0.3203,
2023-08-02 09:05:50.476000+00:00,,0.0377
2023-08-02 09:06:00.327000+00:00,0.3204,
2023-08-02 09:06:00.476000+00:00,,0.0236
2023-08-02 09:06:10.327000+00:00,0.3205,
2023-08-02 09:06:10.476000+00:00,,0.0093
2023-08-02 09:06:20.327000+00:00,0.3212,
2023-08-02 09:06:20.476000+00:00,,0.025
2023-08-02 09:06:30.327000+00:00,0.3207,
2023-08-02 09:06:30.476000+00:00,,0.0496
2023-08-02 09:06:40.327000+00:00,0.321,
2023-08-02 09:06:40.476000+00:00,,0.0392
2023-08-02 09:06:50.327000+00:00,0.3223,
2023-08-02 09:06:50.476000+00:00,,0.0439
2023-08-02 09:07:00.327000+00:00,0.3231,
2023-08-02 09:07:00.476000+00:00,,0.0367
2023-08-02 09:07:10.327000+00:00,0.3237,
2023-08-02 09:07:10.476000+00:00,,0.0188
2023-08-02 09:07:20.327000+00:00,0.3253,
2023-08-02 09:07:20.476000+00:00,,0.0174
2023-08-02 09:07:30.327000+00:00,0.3255,
2023-08-02 09:07:30.476000+00:00,,0.0254
