@timestamp,memory,cpu
2023-08-02 09:03:23.640000+00:00,0.5381,
2023-08-02 09:03:29.830000+00:00,,0.3455
2023-08-02 09:03:33.640000+00:00,0.5407,
2023-08-02 09:03:39.830000+00:00,,0.3624
2023-08-02 09:03:43.640000+00:00,0.5422,
2023-08-02 09:03:49.829000+00:00,,0.574
2023-08-02 09:03:53.640000+00:00,0.5427,
2023-08-02 09:03:59.830000+00:00,,0.5346
2023-08-02 09:04:03.640000+00:00,0.5433,
2023-08-02 09:04:09.829000+00:00,,0.6071
2023-08-02 09:04:13.640000+00:00,0.5433,
2023-08-02 09:04:19.829000+00:00,,0.6022
2023-08-02 09:04:23.640000+00:00,0.5433,
2023-08-02 09:04:29.830000+00:00,,0.6076
2023-08-02 09:04:33.640000+00:00,0.545,
2023-08-02 09:04:39.829000+00:00,,0.7546
2023-08-02 09:04:43.640000+00:00,0.5448,
2023-08-02 09:04:49.830000+00:00,,0.739
2023-08-02 09:04:53.640000+00:00,0.5452,
2023-08-02 09:04:59.830000+00:00,,0.8408
2023-08-02 09:05:03.640000+00:00,0.5462,
2023-08-02 09:05:09.829000+00:00,,0.9647
2023-08-02 09:05:13.640000+00:00,0.5466,
2023-08-02 09:05:19.830000+00:00,,0.9501
2023-08-02 09:05:23.640000+00:00,0.5477,
2023-08-02 09:05:29.833000+00:00,,0.9815
2023-08-02 09:05:33.640000+00:00,0.5501,
2023-08-02 09:05:39.829000+00:00,,0.995
2023-08-02 09:05:43.640000+00:00,0.5528,
2023-08-02 09:05:49.830000+00:00,,0.9955
2023-08-02 09:05:53.641000+00:00,0.5542,
2023-08-02 09:05:59.830000+00:00,,0.9905
2023-08-02 09:06:03.640000+00:00,0.5556,
2023-08-02 09:06:09.829000+00:00,,0.996
2023-08-02 09:06:13.640000+00:00,0.5683,
2023-08-02 09:06:19.829000+00:00,,1.0
2023-08-02 09:06:23.640000+00:00,0.5788,
2023-08-02 09:06:29.829000+00:00,,0.9895
2023-08-02 09:06:33.645000+00:00,0.6234,
2023-08-02 09:06:39.830000+00:00,,0.9975
2023-08-02 09:06:43.641000+00:00,0.5923,
2023-08-02 09:06:49.829000+00:00,,0.993
2023-08-02 09:06:53.640000+00:00,0.5932,
2023-08-02 09:06:59.830000+00:00,,0.9955
2023-08-02 09:07:03.640000+00:00,0.5933,
2023-08-02 09:07:09.830000+00:00,,0.997
2023-08-02 09:07:13.640000+00:00,0.5946,
2023-08-02 09:07:19.829000+00:00,,0.999
2023-08-02 09:07:23.640000+00:00,0.5966,
2023-08-02 09:07:29.830000+00:00,,0.999
