@timestamp,memory,cpu
2023-08-02 09:41:40.327000+00:00,0.3497,
2023-08-02 09:41:40.476000+00:00,,0.0581
2023-08-02 09:41:50.327000+00:00,0.354,
2023-08-02 09:41:50.476000+00:00,,0.1998
2023-08-02 09:42:00.327000+00:00,0.3551,
2023-08-02 09:42:00.476000+00:00,,0.0686
2023-08-02 09:42:10.327000+00:00,0.3554,
2023-08-02 09:42:10.476000+00:00,,0.0445
2023-08-02 09:42:20.327000+00:00,0.3557,
2023-08-02 09:42:20.476000+00:00,,0.0297
2023-08-02 09:42:30.327000+00:00,0.3559,
2023-08-02 09:42:30.476000+00:00,,0.0512
2023-08-02 09:42:40.327000+00:00,0.3563,
2023-08-02 09:42:40.476000+00:00,,0.0598
2023-08-02 09:42:50.327000+00:00,0.3565,
2023-08-02 09:42:50.476000+00:00,,0.0392
2023-08-02 09:43:00.327000+00:00,0.3565,
2023-08-02 09:43:00.476000+00:00,,0.0176
