@timestamp,cpu,memory
2023-08-02 09:41:39.830000+00:00,0.8643,
2023-08-02 09:41:43.640000+00:00,,0.6799
2023-08-02 09:41:49.829000+00:00,0.976,
2023-08-02 09:41:53.640000+00:00,,0.6838
2023-08-02 09:41:59.829000+00:00,0.9885,
2023-08-02 09:42:03.640000+00:00,,0.6861
2023-08-02 09:42:09.829000+00:00,0.991,
2023-08-02 09:42:13.640000+00:00,,0.6877
2023-08-02 09:42:19.829000+00:00,0.9925,
2023-08-02 09:42:23.640000+00:00,,0.6925
2023-08-02 09:42:29.830000+00:00,0.994,
2023-08-02 09:42:33.640000+00:00,,0.693
2023-08-02 09:42:39.830000+00:00,0.997,
2023-08-02 09:42:43.641000+00:00,,0.6929
2023-08-02 09:42:49.829000+00:00,0.9965,
2023-08-02 09:42:53.640000+00:00,,0.6932
2023-08-02 09:42:59.829000+00:00,1.0,
2023-08-02 09:43:03.640000+00:00,,0.6933
