@timestamp,memory,cpu
2023-07-24 11:10:48.373000+00:00,,0.001
2023-07-24 11:10:48.376000+00:00,,0.0005
2023-07-24 11:10:48.400000+00:00,0.2301,
2023-07-24 11:10:48.401000+00:00,,0.005
2023-07-24 11:10:48.415000+00:00,,0.3817
2023-07-24 11:10:48.439000+00:00,,0.0035
2023-07-24 11:10:48.447000+00:00,,0.0025
2023-07-24 11:10:48.451000+00:00,0.2294,
2023-07-24 11:10:48.461000+00:00,0.227,
2023-07-24 11:10:48.478000+00:00,,0.3785
2023-07-24 11:10:48.479000+00:00,,0.599
2023-07-24 11:10:48.489000+00:00,0.2306,
2023-07-24 11:10:48.490000+00:00,0.2305,
2023-07-24 11:10:48.491000+00:00,,0.001
2023-07-24 11:10:48.501000+00:00,,0.001
2023-07-24 11:10:48.517000+00:00,,0.002
2023-07-24 11:10:48.539000+00:00,0.2303,
2023-07-24 11:10:48.540000+00:00,,0.0005
2023-07-24 11:10:48.547000+00:00,,0.001
2023-07-24 11:10:48.556000+00:00,,0.2147
2023-07-24 11:10:48.597000+00:00,,0.0025
2023-07-24 11:10:48.600000+00:00,,0.003
2023-07-24 11:10:48.628000+00:00,0.2924,
2023-07-24 11:10:48.648000+00:00,0.2329,0.6108
2023-07-24 11:10:48.655000+00:00,0.293,
2023-07-24 11:10:48.656000+00:00,0.2305,
2023-07-24 11:10:48.658000+00:00,0.3178,
2023-07-24 11:10:48.661000+00:00,,0.0025
2023-07-24 11:10:48.671000+00:00,,0.1741
2023-07-24 11:10:48.693000+00:00,,0.0025
2023-07-24 11:10:48.694000+00:00,0.2936,0.0015
2023-07-24 11:10:48.709000+00:00,0.2312,
2023-07-24 11:10:48.723000+00:00,0.2322,
2023-07-24 11:10:48.730000+00:00,0.2325,
2023-07-24 11:10:48.744000+00:00,0.2944,
2023-07-24 11:10:48.748000+00:00,0.2934,
2023-07-24 11:10:48.767000+00:00,0.2297,
2023-07-24 11:10:48.777000+00:00,0.2932,
2023-07-24 11:10:48.790000+00:00,,0.0015
2023-07-24 11:10:48.797000+00:00,0.2941,
2023-07-24 11:10:48.851000+00:00,,0.1622
2023-07-24 11:10:48.864000+00:00,0.2288,
2023-07-24 11:10:48.865000+00:00,0.2905,
2023-07-24 11:10:48.877000+00:00,0.31,
2023-07-24 11:10:48.878000+00:00,0.2934,
2023-07-24 11:10:48.881000+00:00,0.2885,
2023-07-24 11:10:48.888000+00:00,0.2292,
2023-07-24 11:10:48.898000+00:00,,0.6133
2023-07-24 11:10:48.902000+00:00,0.2929,
2023-07-24 11:10:48.910000+00:00,0.2282,
2023-07-24 11:10:48.912000+00:00,0.23,
2023-07-24 11:10:48.941000+00:00,,0.002
2023-07-24 11:10:48.952000+00:00,,0.001
