@timestamp,user_id,audio_bytesSent,audio_packetsSent,audio_nackCount,video_bytesSent,video_packetsSent,video_framesEncoded,video_nackCount,video_firCount,video_pliCount,video_qpSum
2023-08-02 09:17:58.050000+00:00,User3,41055,255,0,230619,270,151,0,12,0,9238
2023-08-02 09:17:59.728000+00:00,User6,51204,320,0,454158,500,254,0,4,0,15080
2023-08-02 09:17:59.853000+00:00,User3,238602,1482,0,1284584,1326,505,0,24,0,24720
2023-08-02 09:17:59.869000+00:00,User5,239407,1487,0,1297507,1498,948,0,48,0,60276
2023-08-02 09:17:59.870000+00:00,User1,239407,1487,0,1401804,1600,950,0,32,0,55778
2023-08-02 09:17:59.875000+00:00,User2,239407,1487,0,1313334,1354,529,0,52,0,27692
2023-08-02 09:18:02.730000+00:00,User6,75354,470,0,736148,785,344,28,4,4,17191
2023-08-02 09:18:02.907000+00:00,User5,263879,1639,0,1271646,1371,670,0,40,0,41241
2023-08-02 09:18:02.979000+00:00,User7,264362,1642,0,2383267,2533,1035,4,76,0,46306
2023-08-02 09:18:03.068000+00:00,User2,265167,1647,0,1191621,1420,1035,0,64,0,72942
2023-08-02 09:18:03.105000+00:00,User3,265529,1649,0,1927209,2137,1047,20,64,8,52908
2023-08-02 09:18:03.252000+00:00,User2,80978,502,0,539937,603,299,0,8,0,15366
2023-08-02 09:18:03.265000+00:00,User1,78728,488,0,831460,875,354,20,4,0,15433
2023-08-02 09:18:03.308000+00:00,User5,210688,1308,0,907572,973,416,0,32,0,25350
2023-08-02 09:18:03.829000+00:00,User1,86129,534,0,527123,591,317,0,12,0,16566
2023-08-02 09:18:04.051000+00:00,User3,89480,555,0,706670,752,331,0,12,0,14590
2023-08-02 09:18:04.374000+00:00,User8,114471,711,0,593126,710,489,0,16,0,36509
2023-08-02 09:18:04.691000+00:00,User4,96448,599,0,416313,459,239,0,48,0,18343
2023-08-02 09:18:04.815000+00:00,User2,118335,735,0,733765,859,500,12,16,0,30390
2023-08-02 09:18:05.269000+00:00,User8,282393,1753,0,3348771,3375,1054,100,8,20,37981
2023-08-02 09:18:05.289000+00:00,User6,188641,1171,0,1073464,1107,392,0,16,0,17608
2023-08-02 09:18:05.333000+00:00,User1,283272,1760,0,2868418,2792,666,80,16,28,25116
2023-08-02 09:18:05.420000+00:00,User7,100506,624,0,548041,639,436,0,36,0,32288
2023-08-02 09:18:05.424000+00:00,User4,284009,1765,0,1402802,1696,1116,0,36,0,68572
2023-08-02 09:18:05.485000+00:00,User8,189016,1174,0,832290,906,399,12,20,20,23938
2023-08-02 09:18:05.671000+00:00,User4,285936,1776,0,2036360,2048,671,16,56,0,29441
2023-08-02 09:18:05.727000+00:00,User6,99594,620,0,986072,1044,434,28,4,20,20366
2023-08-02 09:18:05.853000+00:00,User3,287063,1783,0,1861906,1865,606,8,24,0,26033
2023-08-02 09:18:05.870000+00:00,User1,287715,1787,0,2097358,2282,1130,32,32,28,59690
2023-08-02 09:18:05.871000+00:00,User5,287549,1786,0,1771470,1993,1128,0,48,0,64546
2023-08-02 09:18:05.876000+00:00,User2,287877,1788,0,1885498,1882,619,0,52,0,28665
2023-08-02 09:18:05.900000+00:00,User6,287232,1786,0,1896359,1916,687,12,52,0,37552
2023-08-02 09:18:05.907000+00:00,User5,288041,1789,0,1475494,1565,715,0,40,0,41980
2023-08-02 09:18:05.978000+00:00,User7,288668,1793,0,2664953,2833,1123,52,76,28,50786
2023-08-02 09:18:09.252000+00:00,User2,129196,802,0,1157792,1220,479,0,8,0,18407
2023-08-02 09:18:09.267000+00:00,User1,126492,788,0,1612819,1627,534,20,4,0,18054
2023-08-02 09:18:09.309000+00:00,User5,259209,1609,0,1314320,1361,507,0,32,0,26746
2023-08-02 09:18:09.828000+00:00,User1,134434,834,0,735426,848,497,0,12,0,26314
2023-08-02 09:18:10.051000+00:00,User3,137815,855,0,1415786,1452,511,0,12,0,16801
2023-08-02 09:18:10.376000+00:00,User8,162931,1011,0,950066,1097,669,0,16,0,41508
2023-08-02 09:18:10.690000+00:00,User4,144738,898,0,600867,665,329,0,48,0,21371
2023-08-02 09:18:10.814000+00:00,User2,166795,1035,0,1138220,1295,680,12,16,0,34615
2023-08-02 09:18:11.272000+00:00,User8,329259,2055,0,4004549,3998,1197,104,8,20,39819
2023-08-02 09:18:11.299000+00:00,User6,236953,1471,0,1522852,1534,480,0,16,0,18627
2023-08-02 09:18:11.334000+00:00,User1,329914,2059,0,3753228,3649,844,136,16,28,27213
2023-08-02 09:18:11.419000+00:00,User7,148746,923,0,774897,922,614,0,36,0,41041
2023-08-02 09:18:11.427000+00:00,User4,332059,2063,0,1737296,2063,1295,0,36,0,74372
2023-08-02 09:18:11.489000+00:00,User8,235863,1474,0,948353,1037,483,12,20,20,31078
2023-08-02 09:18:11.672000+00:00,User4,333151,2076,0,2674339,2685,849,16,56,0,32164
2023-08-02 09:18:11.730000+00:00,User6,147642,920,0,1762297,1787,613,28,4,20,22583
2023-08-02 09:18:11.852000+00:00,User3,334587,2083,0,2572711,2559,785,8,24,0,28513
2023-08-02 09:18:11.870000+00:00,User1,334750,2086,0,2817933,2985,1309,32,32,28,62145
2023-08-02 09:18:11.871000+00:00,User5,335963,2086,0,2433607,2650,1307,0,48,0,67159
2023-08-02 09:18:11.877000+00:00,User2,335762,2085,0,2681684,2640,777,32,52,0,30663
2023-08-02 09:18:11.897000+00:00,User6,335774,2087,0,2715651,2700,862,12,52,0,39657
2023-08-02 09:18:11.906000+00:00,User5,336220,2088,0,2075192,2146,856,0,40,0,44073
2023-08-02 09:18:11.981000+00:00,User7,334706,2090,0,3336583,3499,1302,52,76,28,53640
2023-08-02 09:18:12.068000+00:00,User2,337617,2097,0,1546956,1862,1304,0,64,0,86482
2023-08-02 09:18:12.106000+00:00,User3,336756,2097,0,2894700,3110,1315,104,64,48,59376
2023-08-02 09:18:12.252000+00:00,User2,153272,952,0,1510712,1564,568,0,8,0,19606
2023-08-02 09:18:12.270000+00:00,User1,149696,938,0,2049335,2048,623,64,4,16,19385
2023-08-02 09:18:12.308000+00:00,User5,283038,1758,0,1508156,1546,550,0,32,0,27490
2023-08-02 09:18:13.052000+00:00,User3,161810,1005,0,1865253,1883,600,0,12,0,18031
2023-08-02 09:18:13.379000+00:00,User8,186921,1161,0,1182325,1337,758,0,16,0,44142
2023-08-02 09:18:12.829000+00:00,User1,158267,983,0,850152,986,586,0,12,0,30893
2023-08-02 09:18:14.268000+00:00,User8,352104,2203,0,4530005,4474,1253,124,8,32,40398
2023-08-02 09:18:14.298000+00:00,User6,261303,1623,0,1964441,1944,552,12,16,0,19790
2023-08-02 09:18:14.332000+00:00,User1,353582,2210,0,4486816,4322,935,208,16,36,28011
2023-08-02 09:18:14.418000+00:00,User7,172753,1073,0,939247,1112,705,0,36,0,45017
2023-08-02 09:18:14.424000+00:00,User4,356298,2214,0,1979942,2312,1385,0,36,0,76917
2023-08-02 09:18:14.489000+00:00,User8,259747,1626,0,1003798,1103,528,12,20,20,34567
2023-08-02 09:18:14.672000+00:00,User4,357070,2227,0,3146429,3132,941,16,56,0,33360
2023-08-02 09:18:14.727000+00:00,User6,171953,1071,0,2565774,2521,703,48,4,24,23312
2023-08-02 09:18:14.870000+00:00,User5,360157,2237,0,2929792,3116,1397,0,48,0,68246
2023-08-02 09:18:14.870000+00:00,User1,358656,2237,0,3520778,3633,1399,92,32,64,63308
2023-08-02 09:18:14.877000+00:00,User2,359940,2238,0,3171102,3098,868,44,52,0,32054
2023-08-02 09:18:14.897000+00:00,User6,359843,2237,0,3311778,3251,952,72,52,32,40977
2023-08-02 09:18:14.906000+00:00,User5,360479,2239,0,2471441,2531,946,12,40,0,45675
2023-08-02 09:18:15.830000+00:00,User1,182574,1134,0,1013009,1169,676,0,12,0,35770
2023-08-02 09:18:16.051000+00:00,User3,185495,1154,0,2575333,2547,690,40,12,16,20797
2023-08-02 09:18:16.375000+00:00,User8,211071,1311,0,1504205,1655,848,0,16,0,46598
2023-08-02 09:18:16.691000+00:00,User4,193039,1199,0,855684,924,418,0,48,0,25406
2023-08-02 09:18:16.814000+00:00,User2,214774,1334,0,1764585,1919,859,12,16,0,39374
2023-08-02 09:18:17.268000+00:00,User8,374623,2351,0,5148704,5044,1320,212,8,68,43078
2023-08-02 09:18:17.300000+00:00,User6,285441,1773,0,2196607,2184,639,80,16,16,26153
2023-08-02 09:18:17.333000+00:00,User1,376679,2360,0,5104581,4903,1024,256,16,52,31497
2023-08-02 09:18:17.418000+00:00,User7,196903,1223,0,1128794,1316,795,0,36,0,49061
2023-08-02 09:18:17.424000+00:00,User4,380609,2365,0,2186155,2535,1475,24,36,12,82034
2023-08-02 09:18:17.490000+00:00,User8,282951,1776,0,1057277,1171,574,12,20,20,38852
2023-08-02 09:18:17.673000+00:00,User4,381183,2377,0,3622279,3579,1030,16,56,0,34684
2023-08-02 09:18:17.728000+00:00,User6,195614,1220,0,2835203,2806,792,92,4,36,29854
2023-08-02 09:18:17.853000+00:00,User3,381991,2383,0,3317878,3274,965,8,24,0,31990
2023-08-02 09:18:17.870000+00:00,User1,381772,2387,0,4033702,4128,1489,148,32,80,65869
2023-08-02 09:18:17.871000+00:00,User5,383836,2386,0,3436754,3601,1485,76,48,12,72579
2023-08-02 09:18:17.876000+00:00,User2,382950,2387,0,3436706,3376,954,80,52,16,36792
2023-08-02 09:18:17.898000+00:00,User6,383675,2386,0,3711962,3641,1042,136,52,40,43163
2023-08-02 09:18:17.913000+00:00,User5,384307,2387,0,2819564,2870,1035,12,40,0,47543
2023-08-02 09:18:17.979000+00:00,User7,381663,2391,0,4214282,4328,1482,76,76,28,56648
2023-08-02 09:18:18.067000+00:00,User2,385917,2397,0,1944200,2284,1484,0,64,0,93188
2023-08-02 09:18:18.109000+00:00,User3,383557,2398,0,3603192,3801,1495,136,64,60,65113
2023-08-02 09:18:18.253000+00:00,User2,201733,1253,0,2851228,2808,748,104,8,12,21749
2023-08-02 09:18:18.272000+00:00,User1,196522,1239,0,3669158,3568,803,224,4,60,25475
2023-08-02 09:18:18.309000+00:00,User5,331183,2059,0,2253392,2259,702,44,32,16,31671
2023-08-02 09:18:18.828000+00:00,User1,206563,1283,0,1203690,1374,766,0,12,0,38669
2023-08-02 09:18:19.052000+00:00,User3,208820,1304,0,2839589,2822,780,68,12,32,24731
2023-08-02 09:18:19.376000+00:00,User8,235221,1461,0,1878101,2018,938,0,16,0,47867
2023-08-02 09:18:19.689000+00:00,User4,217028,1348,0,1006912,1076,463,0,48,0,26415
2023-08-02 09:18:19.814000+00:00,User2,238924,1484,0,2095783,2249,949,48,16,0,40900
2023-08-02 09:18:20.270000+00:00,User8,396402,2504,0,5434889,5318,1385,212,8,68,44695
2023-08-02 09:18:20.302000+00:00,User6,308454,1923,0,2515735,2498,729,80,16,16,27921
2023-08-02 09:18:20.333000+00:00,User1,398647,2510,0,5260605,5095,1095,280,16,64,38526
