@timestamp,memory,cpu
2023-08-02 09:50:08.065000+00:00,0.312,
2023-08-02 09:50:08.184000+00:00,,0.001
2023-08-02 09:50:08.191000+00:00,0.2329,
2023-08-02 09:50:08.235000+00:00,0.2337,
2023-08-02 09:50:08.317000+00:00,,0.3604
2023-08-02 09:50:08.319000+00:00,,0.0045
2023-08-02 09:50:08.440000+00:00,,0.002
2023-08-02 09:50:08.452000+00:00,,0.003
2023-08-02 09:50:08.504000+00:00,,0.0005
2023-08-02 09:50:08.559000+00:00,0.3066,
2023-08-02 09:50:08.565000+00:00,,0.002
2023-08-02 09:50:08.579000+00:00,0.228,
2023-08-02 09:50:08.612000+00:00,0.2291,
2023-08-02 09:50:08.645000+00:00,0.2321,
2023-08-02 09:50:08.726000+00:00,,0.0025
2023-08-02 09:50:08.729000+00:00,,0.2953
2023-08-02 09:50:08.767000+00:00,0.2408,
2023-08-02 09:50:08.796000+00:00,0.3105,
2023-08-02 09:50:08.806000+00:00,,0.0005
2023-08-02 09:50:08.857000+00:00,0.3125,
2023-08-02 09:50:08.858000+00:00,,0.3468
2023-08-02 09:50:09.042000+00:00,0.2305,
2023-08-02 09:50:09.048000+00:00,0.2313,
2023-08-02 09:50:09.179000+00:00,0.2286,
2023-08-02 09:50:09.196000+00:00,0.2315,
2023-08-02 09:50:09.224000+00:00,,0.003
2023-08-02 09:50:09.331000+00:00,0.2319,
2023-08-02 09:50:09.431000+00:00,0.2293,
2023-08-02 09:50:09.444000+00:00,,0.005
2023-08-02 09:50:09.473000+00:00,0.2315,
2023-08-02 09:50:09.482000+00:00,0.2317,
2023-08-02 09:50:09.575000+00:00,,0.0005
2023-08-02 09:50:09.583000+00:00,0.3075,
2023-08-02 09:50:09.630000+00:00,,0.0005
2023-08-02 09:50:09.795000+00:00,0.2286,
2023-08-02 09:50:09.824000+00:00,0.2286,
2023-08-02 09:50:09.901000+00:00,,0.002
2023-08-02 09:50:09.933000+00:00,,0.0015
2023-08-02 09:50:10.128000+00:00,,0.0085
2023-08-02 09:50:10.130000+00:00,,0.003
2023-08-02 09:50:10.175000+00:00,0.2295,
2023-08-02 09:50:10.223000+00:00,0.2305,
2023-08-02 09:50:10.264000+00:00,0.2295,
2023-08-02 09:50:10.265000+00:00,,0.0025
2023-08-02 09:50:10.287000+00:00,,0.0015
2023-08-02 09:50:10.340000+00:00,0.2322,
2023-08-02 09:50:10.342000+00:00,,0.001
2023-08-02 09:50:10.444000+00:00,0.2293,
2023-08-02 09:50:10.471000+00:00,,0.001
2023-08-02 09:50:10.521000+00:00,0.2318,
2023-08-02 09:50:10.578000+00:00,0.2283,
2023-08-02 09:50:10.638000+00:00,0.2956,
2023-08-02 09:50:10.697000+00:00,0.2268,
2023-08-02 09:50:10.703000+00:00,,0.0015
2023-08-02 09:50:10.711000+00:00,0.3104,
2023-08-02 09:50:10.713000+00:00,0.2304,
2023-08-02 09:50:10.737000+00:00,,0.0025
2023-08-02 09:50:10.750000+00:00,,0.4654
2023-08-02 09:50:10.813000+00:00,,0.1032
2023-08-02 09:50:10.894000+00:00,,0.0005
2023-08-02 09:50:11.090000+00:00,,0.0205
2023-08-02 09:50:11.093000+00:00,,0.0005
2023-08-02 09:50:11.137000+00:00,0.2303,
2023-08-02 09:50:11.145000+00:00,0.279,
2023-08-02 09:50:11.155000+00:00,,0.001
2023-08-02 09:50:11.336000+00:00,0.2288,
2023-08-02 09:50:11.350000+00:00,,0.0005
2023-08-02 09:50:11.365000+00:00,,0.2204
2023-08-02 09:50:11.423000+00:00,0.2334,
2023-08-02 09:50:11.480000+00:00,,0.003
2023-08-02 09:50:11.495000+00:00,0.23,
2023-08-02 09:50:11.525000+00:00,,0.2913
2023-08-02 09:50:11.625000+00:00,0.2295,
2023-08-02 09:50:11.780000+00:00,0.3247,
2023-08-02 09:50:11.799000+00:00,,0.004
2023-08-02 09:50:11.828000+00:00,,0.0005
2023-08-02 09:50:11.837000+00:00,,0.002
2023-08-02 09:50:11.861000+00:00,0.2327,
2023-08-02 09:50:11.917000+00:00,,0.004
2023-08-02 09:50:11.930000+00:00,,0.0015
2023-08-02 09:50:12+00:00,0.229,
2023-08-02 09:50:12.040000+00:00,,0.0015
2023-08-02 09:50:12.055000+00:00,0.2295,
2023-08-02 09:50:12.060000+00:00,0.2304,
2023-08-02 09:50:12.084000+00:00,0.2325,
2023-08-02 09:50:12.107000+00:00,,0.2625
2023-08-02 09:50:12.185000+00:00,,0.0015
2023-08-02 09:50:12.207000+00:00,0.3247,
2023-08-02 09:50:12.231000+00:00,0.2281,
2023-08-02 09:50:12.264000+00:00,,0.0005
2023-08-02 09:50:12.291000+00:00,0.2321,
2023-08-02 09:50:12.491000+00:00,,0.0025
2023-08-02 09:50:12.547000+00:00,0.2287,
2023-08-02 09:50:12.675000+00:00,0.2271,
2023-08-02 09:50:12.689000+00:00,,0.4336
2023-08-02 09:50:12.731000+00:00,,0.0
2023-08-02 09:50:12.749000+00:00,0.227,
2023-08-02 09:50:12.802000+00:00,,0.0025
2023-08-02 09:50:13.033000+00:00,,0.0005
2023-08-02 09:50:13.065000+00:00,0.3288,
2023-08-02 09:50:13.184000+00:00,,0.004
2023-08-02 09:50:13.191000+00:00,0.2329,
2023-08-02 09:50:13.235000+00:00,0.2337,
2023-08-02 09:50:13.317000+00:00,,0.6247
2023-08-02 09:50:13.319000+00:00,,0.0025
2023-08-02 09:50:13.440000+00:00,,0.0015
2023-08-02 09:50:13.452000+00:00,,0.0015
2023-08-02 09:50:13.504000+00:00,,0.001
2023-08-02 09:50:13.559000+00:00,0.3157,
2023-08-02 09:50:13.565000+00:00,,0.0015
2023-08-02 09:50:13.579000+00:00,0.228,
2023-08-02 09:50:13.612000+00:00,0.2291,
2023-08-02 09:50:13.645000+00:00,0.2321,
2023-08-02 09:50:13.726000+00:00,,0.002
2023-08-02 09:50:13.729000+00:00,,0.3774
2023-08-02 09:50:13.767000+00:00,0.2576,
2023-08-02 09:50:13.796000+00:00,0.3142,
2023-08-02 09:50:13.806000+00:00,,0.0005
2023-08-02 09:50:13.857000+00:00,0.3161,
2023-08-02 09:50:13.858000+00:00,,0.447
2023-08-02 09:50:14.042000+00:00,0.2305,
2023-08-02 09:50:14.048000+00:00,0.2314,
2023-08-02 09:50:14.179000+00:00,0.2286,
2023-08-02 09:50:14.196000+00:00,0.2315,
2023-08-02 09:50:14.224000+00:00,,0.0065
2023-08-02 09:50:14.331000+00:00,0.2395,
2023-08-02 09:50:14.431000+00:00,0.2293,
2023-08-02 09:50:14.444000+00:00,,0.0015
2023-08-02 09:50:14.473000+00:00,0.2315,
2023-08-02 09:50:14.482000+00:00,0.2317,
2023-08-02 09:50:14.575000+00:00,,0.0005
2023-08-02 09:50:14.583000+00:00,0.3087,
2023-08-02 09:50:14.630000+00:00,,0.0005
2023-08-02 09:50:14.795000+00:00,0.2286,
2023-08-02 09:50:14.824000+00:00,0.2287,
2023-08-02 09:50:14.901000+00:00,,0.002
2023-08-02 09:50:14.933000+00:00,,0.005
2023-08-02 09:50:15.128000+00:00,,0.01
2023-08-02 09:50:15.130000+00:00,,0.003
2023-08-02 09:50:15.175000+00:00,0.2295,
2023-08-02 09:50:15.223000+00:00,0.2305,
2023-08-02 09:50:15.264000+00:00,0.2295,
2023-08-02 09:50:15.265000+00:00,,0.002
2023-08-02 09:50:15.287000+00:00,,0.0005
2023-08-02 09:50:15.340000+00:00,0.2322,
2023-08-02 09:50:15.342000+00:00,,0.0
2023-08-02 09:50:15.444000+00:00,0.2293,
2023-08-02 09:50:15.471000+00:00,,0.0005
2023-08-02 09:50:15.521000+00:00,0.2318,
2023-08-02 09:50:15.578000+00:00,0.2283,
2023-08-02 09:50:15.638000+00:00,0.2956,
2023-08-02 09:50:15.697000+00:00,0.2268,
2023-08-02 09:50:15.703000+00:00,,0.001
2023-08-02 09:50:15.711000+00:00,0.3132,
2023-08-02 09:50:15.713000+00:00,0.2304,
2023-08-02 09:50:15.737000+00:00,,0.0025
2023-08-02 09:50:15.750000+00:00,,0.6837
2023-08-02 09:50:15.813000+00:00,,0.2999
2023-08-02 09:50:15.894000+00:00,,0.001
2023-08-02 09:50:16.090000+00:00,,0.124
2023-08-02 09:50:16.093000+00:00,,0.0015
2023-08-02 09:50:16.137000+00:00,0.2303,
2023-08-02 09:50:16.145000+00:00,0.3628,
2023-08-02 09:50:16.155000+00:00,,0.0015
2023-08-02 09:50:16.336000+00:00,0.2288,
2023-08-02 09:50:16.350000+00:00,,0.0005
2023-08-02 09:50:16.365000+00:00,,0.24725
2023-08-02 09:50:16.423000+00:00,0.2334,
2023-08-02 09:50:16.480000+00:00,,0.003
2023-08-02 09:50:16.495000+00:00,0.23,
2023-08-02 09:50:16.525000+00:00,,0.2594
2023-08-02 09:50:16.625000+00:00,0.2295,
2023-08-02 09:50:16.780000+00:00,0.3396,
2023-08-02 09:50:16.799000+00:00,,0.003
2023-08-02 09:50:16.828000+00:00,,0.0015
2023-08-02 09:50:16.837000+00:00,,0.0035
2023-08-02 09:50:16.861000+00:00,0.2327,
2023-08-02 09:50:16.917000+00:00,,0.002
2023-08-02 09:50:16.930000+00:00,,0.0025
2023-08-02 09:50:17+00:00,0.229,
