@timestamp,cpu,memory
2023-08-02 09:50:09.829000+00:00,0.6555,
2023-08-02 09:50:13.640000+00:00,,0.6789
2023-08-02 09:50:19.830000+00:00,0.805,
2023-08-02 09:50:23.640000+00:00,,0.6801
2023-08-02 09:50:29.830000+00:00,0.6498,
2023-08-02 09:50:33.640000+00:00,,0.6811
2023-08-02 09:50:39.830000+00:00,0.7709,
2023-08-02 09:50:43.643000+00:00,,0.6828
2023-08-02 09:50:49.829000+00:00,0.812,
2023-08-02 09:50:53.640000+00:00,,0.6829
2023-08-02 09:50:59.829000+00:00,0.8337,
2023-08-02 09:51:03.640000+00:00,,0.6827
2023-08-02 09:51:09.829000+00:00,0.8933,
2023-08-02 09:51:13.640000+00:00,,0.6843
2023-08-02 09:51:19.829000+00:00,0.98,
2023-08-02 09:51:23.640000+00:00,,0.6852
2023-08-02 09:51:29.829000+00:00,0.985,
2023-08-02 09:51:33.640000+00:00,,0.6885
2023-08-02 09:51:39.829000+00:00,0.992,
2023-08-02 09:51:43.640000+00:00,,0.69
2023-08-02 09:51:49.834000+00:00,0.995,
2023-08-02 09:51:53.640000+00:00,,0.69
2023-08-02 09:51:59.830000+00:00,0.9985,
2023-08-02 09:52:03.640000+00:00,,0.6904
2023-08-02 09:52:09.829000+00:00,0.991,
2023-08-02 09:52:13.640000+00:00,,0.6925
2023-08-02 09:52:19.829000+00:00,0.9915,
2023-08-02 09:52:23.641000+00:00,,0.6929
