@timestamp,user_id,audio_bytesSent,audio_packetsSent,audio_nackCount,video_bytesSent,video_packetsSent,video_framesEncoded,video_nackCount,video_firCount,video_pliCount,video_qpSum
2023-08-02 09:50:08.338000+00:00,User6,7608,47,0,38836,44,25,0,4,0,2495
2023-08-02 09:50:08.725000+00:00,User5,38710,240,0,237031,285,205,0,16,0,14965
2023-08-02 09:50:08.967000+00:00,User1,137544,854,0,646377,758,570,0,28,0,42262
2023-08-02 09:50:09.063000+00:00,User3,111010,689,0,539055,626,475,0,28,0,35114
2023-08-02 09:50:09.243000+00:00,User2,137172,852,0,652210,762,571,0,36,0,41801
2023-08-02 09:50:09.452000+00:00,User4,87502,543,0,402590,454,225,0,32,0,15468
2023-08-02 09:50:11.338000+00:00,User6,14650,90,0,110775,128,89,0,12,0,8979
2023-08-02 09:50:11.724000+00:00,User5,62825,390,0,343579,413,294,0,20,0,21105
2023-08-02 09:50:11.970000+00:00,User1,161483,1003,0,745966,872,660,0,36,0,48867
2023-08-02 09:50:12.062000+00:00,User3,135134,839,0,634137,739,566,0,28,0,41074
2023-08-02 09:50:12.245000+00:00,User2,161483,1003,0,753199,886,662,0,36,0,47747
2023-08-02 09:50:12.453000+00:00,User4,111573,693,0,491103,557,271,0,32,0,17658
2023-08-02 09:50:13.183000+00:00,User7,7359,45,0,42352,48,25,0,4,0,2609
2023-08-02 09:50:14.339000+00:00,User6,38478,238,0,199833,227,133,0,20,0,10820
2023-08-02 09:50:14.723000+00:00,User5,87221,541,0,452966,537,383,0,28,0,25833
2023-08-02 09:50:14.975000+00:00,User1,186105,1155,0,846230,990,749,0,44,0,54559
2023-08-02 09:50:15.063000+00:00,User3,159228,988,0,734605,853,655,0,36,0,46950
2023-08-02 09:50:15.245000+00:00,User2,185705,1153,0,849489,998,750,0,44,0,54086
2023-08-02 09:50:15.454000+00:00,User4,135884,844,0,572821,649,314,0,40,0,19925
2023-08-02 09:50:16.183000+00:00,User7,14489,89,0,108566,131,88,0,12,0,8385
2023-08-02 09:50:17.338000+00:00,User6,62629,389,0,296759,331,178,0,20,0,13289
2023-08-02 09:50:17.724000+00:00,User5,111090,690,0,556774,660,473,0,28,0,31590
2023-08-02 09:50:17.928000+00:00,User8,7889,49,0,52070,59,28,0,8,0,2968
2023-08-02 09:50:17.970000+00:00,User1,209783,1303,0,942866,1101,839,0,44,0,60903
2023-08-02 09:50:18.064000+00:00,User3,183218,1138,0,832581,966,744,0,36,0,53129
2023-08-02 09:50:18.245000+00:00,User2,209622,1302,0,948042,1112,840,0,44,0,60491
2023-08-02 09:50:18.455000+00:00,User4,159888,993,0,672536,759,359,0,40,0,22218
2023-08-02 09:50:19.186000+00:00,User7,37996,236,0,190117,222,133,0,12,0,11320
2023-08-02 09:50:20.341000+00:00,User6,86618,538,0,394381,435,223,0,20,0,16182
2023-08-02 09:50:20.726000+00:00,User5,135240,840,0,648950,767,563,0,28,0,39388
2023-08-02 09:50:20.927000+00:00,User8,16749,105,0,116406,136,90,0,8,0,9147
2023-08-02 09:50:20.970000+00:00,User1,233933,1453,0,1041355,1218,929,0,44,0,68123
2023-08-02 09:50:21.065000+00:00,User3,207368,1288,0,928630,1079,834,0,36,0,60460
2023-08-02 09:50:21.246000+00:00,User2,233774,1452,0,1047490,1231,930,0,44,0,67344
2023-08-02 09:50:21.456000+00:00,User4,184023,1143,0,767197,864,405,0,40,0,24640
2023-08-02 09:50:22.185000+00:00,User7,62468,388,0,277870,319,178,0,12,0,13723
2023-08-02 09:50:22.384000+00:00,User1,8533,53,0,40303,44,31,0,4,0,3256
2023-08-02 09:50:34.184000+00:00,User7,158585,985,0,752737,820,356,0,12,0,19192
2023-08-02 09:50:34.383000+00:00,User1,88067,547,0,437579,512,389,0,24,0,29076
2023-08-02 09:50:34.599000+00:00,User2,20462,132,0,205721,228,134,0,20,0,12671
2023-08-02 09:50:35.344000+00:00,User6,207207,1287,0,1164263,1201,446,0,20,0,21838
2023-08-02 09:50:41.931000+00:00,User3,62638,389,0,294783,331,180,0,12,0,13942
2023-08-02 09:50:41.972000+00:00,User1,402985,2503,0,2700489,2948,1558,0,44,0,86926
2023-08-02 09:50:42.064000+00:00,User3,376257,2337,0,2898146,3055,1463,0,36,0,76492
2023-08-02 09:50:42.246000+00:00,User2,402822,2502,0,2595422,2872,1559,0,44,0,87586
2023-08-02 09:51:06.246000+00:00,User2,596098,3702,0,7177757,7134,2276,0,44,0,93618
2023-08-02 09:51:10.391000+00:00,User1,377706,2346,0,2886871,3101,1467,0,40,0,76066
2023-08-02 09:51:10.509000+00:00,User5,207851,1291,0,1251148,1427,833,0,12,0,46881
2023-08-02 09:51:10.598000+00:00,User2,310101,1931,0,1939502,1985,758,0,32,0,39358
2023-08-02 09:51:11.268000+00:00,User4,254126,1586,0,3500253,3446,1011,16,12,0,32733
2023-08-02 09:51:11.347000+00:00,User6,494270,3070,0,7647795,7195,1420,60,20,8,30690
2023-08-02 09:51:11.727000+00:00,User5,545790,3390,0,8077526,7868,2080,0,28,0,67503
2023-08-02 09:51:11.932000+00:00,User3,304129,1889,0,1879709,1912,745,0,20,0,39555
