@timestamp,cpu,memory
2023-08-17 09:58:40.361000+00:00,,0.3
2023-08-17 09:58:40.364000+00:00,0.7126,
2023-08-17 09:58:40.370000+00:00,,0.2904
2023-08-17 09:58:40.402000+00:00,,0.2474
2023-08-17 09:58:40.410000+00:00,0.0005,
2023-08-17 09:58:40.420000+00:00,,0.2284
2023-08-17 09:58:40.423000+00:00,,0.2275
2023-08-17 09:58:40.446000+00:00,,0.294
2023-08-17 09:58:40.452000+00:00,0.0035,
2023-08-17 09:58:40.476000+00:00,0.0005,
2023-08-17 09:58:40.478000+00:00,,0.2938
2023-08-17 09:58:40.482000+00:00,0.5082,
2023-08-17 09:58:40.483000+00:00,0.0015,
2023-08-17 09:58:40.510000+00:00,,0.2945
2023-08-17 09:58:40.533000+00:00,0.0005,
2023-08-17 09:58:40.539000+00:00,0.2436,
2023-08-17 09:58:40.569000+00:00,0.0025,
2023-08-17 09:58:40.571000+00:00,0.002,
2023-08-17 09:58:40.572000+00:00,0.001,
2023-08-17 09:58:40.580000+00:00,0.007,
2023-08-17 09:58:40.597000+00:00,,0.2743
2023-08-17 09:58:40.601000+00:00,,0.291
2023-08-17 09:58:40.614000+00:00,0.2532,
2023-08-17 09:58:40.615000+00:00,,0.2927
2023-08-17 09:58:40.661000+00:00,,0.413
2023-08-17 09:58:40.664000+00:00,,0.368
2023-08-17 09:58:40.695000+00:00,,0.367
2023-08-17 09:58:40.696000+00:00,,0.2932
2023-08-17 09:58:40.700000+00:00,0.0005,
2023-08-17 09:58:40.706000+00:00,0.0015,
2023-08-17 09:58:40.735000+00:00,,0.3651
2023-08-17 09:58:40.738000+00:00,,0.2301
2023-08-17 09:58:40.747000+00:00,0.0095,0.4077
2023-08-17 09:58:40.757000+00:00,,0.2922
2023-08-17 09:58:40.758000+00:00,0.5193,
2023-08-17 09:58:40.764000+00:00,,0.3952
2023-08-17 09:58:40.770000+00:00,,0.3955
2023-08-17 09:58:40.787000+00:00,0.002,
2023-08-17 09:58:40.788000+00:00,0.0005,
2023-08-17 09:58:40.797000+00:00,0.5036,
2023-08-17 09:58:40.801000+00:00,0.006,
2023-08-17 09:58:40.835000+00:00,0.001,
2023-08-17 09:58:40.838000+00:00,0.0025,
2023-08-17 09:58:40.843000+00:00,,0.2931
2023-08-17 09:58:40.844000+00:00,,0.2929
2023-08-17 09:58:40.869000+00:00,,0.2929
2023-08-17 09:58:40.876000+00:00,0.003,0.2287
2023-08-17 09:58:40.879000+00:00,,0.2827
2023-08-17 09:58:40.880000+00:00,0.0035,0.394
2023-08-17 09:58:40.914000+00:00,0.25229999999999997,
2023-08-17 09:58:40.921000+00:00,0.0005,
2023-08-17 09:58:40.924000+00:00,,0.2923
2023-08-17 09:58:40.926000+00:00,,0.2298
2023-08-17 09:58:40.927000+00:00,,0.2921
2023-08-17 09:58:40.928000+00:00,,0.2937
2023-08-17 09:58:40.930000+00:00,,0.2273
2023-08-17 09:58:40.954000+00:00,0.0015,
2023-08-17 09:58:40.958000+00:00,0.0015,
2023-08-17 09:58:40.967000+00:00,,0.3347
2023-08-17 09:58:40.978000+00:00,,0.4232
2023-08-17 09:58:40.979000+00:00,0.0005,
2023-08-17 09:58:40.984000+00:00,,0.2924
2023-08-17 09:58:40.989000+00:00,,0.2931
2023-08-17 09:58:40.993000+00:00,0.2533,
2023-08-17 09:58:40.998000+00:00,,0.5028
2023-08-17 09:58:41.040000+00:00,,0.2916
2023-08-17 09:58:41.042000+00:00,,0.4227
2023-08-17 09:58:41.058000+00:00,0.0025,
2023-08-17 09:58:41.069000+00:00,,0.2949
2023-08-17 09:58:41.105000+00:00,,0.2746
2023-08-17 09:58:41.130000+00:00,,0.3821
2023-08-17 09:58:41.141000+00:00,,0.2936
2023-08-17 09:58:41.146000+00:00,0.003,
2023-08-17 09:58:41.147000+00:00,0.001,
2023-08-17 09:58:41.148000+00:00,,0.2939
2023-08-17 09:58:41.184000+00:00,,0.3914
2023-08-17 09:58:41.196000+00:00,,0.3819
2023-08-17 09:58:41.199000+00:00,0.0035,
2023-08-17 09:58:41.205000+00:00,0.0,
2023-08-17 09:58:41.217000+00:00,,0.2939
2023-08-17 09:58:41.219000+00:00,0.4989,
2023-08-17 09:58:41.221000+00:00,0.42355,
2023-08-17 09:58:41.223000+00:00,0.002,
2023-08-17 09:58:41.230000+00:00,0.002,
2023-08-17 09:58:41.241000+00:00,,0.38005
2023-08-17 09:58:41.247000+00:00,,0.2942
2023-08-17 09:58:41.285000+00:00,0.001,
2023-08-17 09:58:41.320000+00:00,,0.2926
2023-08-17 09:58:41.328000+00:00,0.002,
2023-08-17 09:58:41.330000+00:00,,0.2924
2023-08-17 09:58:41.335000+00:00,,0.2741
2023-08-17 09:58:41.377000+00:00,0.0025,0.2939
2023-08-17 09:58:41.388000+00:00,0.009,0.2288
2023-08-17 09:58:41.399000+00:00,0.0005,
2023-08-17 09:58:41.403000+00:00,,0.2816
2023-08-17 09:58:41.404000+00:00,0.003,
2023-08-17 09:58:41.406000+00:00,,0.2925
2023-08-17 09:58:41.428000+00:00,0.0015,
2023-08-17 09:58:41.433000+00:00,0.002,
2023-08-17 09:58:41.435000+00:00,0.001,0.2749
2023-08-17 09:58:41.462000+00:00,0.001,
2023-08-17 09:58:41.477000+00:00,,0.2746
2023-08-17 09:58:41.485000+00:00,,0.3799
2023-08-17 09:58:41.487000+00:00,,0.3786
2023-08-17 09:58:41.489000+00:00,0.0139,
2023-08-17 09:58:41.498000+00:00,0.0025,
2023-08-17 09:58:41.504000+00:00,0.2633,
2023-08-17 09:58:41.518000+00:00,,0.2899
2023-08-17 09:58:41.519000+00:00,,0.2928
2023-08-17 09:58:41.521000+00:00,0.001,
2023-08-17 09:58:41.524000+00:00,,0.2275
2023-08-17 09:58:41.526000+00:00,,0.2942
2023-08-17 09:58:41.537000+00:00,0.0025,
2023-08-17 09:58:41.538000+00:00,0.0015,
2023-08-17 09:58:41.544000+00:00,0.001,
2023-08-17 09:58:41.549000+00:00,0.5064,
2023-08-17 09:58:41.558000+00:00,0.0,
2023-08-17 09:58:41.567000+00:00,,0.2284
2023-08-17 09:58:41.586000+00:00,0.002,
2023-08-17 09:58:41.593000+00:00,0.004,
2023-08-17 09:58:41.598000+00:00,,0.3953
2023-08-17 09:58:41.609000+00:00,,0.2921
2023-08-17 09:58:41.623000+00:00,0.0,
2023-08-17 09:58:41.627000+00:00,,0.2748
2023-08-17 09:58:41.637000+00:00,0.0025,
2023-08-17 09:58:41.640000+00:00,,0.396
2023-08-17 09:58:41.652000+00:00,0.0,
2023-08-17 09:58:41.655000+00:00,0.5089,
2023-08-17 09:58:41.671000+00:00,0.0025,
2023-08-17 09:58:41.673000+00:00,0.2097,
2023-08-17 09:58:41.676000+00:00,,0.3775
2023-08-17 09:58:41.681000+00:00,0.0015,
2023-08-17 09:58:41.686000+00:00,0.0005,
2023-08-17 09:58:41.695000+00:00,0.2585,
2023-08-17 09:58:41.700000+00:00,0.2473,
2023-08-17 09:58:41.708000+00:00,0.0,
2023-08-17 09:58:41.725000+00:00,,0.2925
2023-08-17 09:58:41.744000+00:00,0.003,
2023-08-17 09:58:41.746000+00:00,0.003,
2023-08-17 09:58:41.751000+00:00,,0.3805
2023-08-17 09:58:41.793000+00:00,,0.2929
2023-08-17 09:58:41.816000+00:00,,0.3901
2023-08-17 09:58:41.849000+00:00,0.0015,
2023-08-17 09:58:41.874000+00:00,,0.2937
2023-08-17 09:58:41.895000+00:00,,0.2917
2023-08-17 09:58:41.897000+00:00,0.4832,
2023-08-17 09:58:41.929000+00:00,0.0015,
2023-08-17 09:58:41.931000+00:00,0.2328,
2023-08-17 09:58:41.933000+00:00,,0.2265
2023-08-17 09:58:41.934000+00:00,,0.2288
2023-08-17 09:58:41.942000+00:00,,0.2926
2023-08-17 09:58:41.946000+00:00,,0.2925
2023-08-17 09:58:41.951000+00:00,,0.2764
2023-08-17 09:58:41.958000+00:00,0.2675,
2023-08-17 09:58:41.959000+00:00,0.3618,
2023-08-17 09:58:41.964000+00:00,0.0005,
2023-08-17 09:58:41.998000+00:00,0.001,
2023-08-17 09:58:42+00:00,,0.2286
2023-08-17 09:58:42.009000+00:00,0.3571,
2023-08-17 09:58:42.010000+00:00,0.001,
2023-08-17 09:58:42.014000+00:00,0.0005,
2023-08-17 09:58:42.024000+00:00,0.013,
2023-08-17 09:58:42.030000+00:00,0.2599,
2023-08-17 09:58:42.044000+00:00,0.0005,
2023-08-17 09:58:42.046000+00:00,,0.2762
2023-08-17 09:58:42.049000+00:00,,0.2921
2023-08-17 09:58:42.075000+00:00,0.199,
2023-08-17 09:58:42.082000+00:00,,0.4315
2023-08-17 09:58:42.088000+00:00,,0.2288
2023-08-17 09:58:42.092000+00:00,,0.2924
2023-08-17 09:58:42.130000+00:00,,0.2937
2023-08-17 09:58:42.191000+00:00,,0.2931
2023-08-17 09:58:42.199000+00:00,0.2553,
2023-08-17 09:58:42.206000+00:00,0.0025,
2023-08-17 09:58:42.225000+00:00,0.001,
2023-08-17 09:58:42.236000+00:00,0.0035,
2023-08-17 09:58:42.237000+00:00,,0.4142
2023-08-17 09:58:42.255000+00:00,,0.3093
2023-08-17 09:58:42.275000+00:00,,0.4007
2023-08-17 09:58:42.294000+00:00,,0.2934
2023-08-17 09:58:42.299000+00:00,,0.2745
2023-08-17 09:58:42.303000+00:00,0.2666,
2023-08-17 09:58:42.309000+00:00,0.5277,
2023-08-17 09:58:42.337000+00:00,0.0005,
2023-08-17 09:58:42.339000+00:00,0.2541,
2023-08-17 09:58:42.366000+00:00,0.001,
2023-08-17 09:58:42.382000+00:00,0.0,
2023-08-17 09:58:42.388000+00:00,0.002,
2023-08-17 09:58:42.398000+00:00,0.0015,
2023-08-17 09:58:42.408000+00:00,,0.2939
2023-08-17 09:58:42.423000+00:00,0.0035,
2023-08-17 09:58:42.430000+00:00,0.2277,0.2942
2023-08-17 09:58:42.452000+00:00,,0.2274
2023-08-17 09:58:42.462000+00:00,,0.2924
2023-08-17 09:58:42.472000+00:00,,0.2921
2023-08-17 09:58:42.489000+00:00,,0.2947
2023-08-17 09:58:42.490000+00:00,0.0,
2023-08-17 09:58:42.504000+00:00,0.008,
2023-08-17 09:58:42.523000+00:00,,0.2284
2023-08-17 09:58:42.531000+00:00,0.0015,
2023-08-17 09:58:42.544000+00:00,0.5,
2023-08-17 09:58:42.545000+00:00,,0.2924
2023-08-17 09:58:42.554000+00:00,,0.2935
2023-08-17 09:58:42.562000+00:00,0.0005,
2023-08-17 09:58:42.572000+00:00,,0.4323
2023-08-17 09:58:42.577000+00:00,,0.4159
2023-08-17 09:58:42.585000+00:00,0.0015,
2023-08-17 09:58:42.598000+00:00,,0.2921
2023-08-17 09:58:42.600000+00:00,,0.2928
2023-08-17 09:58:42.611000+00:00,,0.2743
2023-08-17 09:58:42.634000+00:00,,0.2929
2023-08-17 09:58:42.640000+00:00,0.002,
2023-08-17 09:58:42.644000+00:00,,0.2927
2023-08-17 09:58:42.663000+00:00,0.0025,
2023-08-17 09:58:42.682000+00:00,,0.2912
2023-08-17 09:58:42.685000+00:00,0.0035,
2023-08-17 09:58:42.713000+00:00,0.0005,
2023-08-17 09:58:42.736000+00:00,,0.2739
2023-08-17 09:58:42.738000+00:00,0.5086,
2023-08-17 09:58:42.740000+00:00,,0.3994
2023-08-17 09:58:42.743000+00:00,,0.2939
2023-08-17 09:58:42.777000+00:00,,0.3257
2023-08-17 09:58:42.781000+00:00,,0.4127
2023-08-17 09:58:42.788000+00:00,0.0005,
2023-08-17 09:58:42.798000+00:00,,0.4368
2023-08-17 09:58:42.805000+00:00,0.6748,
2023-08-17 09:58:42.807000+00:00,0.0015,
2023-08-17 09:58:42.818000+00:00,,0.2263
2023-08-17 09:58:42.842000+00:00,,0.3559
2023-08-17 09:58:42.852000+00:00,0.001,
2023-08-17 09:58:42.856000+00:00,,0.3801
2023-08-17 09:58:42.872000+00:00,0.001,
2023-08-17 09:58:42.874000+00:00,0.001,
2023-08-17 09:58:42.900000+00:00,0.0015,
2023-08-17 09:58:42.903000+00:00,,0.2278
2023-08-17 09:58:42.914000+00:00,0.0025,
2023-08-17 09:58:42.920000+00:00,,0.25985
2023-08-17 09:58:42.941000+00:00,,0.4309
2023-08-17 09:58:42.951000+00:00,0.0,
2023-08-17 09:58:42.952000+00:00,,0.292
2023-08-17 09:58:42.955000+00:00,,0.3671
2023-08-17 09:58:42.963000+00:00,0.7739,
2023-08-17 09:58:42.965000+00:00,0.0025,
2023-08-17 09:58:42.972000+00:00,0.0025,
2023-08-17 09:58:42.976000+00:00,,0.2911
2023-08-17 09:58:42.980000+00:00,0.0005,
2023-08-17 09:58:42.992000+00:00,,0.3953
2023-08-17 09:58:42.996000+00:00,,0.2274
2023-08-17 09:58:43.004000+00:00,,0.2912
2023-08-17 09:58:43.018000+00:00,,0.2915
2023-08-17 09:58:43.023000+00:00,,0.2279
2023-08-17 09:58:43.025000+00:00,,0.3709
2023-08-17 09:58:43.029000+00:00,,0.2932
2023-08-17 09:58:43.036000+00:00,,0.4209
2023-08-17 09:58:43.045000+00:00,0.0025,0.2917
2023-08-17 09:58:43.047000+00:00,,0.2746
2023-08-17 09:58:43.050000+00:00,,0.2943
2023-08-17 09:58:43.074000+00:00,0.2414,
2023-08-17 09:58:43.121000+00:00,,0.3978
2023-08-17 09:58:43.136000+00:00,0.1732,
2023-08-17 09:58:43.146000+00:00,,0.2926
2023-08-17 09:58:43.150000+00:00,0.0005,
2023-08-17 09:58:43.157000+00:00,,0.2937
2023-08-17 09:58:43.162000+00:00,0.0015,
2023-08-17 09:58:43.173000+00:00,,0.2933
2023-08-17 09:58:43.176000+00:00,,0.2763
2023-08-17 09:58:43.187000+00:00,0.002,
2023-08-17 09:58:43.188000+00:00,0.2992,
2023-08-17 09:58:43.204000+00:00,0.001,
2023-08-17 09:58:43.213000+00:00,,0.2276
2023-08-17 09:58:43.215000+00:00,0.2443,
2023-08-17 09:58:43.233000+00:00,0.0015,
2023-08-17 09:58:43.241000+00:00,,0.3375
2023-08-17 09:58:43.250000+00:00,,0.2934
2023-08-17 09:58:43.278000+00:00,0.0015,
2023-08-17 09:58:43.287000+00:00,,0.2736
2023-08-17 09:58:43.293000+00:00,,0.2928
2023-08-17 09:58:43.296000+00:00,,0.274
2023-08-17 09:58:43.297000+00:00,,0.2918
2023-08-17 09:58:43.304000+00:00,0.0005,
2023-08-17 09:58:43.305000+00:00,0.0005,0.2277
2023-08-17 09:58:43.306000+00:00,,0.3121
2023-08-17 09:58:43.311000+00:00,0.32,
2023-08-17 09:58:43.314000+00:00,,0.2757
2023-08-17 09:58:43.317000+00:00,,0.275
2023-08-17 09:58:43.319000+00:00,0.0005,
2023-08-17 09:58:43.341000+00:00,0.001,
2023-08-17 09:58:43.365000+00:00,0.5048,
2023-08-17 09:58:43.376000+00:00,0.0,
2023-08-17 09:58:43.395000+00:00,0.0025,
2023-08-17 09:58:43.411000+00:00,,0.4585
2023-08-17 09:58:43.421000+00:00,0.0,
2023-08-17 09:58:43.422000+00:00,,0.2284
2023-08-17 09:58:43.423000+00:00,0.0025,
2023-08-17 09:58:43.464000+00:00,,0.2943
2023-08-17 09:58:43.467000+00:00,0.002,
2023-08-17 09:58:43.475000+00:00,,0.2931
2023-08-17 09:58:43.480000+00:00,0.0025,
2023-08-17 09:58:43.485000+00:00,0.0035,
2023-08-17 09:58:43.489000+00:00,,0.3366
2023-08-17 09:58:43.490000+00:00,0.0005,
2023-08-17 09:58:43.491000+00:00,,0.2922
2023-08-17 09:58:43.500000+00:00,,0.3964
2023-08-17 09:58:43.505000+00:00,,0.2935
2023-08-17 09:58:43.513000+00:00,0.001,
2023-08-17 09:58:43.518000+00:00,0.0005,
2023-08-17 09:58:43.532000+00:00,0.2476,
2023-08-17 09:58:43.538000+00:00,,0.2776
2023-08-17 09:58:43.542000+00:00,0.001,
2023-08-17 09:58:43.546000+00:00,,0.293
2023-08-17 09:58:43.547000+00:00,0.0015,
2023-08-17 09:58:43.554000+00:00,0.0015,
2023-08-17 09:58:43.569000+00:00,,0.3108
2023-08-17 09:58:43.580000+00:00,0.0015,
2023-08-17 09:58:43.588000+00:00,,0.3783
2023-08-17 09:58:43.599000+00:00,,0.3436
2023-08-17 09:58:43.600000+00:00,,0.2935
2023-08-17 09:58:43.614000+00:00,0.2394,
2023-08-17 09:58:43.619000+00:00,,0.3354
2023-08-17 09:58:43.628000+00:00,,0.2925
2023-08-17 09:58:43.634000+00:00,0.00125,
2023-08-17 09:58:43.652000+00:00,0.0015,
2023-08-17 09:58:43.654000+00:00,,0.2741
2023-08-17 09:58:43.667000+00:00,,0.2917
2023-08-17 09:58:43.669000+00:00,,0.294
2023-08-17 09:58:43.683000+00:00,0.0005,
2023-08-17 09:58:43.693000+00:00,,0.4173
2023-08-17 09:58:43.715000+00:00,,0.2277
2023-08-17 09:58:43.725000+00:00,0.0015,
2023-08-17 09:58:43.730000+00:00,,0.2918
2023-08-17 09:58:43.735000+00:00,,0.2932
2023-08-17 09:58:43.743000+00:00,,0.3959
2023-08-17 09:58:43.771000+00:00,0.0005,
2023-08-17 09:58:43.786000+00:00,0.0,
2023-08-17 09:58:43.794000+00:00,,0.365
2023-08-17 09:58:43.803000+00:00,,0.2924
2023-08-17 09:58:43.805000+00:00,0.4959,
2023-08-17 09:58:43.832000+00:00,0.0005,
2023-08-17 09:58:43.854000+00:00,,0.2922
2023-08-17 09:58:43.874000+00:00,,0.275
2023-08-17 09:58:43.881000+00:00,,0.2931
2023-08-17 09:58:43.884000+00:00,0.003,
2023-08-17 09:58:43.899000+00:00,0.0056,
2023-08-17 09:58:43.918000+00:00,,0.2915
2023-08-17 09:58:43.924000+00:00,,0.2926
2023-08-17 09:58:43.927000+00:00,,0.2607
2023-08-17 09:58:43.930000+00:00,0.002,
2023-08-17 09:58:43.937000+00:00,,0.292
2023-08-17 09:58:43.941000+00:00,,0.2273
2023-08-17 09:58:43.956000+00:00,,0.2924
2023-08-17 09:58:43.986000+00:00,0.0005,
2023-08-17 09:58:43.991000+00:00,,0.2754
2023-08-17 09:58:43.994000+00:00,,0.2921
2023-08-17 09:58:44.010000+00:00,,0.2953
2023-08-17 09:58:44.011000+00:00,0.003,
2023-08-17 09:58:44.014000+00:00,,0.2285
2023-08-17 09:58:44.028000+00:00,0.2506,
2023-08-17 09:58:44.033000+00:00,0.002,
2023-08-17 09:58:44.042000+00:00,0.4987,
2023-08-17 09:58:44.047000+00:00,,0.4082
2023-08-17 09:58:44.049000+00:00,,0.2753
2023-08-17 09:58:44.073000+00:00,0.001,
2023-08-17 09:58:44.085000+00:00,,0.2277
2023-08-17 09:58:44.095000+00:00,0.0005,
2023-08-17 09:58:44.118000+00:00,,0.2275
2023-08-17 09:58:44.120000+00:00,0.0025,
2023-08-17 09:58:44.127000+00:00,,0.2279
2023-08-17 09:58:44.137000+00:00,,0.2282
2023-08-17 09:58:44.151000+00:00,0.002,
2023-08-17 09:58:44.152000+00:00,0.002,
2023-08-17 09:58:44.174000+00:00,,0.3364
