@timestamp,cpu,memory
2023-08-17 09:58:41.761000+00:00,0.0537,
2023-08-17 09:58:43.527000+00:00,,0.2855
2023-08-17 09:58:51.761000+00:00,0.0825,
2023-08-17 09:58:53.527000+00:00,,0.2861
2023-08-17 09:59:01.761000+00:00,0.1361,
2023-08-17 09:59:03.527000+00:00,,0.287
2023-08-17 09:59:11.761000+00:00,0.0178,
2023-08-17 09:59:13.527000+00:00,,0.2871
2023-08-17 09:59:21.761000+00:00,0.1143,
2023-08-17 09:59:23.527000+00:00,,0.2894
2023-08-17 09:59:31.761000+00:00,0.0809,
2023-08-17 09:59:33.527000+00:00,,0.2905
2023-08-17 09:59:41.761000+00:00,0.0412,
2023-08-17 09:59:43.527000+00:00,,0.291
2023-08-17 09:59:51.761000+00:00,0.1378,
2023-08-17 09:59:53.527000+00:00,,0.2934
2023-08-17 10:00:01.761000+00:00,0.0506,
2023-08-17 10:00:03.527000+00:00,,0.2944
2023-08-17 10:00:11.761000+00:00,0.1242,
2023-08-17 10:00:13.527000+00:00,,0.2973
2023-08-17 10:00:21.761000+00:00,0.1481,
2023-08-17 10:00:23.527000+00:00,,0.2978
2023-08-17 10:00:31.761000+00:00,0.064,
2023-08-17 10:00:33.527000+00:00,,0.2995
2023-08-17 10:00:41.761000+00:00,0.0882,
2023-08-17 10:00:43.527000+00:00,,0.3012
2023-08-17 10:00:51.761000+00:00,0.0861,
2023-08-17 10:00:53.527000+00:00,,0.3014
2023-08-17 10:01:01.761000+00:00,0.0479,
2023-08-17 10:01:03.527000+00:00,,0.3019
2023-08-17 10:01:11.761000+00:00,0.1664,
2023-08-17 10:01:13.527000+00:00,,0.3034
2023-08-17 10:01:21.761000+00:00,0.0768,
2023-08-17 10:01:23.527000+00:00,,0.3045
2023-08-17 10:01:31.761000+00:00,0.1284,
2023-08-17 10:01:33.527000+00:00,,0.3055
2023-08-17 10:01:41.761000+00:00,0.1264,
2023-08-17 10:01:43.527000+00:00,,0.3073
2023-08-17 10:01:51.761000+00:00,0.1399,
2023-08-17 10:01:53.527000+00:00,,0.3088
2023-08-17 10:02:01.761000+00:00,0.1344,
2023-08-17 10:02:03.527000+00:00,,0.311
2023-08-17 10:02:11.761000+00:00,0.1381,
2023-08-17 10:02:13.527000+00:00,,0.3113
2023-08-17 10:02:21.761000+00:00,0.1616,
2023-08-17 10:02:23.527000+00:00,,0.3131
2023-08-17 10:02:31.761000+00:00,0.0976,
2023-08-17 10:02:33.527000+00:00,,0.3152
2023-08-17 10:02:41.761000+00:00,0.0907,
2023-08-17 10:02:43.527000+00:00,,0.3157
2023-08-17 10:02:51.761000+00:00,0.1682,
2023-08-17 10:02:53.527000+00:00,,0.3172
2023-08-17 10:03:01.761000+00:00,0.1625,
2023-08-17 10:03:03.527000+00:00,,0.3168
2023-08-17 10:03:11.761000+00:00,0.1977,
2023-08-17 10:03:13.527000+00:00,,0.3242
2023-08-17 10:03:21.761000+00:00,0.1579,
2023-08-17 10:03:23.527000+00:00,,0.3293
2023-08-17 10:03:31.761000+00:00,0.1069,
2023-08-17 10:03:33.527000+00:00,,0.3311
2023-08-17 10:03:41.761000+00:00,0.1551,
2023-08-17 10:03:43.527000+00:00,,0.3326
2023-08-17 10:03:51.761000+00:00,0.178,
2023-08-17 10:03:53.527000+00:00,,0.3346
2023-08-17 10:04:01.761000+00:00,0.222,
2023-08-17 10:04:03.527000+00:00,,0.3382
2023-08-17 10:04:11.761000+00:00,0.2381,
2023-08-17 10:04:13.527000+00:00,,0.3419
2023-08-17 10:04:21.761000+00:00,0.1316,
2023-08-17 10:04:23.527000+00:00,,0.3482
2023-08-17 10:04:31.761000+00:00,0.1048,
2023-08-17 10:04:33.527000+00:00,,0.3485
2023-08-17 10:04:41.761000+00:00,0.1107,
2023-08-17 10:04:43.527000+00:00,,0.3487
2023-08-17 10:04:51.761000+00:00,0.1231,
2023-08-17 10:04:53.527000+00:00,,0.3499
2023-08-17 10:05:01.761000+00:00,0.0902,
2023-08-17 10:05:03.527000+00:00,,0.3502
2023-08-17 10:05:11.761000+00:00,0.0545,
2023-08-17 10:05:13.527000+00:00,,0.3503
