@timestamp,memory,cpu
2023-08-17 09:58:41.787000+00:00,0.48,
2023-08-17 09:58:49.284000+00:00,,0.5732
2023-08-17 09:58:51.787000+00:00,0.4814,
2023-08-17 09:58:59.284000+00:00,,0.7615
2023-08-17 09:59:01.787000+00:00,0.4876,
2023-08-17 09:59:09.284000+00:00,,0.6747
2023-08-17 09:59:11.787000+00:00,0.4871,
2023-08-17 09:59:19.284000+00:00,,0.7214
2023-08-17 09:59:21.787000+00:00,0.4906,
2023-08-17 09:59:29.284000+00:00,,0.8939
2023-08-17 09:59:31.787000+00:00,0.495,
2023-08-17 09:59:39.284000+00:00,,0.7975
2023-08-17 09:59:41.787000+00:00,0.4977,
2023-08-17 09:59:49.284000+00:00,,0.9535
2023-08-17 09:59:51.787000+00:00,0.5016,
2023-08-17 09:59:59.284000+00:00,,0.668
2023-08-17 10:00:01.788000+00:00,0.503,
2023-08-17 10:00:09.284000+00:00,,0.8806
2023-08-17 10:00:11.787000+00:00,0.5003,
2023-08-17 10:00:19.284000+00:00,,0.7985
2023-08-17 10:00:21.787000+00:00,0.5032,
2023-08-17 10:00:29.284000+00:00,,0.9086
2023-08-17 10:00:31.787000+00:00,0.51,
2023-08-17 10:00:39.285000+00:00,,0.9069
2023-08-17 10:00:41.787000+00:00,0.5111,
2023-08-17 10:00:49.284000+00:00,,0.9329
2023-08-17 10:00:51.787000+00:00,0.5123,
2023-08-17 10:00:59.284000+00:00,,0.988
2023-08-17 10:01:01.787000+00:00,0.5137,
2023-08-17 10:01:09.284000+00:00,,0.958
2023-08-17 10:01:11.787000+00:00,0.5191,
2023-08-17 10:01:19.284000+00:00,,0.8814
2023-08-17 10:01:21.787000+00:00,0.5215,
2023-08-17 10:01:29.284000+00:00,,0.9935
2023-08-17 10:01:31.787000+00:00,0.5239,
2023-08-17 10:01:39.284000+00:00,,0.9518
2023-08-17 10:01:41.787000+00:00,0.526,
2023-08-17 10:01:49.284000+00:00,,0.98
2023-08-17 10:01:51.787000+00:00,0.527,
2023-08-17 10:01:59.284000+00:00,,0.9821
2023-08-17 10:02:01.789000+00:00,0.5332,
2023-08-17 10:02:09.284000+00:00,,0.994
2023-08-17 10:02:11.787000+00:00,0.5348,
2023-08-17 10:02:19.284000+00:00,,0.9895
2023-08-17 10:02:21.787000+00:00,0.54,
2023-08-17 10:02:29.284000+00:00,,0.9796
2023-08-17 10:02:31.787000+00:00,0.5436,
2023-08-17 10:02:39.287000+00:00,,0.993
2023-08-17 10:02:41.787000+00:00,0.5417,
2023-08-17 10:02:49.284000+00:00,,0.9861
2023-08-17 10:02:51.787000+00:00,0.5415,
2023-08-17 10:02:59.284000+00:00,,0.988
2023-08-17 10:03:01.787000+00:00,0.5421,
2023-08-17 10:03:09.284000+00:00,,0.997
2023-08-17 10:03:11.787000+00:00,0.5431,
2023-08-17 10:03:19.284000+00:00,,0.9886
2023-08-17 10:03:21.787000+00:00,0.548,
2023-08-17 10:03:29.284000+00:00,,0.996
2023-08-17 10:03:31.787000+00:00,0.5483,
2023-08-17 10:03:39.284000+00:00,,0.9915
2023-08-17 10:03:41.787000+00:00,0.5466,
2023-08-17 10:03:49.287000+00:00,,0.9975
2023-08-17 10:03:51.787000+00:00,0.606,
2023-08-17 10:03:59.284000+00:00,,0.9985
2023-08-17 10:04:01.787000+00:00,0.6199,
2023-08-17 10:04:09.287000+00:00,,0.998
2023-08-17 10:04:11.787000+00:00,0.6461,
2023-08-17 10:04:19.284000+00:00,,0.999
2023-08-17 10:04:21.787000+00:00,0.627,
2023-08-17 10:04:29.284000+00:00,,0.9995
2023-08-17 10:04:31.787000+00:00,0.6332,
2023-08-17 10:04:39.284000+00:00,,1.0
2023-08-17 10:04:41.789000+00:00,0.6328,
2023-08-17 10:04:49.284000+00:00,,1.0
2023-08-17 10:04:51.787000+00:00,0.6369,
2023-08-17 10:04:59.284000+00:00,,1.0
2023-08-17 10:05:01.787000+00:00,0.6261,
2023-08-17 10:05:09.284000+00:00,,1.0
2023-08-17 10:05:11.787000+00:00,0.6338,
