@timestamp,user_id,audio_bytesSent,audio_packetsSent,audio_nackCount,video_bytesSent,video_packetsSent,video_framesEncoded,video_nackCount,video_firCount,video_pliCount,video_qpSum
2023-08-17 09:58:45.726000+00:00,User5,159534,2047,0,8637933,7945,1073,0,0,0,6698
2023-08-17 09:58:45.732000+00:00,User1,3054,40,0,32936,38,8,0,0,0,449
2023-08-17 09:58:45.754000+00:00,User1,158826,2047,0,8437964,7749,1041,0,0,0,6551
2023-08-17 09:58:45.870000+00:00,User2,42203,538,0,1640057,1496,185,0,0,0,1127
2023-08-17 09:58:45.946000+00:00,User3,30142,385,0,1163586,1070,141,0,0,0,952
2023-08-17 09:58:46.049000+00:00,User5,158821,2039,0,8463629,7773,1036,0,0,4,6520
2023-08-17 09:58:46.251000+00:00,User1,42188,536,0,1637049,1494,185,0,0,0,963
2023-08-17 09:58:46.407000+00:00,User2,42114,536,0,1649658,1506,186,0,0,0,1108
2023-08-17 09:58:46.754000+00:00,User4,252500,3243,0,14244309,13091,1781,0,0,0,11682
2023-08-17 09:58:46.779000+00:00,User3,251094,3243,0,14208464,13049,1782,0,0,0,11787
2023-08-17 09:58:46.895000+00:00,User1,158755,2045,0,8650967,7936,1070,0,0,16,6921
2023-08-17 09:58:46.901000+00:00,User5,158067,2036,0,8363433,7663,1035,0,0,0,6619
2023-08-17 09:58:46.931000+00:00,User4,96675,1244,0,4181831,3828,499,0,0,12,3177
2023-08-17 09:58:46.950000+00:00,User5,307275,3949,0,16845460,15499,2118,0,0,8,13918
2023-08-17 09:58:46.994000+00:00,User4,252091,3241,0,14090876,12950,1787,0,0,0,12013
2023-08-17 09:58:47+00:00,User2,252005,3252,0,14207209,13049,1784,0,0,0,11791
2023-08-17 09:58:47.004000+00:00,User3,250317,3243,0,14119048,12984,1788,0,0,0,12006
2023-08-17 09:58:47.023000+00:00,User1,252037,3243,0,14153993,13059,1788,0,0,8,12260
2023-08-17 09:58:47.046000+00:00,User2,306768,3949,0,16814597,15463,2117,0,0,16,14089
2023-08-17 09:58:47.053000+00:00,User2,251391,3244,0,14158682,13021,1788,0,0,0,11860
2023-08-17 09:58:47.167000+00:00,User4,107878,1392,0,5518749,5059,652,0,0,12,4136
2023-08-17 09:58:47.370000+00:00,User2,53441,685,0,2075125,1888,231,0,0,0,1340
2023-08-17 09:58:47.394000+00:00,User1,253481,3266,0,14237084,13096,1799,0,0,0,11961
2023-08-17 09:58:47.400000+00:00,User5,254368,3268,0,14369459,13193,1798,0,0,0,11677
2023-08-17 09:58:47.452000+00:00,User5,108925,1391,0,5004311,4581,586,0,0,16,3617
2023-08-17 09:58:47.484000+00:00,User3,53498,685,0,2083015,1901,230,0,0,0,1343
2023-08-17 09:58:47.488000+00:00,User4,42009,535,0,1607548,1472,186,0,0,0,1158
2023-08-17 09:58:47.500000+00:00,User3,251587,3240,0,14104966,12947,1755,0,0,8,11583
2023-08-17 09:58:47.569000+00:00,User3,53840,688,0,2123058,1947,231,0,0,0,1200
2023-08-17 09:58:47.573000+00:00,User2,3626,47,0,31984,35,8,0,0,0,451
2023-08-17 09:58:47.688000+00:00,User1,170299,2192,0,9224130,8466,1128,0,0,4,6994
2023-08-17 09:58:47.835000+00:00,User4,170507,2194,0,9211253,8457,1128,0,0,0,7040
2023-08-17 09:58:47.853000+00:00,User1,259625,3353,0,14629944,13419,1794,0,0,0,11548
2023-08-17 09:58:47.863000+00:00,User3,134402,1736,0,7373869,6770,886,0,0,0,5501
2023-08-17 09:58:47.945000+00:00,User4,170353,2190,0,8729215,8038,1129,0,0,0,8050
2023-08-17 09:58:47.962000+00:00,User4,171083,2197,0,9218609,8471,1131,0,0,4,7123
2023-08-17 09:58:48.271000+00:00,User5,53572,687,0,2083994,1899,231,0,0,0,1285
2023-08-17 09:58:48.272000+00:00,User1,15298,193,0,439022,406,53,0,0,0,586
2023-08-17 09:58:48.289000+00:00,User5,15370,193,0,397018,383,53,0,0,0,679
2023-08-17 09:58:48.293000+00:00,User1,41470,535,0,1600829,1468,186,0,0,0,1093
2023-08-17 09:58:48.405000+00:00,User2,172337,2217,0,9326772,8555,1144,0,0,0,7225
2023-08-17 09:58:48.437000+00:00,User3,170727,2197,0,9206320,8444,1130,0,0,0,7030
2023-08-17 09:58:48.504000+00:00,User2,171034,2198,0,9240980,8484,1132,0,0,4,7093
2023-08-17 09:58:48.539000+00:00,User2,14844,191,0,408220,388,52,0,0,0,798
2023-08-17 09:58:48.726000+00:00,User5,171460,2197,0,9419589,8659,1163,0,0,0,7296
2023-08-17 09:58:48.736000+00:00,User1,15058,191,0,443535,413,52,0,0,0,673
2023-08-17 09:58:48.754000+00:00,User1,170426,2196,0,9222201,8464,1131,0,0,0,7131
2023-08-17 09:58:54.272000+00:00,User1,37882,491,0,1552632,1401,143,0,0,0,770
2023-08-17 09:58:54.272000+00:00,User5,76398,988,0,3737083,3397,408,0,0,0,2580
2023-08-17 09:58:54.290000+00:00,User5,38213,493,0,1463544,1336,143,0,0,8,955
2023-08-17 09:58:54.294000+00:00,User1,64134,835,0,2925386,2664,317,0,0,4,1976
